ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
424,2208,387800,6212,387800
425,2210,388800,6212,388800
426,2218,389800,6212,389800
427,2226,390800,6212,390800
427,2226,391800,6212,391800
428,2234,392800,6212,392800
429,2236,392800,6212,392800
429,2236,393800,6212,393800
430,2244,394450,6212,394450
430,2244,394770,6212,394770
430,2244,395580,6212,395580
431,2246,396390,6212,396390
432,2248,396710,6212,396710
432,2248,397710,6212,397710
433,2256,398030,6212,398030
434,2264,398840,6212,398840
434,2264,399840,6212,399840
434,2264,400310,6212,400310
435,2266,401310,6212,401310
436,2274,401310,6212,401310
437,2282,402310,6212,402310
437,2282,402310,6212,402310
437,2282,403310,6212,403310
437,2282,404310,6212,404310
438,2284,405310,6212,405310
439,2292,406310,6212,406310
440,2300,407310,6212,407310
440,2300,408310,6212,408310
441,2308,409310,6212,409310
442,2316,410310,6212,410310
443,2318,411310,6212,411310
444,2320,411310,6212,411310
444,2320,411780,6212,411780
445,2328,412780,6212,412780
446,2336,413780,6212,413780
447,2338,414780,6212,414780
448,2346,415010,6212,415010
448,2346,415010,6212,415010
448,2346,416010,6212,416010
449,2354,417010,6212,417010
450,2356,418010,6212,418010
451,2364,418470,6212,418470
451,2364,419470,6212,419470
452,2372,420280,6212,420280
452,2372,421280,6212,421280
452,2372,421510,6212,421510
453,2380,421830,6212,421830
454,2382,422830,6212,422830
455,2390,423830,6212,423830
455,2390,424300,6212,424300
455,2390,425300,6212,425300
456,2398,426300,6212,426300
456,2398,427300,6212,427300
457,2400,428300,6212,428300
458,2408,429300,6212,429300
459,2410,430110,6212,430110
459,2410,430110,6212,430110
460,2418,430580,6212,430580
461,2426,430900,6212,430900
462,2428,431360,6212,431360
462,2428,431360,6212,431360
462,2428,432170,6212,432170
463,2430,433170,6212,433170
464,2434,434170,6212,434170
465,2436,434640,6212,434640
466,2438,434960,6212,434960
467,2440,435960,6212,435960
468,2448,435960,6212,435960
469,2450,436430,6212,436430
469,2450,437430,6212,437430
469,2450,437900,6212,437900
470,2458,438900,6212,438900
471,2460,439900,6212,439900
472,2468,439900,6212,439900
472,2468,440550,6212,440550
473,2476,440550,6212,440550
474,2478,441550,6212,441550
474,2478,442550,6212,442550
474,2478,443550,6212,443550
475,2486,444020,6212,444020
476,2494,444830,6212,444830
476,2494,445830,6212,445830
476,2494,446830,6212,446830
477,2502,447640,6212,447640
477,2502,448110,6212,448110
477,2502,449110,6212,449110
478,2504,450110,6212,450110
478,2504,451110,6212,451110
479,2506,451580,6212,451580
479,2506,452580,6212,452580
479,2506,453050,6212,453050
480,2508,454050,6212,454050
480,2508,454210,6212,454210
480,2508,455210,6212,455210
480,2508,456210,6212,456210
480,2508,457020,6212,457020
480,2508,461020,6212,461020
481,2510,461570,6212,461570
482,2518,462010,6212,462010
482,2518,462010,6212,462010
483,2526,462820,6212,462820
483,2526,463140,6212,463140
484,2534,464140,6212,464140
485,2536,465140,6212,465140
486,2538,465610,6212,465610
486,2538,466610,6212,466610
486,2538,467420,6212,467420
487,2542,468420,6212,468420
487,2542,468530,6212,468530
488,2550,469530,6212,469530
489,2558,470530,6212,470530
489,2558,471530,6212,471530
489,2558,472340,6212,472340
490,2566,473340,6212,473340
491,2574,473340,6212,473340
492,2582,473990,6212,473990
493,2590,474990,6212,474990
494,2592,475220,6212,475220
494,2592,476220,6212,476220
494,2592,477220,6212,477220
495,2594,478220,6212,478220
496,2596,478690,6212,478690
497,2604,479690,6212,479690
498,2606,480500,6212,480500
499,2608,481500,6212,481500
499,2608,481970,6212,481970
500,2610,482970,6212,482970
501,2612,483020,6212,483020
502,2620,484020,6212,484020
502,2620,484830,6212,484830
503,2628,485290,6212,485290
504,2636,486290,6212,486290
504,2636,487100,6212,487100
504,2636,487100,6212,487100
504,2636,488100,6212,488100
504,2636,489100,6212,489100
505,2638,490100,6212,490100
505,2638,491100,6212,491100
505,2638,491910,6212,491910
506,2640,491910,6212,491910
507,2642,492910,6212,492910
508,2650,493910,6212,493910
509,2658,494560,6212,494560
510,2662,494930,6212,494930
511,2664,495740,6212,495740
512,2666,496740,6212,496740
512,2666,497110,6212,497110
512,2666,497430,6212,497430
512,2666,497590,6212,497590
513,2674,497820,6212,497820
514,2676,498820,6212,498820
514,2676,499630,6212,499630
514,2676,499630,6212,499630
515,2684,499860,6212,499860
516,2692,500860,6212,500860
516,2692,501860,6212,501860
516,2692,502860,6212,502860
516,2692,503860,6212,503860
517,2694,504860,6212,504860
517,2694,504860,6212,504860
518,2696,504860,6212,504860
519,2704,505860,6212,505860
520,2712,506510,6212,506510
520,2712,506980,6212,506980
520,2712,507790,6212,507790
521,2714,508790,6212,508790
522,2716,509790,6212,509790
523,2724,510600,6212,510600
524,2728,511410,6212,511410
525,2730,512410,6212,512410
526,2738,512410,6212,512410
527,2746,513220,6212,513220
528,2748,514220,6212,514220
529,2756,514690,6212,514690
530,2758,515690,6212,515690
530,2758,515920,6212,515920
531,2766,516390,6212,516390
532,2768,517390,6212,517390
533,2776,518390,6212,518390
534,2778,518710,6212,518710
535,2780,519710,6212,519710
536,2788,520710,6212,520710
536,2788,521520,6212,521520
