ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_dd08-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
1178882.09,19.71,1.1,220287.94,3.68
1178722.54,19.71,1.1,220283.52,3.68
1178722.54,19.71,1.1,220214.58,3.68
1178740.89,19.71,1.1,220227.85,3.68
1178740.89,19.71,1.1,220207.58,3.68
1178573.86,19.71,1.11,220212.09,3.68
1178590.38,19.71,1.11,220205.49,3.68
1178590.38,19.71,1.11,220133.19,3.68
1178585.76,19.71,1.11,220435.18,3.69
1178415.76,19.71,1.11,220500.17,3.69
1178248.72,19.71,1.11,220478.67,3.69
1178081.69,19.71,1.11,220469.72,3.69
1178081.69,19.71,1.11,220383.96,3.69
1177922.15,19.71,1.11,220390.14,3.69
1177938.67,19.72,1.11,220376.11,3.69
1178220.0,19.72,1.12,220374.02,3.69
1178638.96,19.73,1.12,220473.88,3.69
1178469.34,19.73,1.12,220473.05,3.69
1178485.87,19.73,1.12,220466.45,3.69
1178485.87,19.73,1.12,220397.51,3.69
1178287.6,19.73,1.12,220314.34,3.69
1177777.33,19.72,1.12,219552.51,3.68
1177610.3,19.72,1.12,219475.01,3.68
1177443.27,19.72,1.12,219466.07,3.68
1177464.2,19.73,1.12,219563.39,3.68
1177825.54,19.73,1.13,219489.39,3.68
1177843.89,19.74,1.13,219502.65,3.68
1178105.88,19.74,1.14,219598.0,3.68
1177938.85,19.74,1.14,219774.73,3.68
1178271.22,19.75,1.14,219699.83,3.68
1178544.39,19.76,1.15,219705.16,3.68
1178878.56,19.76,1.16,219698.85,3.68
1179140.55,19.77,1.16,219794.19,3.69
1178981.0,19.77,1.16,219776.26,3.69
1178813.97,19.77,1.16,219699.12,3.68
1178646.94,19.77,1.16,220229.01,3.69
1178646.94,19.77,1.16,220159.62,3.69
1178811.87,19.78,1.17,220159.42,3.69
1178652.32,19.78,1.17,220155.59,3.69
1178680.74,19.78,1.17,220166.22,3.69
1178513.71,19.78,1.17,220157.28,3.7
1178857.95,19.79,1.18,220147.96,3.7
1178665.36,19.79,1.18,220126.73,3.7
1178686.29,19.79,1.18,220224.05,3.7
1178707.22,19.79,1.19,220321.37,3.7
1178540.19,19.79,1.19,220241.76,3.7
1178891.56,19.8,1.19,220319.23,3.7
1178724.53,19.8,1.19,220242.09,3.7
1178564.99,19.8,1.19,220238.53,3.7
1178405.44,19.8,1.19,220241.79,3.7
1178245.9,19.8,1.19,220238.22,3.7
1178078.86,19.8,1.19,220158.61,3.7
1177794.88,19.8,1.19,219926.76,3.7
1177602.29,19.8,1.19,219895.05,3.7
1178022.28,19.81,1.2,219880.28,3.7
1177855.24,19.81,1.2,219803.14,3.7
1178100.37,19.82,1.21,219622.47,3.69
1178362.36,19.82,1.21,219717.81,3.7
1178519.21,19.83,1.22,219755.42,3.7
1178359.67,19.83,1.22,219761.6,3.7
1178021.08,19.83,1.22,219115.5,3.69
1177854.05,19.83,1.22,219038.01,3.69
1177694.5,19.83,1.22,219029.75,3.69
1177534.96,19.83,1.22,219025.08,3.69
1177375.41,19.83,1.22,219031.26,3.69
1177648.58,19.84,1.23,219036.64,3.69
1177913.39,19.84,1.23,219015.56,3.69
1177746.36,19.84,1.23,218938.06,3.69
1177543.7,19.84,1.23,218960.76,3.69
1177384.16,19.84,1.23,218956.34,3.69
1177657.33,19.85,1.24,218961.66,3.69
1178091.85,19.86,1.25,218962.12,3.69
1177932.31,19.86,1.25,218954.79,3.69
1177953.24,19.86,1.25,219056.12,3.69
1177793.7,19.86,1.25,219062.29,3.69
1177634.15,19.86,1.25,219054.96,3.69
1177467.12,19.86,1.25,219052.95,3.7
1177297.5,19.86,1.25,219057.04,3.7
1177130.47,19.86,1.25,218979.9,3.7
1176970.93,19.86,1.25,218979.01,3.7
1177189.31,19.87,1.26,218973.93,3.7
1177217.73,19.87,1.26,218984.57,3.7
1177213.1,19.88,1.26,218962.69,3.7
1177458.23,19.88,1.27,218782.02,3.69
