ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
278,1448,246320,6212,246320
279,1450,246790,6212,246790
279,1450,247160,6212,247160
280,1452,247630,6212,247630
281,1454,248630,6212,248630
282,1456,249630,6212,249630
283,1458,250630,6212,250630
284,1466,250630,6212,250630
285,1474,251280,6212,251280
286,1482,252280,6212,252280
287,1484,253090,6212,253090
288,1492,254090,6212,254090
289,1494,254460,6212,254460
290,1502,255460,6212,255460
291,1510,256270,6212,256270
291,1510,257080,6212,257080
292,1518,258080,6212,258080
293,1526,258400,6212,258400
294,1534,259400,6212,259400
295,1542,260400,6212,260400
296,1544,261400,6212,261400
297,1546,262400,6212,262400
297,1546,263400,6212,263400
298,1548,264400,6212,264400
299,1556,265400,6212,265400
299,1556,265630,6212,265630
300,1564,266630,6212,266630
301,1566,267630,6212,267630
302,1574,268100,6212,268100
303,1576,268750,6212,268750
304,1584,269750,6212,269750
305,1586,270560,6212,270560
306,1594,271560,6212,271560
306,1594,272560,6212,272560
307,1596,273560,6212,273560
307,1596,274560,6212,274560
308,1604,275030,6212,275030
309,1606,275490,6212,275490
310,1608,276490,6212,276490
311,1610,277490,6212,277490
312,1612,278490,6212,278490
313,1614,278960,6212,278960
314,1618,279190,6212,279190
315,1626,280190,6212,280190
316,1634,281000,6212,281000
317,1642,282000,6212,282000
318,1650,283000,6212,283000
319,1658,284000,6212,284000
319,1658,285000,6212,285000
320,1660,286000,6212,286000
321,1662,287000,6212,287000
