ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_f864-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
878110.74,14.56,0.97,182110.18,3.02
878110.74,14.56,0.97,182115.4,3.02
878110.74,14.56,0.97,182036.09,3.02
877974.76,14.56,0.97,182035.78,3.02
878270.78,14.57,0.97,182035.78,3.02
878323.48,14.57,0.98,182146.86,3.02
878323.48,14.57,0.98,182067.55,3.02
878187.51,14.57,0.98,182067.55,3.02
878051.53,14.57,0.98,182067.24,3.02
878347.55,14.58,0.98,182177.42,3.02
878685.69,14.59,0.99,181985.19,3.02
878738.39,14.59,0.99,182284.65,3.03
878602.42,14.59,0.99,182284.34,3.03
878602.42,14.59,0.99,182284.34,3.03
878987.08,14.6,1.0,182284.03,3.03
879039.78,14.6,1.0,182284.09,3.03
879039.78,14.6,1.0,182283.78,3.03
878903.8,14.6,1.0,182273.88,3.03
878767.82,14.6,1.0,182195.92,3.03
878631.85,14.6,1.0,182195.61,3.03
878684.55,14.6,1.01,182306.69,3.03
878875.0,14.61,1.01,182369.71,3.03
878739.02,14.61,1.01,182369.71,3.03
878603.05,14.61,1.01,182369.4,3.03
877515.23,14.61,1.01,182369.09,3.04
877899.89,14.62,1.02,182363.64,3.04
878257.09,14.63,1.03,182170.14,3.03
878641.75,14.63,1.04,182271.81,3.04
878505.77,14.63,1.04,182271.97,3.04
878890.43,14.64,1.04,182271.66,3.04
878943.13,14.64,1.05,182382.74,3.04
878943.13,14.64,1.05,182451.34,3.04
878807.16,14.64,1.05,182451.34,3.04
879103.18,14.65,1.05,182451.03,3.04
879155.88,14.65,1.06,182562.11,3.04
879401.82,14.66,1.06,182207.93,3.04
879265.84,14.66,1.06,182380.76,3.04
879265.84,14.66,1.06,182336.26,3.04
879129.87,14.66,1.06,182335.94,3.04
878993.89,14.66,1.06,182342.17,3.04
878857.91,14.66,1.06,182341.86,3.04
879153.93,14.67,1.07,182341.55,3.04
879017.96,14.67,1.07,182341.24,3.04
878881.98,14.67,1.07,182347.47,3.04
879343.2,14.67,1.08,182347.16,3.04
879207.23,14.68,1.08,182347.16,3.04
879894.1,14.69,1.09,182451.61,3.05
879758.12,14.69,1.09,182372.3,3.04
880054.14,14.69,1.1,182371.99,3.05
880106.85,14.7,1.1,182371.99,3.05
879970.87,14.7,1.1,182372.15,3.05
879999.61,14.7,1.1,182448.7,3.05
879863.63,14.7,1.1,182369.38,3.05
879727.65,14.7,1.1,182369.07,3.05
879591.68,14.7,1.1,182610.57,3.05
879887.7,14.71,1.11,182610.26,3.05
879751.72,14.71,1.11,182610.26,3.05
879615.74,14.71,1.11,182614.32,3.05
879615.74,14.71,1.11,182614.32,3.05
879668.44,14.71,1.11,182720.02,3.06
880899.19,14.73,1.13,183595.42,3.07
880763.22,14.73,1.13,183595.11,3.07
880763.22,14.73,1.13,183515.8,3.07
880763.22,14.73,1.13,183515.48,3.07
880815.92,14.73,1.13,183626.57,3.07
880679.94,14.73,1.13,183632.79,3.07
880543.96,14.73,1.13,183632.48,3.07
880407.99,14.73,1.14,183632.18,3.07
880418.8,14.73,1.14,183513.61,3.07
880282.83,14.73,1.14,183513.77,3.07
880282.83,14.73,1.14,183434.46,3.07
880217.62,14.73,1.14,183254.18,3.07
880677.14,14.74,1.14,183254.98,3.07
880541.16,14.74,1.14,183175.67,3.07
880541.16,14.74,1.14,183175.67,3.07
880541.16,14.74,1.14,183175.67,3.07
880405.18,14.74,1.14,183096.36,3.07
880281.83,14.74,1.14,182390.55,3.05
880145.85,14.74,1.14,182390.55,3.05
880009.87,14.74,1.14,182560.98,3.06
880062.57,14.75,1.15,182672.06,3.06
880453.14,14.75,1.15,182672.85,3.06
880505.84,14.75,1.16,182672.85,3.06
880801.86,14.76,1.16,182672.53,3.06
880665.88,14.76,1.16,182672.23,3.06
881031.49,14.77,1.17,182672.23,3.06
881327.51,14.77,1.18,182778.13,3.06
881693.11,14.78,1.18,182816.13,3.06
882549.53,14.8,1.2,183162.46,3.07
882413.56,14.8,1.2,183200.47,3.07
882277.58,14.8,1.2,183121.16,3.07
882615.72,14.81,1.21,182941.02,3.07
882615.72,14.81,1.21,182946.25,3.07
882806.17,14.81,1.21,182945.93,3.07
882670.19,14.81,1.21,182945.62,3.07
882722.89,14.81,1.22,183056.7,3.07
882586.92,14.81,1.22,183056.4,3.07
882952.52,14.82,1.22,182977.09,3.07
882816.55,14.82,1.22,182977.24,3.07
882869.25,14.82,1.23,182977.31,3.07
882921.95,14.83,1.23,183171.66,3.08
882785.97,14.83,1.23,183171.35,3.08
883170.63,14.83,1.24,183171.04,3.08
883034.65,14.83,1.24,183170.73,3.08
882898.68,14.83,1.24,183170.42,3.08
882762.7,14.83,1.24,183160.52,3.08
882626.72,14.84,1.24,183081.21,3.08
882490.75,14.84,1.24,183080.83,3.08
882354.77,14.84,1.24,183070.94,3.08
882218.79,14.84,1.24,183070.63,3.08
882672.36,14.84,1.25,183071.65,3.08
882536.38,14.84,1.25,183071.34,3.08
882874.52,14.85,1.25,182891.2,3.08
883170.54,14.86,1.26,182890.89,3.08
883361.0,14.86,1.27,182958.52,3.08
883225.02,14.86,1.27,182958.68,3.08
883277.72,14.87,1.27,183069.76,3.08
883141.74,14.87,1.27,183069.76,3.08
883005.77,14.87,1.27,183186.0,3.08
882869.79,14.87,1.27,183106.69,3.08
882733.81,14.87,1.27,183106.69,3.08
883029.83,14.87,1.28,183106.38,3.08
883334.0,14.88,1.28,183093.9,3.08
883198.03,14.88,1.28,183014.59,3.08
883062.05,14.88,1.28,182928.25,3.08
882926.07,14.88,1.28,182848.94,3.08
883222.09,14.89,1.29,182959.12,3.08
883675.66,14.89,1.3,182321.64,3.07
883539.69,14.89,1.3,182321.33,3.07
883592.39,14.9,1.3,182321.39,3.07
883456.41,14.9,1.3,182321.55,3.07
883320.43,14.9,1.3,182321.24,3.08
883184.46,14.9,1.3,182321.4,3.08
883048.48,14.9,1.3,182945.62,3.09
882912.5,14.9,1.3,182866.31,3.09
882776.52,14.9,1.3,182843.62,3.09
883020.56,14.9,1.31,182764.31,3.08
883073.26,14.91,1.31,182764.37,3.09
883125.96,14.91,1.31,182764.43,3.09
882989.98,14.91,1.31,182764.59,3.09
882886.46,14.91,1.31,182781.3,3.09
882782.93,14.91,1.31,182875.23,3.09
882835.63,14.92,1.32,182875.29,3.09
882699.65,14.92,1.32,182874.98,3.09
882563.67,14.92,1.32,182874.67,3.09
882440.32,14.92,1.32,182168.86,3.08
882440.32,14.92,1.32,182169.3,3.08
882304.34,14.92,1.32,182175.53,3.08
882032.38,14.92,1.32,182191.52,3.08
882032.38,14.92,1.32,182191.23,3.08
882085.09,14.92,1.32,182191.29,3.08
881949.11,14.92,1.32,182190.98,3.08
881813.13,14.92,1.32,182190.98,3.08
881813.13,14.92,1.32,182190.67,3.08
882109.15,14.93,1.33,182190.36,3.08
882353.19,14.93,1.33,182567.94,3.09
882353.19,14.93,1.33,182567.47,3.09
882737.85,14.94,1.34,182567.16,3.09
882601.87,14.94,1.34,182567.32,3.09
882465.89,14.94,1.34,182557.42,3.09
882329.92,14.94,1.34,182478.11,3.09
882193.94,14.94,1.34,182455.42,3.09
882057.96,14.94,1.34,182445.53,3.09
882353.98,14.95,1.35,182876.52,3.1
882230.63,14.95,1.35,182260.66,3.09
882094.65,14.95,1.35,182260.35,3.09
882147.35,14.95,1.35,182371.43,3.09
882200.05,14.95,1.36,182371.49,3.09
881112.23,14.96,1.36,182371.18,3.1
880976.26,14.96,1.36,182370.87,3.1
880840.28,14.96,1.36,182370.87,3.1
881293.85,14.96,1.37,182784.96,3.1
881589.87,14.97,1.37,182715.83,3.1
881642.57,14.97,1.38,182715.9,3.1
881506.59,14.97,1.38,182716.05,3.1
881370.62,14.97,1.38,182722.28,3.1
881370.62,14.97,1.38,182721.97,3.1
881370.62,14.97,1.38,182642.66,3.1
881234.64,14.97,1.38,182563.35,3.1
881098.66,14.97,1.38,182563.04,3.1
881394.68,14.98,1.38,182563.04,3.1
881394.68,14.98,1.38,182547.03,3.1
881779.34,14.99,1.39,182648.7,3.1
881779.34,14.99,1.39,182648.7,3.1
881969.8,14.99,1.39,182898.67,3.11
882265.82,15.0,1.4,183197.24,3.11
882318.52,15.0,1.4,183197.3,3.11
882182.54,15.0,1.4,183197.3,3.12
882478.56,15.01,1.41,183307.49,3.12
882342.58,15.01,1.41,183307.18,3.12
882206.61,15.01,1.41,183306.71,3.12
882070.63,15.01,1.41,183312.94,3.12
881934.65,15.01,1.41,183285.39,3.12
881934.65,15.01,1.41,183285.08,3.12
882230.67,15.02,1.42,183395.26,3.12
882094.7,15.02,1.42,183395.26,3.12
881958.72,15.02,1.42,183565.7,3.13
881822.74,15.02,1.42,183565.39,3.13
881686.76,15.02,1.42,183565.39,3.13
881550.79,15.02,1.42,183486.08,3.13
881887.41,15.02,1.43,184071.74,3.14
882183.43,15.03,1.43,184071.74,3.14
882637.0,15.04,1.44,184075.97,3.14
882501.02,15.04,1.44,184075.66,3.14
882365.04,15.04,1.44,184065.76,3.14
882749.71,15.05,1.45,184065.45,3.14
882749.71,15.05,1.45,184065.17,3.14
882613.73,15.05,1.45,184064.85,3.14
882477.75,15.05,1.45,184064.54,3.14
882477.75,15.05,1.45,184064.23,3.14
882477.75,15.05,1.45,184063.92,3.14
882477.75,15.05,1.45,183986.93,3.14
882341.77,15.05,1.45,183993.16,3.14
882205.8,15.05,1.45,183913.85,3.14
882205.8,15.05,1.45,183834.54,3.14
882205.8,15.05,1.45,183834.54,3.14
882509.97,15.05,1.46,183834.23,3.14
882867.17,15.06,1.46,183615.12,3.13
882731.19,15.06,1.46,183535.81,3.13
882595.21,15.06,1.46,183535.5,3.13
882459.23,15.06,1.46,183535.5,3.13
882323.26,15.06,1.47,183535.65,3.13
882187.28,15.06,1.47,183535.18,3.13
882051.3,15.06,1.47,183507.64,3.13
882104.0,15.07,1.47,183507.7,3.13
881968.03,15.07,1.47,183507.39,3.13
881832.05,15.07,1.47,183501.98,3.14
882128.07,15.07,1.48,183501.98,3.14
882318.52,15.08,1.48,183752.34,3.14
882715.8,15.09,1.49,183585.27,3.14
882715.8,15.09,1.49,183585.27,3.14
882579.82,15.09,1.49,183575.37,3.14
882875.85,15.09,1.49,183575.0,3.14
882739.87,15.09,1.49,183495.69,3.14
882739.87,15.09,1.49,183416.38,3.14
882603.89,15.09,1.5,183410.84,3.14
882467.91,15.09,1.5,183405.3,3.14
882331.94,15.09,1.5,183325.99,3.14
882331.94,15.09,1.5,183370.44,3.14
882195.96,15.09,1.5,183370.44,3.14
882534.1,15.1,1.5,183190.3,3.13
882534.1,15.1,1.5,183110.99,3.13
883457.61,15.12,1.52,183405.47,3.14
883510.31,15.12,1.53,183405.53,3.14
883374.34,15.12,1.53,183405.22,3.14
883478.87,15.13,1.53,183444.53,3.14
883342.89,15.13,1.53,183444.22,3.14
883395.59,15.13,1.53,183555.3,3.14
883259.61,15.13,1.53,183554.93,3.14
883123.64,15.13,1.53,183545.03,3.14
883123.64,15.13,1.53,183549.24,3.14
883461.78,15.14,1.54,183369.1,3.14
