ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-bellman_ratio
939037.74,15.76,2.17,186355.74,3.13
938644.3,15.76,2.16,185721.16,3.12
938045.38,15.75,2.15,185257.6,3.11
937909.41,15.75,2.16,185170.26,3.11
937903.73,15.75,2.16,185098.37,3.11
937767.75,15.75,2.16,185173.07,3.11
937631.77,15.75,2.16,185058.11,3.11
937583.1,15.76,2.16,184939.61,3.11
937798.65,15.76,2.16,185466.32,3.12
937223.84,15.76,2.16,184777.62,3.11
937087.86,15.76,2.16,184762.82,3.11
936951.89,15.76,2.16,184691.27,3.11
937290.43,15.76,2.16,184672.67,3.11
937154.46,15.76,2.17,184645.38,3.11
937018.48,15.76,2.17,184586.33,3.11
937314.5,15.77,2.17,184568.29,3.11
937526.59,15.77,2.18,184519.23,3.1
937468.9,15.78,2.18,185564.67,3.12
937074.97,15.77,2.17,184930.1,3.11
936939.0,15.77,2.17,184843.75,3.11
936803.02,15.77,2.17,184843.75,3.11
936688.69,15.77,2.18,184539.61,3.11
936552.71,15.77,2.18,184540.6,3.11
936848.74,15.78,2.18,184813.2,3.11
936486.74,15.78,2.18,184523.26,3.11
936350.76,15.78,2.18,184436.92,3.11
936214.78,15.78,2.18,184436.92,3.11
936078.81,15.78,2.18,184350.57,3.11
936374.83,15.78,2.18,184786.33,3.11
936234.37,15.78,2.18,184601.32,3.11
936098.39,15.78,2.18,184514.97,3.11
935698.38,15.78,2.18,183894.01,3.1
935562.41,15.78,2.18,183894.01,3.1
935426.43,15.78,2.18,183807.67,3.1
935290.45,15.78,2.18,183807.67,3.1
934700.44,15.77,2.17,182996.7,3.09
934564.47,15.77,2.17,183071.4,3.09
934515.79,15.77,2.17,182952.9,3.09
934335.78,15.77,2.17,182551.94,3.08
934401.1,15.77,2.18,182945.72,3.09
934353.88,15.78,2.18,182767.31,3.09
934217.91,15.78,2.18,182768.3,3.09
934081.93,15.78,2.18,182680.96,3.09
933945.95,15.78,2.18,182652.44,3.09
933545.94,15.77,2.17,182031.48,3.08
933497.27,15.77,2.18,182016.2,3.08
933933.02,15.78,2.19,182678.79,3.09
933797.04,15.78,2.19,182600.83,3.09
933797.04,15.78,2.19,182601.49,3.09
933661.06,15.78,2.19,182600.14,3.09
933389.11,15.79,2.19,182520.83,3.09
933389.11,15.79,2.19,182520.83,3.09
932784.1,15.78,2.18,181886.25,3.08
932648.13,15.78,2.18,181806.94,3.08
932512.15,15.78,2.18,181806.94,3.08
932512.15,15.78,2.18,181806.94,3.08
932808.17,15.78,2.19,181788.9,3.08
932628.16,15.78,2.19,181387.94,3.07
932628.16,15.78,2.19,181387.94,3.07
932845.76,15.79,2.19,181556.36,3.07
932709.78,15.79,2.19,181474.25,3.07
932673.73,15.79,2.19,182212.23,3.08
932535.83,15.79,2.19,181898.61,3.08
932399.85,15.79,2.19,181875.92,3.08
932263.88,15.79,2.19,181819.3,3.08
932559.9,15.8,2.2,181929.48,3.08
932423.92,15.8,2.2,182099.92,3.09
932287.94,15.8,2.2,182077.23,3.09
932340.64,15.8,2.2,182183.45,3.09
931947.2,15.8,2.2,181548.87,3.08
930859.38,15.8,2.2,181548.56,3.08
930723.41,15.8,2.2,181538.66,3.08
930587.43,15.8,2.2,181469.25,3.08
930365.89,15.8,2.2,181288.5,3.08
929993.89,15.79,2.19,180988.57,3.07
930046.59,15.8,2.2,181099.65,3.08
929910.62,15.8,2.2,181072.1,3.08
929774.64,15.8,2.2,181078.33,3.08
929774.64,15.8,2.2,181078.33,3.08
929774.64,15.8,2.2,181078.33,3.08
929638.66,15.8,2.2,180992.79,3.08
929502.68,15.8,2.2,180913.48,3.07
929798.7,15.8,2.21,181344.48,3.08
929798.7,15.8,2.21,181344.48,3.08
929575.25,15.8,2.2,181093.47,3.08
929575.25,15.8,2.2,181093.47,3.08
928925.25,15.79,2.19,180443.47,3.07
929221.27,15.8,2.2,180553.65,3.07
929273.97,15.8,2.2,180853.12,3.07
929137.99,15.8,2.2,180773.81,3.07
928765.99,15.8,2.2,180528.25,3.07
928630.02,15.8,2.2,180528.25,3.07
928494.04,15.8,2.2,180534.48,3.07
928358.06,15.8,2.2,180448.94,3.07
928222.08,15.8,2.2,180439.04,3.07
928222.08,15.8,2.2,180439.04,3.07
928518.1,15.8,2.21,180729.56,3.08
928382.13,15.8,2.21,180650.25,3.08
928246.15,15.8,2.21,180650.25,3.08
928110.17,15.8,2.21,180570.94,3.07
927974.2,15.8,2.21,180570.94,3.08
927838.22,15.81,2.21,180491.63,3.07
927476.22,15.8,2.2,180201.7,3.07
927772.24,15.81,2.21,180632.69,3.08
927631.78,15.8,2.21,180487.64,3.08
927495.8,15.8,2.21,180464.95,3.08
927359.83,15.81,2.21,180408.33,3.07
927744.49,15.81,2.22,180510.0,3.08
927744.49,15.81,2.22,180510.0,3.08
927608.51,15.81,2.22,180862.59,3.08
927472.53,15.81,2.22,180852.69,3.08
927472.53,15.81,2.22,180852.69,3.08
927472.53,15.81,2.22,180852.69,3.08
927473.86,15.81,2.22,180854.01,3.08
927337.88,15.81,2.22,180784.6,3.08
927201.9,15.81,2.22,180705.29,3.08
927201.9,15.81,2.22,180705.29,3.08
927201.9,15.81,2.22,180705.29,3.08
926898.51,15.81,2.21,180359.05,3.08
926762.54,15.81,2.21,180359.05,3.08
926626.56,15.81,2.21,180279.74,3.08
926490.58,15.81,2.21,180279.74,3.08
926354.6,15.81,2.21,180269.85,3.08
926218.63,15.81,2.21,180200.43,3.08
926082.65,15.81,2.21,180206.66,3.08
925946.67,15.81,2.22,180121.12,3.08
925999.37,15.82,2.22,180232.2,3.08
925863.4,15.82,2.22,180226.8,3.08
925727.42,15.82,2.22,180262.51,3.08
926023.44,15.82,2.23,180524.38,3.08
926213.89,15.83,2.23,180592.01,3.09
925990.43,15.83,2.23,180419.58,3.08
925990.43,15.83,2.23,180439.97,3.08
925854.46,15.83,2.23,180612.8,3.09
926150.48,15.83,2.23,180612.8,3.09
926014.5,15.83,2.23,180533.49,3.09
926014.5,15.83,2.23,180533.49,3.09
925878.52,15.83,2.24,180533.49,3.09
925742.55,15.83,2.24,180533.49,3.09
925606.57,15.83,2.24,180868.96,3.09
925606.57,15.83,2.24,180856.5,3.09
925470.59,15.83,2.24,180920.67,3.1
925334.61,15.83,2.24,180926.9,3.1
925334.61,15.83,2.24,180926.9,3.1
925198.64,15.83,2.24,180841.36,3.1
925251.34,15.84,2.24,180952.44,3.1
925115.36,15.84,2.24,180924.9,3.1
925006.82,15.84,2.24,180844.91,3.1
924870.84,15.84,2.24,180765.6,3.1
924923.54,15.84,2.24,180950.59,3.1
924787.57,15.84,2.24,180940.69,3.1
924651.59,15.84,2.24,180871.28,3.1
924652.7,15.84,2.24,180886.21,3.1
924516.73,15.84,2.24,180892.44,3.1
924516.73,15.84,2.24,180892.44,3.1
924376.27,15.84,2.24,180779.15,3.1
924240.29,15.84,2.24,180693.62,3.1
924292.99,15.84,2.25,180614.31,3.1
924157.01,15.84,2.25,180799.29,3.1
924453.04,15.85,2.25,180799.29,3.1
924453.04,15.85,2.25,180799.29,3.1
924317.06,15.85,2.25,180799.29,3.1
924181.08,15.85,2.25,181135.43,3.11
924233.78,15.85,2.26,181393.06,3.11
924286.48,15.86,2.26,181504.14,3.11
924150.51,15.86,2.26,181498.73,3.11
924014.53,15.86,2.26,181419.42,3.11
924067.23,15.86,2.26,181604.41,3.12
