ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_cda4-policy_DotProd1000demergemd57fb-de_merge-gs_best-scmd_57fb-arrived_gpu_milli
357,804,639410,6212,639410
358,808,639960,6212,639960
359,810,640960,6212,640960
359,810,641960,6212,641960
359,810,641960,6212,641960
359,810,642960,6212,642960
359,810,643960,6212,643960
359,810,644430,6212,644430
360,812,645430,6212,645430
360,812,646430,6212,646430
361,814,647430,6212,647430
361,814,647430,6212,647430
361,814,648240,6212,648240
362,816,649240,6212,649240
362,816,649240,6212,649240
362,816,649240,6212,649240
362,816,650240,6212,650240
362,816,650700,6212,650700
362,816,651160,6212,651160
363,824,659160,6212,659160
364,826,660160,6212,660160
364,826,660970,6212,660970
365,828,661780,6212,661780
365,828,662780,6212,662780
365,828,663010,6212,663010
366,830,664010,6212,664010
366,830,665010,6212,665010
367,832,665660,6212,665660
367,832,666660,6212,666660
368,834,667660,6212,667660
368,834,667660,6212,667660
368,834,668660,6212,668660
369,836,669660,6212,669660
369,836,669660,6212,669660
369,836,670470,6212,670470
370,838,671470,6212,671470
370,838,672120,6212,672120
371,840,672590,6212,672590
371,840,672750,6212,672750
371,840,673750,6212,673750
372,842,674300,6212,674300
372,842,674620,6212,674620
372,842,675620,6212,675620
372,842,675620,6212,675620
373,844,676620,6212,676620
373,844,677090,6212,677090
373,844,678090,6212,678090
374,846,678900,6212,678900
374,846,679900,6212,679900
375,848,680900,6212,680900
375,848,681900,6212,681900
376,850,682550,6212,682550
376,850,683550,6212,683550
377,852,684360,6212,684360
377,852,685360,6212,685360
378,854,685820,6212,685820
378,854,686820,6212,686820
379,856,687820,6212,687820
379,856,687820,6212,687820
379,856,688820,6212,688820
379,856,688820,6212,688820
380,858,689820,6212,689820
380,858,690630,6212,690630
381,860,691630,6212,691630
381,860,691630,6212,691630
381,860,692100,6212,692100
381,860,693100,6212,693100
382,864,697100,6212,697100
383,866,698100,6212,698100
383,866,698100,6212,698100
383,866,698910,6212,698910
383,866,698910,6212,698910
383,866,698910,6212,698910
383,866,699230,6212,699230
383,866,699230,6212,699230
