ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
844217.58,13.79,0.22,221205.07,3.61
844269.11,13.79,0.22,221205.07,3.61
844429.43,13.79,0.23,221205.07,3.61
844135.49,13.79,0.22,220611.27,3.6
844187.02,13.79,0.22,220750.72,3.61
843961.04,13.79,0.22,220692.66,3.61
844012.57,13.79,0.22,220666.95,3.61
843863.8,13.79,0.22,220520.84,3.6
843603.87,13.79,0.22,220540.85,3.6
843764.19,13.79,0.22,220485.17,3.6
843815.72,13.79,0.23,220485.17,3.6
843815.72,13.79,0.23,220503.84,3.6
843815.72,13.79,0.23,220479.6,3.6
843815.72,13.79,0.23,220471.06,3.6
843606.49,13.79,0.22,220363.33,3.6
843658.02,13.79,0.22,221737.17,3.62
843658.02,13.79,0.22,221667.19,3.62
843422.04,13.79,0.22,221459.4,3.62
843582.36,13.79,0.23,221455.31,3.62
843582.36,13.79,0.23,222752.95,3.64
843736.62,13.8,0.23,223298.04,3.65
843788.15,13.8,0.23,222912.45,3.65
843839.68,13.8,0.24,222588.54,3.64
843891.21,13.8,0.24,222470.8,3.64
843645.23,13.8,0.23,223958.51,3.66
843805.55,13.8,0.24,223929.75,3.66
844003.83,13.81,0.24,223227.5,3.65
843767.85,13.81,0.24,223083.74,3.65
843937.24,13.81,0.24,223486.44,3.66
843839.08,13.81,0.24,223313.12,3.65
843941.69,13.81,0.25,222749.31,3.65
843941.69,13.81,0.25,222782.43,3.65
843941.69,13.81,0.25,222759.37,3.65
844057.7,13.81,0.25,223903.36,3.66
844218.02,13.82,0.25,223903.6,3.66
844176.3,13.82,0.25,223263.09,3.65
