ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9de0-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
45,164,123920,6212,123920
45,164,123920,6212,123920
45,164,124240,6212,124240
46,166,124710,6212,124710
46,166,125180,6212,125180
46,166,125830,6212,125830
47,168,126640,6212,126640
47,168,127450,6212,127450
47,168,127680,6212,127680
48,176,128490,6212,128490
48,176,128960,6212,128960
48,176,129770,6212,129770
48,176,130000,6212,130000
48,176,130460,6212,130460
48,176,131270,6212,131270
48,176,132080,6212,132080
48,176,132890,6212,132890
48,176,133360,6212,133360
48,176,134170,6212,134170
48,176,134330,6212,134330
49,184,134980,6212,134980
49,184,134980,6212,134980
49,184,135210,6212,135210
49,184,135680,6212,135680
49,184,135680,6212,135680
49,184,136230,6212,136230
49,184,137040,6212,137040
49,184,137510,6212,137510
49,184,137980,6212,137980
49,184,138450,6212,138450
49,184,139260,6212,139260
49,184,139580,6212,139580
49,184,139900,6212,139900
49,184,140710,6212,140710
49,184,140710,6212,140710
49,184,141180,6212,141180
49,184,141990,6212,141990
50,186,142460,6212,142460
50,186,142680,6212,142680
50,186,143490,6212,143490
50,186,144300,6212,144300
50,186,144520,6212,144520
50,186,145330,6212,145330
51,188,146140,6212,146140
51,188,146950,6212,146950
52,190,147760,6212,147760
52,190,148350,6212,148350
53,198,149160,6212,149160
53,198,149530,6212,149530
53,198,150180,6212,150180
53,198,150340,6212,150340
53,198,150340,6212,150340
53,198,151150,6212,151150
53,198,151150,6212,151150
53,198,151470,6212,151470
53,198,151630,6212,151630
53,198,152440,6212,152440
53,198,152440,6212,152440
53,198,152910,6212,152910
53,198,153140,6212,153140
53,198,153140,6212,153140
53,198,153790,6212,153790
53,198,154440,6212,154440
53,198,155250,6212,155250
