ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
473,2451,440130,6212,440130
474,2459,440600,6212,440600
475,2467,441600,6212,441600
475,2467,441920,6212,441920
476,2475,442730,6212,442730
476,2475,442890,6212,442890
477,2483,443890,6212,443890
478,2491,444540,6212,444540
478,2491,444540,6212,444540
478,2491,445540,6212,445540
478,2491,446010,6212,446010
478,2491,447010,6212,447010
479,2499,447330,6212,447330
480,2507,448330,6212,448330
481,2509,449330,6212,449330
482,2511,449700,6212,449700
483,2519,450700,6212,450700
483,2519,451700,6212,451700
484,2521,452700,6212,452700
484,2521,453700,6212,453700
485,2523,454700,6212,454700
486,2531,455700,6212,455700
486,2531,456700,6212,456700
486,2531,456700,6212,456700
487,2539,456700,6212,456700
487,2539,456930,6212,456930
488,2541,457930,6212,457930
489,2549,457930,6212,457930
490,2557,458250,6212,458250
490,2557,458720,6212,458720
490,2557,459720,6212,459720
490,2557,460720,6212,460720
491,2559,461720,6212,461720
492,2561,462530,6212,462530
493,2563,463340,6212,463340
493,2563,463820,6212,463820
494,2567,464820,6212,464820
495,2575,465820,6212,465820
496,2577,466820,6212,466820
497,2585,466820,6212,466820
498,2593,467820,6212,467820
499,2595,468820,6212,468820
500,2597,469630,6212,469630
501,2599,470630,6212,470630
502,2601,471100,6212,471100
502,2601,472100,6212,472100
503,2609,472910,6212,472910
503,2609,473720,6212,473720
504,2611,474720,6212,474720
504,2611,475720,6212,475720
504,2611,476720,6212,476720
505,2613,477530,6212,477530
506,2615,477760,6212,477760
507,2617,478760,6212,478760
