ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_819c-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1180213.2,19.37,0.77,217811.44,3.57
1180020.61,19.37,0.77,217778.72,3.57
1180371.98,19.37,0.78,217704.04,3.57
1180204.95,19.37,0.78,217699.73,3.57
1180556.32,19.38,0.78,217625.05,3.57
1180556.32,19.38,0.78,217554.24,3.57
1180373.54,19.38,0.78,216924.37,3.56
1180373.54,19.38,0.78,216854.99,3.56
1180206.51,19.38,0.78,216775.37,3.56
1180039.48,19.38,0.78,216773.36,3.56
1180060.41,19.39,0.78,217076.89,3.57
1179900.86,19.39,0.79,217083.07,3.57
1179917.39,19.39,0.79,217067.3,3.57
1179757.84,19.39,0.79,217073.48,3.57
1180019.83,19.39,0.79,217059.71,3.57
1180040.76,19.4,0.79,217157.03,3.57
1179848.17,19.4,0.79,217119.8,3.57
1180005.03,19.4,0.8,217157.41,3.57
1180005.03,19.4,0.8,217211.73,3.57
1180021.55,19.4,0.8,217197.71,3.57
1180441.53,19.41,0.81,217256.57,3.57
1180806.62,19.42,0.81,217260.31,3.57
1181171.72,19.42,0.82,217264.04,3.57
1181200.13,19.43,0.82,217274.68,3.57
1181007.54,19.43,0.82,217244.96,3.57
1181028.48,19.43,0.83,217423.94,3.58
1182171.37,19.45,0.85,218294.95,3.59
1182171.37,19.45,0.85,218417.58,3.59
1182011.82,19.45,0.85,218423.76,3.59
1182032.76,19.45,0.85,218347.05,3.59
1182793.82,19.46,0.86,218871.01,3.6
1182793.82,19.46,0.86,218801.12,3.6
1182814.76,19.47,0.86,218898.44,3.6
1183166.13,19.47,0.87,218975.92,3.6
1183006.58,19.47,0.87,218977.01,3.6
1182847.04,19.47,0.87,218972.58,3.61
1182687.49,19.47,0.87,218969.02,3.61
1182844.35,19.48,0.88,219006.63,3.61
1182677.31,19.48,0.88,218929.14,3.61
1182698.25,19.48,0.88,219026.46,3.61
1182698.25,19.48,0.88,218957.52,3.61
1182531.21,19.48,0.88,218880.02,3.61
1182338.62,19.48,0.88,218853.29,3.61
1182171.59,19.48,0.88,218831.79,3.61
1182192.52,19.49,0.88,218929.12,3.61
1181973.35,19.48,0.88,219253.46,3.61
1182582.72,19.5,0.89,219432.85,3.62
1182413.1,19.5,0.89,219432.02,3.62
1182686.27,19.5,0.9,219437.41,3.62
1182526.73,19.5,0.9,219440.67,3.62
1182359.7,19.5,0.9,219438.66,3.62
1182632.87,19.51,0.9,219443.99,3.62
1182473.32,19.51,0.91,219447.25,3.62
1182501.74,19.51,0.91,219457.89,3.62
1182491.43,19.52,0.91,219436.0,3.62
1182324.4,19.52,0.91,219418.51,3.62
1182324.4,19.52,0.91,219535.78,3.62
1182131.81,19.52,0.91,219528.55,3.62
1182404.98,19.52,0.92,219533.94,3.62
1182245.44,19.52,0.92,219530.37,3.63
1182518.61,19.53,0.92,219535.7,3.63
1182829.8,19.53,0.93,219556.55,3.63
1182662.77,19.54,0.93,219547.6,3.63
1182691.19,19.54,0.93,219558.24,3.63
1182719.61,19.54,0.94,219568.88,3.63
1182989.69,19.55,0.94,219921.29,3.63
1183010.62,19.55,0.95,220018.61,3.64
1183167.48,19.55,0.95,220056.22,3.64
1183602.01,19.56,0.96,220056.68,3.64
1183602.01,19.56,0.96,219987.74,3.64
1183635.05,19.56,0.96,219999.77,3.64
1183635.05,19.56,0.96,219977.02,3.64
1183475.51,19.56,0.96,219972.35,3.64
1183503.93,19.57,0.96,219982.99,3.64
1182733.56,19.57,0.96,220142.54,3.64
1182540.97,19.57,0.96,220107.57,3.64
1182373.94,19.57,0.96,220030.07,3.64
1182214.39,19.57,0.96,220026.95,3.64
1182031.61,19.57,0.96,219323.77,3.63
1181862.0,19.57,0.96,219323.66,3.63
1182123.99,19.57,0.97,219625.21,3.64
1181956.96,19.58,0.97,219547.71,3.64
1181789.92,19.58,0.97,219527.56,3.64
1182051.91,19.58,0.98,219807.78,3.64
1181884.88,19.58,0.98,219803.48,3.64
1181725.33,19.58,0.98,219806.74,3.64
1181746.27,19.59,0.98,219986.07,3.65
1181579.23,19.59,0.98,219908.77,3.65
1181841.22,19.59,0.98,220004.11,3.65
1181674.19,19.59,0.98,219982.61,3.65
1181471.53,19.59,0.98,219955.28,3.65
1181306.31,19.59,0.99,219961.46,3.65
1181139.27,19.59,0.99,219959.45,3.65
1180946.68,19.59,0.99,219923.0,3.65
1181216.77,19.6,0.99,220275.41,3.65
1181018.5,19.6,0.99,219628.98,3.64
1181018.5,19.6,0.99,219559.59,3.64
1180858.95,19.6,0.99,219565.77,3.64
1180691.92,19.6,0.99,219558.16,3.64
1180524.89,19.6,0.99,219549.22,3.65
1180889.98,19.61,1.0,219546.08,3.65
1180918.4,19.61,1.0,219556.72,3.65
1180946.82,19.61,1.01,219567.36,3.65
1181202.07,19.62,1.01,219559.94,3.65
1181475.24,19.63,1.02,219565.27,3.65
1181491.76,19.63,1.02,219558.67,3.65
1181926.29,19.63,1.03,219559.13,3.65
1182199.46,19.64,1.03,219564.51,3.65
1182602.98,19.65,1.04,218811.38,3.64
1182443.43,19.65,1.04,218812.47,3.64
1182433.13,19.65,1.04,218792.99,3.64
1182266.1,19.65,1.04,218790.99,3.64
1182287.03,19.65,1.05,218934.94,3.64
1182287.03,19.65,1.05,218818.65,3.64
1182560.2,19.66,1.05,218823.98,3.64
1182400.65,19.66,1.05,218820.86,3.64
1182241.11,19.66,1.05,218817.03,3.64
1182262.04,19.66,1.06,218914.35,3.64
1182063.77,19.66,1.06,218805.21,3.64
1181896.74,19.67,1.06,218844.47,3.64
1182159.84,19.67,1.06,218852.85,3.64
1181967.25,19.67,1.06,218825.53,3.64
1181988.18,19.67,1.06,218922.85,3.64
1181821.15,19.67,1.06,218845.36,3.64
1182083.14,19.68,1.07,218940.7,3.65
1182099.66,19.68,1.07,218934.1,3.65
1182120.59,19.68,1.07,219113.8,3.65
1182149.01,19.69,1.08,219124.44,3.65
1182149.01,19.69,1.08,219053.9,3.65
1182394.14,19.69,1.08,218873.23,3.65
1182234.59,19.7,1.08,218876.49,3.65
1182669.12,19.7,1.09,218876.94,3.65
1182316.98,19.7,1.09,218843.3,3.65
1182333.5,19.7,1.09,218971.2,3.65
1182328.88,19.71,1.1,218951.6,3.65
1182361.92,19.71,1.1,218963.64,3.65
1182163.65,19.71,1.1,218862.42,3.65
1181996.62,19.71,1.1,218840.92,3.65
1182014.97,19.71,1.1,218854.19,3.65
1181847.94,19.71,1.1,218777.04,3.65
1181655.35,19.71,1.1,218738.51,3.65
1181490.12,19.71,1.1,218734.09,3.65
1181518.54,19.72,1.1,218744.73,3.65
1181869.91,19.72,1.11,218822.2,3.65
1181898.33,19.73,1.11,218832.84,3.65
1181731.3,19.73,1.11,219077.81,3.66
1181571.75,19.73,1.12,219076.91,3.66
1181571.75,19.73,1.12,219049.58,3.66
1181412.21,19.73,1.12,219052.84,3.66
1182003.61,19.74,1.13,219154.77,3.66
1182003.61,19.74,1.13,219185.79,3.66
1181844.06,19.74,1.13,219181.37,3.66
1181509.99,19.74,1.13,219099.74,3.66
1181929.98,19.75,1.14,219158.6,3.66
1182203.15,19.75,1.14,219163.98,3.66
1182036.12,19.75,1.14,219142.48,3.66
1182057.05,19.76,1.15,219286.44,3.67
1181897.5,19.76,1.15,219282.6,3.67
1182050.21,19.76,1.15,218925.74,3.66
1182202.91,19.77,1.16,218568.87,3.66
1182208.1,19.77,1.16,218129.73,3.65
1182208.1,19.77,1.16,217959.08,3.65
