ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_6b29-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
878093.04,14.59,0.99,181495.48,3.02
877957.06,14.59,0.99,181495.48,3.02
878022.38,14.59,1.0,181072.21,3.01
878212.84,14.6,1.0,181072.21,3.01
878076.86,14.6,1.0,181071.91,3.01
877940.88,14.6,1.0,181071.6,3.01
876853.06,14.6,1.0,181071.29,3.01
877237.72,14.61,1.01,181065.83,3.01
877101.75,14.61,1.01,181043.14,3.02
877486.41,14.61,1.02,181043.14,3.02
877350.43,14.61,1.02,181049.37,3.02
877735.09,14.62,1.02,181362.58,3.02
877787.79,14.62,1.03,181362.65,3.02
877787.79,14.62,1.03,181374.77,3.02
877651.82,14.62,1.03,181374.45,3.02
878508.24,14.64,1.04,181720.78,3.03
878560.94,14.64,1.05,181831.86,3.03
878806.88,14.65,1.05,181477.68,3.03
878670.9,14.65,1.05,181477.68,3.03
878670.9,14.65,1.05,181477.37,3.03
878534.93,14.65,1.05,181398.06,3.02
878398.95,14.65,1.05,181398.22,3.03
878262.97,14.65,1.05,181397.9,3.03
878558.99,14.66,1.06,181397.88,3.03
878423.02,14.66,1.06,181312.94,3.03
878287.04,14.66,1.06,181313.1,3.03
878748.26,14.66,1.07,181312.79,3.03
878612.29,14.67,1.07,181312.48,3.03
878802.74,14.67,1.07,181312.48,3.03
878666.76,14.67,1.07,181233.17,3.03
878962.78,14.68,1.08,181232.86,3.03
879015.48,14.68,1.08,181232.86,3.03
878879.51,14.68,1.08,181233.01,3.03
879264.17,14.69,1.09,181232.7,3.03
879128.19,14.69,1.09,181227.3,3.03
878992.21,14.69,1.09,181147.99,3.03
878856.24,14.69,1.09,181068.68,3.03
879152.26,14.69,1.1,181068.37,3.03
879016.28,14.69,1.1,181068.36,3.03
878880.3,14.69,1.1,181068.05,3.03
878880.3,14.69,1.1,180985.3,3.03
878933.0,14.7,1.1,181096.38,3.03
878933.0,14.7,1.1,181013.63,3.03
878797.03,14.7,1.1,181013.32,3.03
878797.03,14.7,1.1,181013.01,3.03
878797.03,14.7,1.1,180933.7,3.03
878849.73,14.7,1.1,180933.76,3.03
878713.75,14.7,1.1,180933.92,3.03
878577.77,14.7,1.1,180933.61,3.03
878441.8,14.7,1.1,180923.71,3.03
878441.8,14.7,1.1,180844.4,3.03
878305.82,14.7,1.1,180816.85,3.03
878305.82,14.7,1.1,180737.54,3.02
878609.99,14.71,1.11,180725.07,3.03
879069.51,14.71,1.12,180726.07,3.03
878933.53,14.71,1.12,180725.76,3.03
878933.53,14.71,1.12,180640.22,3.02
878933.53,14.71,1.12,180639.91,3.02
878797.55,14.71,1.12,180639.91,3.02
878661.57,14.71,1.12,180639.91,3.03
878525.6,14.71,1.12,180560.6,3.02
878863.74,14.72,1.13,180368.36,3.02
878929.06,14.73,1.13,179945.1,3.01
879319.62,14.73,1.14,180156.08,3.02
879372.32,14.74,1.14,180156.14,3.02
879668.35,14.74,1.14,180266.32,3.02
