ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1580728.07,26.92,1.41,209223.79,3.56
1580744.6,26.92,1.41,209217.97,3.56
1580538.4,26.93,1.41,209165.02,3.56
1580538.4,26.93,1.41,209103.92,3.56
1580305.86,26.93,1.41,209106.53,3.56
1580305.86,26.93,1.41,210185.23,3.58
1580287.7,26.93,1.41,210281.62,3.58
1580055.17,26.93,1.41,210286.94,3.58
1580435.05,26.94,1.42,210273.29,3.58
1580202.51,26.94,1.42,210269.13,3.58
1579658.75,26.93,1.41,209714.6,3.58
1579640.59,26.94,1.42,209700.85,3.58
1579640.59,26.94,1.42,209534.37,3.57
1579408.05,26.94,1.42,209533.24,3.57
1579660.47,26.94,1.42,209553.01,3.57
1579454.28,26.94,1.42,209482.18,3.57
1579248.08,26.95,1.42,209471.73,3.57
1579248.08,26.95,1.42,209441.59,3.57
1579556.38,26.95,1.43,209423.88,3.57
1579684.07,26.96,1.44,209240.41,3.57
1579451.54,26.96,1.44,209236.25,3.57
1579468.06,26.96,1.44,209223.47,3.57
1579235.53,26.96,1.44,209226.08,3.57
1579002.99,26.96,1.44,209227.1,3.57
1578548.12,26.96,1.44,208841.43,3.57
1578341.93,26.96,1.44,208770.43,3.57
1578394.86,26.96,1.44,210455.99,3.59
1578162.33,26.96,1.44,210452.03,3.6
1577956.13,26.96,1.44,210446.62,3.6
1577749.93,26.96,1.44,210393.67,3.6
1577960.42,26.97,1.44,210399.24,3.6
1577754.22,26.97,1.44,210328.6,3.6
1577521.68,26.97,1.44,210333.93,3.6
1577477.45,26.97,1.45,210343.89,3.6
1577407.92,26.97,1.45,209905.5,3.59
1577175.38,26.98,1.45,209904.38,3.59
1577175.38,26.98,1.45,209842.82,3.59
1577175.38,26.98,1.45,209816.31,3.59
1576929.16,26.98,1.45,209821.63,3.59
1577316.49,26.98,1.46,210424.06,3.6
1577110.29,26.98,1.46,210353.06,3.6
1576877.75,26.99,1.46,210358.39,3.6
1576833.52,26.99,1.46,210368.36,3.6
1576893.78,26.99,1.47,210352.73,3.6
1576893.78,26.99,1.47,210330.7,3.6
1576614.37,26.99,1.47,209712.32,3.59
1576408.17,26.99,1.47,209710.29,3.59
1576643.88,27.0,1.47,209707.77,3.59
1576585.96,27.0,1.48,209717.74,3.59
1576311.2,27.0,1.48,209661.09,3.59
1575962.98,27.0,1.47,209401.47,3.59
1575698.42,27.0,1.48,209387.82,3.59
1575492.22,27.0,1.48,209316.75,3.59
1575447.99,27.0,1.48,209326.71,3.59
1575447.99,27.0,1.48,209300.77,3.59
1575215.46,27.01,1.48,209291.74,3.59
1574982.92,27.01,1.48,209292.76,3.59
1574776.72,27.01,1.48,209303.68,3.59
1574987.21,27.01,1.49,209309.24,3.59
1574754.67,27.01,1.49,209305.33,3.59
1574522.13,27.01,1.49,209306.36,3.59
1574522.13,27.01,1.49,209271.06,3.59
1574243.89,27.01,1.49,209248.51,3.59
1574225.73,27.02,1.49,209344.9,3.59
1574605.61,27.02,1.5,209346.11,3.59
1574373.08,27.03,1.5,209351.44,3.59
1574108.52,27.03,1.5,209323.4,3.59
1573902.32,27.03,1.5,209270.45,3.59
1574030.02,27.03,1.51,209086.98,3.59
1574208.48,27.04,1.51,209052.89,3.59
1573975.94,27.04,1.51,209051.77,3.59
1573769.75,27.04,1.51,208980.7,3.59
1573537.21,27.04,1.51,208983.3,3.59
1573272.65,27.04,1.51,208953.27,3.59
1573196.4,27.04,1.52,208931.98,3.59
1572963.86,27.04,1.52,208937.31,3.59
1573091.56,27.05,1.52,208753.83,3.59
1572859.02,27.05,1.52,208730.75,3.59
1573203.76,27.06,1.53,208291.6,3.58
1573236.29,27.06,1.53,208958.7,3.59
1572970.32,27.06,1.53,208881.26,3.59
1572926.09,27.06,1.53,208891.23,3.59
1572671.08,27.06,1.54,208890.25,3.59
1572464.89,27.06,1.54,208888.22,3.6
1572741.17,27.07,1.54,208860.96,3.59
1572534.97,27.07,1.54,208853.43,3.6
1572566.99,27.07,1.54,208866.17,3.6
1572279.97,27.07,1.54,208819.11,3.6
1572203.72,27.07,1.55,208880.79,3.6
1572413.06,27.08,1.55,208812.04,3.6
1572413.06,27.08,1.55,208743.14,3.6
1572745.36,27.09,1.56,208676.43,3.59
1573011.52,27.09,1.56,209319.37,3.61
1572993.36,27.1,1.57,209479.62,3.61
1573220.88,27.1,1.57,209543.35,3.61
1573014.69,27.1,1.57,209532.24,3.61
1572970.46,27.11,1.58,209542.21,3.61
1573197.98,27.11,1.58,209605.93,3.61
