ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_ceb7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
399,2016,351020,6212,351020
399,2016,351020,6212,351020
400,2024,351340,6212,351340
401,2026,352340,6212,352340
402,2034,353340,6212,353340
403,2042,353340,6212,353340
404,2050,354340,6212,354340
405,2058,355340,6212,355340
406,2059,356150,6212,356150
407,2061,357150,6212,357150
407,2061,357150,6212,357150
408,2069,358150,6212,358150
408,2069,359150,6212,359150
409,2071,360150,6212,360150
410,2079,360620,6212,360620
411,2081,361620,6212,361620
412,2089,362620,6212,362620
413,2097,363430,6212,363430
414,2099,364240,6212,364240
415,2107,365240,6212,365240
416,2109,365240,6212,365240
416,2109,365240,6212,365240
417,2117,366240,6212,366240
417,2117,366470,6212,366470
418,2119,367470,6212,367470
419,2127,368470,6212,368470
420,2135,369280,6212,369280
421,2137,369930,6212,369930
421,2137,369930,6212,369930
422,2141,370930,6212,370930
423,2143,371930,6212,371930
424,2145,372390,6212,372390
425,2153,373200,6212,373200
426,2157,374200,6212,374200
426,2157,375200,6212,375200
426,2157,376200,6212,376200
427,2159,377200,6212,377200
428,2167,378010,6212,378010
429,2175,378010,6212,378010
430,2183,379010,6212,379010
431,2191,380010,6212,380010
431,2191,381010,6212,381010
432,2199,381480,6212,381480
433,2207,382480,6212,382480
434,2215,383480,6212,383480
434,2215,383480,6212,383480
434,2215,384480,6212,384480
435,2217,385290,6212,385290
436,2225,385520,6212,385520
437,2233,386520,6212,386520
437,2233,387520,6212,387520
438,2235,388520,6212,388520
439,2237,389520,6212,389520
439,2237,389990,6212,389990
440,2245,390990,6212,390990
441,2247,391990,6212,391990
442,2255,392990,6212,392990
442,2255,393990,6212,393990
442,2255,394800,6212,394800
443,2263,395800,6212,395800
444,2265,396800,6212,396800
445,2273,397800,6212,397800
446,2275,398030,6212,398030
447,2279,398030,6212,398030
448,2281,399030,6212,399030
449,2289,399840,6212,399840
450,2297,400840,6212,400840
451,2299,401840,6212,401840
451,2299,402160,6212,402160
451,2299,403160,6212,403160
452,2307,403160,6212,403160
452,2307,404160,6212,404160
452,2307,404970,6212,404970
453,2309,405520,6212,405520
453,2309,405520,6212,405520
454,2311,405680,6212,405680
