ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
210,502,440550,6212,440550
210,502,441550,6212,441550
211,504,442550,6212,442550
211,504,443550,6212,443550
212,506,444020,6212,444020
212,506,444830,6212,444830
213,508,445830,6212,445830
213,508,446830,6212,446830
214,510,447640,6212,447640
214,510,448110,6212,448110
214,510,449110,6212,449110
215,512,450110,6212,450110
215,512,451110,6212,451110
216,514,451580,6212,451580
216,514,452580,6212,452580
216,514,453050,6212,453050
217,516,454050,6212,454050
217,516,454210,6212,454210
217,516,455210,6212,455210
218,518,456210,6212,456210
218,518,457020,6212,457020
219,522,461020,6212,461020
220,524,461570,6212,461570
220,524,462010,6212,462010
220,524,462010,6212,462010
220,524,462820,6212,462820
220,524,463140,6212,463140
221,526,464140,6212,464140
221,526,465140,6212,465140
222,528,465610,6212,465610
222,528,466610,6212,466610
223,530,467420,6212,467420
223,530,468420,6212,468420
223,530,468530,6212,468530
224,538,469530,6212,469530
224,538,470530,6212,470530
224,538,471530,6212,471530
224,538,472340,6212,472340
224,538,473340,6212,473340
224,538,473340,6212,473340
224,538,473990,6212,473990
224,538,474990,6212,474990
224,538,475220,6212,475220
224,538,476220,6212,476220
225,540,477220,6212,477220
225,540,478220,6212,478220
225,540,478690,6212,478690
226,542,479690,6212,479690
226,542,480500,6212,480500
227,544,481500,6212,481500
227,544,481970,6212,481970
228,546,482970,6212,482970
228,546,483020,6212,483020
228,546,484020,6212,484020
229,548,484830,6212,484830
229,548,485290,6212,485290
229,548,486290,6212,486290
230,550,487100,6212,487100
230,550,487100,6212,487100
230,550,488100,6212,488100
231,552,489100,6212,489100
231,552,490100,6212,490100
232,554,491100,6212,491100
233,556,491910,6212,491910
233,556,491910,6212,491910
233,556,492910,6212,492910
233,556,493910,6212,493910
234,558,494560,6212,494560
234,558,494930,6212,494930
235,560,495740,6212,495740
235,560,496740,6212,496740
235,560,497110,6212,497110
235,560,497430,6212,497430
235,560,497590,6212,497590
235,560,497820,6212,497820
236,562,498820,6212,498820
236,562,499630,6212,499630
236,562,499630,6212,499630
237,564,499860,6212,499860
237,564,500860,6212,500860
238,566,501860,6212,501860
238,566,502860,6212,502860
239,568,503860,6212,503860
240,570,504860,6212,504860
240,570,504860,6212,504860
240,570,504860,6212,504860
241,572,505860,6212,505860
241,572,506510,6212,506510
241,572,506980,6212,506980
241,572,507790,6212,507790
241,572,508790,6212,508790
242,574,509790,6212,509790
242,574,510600,6212,510600
243,576,511410,6212,511410
244,578,512410,6212,512410
244,578,512410,6212,512410
244,578,513220,6212,513220
244,578,514220,6212,514220
244,578,514690,6212,514690
245,580,515690,6212,515690
245,580,515920,6212,515920
245,580,516390,6212,516390
246,582,517390,6212,517390
246,582,518390,6212,518390
247,584,518710,6212,518710
247,584,519710,6212,519710
248,586,520710,6212,520710
249,588,521520,6212,521520
249,588,521990,6212,521990
249,588,522990,6212,522990
250,590,523800,6212,523800
250,590,524800,6212,524800
251,592,525800,6212,525800
251,592,526800,6212,526800
251,592,526800,6212,526800
252,594,527610,6212,527610
252,594,528080,6212,528080
252,594,528550,6212,528550
253,596,529550,6212,529550
253,596,530360,6212,530360
254,598,531170,6212,531170
254,598,532170,6212,532170
255,600,533170,6212,533170
255,600,533980,6212,533980
256,602,534300,6212,534300
256,602,534300,6212,534300
256,602,535110,6212,535110
257,604,536110,6212,536110
257,604,536760,6212,536760
258,606,537760,6212,537760
258,606,537760,6212,537760
258,606,537760,6212,537760
258,606,538760,6212,538760
258,606,539570,6212,539570
259,608,540570,6212,540570
260,610,541040,6212,541040
260,610,542040,6212,542040
260,610,543040,6212,543040
261,612,543630,6212,543630
261,612,544630,6212,544630
261,612,545100,6212,545100
262,614,546100,6212,546100
262,614,547100,6212,547100
263,616,547750,6212,547750
264,618,548750,6212,548750
264,618,549560,6212,549560
264,618,550370,6212,550370
265,620,551370,6212,551370
265,620,552370,6212,552370
266,622,553370,6212,553370
267,624,554370,6212,554370
267,624,554370,6212,554370
267,624,555370,6212,555370
267,624,556370,6212,556370
268,626,557180,6212,557180
268,626,557830,6212,557830
269,628,558640,6212,558640
269,628,559450,6212,559450
270,630,560450,6212,560450
271,638,561450,6212,561450
271,638,562450,6212,562450
272,640,563260,6212,563260
272,640,563260,6212,563260
272,640,564260,6212,564260
272,640,565260,6212,565260
272,640,565260,6212,565260
272,640,566260,6212,566260
272,640,566260,6212,566260
272,640,566730,6212,566730
273,644,567730,6212,567730
273,644,567730,6212,567730
273,644,567730,6212,567730
273,644,567730,6212,567730
273,644,568730,6212,568730
273,644,569730,6212,569730
273,644,570380,6212,570380
273,644,570380,6212,570380
273,644,571190,6212,571190
273,644,572000,6212,572000
273,644,573000,6212,573000
274,646,574000,6212,574000
274,646,574320,6212,574320
275,648,575320,6212,575320
275,648,575320,6212,575320
275,648,575550,6212,575550
275,648,576550,6212,576550
275,648,577550,6212,577550
276,650,578550,6212,578550
276,650,579020,6212,579020
277,652,580020,6212,580020
277,652,581020,6212,581020
277,652,581250,6212,581250
278,654,582250,6212,582250
278,654,582900,6212,582900
279,656,583900,6212,583900
279,656,583900,6212,583900
279,656,584710,6212,584710
279,656,585710,6212,585710
280,658,586710,6212,586710
280,658,587710,6212,587710
281,660,588710,6212,588710
281,660,589520,6212,589520
282,662,590520,6212,590520
283,670,598520,6212,598520
283,670,599520,6212,599520
284,672,600520,6212,600520
284,672,601520,6212,601520
284,672,601520,6212,601520
285,674,602520,6212,602520
286,676,603520,6212,603520
286,676,604520,6212,604520
287,680,605520,6212,605520
287,680,606330,6212,606330
287,680,607330,6212,607330
288,682,608330,6212,608330
288,682,608330,6212,608330
288,682,609330,6212,609330
288,682,610330,6212,610330
288,682,611140,6212,611140
288,682,611600,6212,611600
289,684,612600,6212,612600
289,684,613600,6212,613600
289,684,613600,6212,613600
290,686,614070,6212,614070
290,686,614880,6212,614880
291,688,615690,6212,615690
291,688,615690,6212,615690
291,688,616160,6212,616160
291,688,616970,6212,616970
291,688,616970,6212,616970
292,690,617620,6212,617620
