ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e6a1-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
1167537.19,19.37,0.76,218646.56,3.63
1167558.12,19.37,0.76,218950.08,3.63
1167558.12,19.37,0.76,218952.54,3.63
1167803.25,19.38,0.77,218760.74,3.63
1167636.22,19.38,0.77,218683.59,3.63
1167267.2,19.38,0.76,218444.49,3.63
1167100.16,19.38,0.76,218440.01,3.63
1166578.27,19.37,0.76,217886.79,3.62
1166411.24,19.37,0.76,217809.64,3.62
1166414.99,19.37,0.76,217852.51,3.62
1166766.36,19.38,0.77,218374.47,3.63
1166771.55,19.38,0.77,217935.33,3.62
1166771.55,19.38,0.77,217935.33,3.62
1166489.6,19.38,0.77,217629.44,3.62
1166322.57,19.38,0.77,217552.12,3.61
1166155.54,19.38,0.77,217547.82,3.62
1166176.47,19.38,0.77,217645.14,3.62
1165688.07,19.38,0.76,217148.7,3.61
1165521.03,19.38,0.76,217131.21,3.61
1165782.94,19.38,0.77,216910.39,3.61
1164275.26,19.39,0.77,216851.56,3.61
1164626.63,19.39,0.78,216776.88,3.61
1164459.6,19.39,0.78,217296.38,3.62
1164160.7,19.39,0.77,216998.08,3.61
1163993.66,19.39,0.77,216996.07,3.61
1163808.4,19.39,0.77,216752.07,3.61
1163269.73,19.38,0.77,216227.86,3.6
1169729.01,19.49,0.87,224154.54,3.73
1169561.97,19.49,0.87,224074.92,3.73
1169823.96,19.49,0.88,224170.27,3.74
1169844.89,19.5,0.88,224473.79,3.74
1169677.86,19.5,0.88,224396.36,3.74
1169510.83,19.5,0.88,224392.17,3.74
1169510.83,19.5,0.88,224392.17,3.74
1169343.8,19.5,0.88,224314.67,3.74
1169176.77,19.5,0.88,224310.54,3.74
1169705.74,19.51,0.89,224371.26,3.74
1169336.72,19.51,0.89,224132.16,3.74
1169153.94,19.51,0.89,223428.98,3.73
1168869.96,19.51,0.89,223197.13,3.72
1168653.99,19.5,0.89,222986.61,3.72
1168486.96,19.5,0.89,222965.1,3.72
1168643.82,19.51,0.89,223219.48,3.73
1168476.78,19.51,0.89,223142.18,3.73
1168738.77,19.51,0.9,223559.78,3.73
1168759.7,19.52,0.9,223657.11,3.73
1168561.43,19.52,0.9,223609.8,3.73
1168268.29,19.51,0.89,223367.36,3.73
1168101.26,19.51,0.89,223371.87,3.73
1167902.99,19.51,0.89,223267.58,3.73
1167714.14,19.51,0.9,223440.81,3.73
1167345.12,19.51,0.89,223078.88,3.73
1167137.43,19.51,0.89,222822.52,3.72
1166970.4,19.51,0.89,222745.02,3.72
1166970.4,19.51,0.89,222745.02,3.72
1166991.33,19.51,0.89,222924.72,3.73
1166991.33,19.51,0.89,222924.72,3.73
