ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
325,1649,329470,6212,329470
325,1649,329790,6212,329790
326,1651,330790,6212,330790
326,1651,331380,6212,331380
326,1651,332190,6212,332190
327,1659,333190,6212,333190
328,1667,333660,6212,333660
329,1675,334660,6212,334660
330,1677,335660,6212,335660
331,1679,336660,6212,336660
331,1679,337660,6212,337660
332,1687,338660,6212,338660
333,1695,339660,6212,339660
333,1695,339660,6212,339660
334,1703,340660,6212,340660
335,1707,341660,6212,341660
336,1709,342470,6212,342470
337,1717,342840,6212,342840
338,1719,343000,6212,343000
339,1721,344000,6212,344000
340,1725,345000,6212,345000
341,1733,346000,6212,346000
341,1733,346230,6212,346230
342,1741,346230,6212,346230
343,1749,346550,6212,346550
343,1749,347550,6212,347550
344,1757,348550,6212,348550
344,1757,349550,6212,349550
345,1759,350550,6212,350550
345,1759,351010,6212,351010
345,1759,355010,6212,355010
345,1759,356010,6212,356010
346,1767,357010,6212,357010
346,1767,357480,6212,357480
346,1767,358070,6212,358070
347,1775,358540,6212,358540
348,1783,359540,6212,359540
349,1791,360540,6212,360540
349,1791,361540,6212,361540
350,1793,362540,6212,362540
351,1795,362860,6212,362860
352,1797,363860,6212,363860
352,1797,364670,6212,364670
353,1799,364900,6212,364900
354,1801,365900,6212,365900
