ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2371-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
892438.07,15.05,1.7,338218.51,5.7
892769.89,15.05,1.71,338004.37,5.7
892621.42,15.05,1.71,337891.26,5.7
892472.95,15.05,1.71,337778.15,5.7
893680.68,15.07,1.73,338631.6,5.71
893652.5,15.08,1.73,338618.33,5.71
893504.03,15.08,1.73,338575.67,5.71
893871.48,15.08,1.74,339088.42,5.72
893862.51,15.09,1.74,339115.99,5.72
893438.63,15.08,1.74,338579.1,5.72
893751.74,15.09,1.75,338378.06,5.71
893603.27,15.09,1.75,338310.11,5.71
894018.89,15.1,1.75,338437.05,5.71
894424.55,15.1,1.76,338460.39,5.72
894276.08,15.1,1.76,338417.73,5.72
893208.6,15.11,1.76,338199.96,5.72
893507.29,15.11,1.77,338288.27,5.72
893685.69,15.12,1.77,338327.22,5.72
893537.22,15.12,1.77,338214.11,5.72
893388.75,15.12,1.77,338101.0,5.72
893567.15,15.12,1.78,337983.91,5.72
893418.68,15.12,1.78,337872.26,5.72
893458.91,15.13,1.78,338042.37,5.72
893834.06,15.13,1.79,338124.04,5.72
893685.59,15.13,1.79,338079.13,5.72
893685.59,15.13,1.79,337991.2,5.72
893657.41,15.14,1.79,338006.16,5.72
893817.93,15.14,1.8,338043.98,5.73
893789.76,15.14,1.8,338007.98,5.73
893829.99,15.14,1.8,337979.56,5.73
893681.52,15.14,1.8,337936.67,5.73
893721.75,15.15,1.8,337864.49,5.73
894127.4,15.16,1.81,337886.73,5.73
894287.93,15.16,1.82,337924.54,5.73
894139.46,15.16,1.82,337881.88,5.73
894111.28,15.16,1.82,337907.45,5.73
893962.81,15.16,1.82,337813.4,5.73
894185.45,15.17,1.83,337441.57,5.72
894036.98,15.17,1.83,337398.91,5.72
893888.51,15.17,1.83,337287.05,5.72
893860.33,15.17,1.83,337294.58,5.72
893711.86,15.17,1.83,337268.04,5.73
893818.1,15.17,1.83,337261.27,5.73
893669.63,15.17,1.83,337148.86,5.72
893712.08,15.17,1.83,336966.67,5.72
897118.2,15.23,1.89,339896.05,5.77
897238.49,15.23,1.89,339934.38,5.77
897090.02,15.23,1.89,339820.1,5.77
897250.55,15.24,1.9,339857.91,5.77
897102.08,15.24,1.9,339745.5,5.77
897262.6,15.24,1.9,339783.32,5.77
897575.72,15.25,1.91,339582.28,5.77
897547.54,15.25,1.91,339589.81,5.77
897399.07,15.25,1.91,339558.39,5.77
897812.91,15.26,1.92,339553.06,5.77
897933.2,15.26,1.92,339591.38,5.77
898308.35,15.27,1.93,339486.69,5.77
898159.88,15.27,1.93,339414.24,5.77
898391.98,15.28,1.93,340280.31,5.79
898432.21,15.28,1.94,340203.35,5.79
898404.03,15.28,1.94,340190.07,5.79
898809.69,15.29,1.95,340223.45,5.79
898781.51,15.29,1.95,340258.61,5.79
898633.04,15.29,1.95,340145.51,5.79
898484.57,15.29,1.95,340102.61,5.79
898400.03,15.29,1.95,339513.83,5.78
898371.86,15.3,1.95,339521.36,5.78
898343.68,15.3,1.95,339536.31,5.78
898343.68,15.3,1.95,339458.07,5.78
898315.5,15.3,1.96,339444.8,5.78
898167.03,15.3,1.96,338756.34,5.77
898207.26,15.3,1.96,338836.45,5.77
898683.07,15.31,1.97,338944.94,5.78
899067.0,15.32,1.98,338845.13,5.77
898918.53,15.32,1.98,338818.6,5.77
898770.06,15.32,1.98,338757.0,5.77
898741.88,15.32,1.98,338837.0,5.78
899186.33,15.33,1.99,339225.56,5.78
899306.62,15.33,1.99,339263.89,5.78
899802.06,15.34,2.0,339376.1,5.79
899773.89,15.34,2.0,339393.54,5.79
899745.71,15.34,2.0,339383.09,5.79
899597.24,15.35,2.0,339268.81,5.79
899448.77,15.35,2.0,339155.7,5.79
899742.31,15.35,2.01,339447.57,5.79
899148.43,15.35,2.01,339530.13,5.8
898999.96,15.35,2.01,339493.25,5.8
898971.78,15.35,2.01,339476.27,5.8
898599.76,15.35,2.01,339576.35,5.8
898831.87,15.35,2.01,339851.43,5.81
899237.52,15.36,2.02,339874.77,5.81
899209.34,15.36,2.02,339900.34,5.81
899181.16,15.37,2.02,339863.68,5.81
899032.69,15.37,2.02,339847.11,5.81
898884.22,15.37,2.02,339820.57,5.81
899259.37,15.37,2.03,339902.24,5.81
899110.9,15.37,2.03,339790.38,5.81
899151.13,15.38,2.03,339687.57,5.81
899595.58,15.39,2.04,339722.26,5.81
899447.11,15.39,2.04,339610.39,5.81
899487.34,15.39,2.04,339690.51,5.81
899772.7,15.39,2.05,339597.34,5.81
899427.63,15.39,2.05,339197.35,5.8
899279.15,15.39,2.05,339098.78,5.8
899336.77,15.39,2.05,339043.84,5.8
899308.6,15.39,2.05,339051.37,5.8
899607.29,15.4,2.06,339054.7,5.8
899892.65,15.41,2.06,339230.82,5.81
899932.88,15.41,2.07,339310.93,5.81
899990.5,15.41,2.07,339256.0,5.81
899962.32,15.41,2.07,339281.56,5.81
899813.85,15.41,2.07,339168.46,5.81
899785.67,15.41,2.07,339161.2,5.81
899637.2,15.41,2.07,339571.51,5.82
899694.82,15.42,2.07,339543.69,5.82
899666.64,15.42,2.07,339526.7,5.82
899952.0,15.42,2.08,339477.58,5.82
899812.25,15.42,2.08,338849.21,5.81
899852.48,15.43,2.08,338929.32,5.81
899910.1,15.43,2.08,338901.5,5.81
899761.63,15.43,2.08,338874.97,5.81
899339.05,15.42,2.08,338339.38,5.8
899339.05,15.42,2.08,338241.71,5.8
899190.58,15.42,2.08,338121.99,5.8
899162.4,15.42,2.08,338136.95,5.8
899134.22,15.43,2.08,338162.51,5.8
898985.75,15.43,2.08,338147.47,5.8
899391.4,15.44,2.09,338170.82,5.8
899242.93,15.44,2.09,338144.28,5.8
899528.29,15.44,2.1,338082.66,5.8
899379.82,15.44,2.1,338085.35,5.8
899437.44,15.44,2.1,338024.86,5.8
899809.56,15.45,2.11,338030.99,5.8
899781.38,15.45,2.11,338056.56,5.81
899753.2,15.45,2.11,338082.12,5.81
899725.02,15.46,2.11,338045.46,5.81
899576.55,15.46,2.11,337915.93,5.81
899616.78,15.46,2.12,337996.05,5.81
900022.44,15.47,2.12,338019.39,5.81
900354.25,15.48,2.13,337780.11,5.81
900639.61,15.48,2.14,337908.81,5.81
900491.14,15.48,2.14,337799.8,5.81
900342.67,15.48,2.14,338193.99,5.82
900194.2,15.48,2.14,338051.06,5.81
900045.73,15.48,2.14,337937.95,5.81
899897.26,15.48,2.14,337776.69,5.81
900182.62,15.49,2.15,338038.19,5.82
900596.46,15.5,2.15,338032.86,5.82
900928.27,15.51,2.16,337793.58,5.81
900779.8,15.51,2.16,337767.05,5.81
