ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
344,1783,306550,6212,306550
345,1791,307550,6212,307550
345,1791,308550,6212,308550
345,1791,308550,6212,308550
346,1795,309550,6212,309550
346,1795,309780,6212,309780
347,1803,310780,6212,310780
348,1811,311780,6212,311780
349,1813,311780,6212,311780
349,1813,311780,6212,311780
349,1813,312240,6212,312240
350,1821,313240,6212,313240
350,1821,314050,6212,314050
350,1821,314050,6212,314050
351,1823,315050,6212,315050
351,1823,315270,6212,315270
352,1831,316270,6212,316270
352,1831,317080,6212,317080
353,1839,318080,6212,318080
354,1847,318540,6212,318540
355,1849,319350,6212,319350
356,1857,320160,6212,320160
356,1857,320810,6212,320810
357,1865,321810,6212,321810
357,1865,322040,6212,322040
358,1867,323040,6212,323040
358,1867,324040,6212,324040
358,1867,325040,6212,325040
359,1869,326040,6212,326040
360,1871,326510,6212,326510
361,1873,326980,6212,326980
362,1881,327980,6212,327980
362,1881,328980,6212,328980
362,1881,329980,6212,329980
362,1881,330980,6212,330980
363,1883,331300,6212,331300
364,1891,332300,6212,332300
365,1893,333110,6212,333110
365,1893,333920,6212,333920
366,1901,334920,6212,334920
367,1909,335920,6212,335920
368,1917,336920,6212,336920
369,1919,337730,6212,337730
370,1923,338540,6212,338540
371,1931,339540,6212,339540
371,1931,340010,6212,340010
372,1939,341010,6212,341010
373,1941,341010,6212,341010
374,1949,341010,6212,341010
374,1949,342010,6212,342010
375,1957,342010,6212,342010
376,1959,343010,6212,343010
377,1961,343010,6212,343010
378,1963,343820,6212,343820
379,1971,344820,6212,344820
380,1973,345050,6212,345050
381,1981,346050,6212,346050
382,1983,346860,6212,346860
383,1985,347670,6212,347670
384,1993,347670,6212,347670
384,1993,348670,6212,348670
385,2001,349020,6212,349020
386,2003,350020,6212,350020
387,2005,351020,6212,351020
388,2013,351020,6212,351020
388,2013,351340,6212,351340
388,2013,352340,6212,352340
388,2013,353340,6212,353340
389,2021,353340,6212,353340
389,2021,354340,6212,354340
389,2021,355340,6212,355340
390,2029,356150,6212,356150
390,2029,357150,6212,357150
391,2037,357150,6212,357150
391,2037,358150,6212,358150
392,2045,359150,6212,359150
393,2047,360150,6212,360150
394,2049,360620,6212,360620
395,2051,361620,6212,361620
395,2051,362620,6212,362620
395,2051,363430,6212,363430
396,2053,364240,6212,364240
397,2055,365240,6212,365240
398,2063,365240,6212,365240
398,2063,365240,6212,365240
398,2063,366240,6212,366240
399,2065,366470,6212,366470
399,2065,367470,6212,367470
400,2073,368470,6212,368470
401,2075,369280,6212,369280
402,2083,369930,6212,369930
403,2085,369930,6212,369930
404,2093,370930,6212,370930
405,2095,371930,6212,371930
406,2103,372390,6212,372390
407,2111,373200,6212,373200
408,2119,374200,6212,374200
409,2127,375200,6212,375200
410,2135,376200,6212,376200
411,2137,377200,6212,377200
411,2137,378010,6212,378010
411,2137,378010,6212,378010
412,2145,379010,6212,379010
413,2153,380010,6212,380010
413,2153,381010,6212,381010
413,2153,381480,6212,381480
414,2155,382480,6212,382480
415,2163,383480,6212,383480
416,2165,383480,6212,383480
417,2167,384480,6212,384480
418,2169,385290,6212,385290
419,2177,385520,6212,385520
419,2177,386520,6212,386520
419,2177,387520,6212,387520
420,2185,388520,6212,388520
421,2193,389520,6212,389520
422,2201,389990,6212,389990
423,2209,390990,6212,390990
423,2209,391990,6212,391990
424,2211,392990,6212,392990
425,2213,393990,6212,393990
426,2221,394800,6212,394800
426,2221,395800,6212,395800
427,2223,396800,6212,396800
427,2223,397800,6212,397800
427,2223,398030,6212,398030
428,2225,398030,6212,398030
429,2229,399030,6212,399030
430,2237,399840,6212,399840
431,2239,400840,6212,400840
431,2239,401840,6212,401840
432,2247,402160,6212,402160
432,2247,403160,6212,403160
433,2249,403160,6212,403160
434,2257,404160,6212,404160
434,2257,404970,6212,404970
434,2257,405520,6212,405520
434,2257,405520,6212,405520
435,2265,405680,6212,405680
435,2265,406000,6212,406000
435,2265,406810,6212,406810
435,2265,407280,6212,407280
436,2267,408280,6212,408280
437,2269,409090,6212,409090
438,2271,409560,6212,409560
439,2279,410020,6212,410020
440,2281,411020,6212,411020
440,2281,412020,6212,412020
441,2289,413020,6212,413020
442,2297,413240,6212,413240
443,2299,413240,6212,413240
444,2301,414240,6212,414240
445,2309,422240,6212,422240
445,2309,423240,6212,423240
446,2317,424050,6212,424050
447,2325,424050,6212,424050
448,2327,425050,6212,425050
449,2335,426050,6212,426050
449,2335,426270,6212,426270
450,2337,426920,6212,426920
450,2337,427920,6212,427920
451,2345,428920,6212,428920
452,2347,429920,6212,429920
452,2347,430570,6212,430570
453,2349,431380,6212,431380
454,2357,432380,6212,432380
455,2365,433030,6212,433030
455,2365,433500,6212,433500
456,2373,433500,6212,433500
456,2373,434310,6212,434310
457,2375,434780,6212,434780
457,2375,435250,6212,435250
458,2383,435720,6212,435720
458,2383,436190,6212,436190
458,2383,437000,6212,437000
459,2391,438000,6212,438000
460,2399,438320,6212,438320
460,2399,439320,6212,439320
461,2407,440130,6212,440130
461,2407,440600,6212,440600
462,2411,441600,6212,441600
463,2419,441920,6212,441920
464,2427,442730,6212,442730
465,2429,442890,6212,442890
466,2437,443890,6212,443890
467,2445,444540,6212,444540
467,2445,444540,6212,444540
468,2453,445540,6212,445540
468,2453,446010,6212,446010
469,2461,447010,6212,447010
470,2463,447330,6212,447330
471,2465,448330,6212,448330
471,2465,449330,6212,449330
472,2467,449700,6212,449700
473,2471,450700,6212,450700
473,2471,451700,6212,451700
473,2471,452700,6212,452700
473,2471,453700,6212,453700
473,2471,454700,6212,454700
474,2479,455700,6212,455700
474,2479,456700,6212,456700
475,2481,456700,6212,456700
476,2483,456700,6212,456700
477,2491,456930,6212,456930
478,2495,457930,6212,457930
479,2499,457930,6212,457930
480,2501,458250,6212,458250
481,2505,458720,6212,458720
482,2513,459720,6212,459720
483,2521,460720,6212,460720
483,2521,461720,6212,461720
484,2523,462530,6212,462530
485,2525,463340,6212,463340
486,2527,463820,6212,463820
486,2527,464820,6212,464820
486,2527,465820,6212,465820
487,2529,466820,6212,466820
487,2529,466820,6212,466820
487,2529,467820,6212,467820
488,2537,468820,6212,468820
488,2537,469630,6212,469630
488,2537,470630,6212,470630
489,2545,471100,6212,471100
489,2545,472100,6212,472100
489,2545,472910,6212,472910
489,2545,473720,6212,473720
490,2553,474720,6212,474720
491,2555,475720,6212,475720
492,2557,476720,6212,476720
493,2565,477530,6212,477530
494,2567,477760,6212,477760
495,2569,478760,6212,478760
496,2571,478760,6212,478760
497,2573,479760,6212,479760
497,2573,479980,6212,479980
497,2573,480450,6212,480450
498,2575,481260,6212,481260
499,2583,482260,6212,482260
500,2585,483260,6212,483260
500,2585,484260,6212,484260
500,2585,485070,6212,485070
500,2585,485660,6212,485660
501,2593,486660,6212,486660
502,2601,494660,6212,494660
503,2609,495210,6212,495210
504,2617,496020,6212,496020
505,2625,496020,6212,496020
506,2633,497020,6212,497020
507,2635,498020,6212,498020
507,2635,498020,6212,498020
508,2643,499020,6212,499020
509,2651,500020,6212,500020
510,2659,500250,6212,500250
510,2659,501250,6212,501250
510,2659,501410,6212,501410
511,2661,502410,6212,502410
512,2663,503410,6212,503410
513,2665,504410,6212,504410
513,2665,504880,6212,504880
513,2665,505350,6212,505350
513,2665,505820,6212,505820
513,2665,506820,6212,506820
513,2665,507630,6212,507630
514,2667,508630,6212,508630
514,2667,509630,6212,509630
515,2671,509950,6212,509950
516,2679,510760,6212,510760
516,2679,511080,6212,511080
517,2687,511550,6212,511550
517,2687,512360,6212,512360
518,2695,512830,6212,512830
519,2697,513830,6212,513830
519,2697,514300,6212,514300
520,2705,514300,6212,514300
521,2707,514620,6212,514620
522,2709,515620,6212,515620
522,2709,516620,6212,516620
522,2709,517430,6212,517430
523,2717,518430,6212,518430
524,2719,518900,6212,518900
525,2727,519220,6212,519220
526,2735,519690,6212,519690
527,2743,520500,6212,520500
528,2745,520970,6212,520970
529,2749,521970,6212,521970
530,2757,522970,6212,522970
531,2765,523970,6212,523970
532,2767,523970,6212,523970
533,2775,524620,6212,524620
533,2775,525620,6212,525620
534,2777,526430,6212,526430
534,2777,526430,6212,526430
535,2779,527240,6212,527240
536,2781,528240,6212,528240
537,2789,529240,6212,529240
537,2789,529710,6212,529710
538,2791,529710,6212,529710
538,2791,529710,6212,529710
539,2793,530710,6212,530710
539,2793,531710,6212,531710
540,2801,532710,6212,532710
541,2803,533710,6212,533710
542,2807,534710,6212,534710
543,2811,535030,6212,535030
543,2811,536030,6212,536030
543,2811,537030,6212,537030
543,2811,537030,6212,537030
544,2819,537030,6212,537030
545,2827,538030,6212,538030
545,2827,539030,6212,539030
545,2827,539500,6212,539500
546,2829,540500,6212,540500
546,2829,540500,6212,540500
547,2837,541150,6212,541150
547,2837,542150,6212,542150
548,2845,542620,6212,542620
549,2853,542620,6212,542620
549,2853,542730,6212,542730
550,2861,543200,6212,543200
550,2861,544200,6212,544200
551,2863,544200,6212,544200
552,2867,545200,6212,545200
553,2875,546200,6212,546200
553,2875,547200,6212,547200
554,2877,548200,6212,548200
555,2885,549200,6212,549200
555,2885,550200,6212,550200
556,2893,551200,6212,551200
557,2901,551430,6212,551430
558,2909,552430,6212,552430
559,2917,553430,6212,553430
559,2917,554240,6212,554240
560,2919,555240,6212,555240
561,2921,556240,6212,556240
562,2923,556700,6212,556700
563,2925,557700,6212,557700
564,2927,558160,6212,558160
564,2927,559160,6212,559160
565,2929,559970,6212,559970
566,2931,559970,6212,559970
566,2931,560970,6212,560970
567,2939,561970,6212,561970
568,2947,562970,6212,562970
569,2955,563780,6212,563780
570,2963,564370,6212,564370
571,2967,564840,6212,564840
572,2975,565840,6212,565840
572,2975,569840,6212,569840
572,2975,569840,6212,569840
573,2977,570310,6212,570310
573,2977,570310,6212,570310
574,2985,570630,6212,570630
575,2987,571440,6212,571440
575,2987,572440,6212,572440
575,2987,573440,6212,573440
575,2987,573440,6212,573440
575,2987,574440,6212,574440
575,2987,574670,6212,574670
576,2989,575670,6212,575670
577,2997,576670,6212,576670
578,3005,577670,6212,577670
579,3013,577670,6212,577670
580,3021,578670,6212,578670
581,3029,579140,6212,579140
582,3037,579790,6212,579790
583,3045,580790,6212,580790
584,3053,581790,6212,581790
585,3057,581790,6212,581790
585,3057,582790,6212,582790
586,3065,583260,6212,583260
587,3067,583580,6212,583580
588,3075,584390,6212,584390
589,3083,585200,6212,585200
590,3085,585670,6212,585670
591,3087,586670,6212,586670
591,3087,586670,6212,586670
592,3095,587670,6212,587670
593,3103,588670,6212,588670
594,3111,589670,6212,589670
595,3115,590670,6212,590670
596,3123,590890,6212,590890
597,3131,591890,6212,591890
598,3139,592890,6212,592890
598,3139,593890,6212,593890
598,3139,594700,6212,594700
598,3139,594700,6212,594700
598,3139,595160,6212,595160
599,3147,595380,6212,595380
600,3155,596380,6212,596380
601,3163,597380,6212,597380
602,3171,597850,6212,597850
603,3173,598850,6212,598850
604,3181,599850,6212,599850
605,3189,600850,6212,600850
606,3197,608850,6212,608850
607,3205,609170,6212,609170
607,3205,609720,6212,609720
608,3207,610720,6212,610720
609,3209,610720,6212,610720
609,3209,611720,6212,611720
610,3217,612530,6212,612530
611,3225,613000,6212,613000
611,3225,613810,6212,613810
611,3225,614810,6212,614810
612,3227,615030,6212,615030
612,3227,616030,6212,616030
612,3227,616500,6212,616500
612,3227,617310,6212,617310
612,3227,618310,6212,618310
612,3227,619120,6212,619120
612,3227,619440,6212,619440
612,3227,619440,6212,619440
613,3229,620250,6212,620250
614,3231,621060,6212,621060
614,3231,621060,6212,621060
615,3233,621060,6212,621060
615,3233,621870,6212,621870
615,3233,622870,6212,622870
616,3241,623680,6212,623680
617,3249,624000,6212,624000
618,3251,624810,6212,624810
619,3253,625810,6212,625810
620,3255,626620,6212,626620
620,3255,627620,6212,627620
621,3257,628620,6212,628620
622,3259,628940,6212,628940
622,3259,629940,6212,629940
623,3261,630400,6212,630400
624,3263,631400,6212,631400
625,3265,632210,6212,632210
625,3265,633210,6212,633210
626,3267,634210,6212,634210
626,3267,635210,6212,635210
626,3267,635210,6212,635210
627,3271,636020,6212,636020
627,3271,637020,6212,637020
628,3279,637020,6212,637020
628,3279,638020,6212,638020
629,3281,638830,6212,638830
630,3289,639830,6212,639830
631,3291,640830,6212,640830
631,3291,641830,6212,641830
632,3293,642640,6212,642640
633,3295,643450,6212,643450
634,3303,643670,6212,643670
634,3303,644670,6212,644670
634,3303,645130,6212,645130
634,3303,645940,6212,645940
634,3303,646940,6212,646940
634,3303,647940,6212,647940
635,3311,648940,6212,648940
636,3313,649940,6212,649940
637,3315,650940,6212,650940
638,3317,651940,6212,651940
639,3325,651940,6212,651940
639,3325,651940,6212,651940
639,3325,652940,6212,652940
639,3325,653940,6212,653940
639,3325,654940,6212,654940
639,3325,655940,6212,655940
639,3325,656940,6212,656940
639,3325,656940,6212,656940
639,3325,656940,6212,656940
639,3325,657940,6212,657940
639,3325,658750,6212,658750
639,3325,659750,6212,659750
639,3325,660560,6212,660560
639,3325,660560,6212,660560
640,3333,661560,6212,661560
641,3335,662560,6212,662560
641,3335,663560,6212,663560
642,3343,664560,6212,664560
642,3343,664560,6212,664560
642,3343,665560,6212,665560
642,3343,666370,6212,666370
643,3345,667370,6212,667370
644,3347,668370,6212,668370
644,3347,669370,6212,669370
645,3349,670370,6212,670370
646,3351,671370,6212,671370
647,3359,672020,6212,672020
647,3359,673020,6212,673020
648,3363,674020,6212,674020
648,3363,675020,6212,675020
649,3364,675830,6212,675830
649,3364,676830,6212,676830
650,3366,677150,6212,677150
651,3374,678150,6212,678150
651,3374,679150,6212,679150
652,3376,680150,6212,680150
652,3376,680150,6212,680150
653,3380,681150,6212,681150
653,3380,682150,6212,682150
654,3388,683150,6212,683150
654,3388,684150,6212,684150
655,3396,685150,6212,685150
655,3396,685960,6212,685960
655,3396,685960,6212,685960
656,3398,685960,6212,685960
656,3398,686960,6212,686960
656,3398,687610,6212,687610
657,3400,688610,6212,688610
658,3408,689610,6212,689610
659,3416,690200,6212,690200
660,3418,690200,6212,690200
660,3418,690430,6212,690430
660,3418,691430,6212,691430
661,3420,691890,6212,691890
661,3420,692890,6212,692890
662,3422,692890,6212,692890
663,3424,693890,6212,693890
664,3432,694260,6212,694260
665,3440,695260,6212,695260
666,3442,696070,6212,696070
667,3450,697070,6212,697070
667,3450,698070,6212,698070
668,3458,699070,6212,699070
668,3458,699540,6212,699540
669,3466,700540,6212,700540
670,3474,701540,6212,701540
