ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_cfe3-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
870739.96,14.28,0.68,178661.93,2.93
871078.1,14.28,0.69,178469.69,2.93
871382.27,14.29,0.69,178469.38,2.93
871246.3,14.29,0.69,178469.07,2.93
871299.0,14.29,0.69,178469.13,2.93
871163.02,14.29,0.69,178446.44,2.93
871027.04,14.29,0.7,178446.44,2.93
871411.7,14.3,0.7,178446.13,2.93
871275.73,14.3,0.7,178445.82,2.93
871350.53,14.3,0.7,178544.44,2.93
871214.55,14.3,0.7,178544.6,2.93
871599.85,14.31,0.71,178560.56,2.93
871599.85,14.31,0.71,178560.54,2.93
871463.88,14.31,0.71,178560.22,2.93
871463.88,14.31,0.71,178565.45,2.93
871327.9,14.31,0.71,178565.14,2.93
871191.92,14.31,0.71,178565.3,2.93
871244.62,14.31,0.71,178676.38,2.94
871108.65,14.31,0.71,178682.61,2.94
871108.65,14.31,0.71,178682.33,2.94
870972.67,14.31,0.71,178682.48,2.94
871268.69,14.32,0.72,178792.67,2.94
871321.39,14.32,0.72,178898.37,2.94
871678.59,14.33,0.73,178679.27,2.94
871869.04,14.33,0.74,178929.62,2.94
871869.04,14.33,0.74,178934.85,2.94
871869.04,14.33,0.74,178934.85,2.94
872322.61,14.34,0.74,178991.6,2.94
872707.27,14.35,0.75,179093.27,2.94
873091.93,14.36,0.76,179194.94,2.95
873144.63,14.36,0.76,179195.0,2.95
873008.66,14.36,0.76,179194.69,2.95
873061.36,14.36,0.76,179272.0,2.95
873061.36,14.36,0.76,179192.69,2.95
873061.36,14.36,0.76,179192.38,2.95
872925.38,14.36,0.76,179192.53,2.95
872978.08,14.36,0.77,179113.22,2.95
872978.08,14.36,0.77,179112.91,2.95
872978.08,14.36,0.77,179112.6,2.95
873030.78,14.37,0.77,179223.68,2.95
873415.45,14.37,0.78,179325.35,2.95
873292.09,14.38,0.78,178709.49,2.94
873156.11,14.38,0.78,178709.49,2.94
873020.13,14.38,0.78,178709.18,2.94
873210.58,14.38,0.78,178708.87,2.94
873074.61,14.38,0.78,178708.56,2.94
873127.31,14.38,0.79,178708.62,2.94
873127.31,14.38,0.79,178708.31,2.94
872991.33,14.38,0.79,178708.0,2.94
872855.35,14.38,0.79,178708.0,2.94
872719.38,14.38,0.79,178698.1,2.95
872772.08,14.39,0.79,178698.16,2.95
873137.68,14.39,0.8,178697.85,2.95
873433.7,14.4,0.8,178697.54,2.95
873297.73,14.4,0.8,178697.54,2.95
873593.75,14.41,0.81,178807.73,2.95
873457.77,14.41,0.81,178807.42,2.95
873321.79,14.41,0.81,178807.42,2.95
873617.81,14.41,0.81,178807.11,2.95
873481.84,14.41,0.81,178797.21,2.95
873534.54,14.41,0.82,178797.21,2.95
873587.24,14.42,0.82,178797.21,2.95
873451.26,14.42,0.82,178796.9,2.95
873451.26,14.42,0.82,178796.62,2.95
873315.29,14.42,0.82,178796.78,2.95
873611.31,14.42,0.83,178906.96,2.95
873475.33,14.42,0.83,178906.96,2.95
873771.35,14.43,0.83,178906.65,2.95
874136.96,14.44,0.84,178919.83,2.95
874000.98,14.44,0.84,178919.52,2.96
873584.46,14.43,0.83,178387.92,2.95
873649.78,14.43,0.84,177964.65,2.94
873953.95,14.44,0.84,177385.21,2.93
874006.65,14.44,0.85,177385.21,2.93
874693.52,14.46,0.86,177489.66,2.93
875159.71,14.46,0.87,177187.51,2.93
876390.46,14.49,0.89,178062.91,2.94
876390.46,14.49,0.89,178062.91,2.94
876390.46,14.49,0.89,177983.6,2.94
876254.48,14.49,0.89,177904.28,2.94
876319.8,14.49,0.89,177481.02,2.93
875775.89,14.49,0.89,177502.01,2.94
875639.92,14.49,0.89,177672.53,2.94
875503.94,14.49,0.89,177672.22,2.94
875367.96,14.49,0.89,177671.91,2.94
875231.98,14.49,0.89,177786.93,2.94
875096.01,14.49,0.89,177786.62,2.94
875392.03,14.5,0.9,177786.25,2.94
875256.05,14.5,0.9,177706.94,2.94
875120.07,14.5,0.9,177706.63,2.94
875416.09,14.5,0.9,177706.32,2.94
875280.12,14.5,0.9,177696.42,2.94
875144.14,14.5,0.9,177686.52,2.94
875196.84,14.51,0.91,177797.6,2.95
875060.86,14.51,0.91,177797.29,2.95
875356.89,14.51,0.91,177796.98,2.95
875220.91,14.51,0.91,177787.08,2.95
875084.93,14.51,0.91,177777.18,2.95
874948.95,14.51,0.91,177783.41,2.95
874812.98,14.51,0.91,177783.57,2.95
874677.0,14.51,0.91,177704.26,2.95
874981.17,14.52,0.92,177703.89,2.95
874845.19,14.52,0.92,177693.99,2.95
874845.19,14.52,0.92,177699.21,2.95
874709.22,14.52,0.92,177699.37,2.95
874605.69,14.52,0.92,177793.3,2.95
874469.71,14.52,0.92,177792.83,2.95
875291.02,14.53,0.94,177941.56,2.95
875343.72,14.54,0.94,177941.56,2.96
875396.42,14.54,0.94,177941.56,2.96
875677.53,14.55,0.95,177862.25,2.95
875973.55,14.55,0.95,177862.25,2.95
875973.55,14.55,0.95,177861.94,2.95
876439.74,14.56,0.96,177559.79,2.95
877296.16,14.58,0.98,177906.12,2.96
877757.39,14.58,0.99,177826.81,2.95
877621.41,14.58,0.99,177826.5,2.95
877674.11,14.59,0.99,177937.58,2.96
877538.13,14.59,0.99,177937.74,2.96
877590.83,14.59,0.99,178043.44,2.96
877590.83,14.59,0.99,178048.67,2.96
877886.86,14.6,1.0,178048.29,2.96
877750.88,14.6,1.0,177968.98,2.96
877614.9,14.6,1.0,177968.67,2.96
877667.6,14.6,1.0,177968.73,2.96
877531.63,14.6,1.0,177968.42,2.96
877395.65,14.6,1.0,177999.01,2.96
877691.67,14.6,1.01,177998.7,2.96
878029.81,14.61,1.02,177806.46,2.96
878082.51,14.62,1.02,177806.53,2.96
877946.53,14.62,1.02,177806.22,2.96
878242.55,14.62,1.02,177805.9,2.96
878242.55,14.62,1.02,177805.59,2.96
878295.26,14.62,1.03,177805.66,2.96
878360.58,14.63,1.03,177382.39,2.95
878360.58,14.63,1.03,177303.08,2.95
878224.6,14.63,1.03,177309.31,2.95
878088.62,14.63,1.03,177309.0,2.95
878542.19,14.64,1.04,177308.69,2.95
878270.24,14.64,1.04,177229.38,2.95
878270.24,14.64,1.04,177285.15,2.95
878322.94,14.64,1.04,177396.23,2.96
878322.94,14.64,1.04,177401.46,2.96
878208.59,14.64,1.04,177127.74,2.95
878072.62,14.64,1.04,177127.43,2.95
878125.32,14.64,1.05,177233.65,2.96
877989.34,14.64,1.05,177153.46,2.95
877853.36,14.64,1.05,177153.15,2.96
878494.11,14.66,1.06,177217.59,2.96
878446.88,14.66,1.06,177176.51,2.96
878831.55,14.67,1.07,177176.2,2.96
878884.25,14.67,1.07,177176.26,2.96
878748.27,14.67,1.07,177176.26,2.96
878612.29,14.67,1.07,177153.57,2.96
878612.29,14.67,1.07,177153.26,2.96
