ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e021-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-arrived_gpu_milli
250,546,448110,6212,448110
250,546,449110,6212,449110
251,548,450110,6212,450110
251,548,451110,6212,451110
251,548,451580,6212,451580
252,550,452580,6212,452580
252,550,453050,6212,453050
253,552,454050,6212,454050
253,552,454210,6212,454210
254,554,455210,6212,455210
254,554,456210,6212,456210
254,554,457020,6212,457020
255,558,461020,6212,461020
256,560,461570,6212,461570
256,560,462010,6212,462010
256,560,462010,6212,462010
256,560,462820,6212,462820
256,560,463140,6212,463140
257,562,464140,6212,464140
257,562,465140,6212,465140
257,562,465610,6212,465610
258,564,466610,6212,466610
259,566,467420,6212,467420
259,566,468420,6212,468420
259,566,468530,6212,468530
260,568,469530,6212,469530
260,568,470530,6212,470530
261,570,471530,6212,471530
261,570,472340,6212,472340
262,572,473340,6212,473340
262,572,473340,6212,473340
262,572,473990,6212,473990
263,574,474990,6212,474990
263,574,475220,6212,475220
263,574,476220,6212,476220
264,576,477220,6212,477220
264,576,478220,6212,478220
265,578,478690,6212,478690
265,578,479690,6212,479690
266,580,480500,6212,480500
266,580,481500,6212,481500
266,580,481970,6212,481970
267,582,482970,6212,482970
267,582,483020,6212,483020
267,582,484020,6212,484020
268,584,484830,6212,484830
268,584,485290,6212,485290
269,586,486290,6212,486290
269,586,487100,6212,487100
269,586,487100,6212,487100
270,588,488100,6212,488100
270,588,489100,6212,489100
271,590,490100,6212,490100
271,590,491100,6212,491100
272,592,491910,6212,491910
272,592,491910,6212,491910
272,592,492910,6212,492910
273,594,493910,6212,493910
273,594,494560,6212,494560
273,594,494930,6212,494930
274,596,495740,6212,495740
274,596,496740,6212,496740
275,598,497110,6212,497110
275,598,497430,6212,497430
275,598,497590,6212,497590
275,598,497820,6212,497820
275,598,498820,6212,498820
276,600,499630,6212,499630
276,600,499630,6212,499630
276,600,499860,6212,499860
276,600,500860,6212,500860
277,602,501860,6212,501860
277,602,502860,6212,502860
278,604,503860,6212,503860
278,604,504860,6212,504860
278,604,504860,6212,504860
278,604,504860,6212,504860
279,606,505860,6212,505860
280,608,506510,6212,506510
281,610,506980,6212,506980
281,610,507790,6212,507790
281,610,508790,6212,508790
282,612,509790,6212,509790
282,612,510600,6212,510600
283,614,511410,6212,511410
283,614,512410,6212,512410
283,614,512410,6212,512410
284,616,513220,6212,513220
284,616,514220,6212,514220
284,616,514690,6212,514690
285,618,515690,6212,515690
285,618,515920,6212,515920
285,618,516390,6212,516390
286,620,517390,6212,517390
286,620,518390,6212,518390
287,622,518710,6212,518710
287,622,519710,6212,519710
288,624,520710,6212,520710
288,624,521520,6212,521520
288,624,521990,6212,521990
289,626,522990,6212,522990
289,626,523800,6212,523800
290,628,524800,6212,524800
290,628,525800,6212,525800
291,630,526800,6212,526800
292,638,526800,6212,526800
292,638,527610,6212,527610
293,640,528080,6212,528080
293,640,528550,6212,528550
293,640,529550,6212,529550
294,642,530360,6212,530360
294,642,531170,6212,531170
295,644,532170,6212,532170
295,644,533170,6212,533170
296,646,533980,6212,533980
296,646,534300,6212,534300
296,646,534300,6212,534300
297,648,535110,6212,535110
297,648,536110,6212,536110
297,648,536760,6212,536760
298,650,537760,6212,537760
298,650,537760,6212,537760
298,650,537760,6212,537760
298,650,538760,6212,538760
299,652,539570,6212,539570
299,652,540570,6212,540570
300,654,541040,6212,541040
300,654,542040,6212,542040
301,656,543040,6212,543040
301,656,543630,6212,543630
302,658,544630,6212,544630
302,658,545100,6212,545100
302,658,546100,6212,546100
303,660,547100,6212,547100
303,660,547750,6212,547750
304,662,548750,6212,548750
304,662,549560,6212,549560
305,664,550370,6212,550370
305,664,551370,6212,551370
306,666,552370,6212,552370
306,666,553370,6212,553370
307,668,554370,6212,554370
307,668,554370,6212,554370
307,668,555370,6212,555370
308,670,556370,6212,556370
308,670,557180,6212,557180
309,672,557830,6212,557830
309,672,558640,6212,558640
310,674,559450,6212,559450
310,674,560450,6212,560450
311,676,561450,6212,561450
311,676,562450,6212,562450
312,678,563260,6212,563260
312,678,563260,6212,563260
312,678,564260,6212,564260
313,680,565260,6212,565260
313,680,565260,6212,565260
314,682,566260,6212,566260
314,682,566260,6212,566260
314,682,566730,6212,566730
315,684,567730,6212,567730
315,684,567730,6212,567730
315,684,567730,6212,567730
315,684,567730,6212,567730
316,686,568730,6212,568730
316,686,569730,6212,569730
317,688,570380,6212,570380
317,688,570380,6212,570380
317,688,571190,6212,571190
317,688,572000,6212,572000
317,688,573000,6212,573000
318,690,574000,6212,574000
318,690,574320,6212,574320
318,690,575320,6212,575320
318,690,575320,6212,575320
318,690,575550,6212,575550
319,692,576550,6212,576550
319,692,577550,6212,577550
320,694,578550,6212,578550
320,694,579020,6212,579020
320,694,580020,6212,580020
321,696,581020,6212,581020
321,696,581250,6212,581250
321,696,582250,6212,582250
322,698,582900,6212,582900
323,700,583900,6212,583900
324,708,583900,6212,583900
324,708,584710,6212,584710
324,708,585710,6212,585710
325,710,586710,6212,586710
325,710,587710,6212,587710
326,712,588710,6212,588710
326,712,589520,6212,589520
327,714,590520,6212,590520
328,722,598520,6212,598520
328,722,599520,6212,599520
329,724,600520,6212,600520
329,724,601520,6212,601520
329,724,601520,6212,601520
330,726,602520,6212,602520
330,726,603520,6212,603520
331,728,604520,6212,604520
331,728,605520,6212,605520
332,730,606330,6212,606330
332,730,607330,6212,607330
333,732,608330,6212,608330
333,732,608330,6212,608330
333,732,609330,6212,609330
334,734,610330,6212,610330
334,734,611140,6212,611140
335,736,611600,6212,611600
335,736,612600,6212,612600
336,738,613600,6212,613600
336,738,613600,6212,613600
336,738,614070,6212,614070
336,738,614880,6212,614880
337,740,615690,6212,615690
337,740,615690,6212,615690
337,740,616160,6212,616160
338,742,616970,6212,616970
338,742,616970,6212,616970
338,742,617620,6212,617620
339,744,618430,6212,618430
339,744,618660,6212,618660
339,744,618660,6212,618660
339,744,618890,6212,618890
339,744,619890,6212,619890
339,744,619890,6212,619890
340,746,620890,6212,620890
340,746,620890,6212,620890
340,746,621360,6212,621360
340,746,622360,6212,622360
341,748,623360,6212,623360
341,748,623820,6212,623820
342,750,624820,6212,624820
342,750,625820,6212,625820
343,752,626630,6212,626630
343,752,627630,6212,627630
343,752,627630,6212,627630
343,752,627630,6212,627630
344,754,628280,6212,628280
345,756,629280,6212,629280
345,756,629500,6212,629500
345,756,630310,6212,630310
346,764,630310,6212,630310
346,764,631310,6212,631310
347,766,632310,6212,632310
347,766,632470,6212,632470
347,766,632470,6212,632470
347,766,632470,6212,632470
348,768,633470,6212,633470
348,768,633940,6212,633940
348,768,634940,6212,634940
349,770,635940,6212,635940
349,770,636940,6212,636940
349,770,637410,6212,637410
350,772,638410,6212,638410
350,772,639410,6212,639410
351,774,639960,6212,639960
352,776,640960,6212,640960
352,776,641960,6212,641960
352,776,641960,6212,641960
352,776,642960,6212,642960
353,778,643960,6212,643960
353,778,644430,6212,644430
353,778,645430,6212,645430
354,780,646430,6212,646430
355,782,647430,6212,647430
355,782,647430,6212,647430
355,782,648240,6212,648240
355,782,649240,6212,649240
355,782,649240,6212,649240
355,782,649240,6212,649240
356,784,650240,6212,650240
356,784,650700,6212,650700
356,784,651160,6212,651160
357,792,659160,6212,659160
358,794,660160,6212,660160
358,794,660970,6212,660970
359,796,661780,6212,661780
359,796,662780,6212,662780
359,796,663010,6212,663010
360,798,664010,6212,664010
360,798,665010,6212,665010
361,800,665660,6212,665660
361,800,666660,6212,666660
362,802,667660,6212,667660
362,802,667660,6212,667660
362,802,668660,6212,668660
363,804,669660,6212,669660
363,804,669660,6212,669660
363,804,670470,6212,670470
364,806,671470,6212,671470
364,806,672120,6212,672120
365,808,672590,6212,672590
365,808,672750,6212,672750
365,808,673750,6212,673750
366,810,674300,6212,674300
366,810,674620,6212,674620
366,810,675620,6212,675620
366,810,675620,6212,675620
367,812,676620,6212,676620
367,812,677090,6212,677090
367,812,678090,6212,678090
368,814,678900,6212,678900
368,814,679900,6212,679900
369,816,680900,6212,680900
370,818,681900,6212,681900
370,818,682550,6212,682550
371,820,683550,6212,683550
371,820,684360,6212,684360
371,820,685360,6212,685360
372,822,685820,6212,685820
372,822,686820,6212,686820
373,824,687820,6212,687820
373,824,687820,6212,687820
373,824,688820,6212,688820
373,824,688820,6212,688820
374,826,689820,6212,689820
374,826,690630,6212,690630
375,828,691630,6212,691630
375,828,691630,6212,691630
375,828,692100,6212,692100
376,830,693100,6212,693100
377,834,697100,6212,697100
377,834,698100,6212,698100
377,834,698100,6212,698100
378,836,698910,6212,698910
378,836,698910,6212,698910
378,836,698910,6212,698910
378,836,699230,6212,699230
379,844,699230,6212,699230
379,844,700230,6212,700230
379,844,700700,6212,700700
380,846,701700,6212,701700
381,848,702700,6212,702700
381,848,703700,6212,703700
381,848,703700,6212,703700
381,848,704510,6212,704510
382,850,705320,6212,705320
382,850,706320,6212,706320
382,850,706320,6212,706320
382,850,706430,6212,706430
383,852,707430,6212,707430
383,852,707430,6212,707430
383,852,707650,6212,707650
384,854,708650,6212,708650
384,854,709460,6212,709460
384,854,710460,6212,710460
385,856,711460,6212,711460
385,856,711930,6212,711930
385,856,712300,6212,712300
386,858,713300,6212,713300
386,858,714110,6212,714110
387,860,715110,6212,715110
387,860,716110,6212,716110
388,862,717110,6212,717110
388,862,718110,6212,718110
389,864,719110,6212,719110
389,864,720110,6212,720110
390,866,721110,6212,721110
391,868,722110,6212,722110
391,868,723110,6212,723110
391,868,723110,6212,723110
392,870,723580,6212,723580
393,872,724580,6212,724580
394,874,726580,6212,726580
394,874,727580,6212,727580
395,876,728580,6212,728580
395,876,729580,6212,729580
396,878,730230,6212,730230
396,878,730700,6212,730700
397,880,731700,6212,731700
397,880,732510,6212,732510
397,880,733510,6212,733510
397,880,733980,6212,733980
398,882,734630,6212,734630
398,882,735630,6212,735630
399,884,736630,6212,736630
399,884,737630,6212,737630
399,884,738630,6212,738630
400,886,739280,6212,739280
401,888,740280,6212,740280
401,888,740750,6212,740750
401,888,741560,6212,741560
402,890,742560,6212,742560
403,898,742560,6212,742560
403,898,743560,6212,743560
403,898,743560,6212,743560
404,900,744560,6212,744560
404,900,745560,6212,745560
404,900,745560,6212,745560
404,900,746020,6212,746020
405,902,747020,6212,747020
405,902,748020,6212,748020
406,904,749020,6212,749020
406,904,750020,6212,750020
407,906,750670,6212,750670
407,906,751670,6212,751670
408,908,752670,6212,752670
408,908,753670,6212,753670
409,910,754670,6212,754670
