ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
408746.64,97.74,92.57,406658.32,97.24
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405658.32,97.23
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405603.37,97.22
407746.64,97.73,92.56,405662.67,97.23
407746.64,97.73,92.56,405662.67,97.23
407746.64,97.73,92.56,405662.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
407636.64,97.73,92.56,405552.67,97.23
