ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_630f-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
342,708,609680,6212,609680
343,712,613680,6212,613680
344,714,614680,6212,614680
344,714,615680,6212,615680
344,714,615680,6212,615680
345,716,616680,6212,616680
345,716,617680,6212,617680
345,716,618680,6212,618680
345,716,618680,6212,618680
346,718,619490,6212,619490
347,720,620490,6212,620490
347,720,621490,6212,621490
347,720,621720,6212,621720
348,722,622720,6212,622720
348,722,623530,6212,623530
348,722,624530,6212,624530
349,724,625180,6212,625180
350,726,626180,6212,626180
350,726,626550,6212,626550
351,728,627360,6212,627360
351,728,628360,6212,628360
352,730,629360,6212,629360
352,730,630170,6212,630170
353,732,630980,6212,630980
353,732,631980,6212,631980
354,734,632980,6212,632980
354,734,633210,6212,633210
354,734,634210,6212,634210
355,736,635210,6212,635210
355,736,635680,6212,635680
355,736,636150,6212,636150
355,736,637150,6212,637150
356,738,638150,6212,638150
356,738,638470,6212,638470
357,740,639280,6212,639280
357,740,640280,6212,640280
358,742,641280,6212,641280
358,742,642280,6212,642280
358,742,642750,6212,642750
359,744,643750,6212,643750
359,744,644220,6212,644220
360,746,645220,6212,645220
361,748,646030,6212,646030
361,748,647030,6212,647030
362,750,648030,6212,648030
362,750,649030,6212,649030
362,750,649030,6212,649030
363,752,650030,6212,650030
363,752,651030,6212,651030
363,752,651350,6212,651350
363,752,652350,6212,652350
364,754,653350,6212,653350
364,754,654350,6212,654350
364,754,655160,6212,655160
365,756,655530,6212,655530
365,756,656340,6212,656340
366,758,657340,6212,657340
366,758,657800,6212,657800
367,760,658120,6212,658120
367,760,659120,6212,659120
368,762,660120,6212,660120
368,762,660930,6212,660930
368,762,661930,6212,661930
368,762,662400,6212,662400
369,764,663210,6212,663210
370,766,664210,6212,664210
370,766,664580,6212,664580
370,766,664900,6212,664900
370,766,665900,6212,665900
371,768,666900,6212,666900
372,770,667710,6212,667710
373,772,668710,6212,668710
373,772,669710,6212,669710
374,774,670710,6212,670710
374,774,671710,6212,671710
374,774,672710,6212,672710
374,774,672870,6212,672870
375,776,673870,6212,673870
376,778,674870,6212,674870
376,778,675340,6212,675340
376,778,675500,6212,675500
376,778,676500,6212,676500
376,778,676500,6212,676500
377,780,677500,6212,677500
378,782,678500,6212,678500
378,782,678500,6212,678500
378,782,678720,6212,678720
378,782,678950,6212,678950
378,782,679950,6212,679950
379,786,683950,6212,683950
380,788,684760,6212,684760
381,790,685760,6212,685760
381,790,686760,6212,686760
382,798,694760,6212,694760
382,798,695230,6212,695230
383,800,696040,6212,696040
384,802,697040,6212,697040
384,802,697360,6212,697360
384,802,697680,6212,697680
384,802,698680,6212,698680
385,804,699680,6212,699680
385,804,700680,6212,700680
385,804,701000,6212,701000
386,806,702000,6212,702000
387,808,702590,6212,702590
387,808,703590,6212,703590
387,808,704240,6212,704240
388,810,705240,6212,705240
389,812,706050,6212,706050
389,812,706370,6212,706370
389,812,707370,6212,707370
390,820,715370,6212,715370
390,820,716180,6212,716180
