ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
978125.79,17.38,5.12,780527.6,13.87
977934.73,17.38,5.12,780342.9,13.87
977743.68,17.38,5.12,780083.24,13.87
977559.94,17.38,5.12,779753.99,13.86
977447.97,17.38,5.12,779495.85,13.86
977716.73,17.39,5.12,779543.81,13.86
977917.43,17.39,5.13,779014.73,13.86
978118.13,17.4,5.13,778911.19,13.85
977100.7,17.4,5.14,778099.78,13.86
976083.28,17.41,5.14,777288.38,13.86
976540.85,17.42,5.16,777438.49,13.87
976998.41,17.43,5.17,777587.3,13.87
976583.08,17.43,5.16,777226.01,13.87
976399.34,17.43,5.16,776883.79,13.87
975381.92,17.44,5.17,776072.39,13.87
975650.68,17.44,5.18,776087.94,13.88
975980.32,17.45,5.19,775960.25,13.87
975756.05,17.45,5.19,775783.65,13.87
975956.74,17.45,5.19,775680.11,13.87
976225.5,17.46,5.2,775785.34,13.88
976225.5,17.46,5.2,775621.04,13.87
976041.76,17.46,5.2,775255.05,13.87
976258.72,17.47,5.2,774922.37,13.87
976527.48,17.48,5.21,774989.28,13.87
976796.23,17.48,5.22,775094.92,13.87
977013.56,17.49,5.23,775680.13,13.89
976646.08,17.49,5.23,775380.34,13.89
977356.45,17.5,5.24,775485.91,13.89
