ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a3e1-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
356,1793,426390,6212,426390
357,1801,427390,6212,427390
358,1803,428390,6212,428390
359,1811,429390,6212,429390
360,1812,429940,6212,429940
360,1812,430410,6212,430410
360,1812,431410,6212,431410
361,1820,431880,6212,431880
362,1822,432530,6212,432530
363,1830,434530,6212,434530
364,1832,435340,6212,435340
365,1840,435810,6212,435810
366,1842,436280,6212,436280
367,1844,436280,6212,436280
367,1844,437090,6212,437090
368,1846,437680,6212,437680
368,1846,438680,6212,438680
369,1854,439150,6212,439150
370,1856,439960,6212,439960
371,1858,440960,6212,440960
371,1858,442960,6212,442960
371,1858,443430,6212,443430
371,1858,444240,6212,444240
372,1866,445240,6212,445240
372,1866,445890,6212,445890
373,1874,447890,6212,447890
374,1876,448700,6212,448700
374,1876,449700,6212,449700
374,1876,450020,6212,450020
375,1884,450490,6212,450490
376,1892,451490,6212,451490
376,1892,451490,6212,451490
376,1892,451490,6212,451490
377,1894,453490,6212,453490
378,1902,461490,6212,461490
379,1904,461490,6212,461490
380,1912,462490,6212,462490
381,1914,462960,6212,462960
381,1914,463550,6212,463550
382,1916,464200,6212,464200
383,1924,465010,6212,465010
384,1932,466010,6212,466010
385,1936,466010,6212,466010
386,1938,466010,6212,466010
386,1938,466820,6212,466820
387,1940,467820,6212,467820
388,1948,467870,6212,467870
389,1950,468870,6212,468870
390,1958,469870,6212,469870
391,1966,470680,6212,470680
392,1974,471490,6212,471490
393,1978,472490,6212,472490
394,1986,472720,6212,472720
394,1986,473720,6212,473720
395,1994,474190,6212,474190
396,1996,475000,6212,475000
397,2004,477000,6212,477000
398,2012,478000,6212,478000
399,2020,478810,6212,478810
400,2028,479810,6212,479810
401,2029,479810,6212,479810
402,2031,479810,6212,479810
403,2039,480810,6212,480810
404,2047,481810,6212,481810
404,2047,483810,6212,483810
405,2049,484810,6212,484810
405,2049,484810,6212,484810
406,2057,485810,6212,485810
407,2065,486280,6212,486280
407,2065,487090,6212,487090
408,2073,495090,6212,495090
409,2075,495900,6212,495900
410,2083,495900,6212,495900
411,2091,496370,6212,496370
411,2091,496370,6212,496370
412,2099,497180,6212,497180
413,2107,505180,6212,505180
414,2115,506180,6212,506180
414,2115,506830,6212,506830
415,2117,507830,6212,507830
416,2125,515830,6212,515830
416,2125,516830,6212,516830
416,2125,517830,6212,517830
417,2133,518300,6212,518300
418,2135,520300,6212,520300
419,2137,521110,6212,521110
420,2145,522110,6212,522110
421,2153,523110,6212,523110
421,2153,523570,6212,523570
422,2161,524040,6212,524040
423,2169,524040,6212,524040
424,2177,524040,6212,524040
424,2177,525040,6212,525040
425,2185,526040,6212,526040
426,2193,527040,6212,527040
426,2193,527510,6212,527510
426,2193,528510,6212,528510
427,2195,529160,6212,529160
427,2195,530160,6212,530160
428,2203,531160,6212,531160
429,2211,531810,6212,531810
430,2219,532130,6212,532130
431,2221,533130,6212,533130
432,2223,534130,6212,534130
