ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4a0a-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
258,586,455210,6212,455210
258,586,456210,6212,456210
259,588,457020,6212,457020
260,592,461020,6212,461020
260,592,461570,6212,461570
260,592,462010,6212,462010
260,592,462010,6212,462010
261,594,462820,6212,462820
261,594,463140,6212,463140
261,594,464140,6212,464140
262,596,465140,6212,465140
262,596,465610,6212,465610
263,598,466610,6212,466610
263,598,467420,6212,467420
264,600,468420,6212,468420
264,600,468530,6212,468530
264,600,469530,6212,469530
265,602,470530,6212,470530
265,602,471530,6212,471530
266,604,472340,6212,472340
266,604,473340,6212,473340
266,604,473340,6212,473340
267,606,473990,6212,473990
267,606,474990,6212,474990
267,606,475220,6212,475220
268,608,476220,6212,476220
268,608,477220,6212,477220
269,610,478220,6212,478220
269,610,478690,6212,478690
270,612,479690,6212,479690
270,612,480500,6212,480500
271,614,481500,6212,481500
271,614,481970,6212,481970
271,614,482970,6212,482970
271,614,483020,6212,483020
272,616,484020,6212,484020
272,616,484830,6212,484830
273,618,485290,6212,485290
273,618,486290,6212,486290
274,620,487100,6212,487100
274,620,487100,6212,487100
274,620,488100,6212,488100
275,622,489100,6212,489100
275,622,490100,6212,490100
276,624,491100,6212,491100
276,624,491910,6212,491910
276,624,491910,6212,491910
277,626,492910,6212,492910
277,626,493910,6212,493910
278,628,494560,6212,494560
278,628,494930,6212,494930
278,628,495740,6212,495740
279,630,496740,6212,496740
279,630,497110,6212,497110
279,630,497430,6212,497430
279,630,497590,6212,497590
279,630,497820,6212,497820
279,630,498820,6212,498820
280,632,499630,6212,499630
280,632,499630,6212,499630
280,632,499860,6212,499860
281,634,500860,6212,500860
281,634,501860,6212,501860
282,636,502860,6212,502860
282,636,503860,6212,503860
283,638,504860,6212,504860
283,638,504860,6212,504860
283,638,504860,6212,504860
283,638,505860,6212,505860
283,638,506510,6212,506510
284,640,506980,6212,506980
284,640,507790,6212,507790
285,642,508790,6212,508790
285,642,509790,6212,509790
286,644,510600,6212,510600
286,644,511410,6212,511410
287,646,512410,6212,512410
287,646,512410,6212,512410
287,646,513220,6212,513220
288,648,514220,6212,514220
288,648,514690,6212,514690
288,648,515690,6212,515690
289,650,515920,6212,515920
289,650,516390,6212,516390
289,650,517390,6212,517390
290,652,518390,6212,518390
290,652,518710,6212,518710
291,654,519710,6212,519710
291,654,520710,6212,520710
292,656,521520,6212,521520
292,656,521990,6212,521990
292,656,522990,6212,522990
293,658,523800,6212,523800
293,658,524800,6212,524800
294,660,525800,6212,525800
294,660,526800,6212,526800
294,660,526800,6212,526800
295,662,527610,6212,527610
295,662,528080,6212,528080
295,662,528550,6212,528550
296,664,529550,6212,529550
296,664,530360,6212,530360
297,666,531170,6212,531170
297,666,532170,6212,532170
298,668,533170,6212,533170
298,668,533980,6212,533980
299,670,534300,6212,534300
299,670,534300,6212,534300
299,670,535110,6212,535110
300,672,536110,6212,536110
300,672,536760,6212,536760
300,672,537760,6212,537760
300,672,537760,6212,537760
300,672,537760,6212,537760
301,674,538760,6212,538760
301,674,539570,6212,539570
302,676,540570,6212,540570
302,676,541040,6212,541040
303,678,542040,6212,542040
303,678,543040,6212,543040
304,680,543630,6212,543630
304,680,544630,6212,544630
304,680,545100,6212,545100
305,682,546100,6212,546100
305,682,547100,6212,547100
306,684,547750,6212,547750
306,684,548750,6212,548750
307,686,549560,6212,549560
307,686,550370,6212,550370
308,688,551370,6212,551370
308,688,552370,6212,552370
309,690,553370,6212,553370
309,690,554370,6212,554370
309,690,554370,6212,554370
