ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_12aa-policy_Delay1000desharemd191f-de_share-gs_DelayScore-scmd_191f-bellman_ratio
836163.36,13.95,0.35,177285.92,2.96
836027.39,13.95,0.35,177182.86,2.96
835891.41,13.95,0.35,177165.26,2.96
835848.96,13.95,0.35,178092.88,2.97
835712.99,13.95,0.35,178151.93,2.97
835903.44,13.95,0.36,178151.62,2.97
835767.46,13.95,0.36,178151.62,2.97
836063.48,13.96,0.36,178194.64,2.98
836116.18,13.96,0.36,178166.8,2.98
835980.21,13.96,0.37,178158.94,2.98
835683.78,13.96,0.36,178151.62,2.98
835547.8,13.96,0.36,178755.71,2.99
835422.64,13.96,0.36,178533.64,2.98
835275.85,13.96,0.36,178825.27,2.99
834903.85,13.95,0.36,178429.68,2.98
834767.87,13.95,0.36,178435.91,2.98
834631.89,13.95,0.36,178350.37,2.98
834631.89,13.95,0.36,178350.37,2.98
834684.59,13.96,0.36,178461.45,2.98
834684.59,13.96,0.36,178461.45,2.98
834548.62,13.96,0.36,178433.9,2.98
834548.62,13.96,0.36,178433.9,2.98
834548.62,13.96,0.36,178433.9,2.98
834601.32,13.96,0.36,178544.98,2.99
834465.34,13.96,0.36,178517.43,2.99
834329.36,13.96,0.36,178517.43,2.99
834193.39,13.96,0.36,178517.43,2.99
834193.39,13.96,0.36,178517.43,2.99
834057.41,13.96,0.36,178633.47,2.99
834057.41,13.96,0.36,178633.47,2.99
834361.58,13.97,0.37,178884.15,2.99
834311.58,13.97,0.37,178834.15,2.99
834175.6,13.97,0.37,178754.84,2.99
834175.6,13.97,0.37,178754.84,2.99
834175.6,13.97,0.37,178754.84,2.99
834039.63,13.97,0.37,178754.84,2.99
833903.65,13.97,0.37,178754.53,2.99
833767.67,13.97,0.37,178754.53,2.99
833631.69,13.97,0.37,178803.97,3.0
833684.4,13.97,0.37,178766.72,3.0
833525.72,13.97,0.37,178608.04,2.99
833578.42,13.97,0.37,178600.69,2.99
833208.27,13.96,0.37,178303.97,2.99
833072.29,13.96,0.37,178299.13,2.99
833437.9,13.97,0.37,179016.61,3.0
833095.2,13.97,0.37,178712.82,3.0
833460.81,13.97,0.38,179344.14,3.01
833118.11,13.97,0.37,178957.98,3.0
832982.13,13.97,0.37,178964.95,3.0
832846.16,13.97,0.37,178969.08,3.0
832710.18,13.97,0.37,178961.09,3.0
832710.18,13.97,0.37,178961.09,3.0
832900.63,13.97,0.38,179606.4,3.01
832764.65,13.97,0.38,179333.32,3.01
832817.36,13.98,0.38,179052.52,3.0
832681.38,13.98,0.38,179052.21,3.01
833057.8,13.98,0.39,180085.98,3.02
832921.82,13.98,0.39,180085.97,3.02
832963.71,13.99,0.39,180183.36,3.03
833016.41,13.99,0.39,180183.36,3.03
832880.43,13.99,0.39,180346.17,3.03
832584.0,13.98,0.39,179874.4,3.02
832448.03,13.98,0.39,179938.49,3.02
832312.05,13.98,0.39,179793.36,3.02
832176.07,13.98,0.39,179793.05,3.02
832040.09,13.98,0.39,179793.05,3.02
831914.93,13.99,0.39,180105.9,3.03
831768.14,13.98,0.39,179895.42,3.02
831632.16,13.99,0.39,179908.33,3.03
832085.73,13.99,0.4,179895.42,3.03
831949.75,13.99,0.4,179895.42,3.03
831813.78,13.99,0.4,180215.55,3.03
831515.77,13.99,0.39,180046.37,3.03
831706.22,13.99,0.4,180046.06,3.03
831581.06,13.99,0.4,179957.71,3.03
831622.95,14.0,0.4,180376.91,3.04
831486.97,14.0,0.4,180376.91,3.04
831350.99,14.0,0.4,180927.0,3.05
