ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_abc7-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
2178991.1,36.11,0.83,188358.44,3.12
2178746.26,36.12,0.83,188309.46,3.12
2178935.52,36.12,0.83,188726.54,3.13
2178624.34,36.12,0.84,187484.02,3.11
2178596.34,36.13,0.84,187284.85,3.11
2178253.41,36.13,0.84,187288.59,3.11
2178008.57,36.13,0.84,187295.38,3.11
2177763.73,36.13,0.84,187279.16,3.11
2177930.97,36.14,0.85,187429.46,3.11
2177588.04,36.14,0.85,187430.42,3.11
2177614.89,36.14,0.85,187439.06,3.11
2177271.96,36.14,0.85,187442.8,3.11
2177027.12,36.14,0.85,187449.59,3.11
2176684.2,36.14,0.85,187451.57,3.11
2176965.77,36.15,0.86,187404.71,3.11
2176909.07,36.15,0.86,187502.06,3.11
2176852.37,36.16,0.86,187599.42,3.12
2176844.88,36.16,0.86,187797.33,3.12
2176925.67,36.16,0.87,187850.41,3.12
2176925.67,36.16,0.87,187926.94,3.12
2177276.92,36.17,0.88,188699.15,3.13
2177466.18,36.18,0.88,188756.07,3.14
2177731.65,36.18,0.89,188241.46,3.13
2177486.81,36.18,0.89,188192.6,3.13
2177430.11,36.19,0.89,188289.96,3.13
2177087.18,36.19,0.89,188293.7,3.13
2176932.81,36.19,0.89,188301.31,3.13
2176959.66,36.19,0.89,188309.96,3.13
2177050.47,36.19,0.9,188087.22,3.13
2176805.63,36.2,0.9,188038.08,3.13
2176560.79,36.2,0.9,187988.93,3.13
2176406.42,36.2,0.9,187996.54,3.13
2176063.49,36.2,0.9,187994.79,3.13
2175818.65,36.2,0.9,187935.5,3.13
2175890.88,36.21,0.9,187889.61,3.13
2175509.1,36.21,0.9,187842.93,3.13
2175321.69,36.21,0.91,187852.77,3.13
2175076.85,36.21,0.91,187803.63,3.13
2175266.11,36.22,0.91,187860.54,3.13
2175278.5,36.22,0.91,187854.87,3.13
2175124.13,36.22,0.91,187862.48,3.13
2174936.71,36.22,0.92,187872.32,3.13
2174936.71,36.22,0.92,188181.11,3.13
2174593.79,36.22,0.92,188184.85,3.13
2174348.95,36.22,0.92,188136.07,3.13
2174700.19,36.23,0.92,188168.73,3.13
2173963.49,36.23,0.92,188205.54,3.14
2173963.49,36.23,0.92,188205.54,3.14
