ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9634-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
92,372,333000,6212,333000
93,380,334000,6212,334000
93,380,335000,6212,335000
93,380,336000,6212,336000
93,380,336000,6212,336000
93,380,336470,6212,336470
93,380,337470,6212,337470
93,380,338470,6212,338470
94,388,339470,6212,339470
94,388,340470,6212,340470
94,388,341470,6212,341470
94,388,341930,6212,341930
94,388,342400,6212,342400
94,388,342630,6212,342630
94,388,343630,6212,343630
94,388,344630,6212,344630
94,388,344950,6212,344950
94,388,344950,6212,344950
94,388,345950,6212,345950
94,388,346950,6212,346950
94,388,346950,6212,346950
94,388,346950,6212,346950
94,388,346950,6212,346950
95,396,347950,6212,347950
95,396,348950,6212,348950
95,396,348950,6212,348950
95,396,348950,6212,348950
95,396,349410,6212,349410
95,396,350410,6212,350410
95,396,351410,6212,351410
96,404,352410,6212,352410
96,404,353410,6212,353410
96,404,354410,6212,354410
96,404,355410,6212,355410
96,404,356410,6212,356410
96,404,357220,6212,357220
96,404,358220,6212,358220
97,412,359220,6212,359220
97,412,359690,6212,359690
97,412,360340,6212,360340
97,412,360660,6212,360660
97,412,360660,6212,360660
97,412,361660,6212,361660
97,412,362130,6212,362130
97,412,363130,6212,363130
97,412,363130,6212,363130
97,412,364130,6212,364130
98,420,365130,6212,365130
98,420,366130,6212,366130
98,420,366130,6212,366130
98,420,367130,6212,367130
98,420,368130,6212,368130
98,420,368130,6212,368130
98,420,369130,6212,369130
99,422,369940,6212,369940
99,422,370940,6212,370940
99,422,371050,6212,371050
99,422,372050,6212,372050
99,422,372860,6212,372860
99,422,373860,6212,373860
99,422,374860,6212,374860
99,422,374860,6212,374860
100,424,375860,6212,375860
100,424,375860,6212,375860
100,424,376090,6212,376090
100,424,377090,6212,377090
100,424,377900,6212,377900
100,424,378900,6212,378900
100,424,379370,6212,379370
100,424,379370,6212,379370
100,424,380370,6212,380370
101,432,381370,6212,381370
102,434,382180,6212,382180
102,434,382990,6212,382990
102,434,383990,6212,383990
102,434,384990,6212,384990
102,434,385800,6212,385800
102,434,386800,6212,386800
102,434,387800,6212,387800
103,436,388800,6212,388800
103,436,389800,6212,389800
103,436,390800,6212,390800
103,436,391800,6212,391800
104,444,392800,6212,392800
104,444,392800,6212,392800
104,444,393800,6212,393800
104,444,394450,6212,394450
104,444,394770,6212,394770
104,444,395580,6212,395580
104,444,396390,6212,396390
104,444,396710,6212,396710
104,444,397710,6212,397710
104,444,398030,6212,398030
104,444,398840,6212,398840
105,452,399840,6212,399840
105,452,400310,6212,400310
105,452,401310,6212,401310
105,452,401310,6212,401310
105,452,402310,6212,402310
105,452,402310,6212,402310
105,452,403310,6212,403310
105,452,404310,6212,404310
105,452,405310,6212,405310
106,454,406310,6212,406310
106,454,407310,6212,407310
106,454,408310,6212,408310
107,462,409310,6212,409310
107,462,410310,6212,410310
107,462,411310,6212,411310
107,462,411310,6212,411310
107,462,411780,6212,411780
107,462,412780,6212,412780
107,462,413780,6212,413780
107,462,414780,6212,414780
107,462,415010,6212,415010
107,462,415010,6212,415010
108,470,416010,6212,416010
108,470,417010,6212,417010
108,470,418010,6212,418010
108,470,418470,6212,418470
108,470,419470,6212,419470
108,470,420280,6212,420280
108,470,421280,6212,421280
108,470,421510,6212,421510
108,470,421830,6212,421830
108,470,422830,6212,422830
108,470,423830,6212,423830
108,470,424300,6212,424300
108,470,425300,6212,425300
109,472,426300,6212,426300
109,472,427300,6212,427300
110,480,428300,6212,428300
110,480,429300,6212,429300
110,480,430110,6212,430110
110,480,430110,6212,430110
110,480,430580,6212,430580
110,480,430900,6212,430900
110,480,431360,6212,431360
110,480,431360,6212,431360
110,480,432170,6212,432170
110,480,433170,6212,433170
110,480,434170,6212,434170
110,480,434640,6212,434640
110,480,434960,6212,434960
111,484,435960,6212,435960
111,484,435960,6212,435960
111,484,436430,6212,436430
111,484,437430,6212,437430
111,484,437900,6212,437900
112,492,438900,6212,438900
112,492,439900,6212,439900
112,492,439900,6212,439900
112,492,440550,6212,440550
112,492,440550,6212,440550
112,492,441550,6212,441550
112,492,442550,6212,442550
113,496,443550,6212,443550
113,496,444020,6212,444020
113,496,444830,6212,444830
113,496,445830,6212,445830
113,496,446830,6212,446830
113,496,447640,6212,447640
113,496,448110,6212,448110
113,496,449110,6212,449110
114,504,450110,6212,450110
114,504,451110,6212,451110
114,504,451580,6212,451580
114,504,452580,6212,452580
114,504,453050,6212,453050
115,506,454050,6212,454050
115,506,454210,6212,454210
115,506,455210,6212,455210
115,506,456210,6212,456210
116,508,457020,6212,457020
117,516,461020,6212,461020
117,516,461570,6212,461570
117,516,462010,6212,462010
117,516,462010,6212,462010
118,518,462820,6212,462820
118,518,463140,6212,463140
119,520,464140,6212,464140
119,520,465140,6212,465140
120,522,465610,6212,465610
120,522,466610,6212,466610
121,526,467420,6212,467420
121,526,468420,6212,468420
121,526,468530,6212,468530
122,528,469530,6212,469530
122,528,470530,6212,470530
122,528,471530,6212,471530
122,528,472340,6212,472340
122,528,473340,6212,473340
122,528,473340,6212,473340
123,530,473990,6212,473990
124,532,474990,6212,474990
124,532,475220,6212,475220
124,532,476220,6212,476220
124,532,477220,6212,477220
125,540,478220,6212,478220
125,540,478690,6212,478690
125,540,479690,6212,479690
125,540,480500,6212,480500
125,540,481500,6212,481500
125,540,481970,6212,481970
125,540,482970,6212,482970
125,540,483020,6212,483020
125,540,484020,6212,484020
125,540,484830,6212,484830
125,540,485290,6212,485290
125,540,486290,6212,486290
125,540,487100,6212,487100
125,540,487100,6212,487100
125,540,488100,6212,488100
126,548,489100,6212,489100
126,548,490100,6212,490100
126,548,491100,6212,491100
126,548,491910,6212,491910
126,548,491910,6212,491910
126,548,492910,6212,492910
126,548,493910,6212,493910
127,550,494560,6212,494560
127,550,494930,6212,494930
127,550,495740,6212,495740
127,550,496740,6212,496740
127,550,497110,6212,497110
127,550,497430,6212,497430
127,550,497590,6212,497590
127,550,497820,6212,497820
127,550,498820,6212,498820
128,552,499630,6212,499630
128,552,499630,6212,499630
128,552,499860,6212,499860
128,552,500860,6212,500860
129,560,501860,6212,501860
129,560,502860,6212,502860
129,560,503860,6212,503860
129,560,504860,6212,504860
129,560,504860,6212,504860
129,560,504860,6212,504860
129,560,505860,6212,505860
130,568,506510,6212,506510
130,568,506980,6212,506980
130,568,507790,6212,507790
130,568,508790,6212,508790
130,568,509790,6212,509790
130,568,510600,6212,510600
130,568,511410,6212,511410
130,568,512410,6212,512410
130,568,512410,6212,512410
130,568,513220,6212,513220
130,568,514220,6212,514220
130,568,514690,6212,514690
130,568,515690,6212,515690
130,568,515920,6212,515920
131,572,516390,6212,516390
131,572,517390,6212,517390
131,572,518390,6212,518390
131,572,518710,6212,518710
131,572,519710,6212,519710
132,574,520710,6212,520710
132,574,521520,6212,521520
133,582,521990,6212,521990
133,582,522990,6212,522990
133,582,523800,6212,523800
133,582,524800,6212,524800
133,582,525800,6212,525800
133,582,526800,6212,526800
133,582,526800,6212,526800
134,584,527610,6212,527610
134,584,528080,6212,528080
134,584,528550,6212,528550
134,584,529550,6212,529550
134,584,530360,6212,530360
135,586,531170,6212,531170
136,594,532170,6212,532170
136,594,533170,6212,533170
136,594,533980,6212,533980
137,596,534300,6212,534300
137,596,534300,6212,534300
137,596,535110,6212,535110
137,596,536110,6212,536110
137,596,536760,6212,536760
138,604,537760,6212,537760
138,604,537760,6212,537760
138,604,537760,6212,537760
138,604,538760,6212,538760
138,604,539570,6212,539570
138,604,540570,6212,540570
138,604,541040,6212,541040
138,604,542040,6212,542040
138,604,543040,6212,543040
138,604,543630,6212,543630
138,604,544630,6212,544630
138,604,545100,6212,545100
139,606,546100,6212,546100
139,606,547100,6212,547100
140,614,547750,6212,547750
140,614,548750,6212,548750
140,614,549560,6212,549560
140,614,550370,6212,550370
140,614,551370,6212,551370
140,614,552370,6212,552370
140,614,553370,6212,553370
140,614,554370,6212,554370
140,614,554370,6212,554370
140,614,555370,6212,555370
140,614,556370,6212,556370
140,614,557180,6212,557180
140,614,557830,6212,557830
141,616,558640,6212,558640
141,616,559450,6212,559450
142,624,560450,6212,560450
142,624,561450,6212,561450
142,624,562450,6212,562450
142,624,563260,6212,563260
142,624,563260,6212,563260
142,624,564260,6212,564260
142,624,565260,6212,565260
142,624,565260,6212,565260
142,624,566260,6212,566260
142,624,566260,6212,566260
142,624,566730,6212,566730
143,626,567730,6212,567730
143,626,567730,6212,567730
143,626,567730,6212,567730
143,626,567730,6212,567730
143,626,568730,6212,568730
144,634,569730,6212,569730
144,634,570380,6212,570380
144,634,570380,6212,570380
145,636,571190,6212,571190
145,636,572000,6212,572000
145,636,573000,6212,573000
145,636,574000,6212,574000
145,636,574320,6212,574320
145,636,575320,6212,575320
145,636,575320,6212,575320
145,636,575550,6212,575550
145,636,576550,6212,576550
145,636,577550,6212,577550
145,636,578550,6212,578550
145,636,579020,6212,579020
146,644,580020,6212,580020
146,644,581020,6212,581020
146,644,581250,6212,581250
146,644,582250,6212,582250
146,644,582900,6212,582900
146,644,583900,6212,583900
146,644,583900,6212,583900
146,644,584710,6212,584710
147,652,585710,6212,585710
147,652,586710,6212,586710
147,652,587710,6212,587710
147,652,588710,6212,588710
147,652,589520,6212,589520
147,652,590520,6212,590520
148,660,598520,6212,598520
148,660,599520,6212,599520
148,660,600520,6212,600520
148,660,601520,6212,601520
148,660,601520,6212,601520
148,660,602520,6212,602520
149,668,603520,6212,603520
150,670,604520,6212,604520
150,670,605520,6212,605520
150,670,606330,6212,606330
150,670,607330,6212,607330
150,670,608330,6212,608330
150,670,608330,6212,608330
150,670,609330,6212,609330
150,670,610330,6212,610330
150,670,611140,6212,611140
150,670,611600,6212,611600
151,672,612600,6212,612600
151,672,613600,6212,613600
151,672,613600,6212,613600
151,672,614070,6212,614070
152,680,614880,6212,614880
152,680,615690,6212,615690
152,680,615690,6212,615690
152,680,616160,6212,616160
152,680,616970,6212,616970
152,680,616970,6212,616970
152,680,617620,6212,617620
152,680,618430,6212,618430
152,680,618660,6212,618660
152,680,618660,6212,618660
152,680,618890,6212,618890
152,680,619890,6212,619890
152,680,619890,6212,619890
152,680,620890,6212,620890
152,680,620890,6212,620890
152,680,621360,6212,621360
153,682,622360,6212,622360
153,682,623360,6212,623360
154,690,623820,6212,623820
154,690,624820,6212,624820
154,690,625820,6212,625820
154,690,626630,6212,626630
154,690,627630,6212,627630
154,690,627630,6212,627630
154,690,627630,6212,627630
154,690,628280,6212,628280
154,690,629280,6212,629280
154,690,629500,6212,629500
154,690,630310,6212,630310
154,690,630310,6212,630310
155,692,631310,6212,631310
155,692,632310,6212,632310
155,692,632470,6212,632470
155,692,632470,6212,632470
155,692,632470,6212,632470
156,694,633470,6212,633470
156,694,633940,6212,633940
156,694,634940,6212,634940
157,696,635940,6212,635940
157,696,636940,6212,636940
158,704,637410,6212,637410
158,704,638410,6212,638410
158,704,639410,6212,639410
158,704,639960,6212,639960
158,704,640960,6212,640960
158,704,641960,6212,641960
158,704,641960,6212,641960
158,704,642960,6212,642960
158,704,643960,6212,643960
158,704,644430,6212,644430
159,712,645430,6212,645430
159,712,646430,6212,646430
159,712,647430,6212,647430
159,712,647430,6212,647430
159,712,648240,6212,648240
159,712,649240,6212,649240
159,712,649240,6212,649240
159,712,649240,6212,649240
159,712,650240,6212,650240
159,712,650700,6212,650700
159,712,651160,6212,651160
160,720,659160,6212,659160
160,720,660160,6212,660160
161,722,660970,6212,660970
161,722,661780,6212,661780
162,724,662780,6212,662780
162,724,663010,6212,663010
162,724,664010,6212,664010
163,732,665010,6212,665010
163,732,665660,6212,665660
163,732,666660,6212,666660
163,732,667660,6212,667660
163,732,667660,6212,667660
163,732,668660,6212,668660
163,732,669660,6212,669660
163,732,669660,6212,669660
164,734,670470,6212,670470
164,734,671470,6212,671470
165,742,672120,6212,672120
165,742,672590,6212,672590
165,742,672750,6212,672750
165,742,673750,6212,673750
165,742,674300,6212,674300
165,742,674620,6212,674620
165,742,675620,6212,675620
165,742,675620,6212,675620
165,742,676620,6212,676620
165,742,677090,6212,677090
166,750,678090,6212,678090
167,752,678900,6212,678900
167,752,679900,6212,679900
167,752,680900,6212,680900
167,752,681900,6212,681900
167,752,682550,6212,682550
168,754,683550,6212,683550
168,754,684360,6212,684360
168,754,685360,6212,685360
168,754,685820,6212,685820
168,754,686820,6212,686820
168,754,687820,6212,687820
168,754,687820,6212,687820
169,762,688820,6212,688820
169,762,688820,6212,688820
169,762,689820,6212,689820
169,762,690630,6212,690630
169,762,691630,6212,691630
169,762,691630,6212,691630
169,762,692100,6212,692100
169,762,693100,6212,693100
169,762,697100,6212,697100
169,762,698100,6212,698100
169,762,698100,6212,698100
169,762,698910,6212,698910
169,762,698910,6212,698910
169,762,698910,6212,698910
169,762,699230,6212,699230
169,762,699230,6212,699230
169,762,700230,6212,700230
170,770,700700,6212,700700
170,770,701700,6212,701700
170,770,702700,6212,702700
170,770,703700,6212,703700
170,770,703700,6212,703700
170,770,704510,6212,704510
170,770,705320,6212,705320
170,770,706320,6212,706320
170,770,706320,6212,706320
170,770,706430,6212,706430
170,770,707430,6212,707430
170,770,707430,6212,707430
170,770,707650,6212,707650
171,778,708650,6212,708650
171,778,709460,6212,709460
171,778,710460,6212,710460
171,778,711460,6212,711460
171,778,711930,6212,711930
171,778,712300,6212,712300
171,778,713300,6212,713300
171,778,714110,6212,714110
171,778,715110,6212,715110
171,778,716110,6212,716110
172,786,717110,6212,717110
172,786,718110,6212,718110
172,786,719110,6212,719110
172,786,720110,6212,720110
172,786,721110,6212,721110
172,786,722110,6212,722110
172,786,723110,6212,723110
172,786,723110,6212,723110
172,786,723580,6212,723580
173,788,724580,6212,724580
174,796,726580,6212,726580
174,796,727580,6212,727580
174,796,728580,6212,728580
174,796,729580,6212,729580
174,796,730230,6212,730230
174,796,730700,6212,730700
175,804,731700,6212,731700
175,804,732510,6212,732510
175,804,733510,6212,733510
175,804,733980,6212,733980
175,804,734630,6212,734630
175,804,735630,6212,735630
175,804,736630,6212,736630
176,806,737630,6212,737630
176,806,738630,6212,738630
176,806,739280,6212,739280
