ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
491,2362,456930,6212,456930
492,2364,457930,6212,457930
493,2372,457930,6212,457930
494,2374,458250,6212,458250
495,2376,458720,6212,458720
495,2376,459720,6212,459720
496,2384,460720,6212,460720
496,2384,461720,6212,461720
497,2386,462530,6212,462530
498,2390,463340,6212,463340
498,2390,463820,6212,463820
499,2398,464820,6212,464820
500,2406,465820,6212,465820
500,2406,466820,6212,466820
500,2406,466820,6212,466820
501,2414,467820,6212,467820
501,2414,468820,6212,468820
501,2414,469630,6212,469630
501,2414,470630,6212,470630
502,2416,471100,6212,471100
503,2420,472100,6212,472100
504,2422,472910,6212,472910
505,2430,473720,6212,473720
506,2434,474720,6212,474720
507,2442,475720,6212,475720
508,2450,476720,6212,476720
509,2452,477530,6212,477530
510,2454,477760,6212,477760
510,2454,478760,6212,478760
510,2454,478760,6212,478760
511,2462,479760,6212,479760
512,2464,479980,6212,479980
513,2472,480450,6212,480450
513,2472,481260,6212,481260
514,2474,482260,6212,482260
515,2476,483260,6212,483260
516,2484,484260,6212,484260
516,2484,485070,6212,485070
516,2484,485660,6212,485660
516,2484,486660,6212,486660
517,2492,494660,6212,494660
517,2492,495210,6212,495210
517,2492,496020,6212,496020
518,2500,496020,6212,496020
518,2500,497020,6212,497020
518,2500,498020,6212,498020
519,2508,498020,6212,498020
519,2508,499020,6212,499020
520,2516,500020,6212,500020
521,2524,500250,6212,500250
522,2532,501250,6212,501250
522,2532,501410,6212,501410
522,2532,502410,6212,502410
523,2540,503410,6212,503410
524,2548,504410,6212,504410
525,2556,504880,6212,504880
525,2556,505350,6212,505350
526,2558,505820,6212,505820
527,2560,506820,6212,506820
528,2564,507630,6212,507630
529,2568,508630,6212,508630
530,2576,509630,6212,509630
531,2580,509950,6212,509950
532,2582,510760,6212,510760
533,2586,511080,6212,511080
534,2588,511550,6212,511550
535,2596,512360,6212,512360
536,2600,512830,6212,512830
537,2608,513830,6212,513830
537,2608,514300,6212,514300
538,2610,514300,6212,514300
539,2618,514620,6212,514620
540,2626,515620,6212,515620
541,2628,516620,6212,516620
542,2636,517430,6212,517430
542,2636,518430,6212,518430
542,2636,518900,6212,518900
543,2638,519220,6212,519220
543,2638,519690,6212,519690
543,2638,520500,6212,520500
544,2646,520970,6212,520970
545,2648,521970,6212,521970
545,2648,522970,6212,522970
545,2648,523970,6212,523970
546,2650,523970,6212,523970
547,2652,524620,6212,524620
547,2652,525620,6212,525620
547,2652,526430,6212,526430
548,2654,526430,6212,526430
549,2662,527240,6212,527240
550,2664,528240,6212,528240
550,2664,529240,6212,529240
551,2672,529710,6212,529710
551,2672,529710,6212,529710
552,2680,529710,6212,529710
552,2680,530710,6212,530710
553,2688,531710,6212,531710
553,2688,532710,6212,532710
554,2696,533710,6212,533710
554,2696,534710,6212,534710
555,2704,535030,6212,535030
556,2712,536030,6212,536030
556,2712,537030,6212,537030
557,2714,537030,6212,537030
558,2718,537030,6212,537030
558,2718,538030,6212,538030
558,2718,539030,6212,539030
558,2718,539500,6212,539500
558,2718,540500,6212,540500
558,2718,540500,6212,540500
558,2718,541150,6212,541150
559,2726,542150,6212,542150
559,2726,542620,6212,542620
560,2734,542620,6212,542620
561,2736,542730,6212,542730
562,2744,543200,6212,543200
563,2746,544200,6212,544200
563,2746,544200,6212,544200
564,2748,545200,6212,545200
564,2748,546200,6212,546200
565,2750,547200,6212,547200
566,2752,548200,6212,548200
566,2752,549200,6212,549200
567,2760,550200,6212,550200
568,2762,551200,6212,551200
569,2764,551430,6212,551430
570,2772,552430,6212,552430
571,2774,553430,6212,553430
572,2776,554240,6212,554240
573,2780,555240,6212,555240
573,2780,556240,6212,556240
573,2780,556700,6212,556700
573,2780,557700,6212,557700
573,2780,558160,6212,558160
573,2780,559160,6212,559160
574,2782,559970,6212,559970
575,2784,559970,6212,559970
575,2784,560970,6212,560970
576,2786,561970,6212,561970
577,2794,562970,6212,562970
577,2794,563780,6212,563780
577,2794,564370,6212,564370
578,2796,564840,6212,564840
579,2804,565840,6212,565840
580,2812,569840,6212,569840
581,2814,569840,6212,569840
581,2814,570310,6212,570310
581,2814,570310,6212,570310
581,2814,570630,6212,570630
582,2822,571440,6212,571440
583,2830,572440,6212,572440
583,2830,573440,6212,573440
584,2832,573440,6212,573440
585,2840,574440,6212,574440
585,2840,574670,6212,574670
586,2848,575670,6212,575670
586,2848,576670,6212,576670
587,2850,577670,6212,577670
588,2858,577670,6212,577670
589,2860,578670,6212,578670
589,2860,579140,6212,579140
589,2860,579790,6212,579790
590,2868,580790,6212,580790
590,2868,581790,6212,581790
591,2870,581790,6212,581790
592,2872,582790,6212,582790
593,2880,583260,6212,583260
593,2880,583580,6212,583580
594,2882,584390,6212,584390
595,2890,585200,6212,585200
596,2898,585670,6212,585670
597,2900,586670,6212,586670
597,2900,586670,6212,586670
598,2908,587670,6212,587670
598,2908,588670,6212,588670
599,2916,589670,6212,589670
600,2924,590670,6212,590670
601,2926,590890,6212,590890
601,2926,591890,6212,591890
601,2926,592890,6212,592890
602,2934,593890,6212,593890
602,2934,594700,6212,594700
603,2942,594700,6212,594700
604,2944,595160,6212,595160
604,2944,595380,6212,595380
604,2944,596380,6212,596380
605,2952,597380,6212,597380
606,2960,597850,6212,597850
607,2962,598850,6212,598850
608,2964,599850,6212,599850
608,2964,600850,6212,600850
609,2972,608850,6212,608850
610,2974,609170,6212,609170
611,2982,609720,6212,609720
611,2982,610720,6212,610720
611,2982,610720,6212,610720
611,2982,611720,6212,611720
611,2982,612530,6212,612530
611,2982,613000,6212,613000
612,2986,613810,6212,613810
612,2986,614810,6212,614810
613,2988,615030,6212,615030
614,2990,616030,6212,616030
614,2990,616500,6212,616500
615,2998,617310,6212,617310
616,3006,618310,6212,618310
616,3006,619120,6212,619120
616,3006,619440,6212,619440
616,3006,619440,6212,619440
617,3008,620250,6212,620250
617,3008,621060,6212,621060
617,3008,621060,6212,621060
617,3008,621060,6212,621060
617,3008,621870,6212,621870
618,3016,622870,6212,622870
618,3016,623680,6212,623680
618,3016,624000,6212,624000
618,3016,624810,6212,624810
619,3024,625810,6212,625810
619,3024,626620,6212,626620
620,3032,627620,6212,627620
620,3032,628620,6212,628620
620,3032,628940,6212,628940
620,3032,629940,6212,629940
620,3032,630400,6212,630400
620,3032,631400,6212,631400
620,3032,632210,6212,632210
621,3034,633210,6212,633210
621,3034,634210,6212,634210
622,3036,635210,6212,635210
622,3036,635210,6212,635210
623,3044,636020,6212,636020
623,3044,637020,6212,637020
623,3044,637020,6212,637020
624,3046,638020,6212,638020
625,3047,638830,6212,638830
626,3049,639830,6212,639830
627,3051,640830,6212,640830
627,3051,641830,6212,641830
627,3051,642640,6212,642640
628,3053,643450,6212,643450
628,3053,643670,6212,643670
629,3061,644670,6212,644670
630,3069,645130,6212,645130
631,3077,645940,6212,645940
631,3077,646940,6212,646940
631,3077,647940,6212,647940
632,3085,648940,6212,648940
632,3085,649940,6212,649940
632,3085,650940,6212,650940
633,3087,651940,6212,651940
633,3087,651940,6212,651940
634,3095,651940,6212,651940
635,3103,652940,6212,652940
635,3103,653940,6212,653940
636,3111,654940,6212,654940
637,3115,655940,6212,655940
638,3123,656940,6212,656940
638,3123,656940,6212,656940
638,3123,656940,6212,656940
639,3125,657940,6212,657940
640,3127,658750,6212,658750
640,3127,659750,6212,659750
641,3135,660560,6212,660560
642,3143,660560,6212,660560
643,3151,661560,6212,661560
644,3153,662560,6212,662560
645,3161,663560,6212,663560
646,3163,664560,6212,664560
647,3171,664560,6212,664560
648,3172,665560,6212,665560
649,3176,666370,6212,666370
649,3176,667370,6212,667370
649,3176,668370,6212,668370
650,3184,669370,6212,669370
650,3184,670370,6212,670370
651,3192,671370,6212,671370
652,3200,672020,6212,672020
652,3200,673020,6212,673020
653,3202,674020,6212,674020
654,3210,675020,6212,675020
654,3210,675830,6212,675830
655,3212,676830,6212,676830
656,3220,677150,6212,677150
657,3228,678150,6212,678150
657,3228,679150,6212,679150
657,3228,680150,6212,680150
657,3228,680150,6212,680150
657,3228,681150,6212,681150
658,3236,682150,6212,682150
658,3236,683150,6212,683150
659,3238,684150,6212,684150
659,3238,685150,6212,685150
660,3242,685960,6212,685960
660,3242,685960,6212,685960
660,3242,685960,6212,685960
660,3242,686960,6212,686960
660,3242,687610,6212,687610
661,3250,688610,6212,688610
661,3250,689610,6212,689610
661,3250,690200,6212,690200
661,3250,690200,6212,690200
662,3258,690430,6212,690430
662,3258,691430,6212,691430
662,3258,691890,6212,691890
663,3260,692890,6212,692890
663,3260,692890,6212,692890
663,3260,693890,6212,693890
663,3260,694260,6212,694260
663,3260,695260,6212,695260
663,3260,696070,6212,696070
664,3264,697070,6212,697070
665,3272,698070,6212,698070
