ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2f4a-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1788321.14,29.27,0.72,205203.37,3.36
1788293.61,29.27,0.73,205299.49,3.36
1788264.53,29.28,0.73,205638.49,3.37
1788049.04,29.28,0.73,205575.22,3.37
1787969.1,29.28,0.73,205584.17,3.37
1787700.92,29.28,0.73,205588.69,3.37
1787917.37,29.29,0.74,205659.66,3.37
1787649.2,29.29,0.74,205660.1,3.37
1787381.02,29.29,0.74,205657.67,3.37
1787353.49,29.29,0.74,205753.8,3.37
1787136.45,29.29,0.74,205748.06,3.37
1787443.8,29.3,0.75,205808.33,3.37
1787401.92,29.3,0.75,206085.82,3.38
1787133.75,29.3,0.75,206088.15,3.38
1786865.58,29.3,0.75,206090.48,3.38
1787304.62,29.31,0.76,206020.16,3.38
1787089.13,29.31,0.76,205957.09,3.38
1787009.19,29.31,0.76,205966.04,3.38
1786741.01,29.31,0.76,205965.11,3.38
1786525.52,29.32,0.76,205901.61,3.38
1786832.87,29.32,0.77,205961.88,3.38
1786564.69,29.32,0.77,205946.66,3.38
1786840.26,29.33,0.78,205944.61,3.38
1786572.08,29.33,0.78,205949.13,3.38
1786879.43,29.34,0.78,206278.78,3.39
1786879.43,29.34,0.78,206255.03,3.39
1786663.94,29.34,0.78,206191.96,3.39
1786693.89,29.34,0.78,206204.21,3.39
1786425.72,29.34,0.78,206200.92,3.39
1786157.55,29.34,0.79,206205.44,3.39
1786077.61,29.34,0.79,206214.39,3.39
1785809.43,29.34,0.79,206218.91,3.39
1785809.43,29.34,0.79,206333.0,3.39
1785886.39,29.35,0.79,206161.12,3.39
1786477.61,29.36,0.81,206471.67,3.39
1786397.67,29.36,0.81,206480.62,3.39
1786129.49,29.36,0.81,206470.91,3.39
1786188.59,29.37,0.81,206472.26,3.39
1786188.59,29.37,0.81,206452.38,3.39
1786188.59,29.37,0.81,206566.04,3.4
1786565.14,29.37,0.82,206586.73,3.4
1786840.7,29.38,0.83,206590.58,3.4
1787148.05,29.39,0.83,206650.85,3.4
1787042.15,29.39,0.84,206214.45,3.39
1786826.66,29.39,0.84,206151.19,3.39
1786797.58,29.39,0.84,206193.0,3.39
1786812.04,29.39,0.84,206186.12,3.39
1786812.04,29.39,0.84,206126.37,3.39
1786596.55,29.39,0.84,206131.63,3.39
1786613.7,29.4,0.84,205646.67,3.38
1786613.7,29.4,0.84,205622.91,3.38
1786613.7,29.4,0.84,205566.86,3.38
1786533.77,29.4,0.85,205575.81,3.38
1786841.11,29.41,0.85,205636.07,3.38
1786627.94,29.41,0.85,205620.21,3.38
1786359.77,29.41,0.85,205617.12,3.39
1786061.64,29.41,0.85,205580.82,3.39
1786120.74,29.41,0.86,205582.16,3.39
1785905.24,29.42,0.86,205518.65,3.39
1785799.35,29.42,0.86,205082.26,3.38
1785813.81,29.42,0.86,205075.37,3.38
1785598.32,29.42,0.86,205011.86,3.38
1785330.15,29.42,0.86,205016.38,3.38
1785114.65,29.42,0.86,204953.32,3.38
1785008.76,29.42,0.86,204516.92,3.37
1785260.21,29.43,0.87,204509.45,3.37
1785411.4,29.43,0.87,204516.45,3.37
1785143.23,29.43,0.87,204513.48,3.37
1785361.99,29.44,0.88,204502.14,3.37
1785093.82,29.44,0.88,204504.48,3.37
1784878.33,29.44,0.88,204509.73,3.37
1785054.96,29.45,0.89,204514.03,3.37
1784837.91,29.45,0.89,204508.29,3.37
1784728.02,29.45,0.89,204488.32,3.37
1784638.27,29.45,0.89,204497.27,3.37
1784344.14,29.45,0.89,203798.71,3.36
1784344.14,29.45,0.89,203740.34,3.36
1784128.65,29.45,0.89,203745.59,3.36
1784279.84,29.46,0.9,203753.15,3.36
1784001.86,29.46,0.9,203750.73,3.36
1784218.3,29.46,0.9,203821.69,3.37
1784505.18,29.47,0.91,203761.52,3.37
1784227.2,29.47,0.91,203763.85,3.37
1784121.3,29.47,0.91,203327.46,3.36
1784093.77,29.48,0.91,203423.58,3.36
1784242.94,29.48,0.92,203356.26,3.36
1784163.0,29.48,0.92,203365.21,3.36
1784272.11,29.49,0.92,203361.19,3.36
1784583.24,29.5,0.93,202933.4,3.35
1784597.7,29.5,0.93,202926.52,3.35
1784597.7,29.5,0.93,202871.49,3.35
1784627.66,29.5,0.93,202883.74,3.35
1784412.17,29.5,0.93,202820.23,3.35
1784332.23,29.5,0.93,202829.18,3.35
1783100.46,29.5,0.94,202615.77,3.35
1782884.97,29.5,0.94,202664.4,3.35
1782616.8,29.5,0.94,202656.98,3.35
1782348.62,29.5,0.94,202655.72,3.35
1782131.58,29.5,0.94,202594.28,3.35
1781863.41,29.5,0.94,202593.03,3.35
1782004.28,29.51,0.94,202660.13,3.36
1781788.79,29.51,0.94,202596.62,3.36
1781495.18,29.51,0.94,202592.17,3.36
1781711.62,29.52,0.95,202663.13,3.36
1781496.13,29.52,0.95,202655.77,3.36
1781280.64,29.52,0.95,202648.4,3.36
1781190.88,29.52,0.95,202657.35,3.36
1780922.71,29.52,0.95,202650.0,3.36
1781375.77,29.53,0.96,202815.21,3.36
1781107.59,29.53,0.96,202815.65,3.36
1780892.1,29.53,0.96,202808.29,3.36
1780623.93,29.53,0.96,202812.81,3.36
1780355.75,29.53,0.96,202817.33,3.36
1780140.26,29.53,0.96,202753.89,3.36
1780325.28,29.54,0.97,202754.37,3.36
1780109.79,29.54,0.97,202691.3,3.36
1780139.74,29.54,0.97,202703.55,3.36
1780216.69,29.55,0.98,202531.67,3.36
1780001.2,29.55,0.98,202536.93,3.36
1779733.03,29.55,0.98,202539.26,3.36
1779525.91,29.55,0.97,202512.44,3.36
1779498.38,29.55,0.98,202608.56,3.36
1779418.44,29.55,0.98,202617.51,3.37
1779617.91,29.56,0.98,202556.38,3.36
1779764.59,29.56,0.99,202531.55,3.36
1779779.05,29.57,0.99,202524.67,3.36
1780155.59,29.57,1.0,202545.35,3.36
1780332.22,29.58,1.0,202550.2,3.37
1780716.46,29.59,1.01,202490.82,3.36
1780448.29,29.59,1.01,202490.68,3.36
1780368.35,29.59,1.01,202499.63,3.37
1780445.3,29.59,1.02,202327.75,3.36
1780365.36,29.6,1.02,202336.7,3.36
1780365.36,29.6,1.02,202336.7,3.36
1780581.81,29.6,1.03,202407.66,3.37
1780313.63,29.6,1.03,202406.41,3.37
1780045.46,29.6,1.03,202403.43,3.37
1780017.93,29.61,1.03,202499.56,3.37
1779802.44,29.61,1.03,202436.12,3.37
1779534.26,29.61,1.03,202411.82,3.37
1779680.94,29.61,1.04,202388.16,3.37
1779412.76,29.61,1.04,202390.49,3.37
1779332.83,29.62,1.04,202399.44,3.37
1779064.65,29.62,1.04,202396.35,3.37
1779281.1,29.62,1.05,202467.32,3.37
1779312.6,29.62,1.05,203115.36,3.38
1779285.07,29.63,1.05,203211.49,3.38
1779255.99,29.63,1.05,203550.48,3.39
1779255.99,29.63,1.05,203493.02,3.39
1779332.94,29.64,1.06,203321.14,3.39
1779064.77,29.64,1.06,203323.47,3.39
1779375.91,29.64,1.06,202895.69,3.38
1778943.37,29.65,1.07,202881.42,3.38
1780273.52,29.67,1.09,203967.63,3.4
1779716.72,29.66,1.08,203415.72,3.39
1779716.72,29.66,1.08,203360.69,3.39
1779448.54,29.66,1.08,203361.13,3.39
1779233.05,29.67,1.08,203298.07,3.39
1779205.52,29.67,1.09,203394.19,3.39
1778990.02,29.67,1.09,203330.93,3.39
1778721.85,29.67,1.09,203327.64,3.39
1778453.68,29.67,1.09,203324.56,3.39
1778347.79,29.67,1.09,202888.17,3.39
1778655.13,29.68,1.1,202948.44,3.39
1778627.6,29.68,1.1,203044.56,3.39
1778410.56,29.69,1.1,203438.32,3.4
1778195.07,29.69,1.1,203375.26,3.4
1778195.07,29.69,1.1,203319.2,3.39
1777978.02,29.69,1.1,203313.65,3.39
1778037.12,29.69,1.1,203315.0,3.4
1778037.12,29.69,1.1,203293.97,3.39
1777743.51,29.69,1.1,203293.59,3.4
1777310.97,29.7,1.1,203224.79,3.4
1777622.11,29.7,1.11,202797.0,3.39
1777768.79,29.71,1.11,202780.63,3.39
1777553.29,29.71,1.11,202717.56,3.39
1777525.76,29.71,1.12,202813.69,3.39
1777257.59,29.71,1.12,202810.72,3.39
1777040.55,29.71,1.12,202691.76,3.39
1776772.37,29.71,1.12,202689.34,3.39
1776744.84,29.72,1.12,202785.47,3.39
1776744.84,29.72,1.12,202729.41,3.39
1776634.95,29.72,1.12,202712.26,3.39
1776718.5,29.72,1.13,202750.73,3.39
1777025.85,29.73,1.13,202811.0,3.39
1776757.67,29.73,1.14,202811.44,3.39
