ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2ccd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
677017.69,11.27,1.05,172338.99,2.87
677017.69,11.27,1.05,173109.92,2.88
677104.1,11.27,1.05,172623.59,2.87
677001.88,11.27,1.05,172871.72,2.88
677088.28,11.28,1.05,172871.72,2.88
676986.06,11.28,1.05,172871.72,2.88
676883.84,11.28,1.05,172835.39,2.88
676883.84,11.28,1.05,172835.39,2.88
676781.62,11.28,1.05,172835.39,2.88
676868.03,11.28,1.06,172835.39,2.88
676765.81,11.28,1.06,172870.35,2.88
676663.58,11.28,1.06,172877.13,2.88
677075.78,11.29,1.06,172877.13,2.88
676973.55,11.29,1.06,172917.25,2.88
677385.75,11.29,1.07,172917.25,2.88
677662.37,11.3,1.08,172917.25,2.88
677662.37,11.3,1.08,172825.56,2.88
678074.44,11.31,1.08,172825.56,2.88
678400.39,11.31,1.09,172938.41,2.88
678726.34,11.32,1.1,172938.41,2.88
678624.12,11.32,1.1,172938.41,2.88
678521.9,11.32,1.1,172938.41,2.89
678521.9,11.32,1.1,172846.72,2.88
678608.3,11.32,1.1,172846.72,2.88
678506.08,11.32,1.1,172846.72,2.88
678403.86,11.32,1.1,172846.72,2.89
678301.64,11.32,1.1,172846.72,2.89
678301.64,11.32,1.1,172755.04,2.88
678199.42,11.32,1.1,172663.35,2.88
678285.82,11.33,1.1,172777.19,2.89
678509.11,11.33,1.11,172844.15,2.89
678406.89,11.33,1.11,172844.15,2.89
678406.89,11.33,1.11,172811.09,2.89
678493.3,11.33,1.11,172811.09,2.89
678391.08,11.34,1.11,172811.09,2.89
678288.85,11.34,1.11,172719.4,2.89
678375.26,11.34,1.12,172719.4,2.89
678273.04,11.34,1.12,172719.4,2.89
678598.99,11.34,1.12,172719.4,2.89
678989.41,11.35,1.13,172573.54,2.89
678887.19,11.35,1.13,172573.54,2.89
678682.75,11.35,1.13,172481.85,2.89
679008.69,11.36,1.14,172481.85,2.89
678906.47,11.36,1.14,172390.17,2.88
679386.75,11.37,1.15,172485.75,2.89
679284.53,11.37,1.15,172486.84,2.89
679696.72,11.38,1.15,172486.84,2.89
680108.91,11.38,1.16,172486.84,2.89
680006.69,11.38,1.16,172478.32,2.89
680283.31,11.39,1.17,172386.64,2.89
680181.09,11.39,1.17,172294.95,2.89
680078.87,11.39,1.17,172286.43,2.89
680078.87,11.39,1.17,172194.74,2.88
680491.06,11.4,1.18,172194.74,2.88
680491.06,11.4,1.18,172313.1,2.89
680577.47,11.4,1.18,172313.1,2.89
680475.24,11.4,1.18,172313.1,2.89
680801.19,11.41,1.19,172313.1,2.89
681281.47,11.42,1.19,172408.68,2.89
681693.66,11.42,1.2,172408.68,2.89
682105.85,11.43,1.21,172408.68,2.89
682192.26,11.43,1.21,172522.53,2.89
682415.55,11.44,1.22,172522.53,2.89
682313.32,11.44,1.22,172505.78,2.89
682211.1,11.44,1.22,172505.78,2.89
682108.88,11.44,1.22,172497.26,2.89
682006.66,11.44,1.22,172497.26,2.89
681904.44,11.44,1.22,172497.26,2.89
682230.39,11.45,1.22,172497.26,2.89
682128.17,11.45,1.22,172501.43,2.89
682454.12,11.45,1.23,172501.43,2.89
682351.9,11.45,1.23,172501.43,2.9
682351.9,11.45,1.23,172409.75,2.89
683102.2,11.47,1.24,172638.19,2.9
