ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_19da-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-bellman_ratio
1137323.93,18.98,0.38,199455.73,3.33
1137141.15,18.98,0.38,198825.87,3.32
1137207.17,18.98,0.39,198870.71,3.32
1137040.13,18.98,0.39,198793.41,3.32
1136667.42,18.98,0.38,198764.84,3.32
1136657.11,18.98,0.38,199414.45,3.33
1136491.89,18.98,0.38,199420.62,3.33
1136831.02,18.99,0.39,199197.18,3.33
1136663.99,18.99,0.39,199192.86,3.33
1136496.96,18.99,0.39,199115.56,3.33
1136323.75,18.99,0.39,199060.44,3.33
1136558.19,19.0,0.4,199035.86,3.33
1136391.16,19.0,0.4,199031.53,3.33
1136224.13,19.0,0.4,198954.04,3.33
1136224.13,19.0,0.4,198954.04,3.33
1136213.82,19.0,0.4,198937.24,3.33
1136213.82,19.0,0.4,198937.24,3.33
1136046.79,19.0,0.4,198933.11,3.33
1136046.79,19.0,0.4,198933.11,3.33
1136046.79,19.0,0.4,198933.11,3.33
1136036.49,19.0,0.4,198974.1,3.33
1135838.21,19.0,0.4,198950.22,3.33
1135655.43,19.0,0.4,198320.35,3.32
1135371.45,19.0,0.4,198015.19,3.31
1135371.45,19.0,0.4,198015.19,3.31
1135204.42,19.0,0.4,198013.19,3.31
1135204.42,19.0,0.4,198013.19,3.31
1134841.71,19.0,0.4,197986.7,3.31
1134793.74,18.99,0.4,197939.7,3.31
1134626.71,18.99,0.4,197860.08,3.31
1134626.71,18.99,0.4,197860.08,3.31
1134626.71,18.99,0.4,197860.08,3.31
1134459.68,19.0,0.4,197782.58,3.31
1134280.12,19.0,0.4,197297.86,3.3
1134046.0,18.99,0.4,197345.54,3.31
1133878.97,19.0,0.4,197341.41,3.31
1133868.67,19.0,0.4,197754.03,3.31
1133711.68,19.0,0.4,197614.21,3.31
1133701.38,19.0,0.4,197841.66,3.32
1133935.82,19.0,0.4,198094.94,3.32
1133768.79,19.0,0.4,198086.0,3.32
1133494.36,19.0,0.4,198159.58,3.32
1133728.8,19.01,0.41,197950.38,3.32
1133454.37,19.0,0.4,197675.35,3.31
1133693.13,19.01,0.41,197766.44,3.32
1133526.1,19.01,0.41,197693.76,3.32
1133359.07,19.01,0.41,197616.62,3.31
1133192.03,19.01,0.41,197612.14,3.31
1133192.03,19.01,0.41,197612.14,3.31
1133348.89,19.01,0.41,197649.75,3.32
1133181.86,19.01,0.41,197845.01,3.32
1133171.55,19.02,0.41,199170.67,3.34
1133004.52,19.02,0.41,199161.72,3.34
1132731.46,19.01,0.41,199231.28,3.34
1132564.42,19.01,0.41,199158.6,3.34
1132559.8,19.02,0.41,199239.88,3.35
1132549.49,19.02,0.42,198700.26,3.34
1132382.46,19.02,0.42,198623.12,3.34
1132088.57,19.02,0.41,198338.62,3.33
1131921.54,19.02,0.41,198334.14,3.33
1131754.51,19.02,0.41,198256.71,3.33
1131587.48,19.02,0.41,198252.52,3.33
1131420.44,19.02,0.41,198175.08,3.33
1131237.66,19.02,0.41,197545.21,3.32
1130953.68,19.02,0.41,197240.05,3.32
1130794.14,19.02,0.41,197238.01,3.32
1130611.45,19.01,0.41,197031.55,3.31
1130418.86,19.01,0.41,197084.08,3.31
1130253.63,19.01,0.41,197090.26,3.32
1130493.76,19.02,0.42,197062.78,3.32
1130650.61,19.02,0.42,197373.09,3.32
1130458.02,19.02,0.42,197342.09,3.32
1130453.39,19.03,0.42,197333.94,3.32
1130260.8,19.03,0.42,198004.64,3.33
1130093.77,19.03,0.42,197927.14,3.33
1129926.74,19.03,0.42,197923.01,3.33
1129743.57,19.03,0.42,197933.08,3.33
1129867.69,19.03,0.43,198087.76,3.34
1129709.34,19.03,0.43,198026.04,3.34
1129542.31,19.03,0.43,197948.54,3.33
1129375.28,19.03,0.43,197944.41,3.34
1129215.73,19.03,0.43,197944.72,3.34
1129455.86,19.04,0.43,198036.5,3.34
1129251.72,19.03,0.43,197825.01,3.33
1129059.13,19.03,0.43,197761.09,3.33
1129054.51,19.04,0.43,197720.93,3.33
1128861.92,19.04,0.43,198312.68,3.34
1128688.17,19.04,0.43,198175.76,3.34
1128521.14,19.04,0.43,198173.76,3.34
1128348.68,19.04,0.43,198548.3,3.35
1128181.65,19.04,0.43,198468.69,3.35
1128004.13,19.04,0.43,198278.93,3.35
1128198.74,19.04,0.44,197582.18,3.34
1128102.73,19.04,0.44,197919.78,3.34
1128092.42,19.05,0.44,197899.86,3.34
1127925.39,19.05,0.44,197897.86,3.34
1127758.36,19.05,0.44,197818.24,3.34
1127591.32,19.05,0.44,197816.23,3.34
1127581.02,19.05,0.44,197793.36,3.34
1127413.99,19.05,0.44,197713.74,3.34
1127215.72,19.05,0.44,197758.18,3.34
1127056.17,19.05,0.44,197755.24,3.34
1127056.17,19.05,0.44,197748.26,3.34
1126863.58,19.05,0.44,197727.03,3.34
1126450.23,19.05,0.44,197805.37,3.35
1126450.23,19.05,0.44,198089.84,3.35
1126445.6,19.05,0.45,197942.54,3.35
1126253.01,19.05,0.45,197796.88,3.35
1126060.42,19.05,0.45,198401.02,3.36
1126060.42,19.05,0.45,198401.02,3.36
1126294.87,19.06,0.45,198371.43,3.36
1126480.2,19.06,0.46,197891.54,3.35
1126480.2,19.06,0.46,197891.54,3.35
1126192.28,19.06,0.45,198430.29,3.36
1125994.01,19.06,0.45,198406.4,3.36
1125834.46,19.06,0.45,198409.66,3.36
1125641.87,19.06,0.45,198372.35,3.36
1125449.28,19.06,0.45,198445.5,3.36
1125266.11,19.06,0.45,198067.95,3.35
1124893.39,19.06,0.45,198684.91,3.37
1124691.38,19.06,0.45,198656.0,3.37
1124498.79,19.06,0.45,198604.31,3.37
1124494.16,19.06,0.45,198573.57,3.37
1124489.54,19.06,0.45,198567.9,3.37
1122901.31,19.06,0.45,198512.07,3.37
1122708.72,19.06,0.45,198992.55,3.38
1122525.94,19.06,0.45,198362.68,3.37
1122341.21,19.06,0.45,198193.56,3.37
1122581.34,19.06,0.46,198380.43,3.37
1122485.32,19.06,0.46,198258.69,3.37
1122324.61,19.06,0.46,198206.54,3.37
1122088.78,19.06,0.46,198063.83,3.36
1122088.78,19.06,0.46,198065.11,3.36
1122088.78,19.06,0.46,198065.11,3.36
1121921.75,19.06,0.46,197987.62,3.36
1121754.72,19.06,0.46,197983.49,3.36
1121382.0,19.06,0.45,197743.28,3.36
1121382.0,19.06,0.45,197743.28,3.36
1121095.09,19.06,0.45,197445.13,3.36
1121095.09,19.06,0.45,197445.13,3.36
1121211.87,19.06,0.45,197263.58,3.35
1121446.32,19.06,0.46,197178.32,3.35
1121426.59,19.07,0.46,197144.06,3.35
1121259.56,19.07,0.46,197066.62,3.35
1120886.84,19.06,0.46,197010.09,3.35
1120704.06,19.06,0.46,196380.22,3.34
1120420.08,19.06,0.46,196075.06,3.34
1120253.05,19.06,0.46,196070.87,3.34
1120070.27,19.06,0.46,195441.01,3.33
1120070.27,19.06,0.46,195441.01,3.33
1120304.71,19.07,0.46,196943.02,3.35
1120137.68,19.07,0.46,196865.87,3.35
1119853.7,19.07,0.46,196560.71,3.35
1119686.67,19.07,0.46,196556.23,3.35
1119519.63,19.07,0.46,196547.28,3.35
1119352.6,19.07,0.46,196474.6,3.35
1118989.89,19.06,0.46,195191.97,3.33
1119228.64,19.07,0.46,195283.05,3.33
1119023.92,19.07,0.46,195099.35,3.32
1118856.89,19.07,0.46,195022.2,3.32
1118689.86,19.07,0.46,195017.72,3.32
1118466.26,19.06,0.46,194842.99,3.32
1118466.26,19.06,0.46,194842.99,3.32
1118299.23,19.06,0.46,194824.73,3.32
1118116.45,19.06,0.46,194194.86,3.31
1118116.45,19.06,0.46,194194.86,3.31
1118116.45,19.06,0.46,194194.86,3.31
1118116.45,19.06,0.46,194194.86,3.31
1117832.46,19.06,0.45,193889.7,3.31
