ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d847-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
358,1844,348210,6212,348210
359,1846,349210,6212,349210
360,1854,357210,6212,357210
360,1854,358210,6212,358210
361,1856,358530,6212,358530
361,1856,359530,6212,359530
362,1858,360180,6212,360180
363,1866,360180,6212,360180
364,1874,361180,6212,361180
364,1874,361990,6212,361990
365,1876,362460,6212,362460
366,1878,362930,6212,362930
367,1880,363930,6212,363930
367,1880,364930,6212,364930
368,1882,365930,6212,365930
368,1882,365930,6212,365930
368,1882,366930,6212,366930
369,1890,367930,6212,367930
370,1898,368930,6212,368930
371,1906,369930,6212,369930
371,1906,370930,6212,370930
372,1908,371930,6212,371930
373,1916,372400,6212,372400
373,1916,372400,6212,372400
374,1924,373400,6212,373400
375,1926,373720,6212,373720
375,1926,374190,6212,374190
376,1928,375000,6212,375000
376,1928,376000,6212,376000
376,1928,376000,6212,376000
376,1928,376000,6212,376000
377,1930,377000,6212,377000
378,1932,378000,6212,378000
378,1932,379000,6212,379000
378,1932,380000,6212,380000
379,1940,381000,6212,381000
380,1948,382000,6212,382000
381,1956,383000,6212,383000
382,1964,383000,6212,383000
383,1966,383590,6212,383590
384,1968,384590,6212,384590
385,1970,384910,6212,384910
386,1978,385910,6212,385910
387,1982,386720,6212,386720
387,1982,387720,6212,387720
387,1982,388720,6212,388720
387,1982,389720,6212,389720
388,1990,389720,6212,389720
389,1998,389720,6212,389720
389,1998,390720,6212,390720
390,2000,391720,6212,391720
390,2000,392720,6212,392720
391,2008,392940,6212,392940
391,2008,393750,6212,393750
392,2010,394220,6212,394220
393,2012,395030,6212,395030
393,2012,396030,6212,396030
393,2012,396030,6212,396030
393,2012,397030,6212,397030
394,2020,398030,6212,398030
395,2028,398350,6212,398350
396,2036,398820,6212,398820
397,2044,399050,6212,399050
398,2052,399640,6212,399640
399,2060,400450,6212,400450
400,2068,401450,6212,401450
401,2070,402260,6212,402260
402,2078,402730,6212,402730
402,2078,403200,6212,403200
402,2078,403670,6212,403670
402,2078,404670,6212,404670
403,2080,405480,6212,405480
403,2080,405850,6212,405850
404,2082,406850,6212,406850
404,2082,407070,6212,407070
404,2082,408070,6212,408070
404,2082,408720,6212,408720
404,2082,408880,6212,408880
405,2084,409350,6212,409350
406,2092,410350,6212,410350
407,2096,411350,6212,411350
407,2096,411900,6212,411900
408,2098,412710,6212,412710
409,2106,413710,6212,413710
410,2110,414710,6212,414710
410,2110,415710,6212,415710
410,2110,416710,6212,416710
411,2112,417180,6212,417180
412,2120,417180,6212,417180
413,2128,417650,6212,417650
414,2136,418300,6212,418300
414,2136,418460,6212,418460
415,2138,419460,6212,419460
416,2146,420460,6212,420460
417,2148,421270,6212,421270
418,2150,422270,6212,422270
419,2158,422740,6212,422740
420,2166,423740,6212,423740
420,2166,424740,6212,424740
421,2168,425200,6212,425200
422,2170,425660,6212,425660
422,2170,426660,6212,426660
423,2178,426980,6212,426980
424,2180,427980,6212,427980
425,2188,428450,6212,428450
426,2196,429450,6212,429450
427,2204,430450,6212,430450
427,2204,431260,6212,431260
428,2212,432260,6212,432260
429,2214,433260,6212,433260
429,2214,433730,6212,433730
430,2215,434730,6212,434730
430,2215,435730,6212,435730
431,2223,436730,6212,436730
432,2225,437730,6212,437730
433,2233,438730,6212,438730
434,2241,446730,6212,446730
435,2249,447540,6212,447540
435,2249,448540,6212,448540
435,2249,449540,6212,449540
435,2249,450540,6212,450540
436,2251,451540,6212,451540
437,2259,452130,6212,452130
438,2267,452290,6212,452290
439,2269,453290,6212,453290
440,2271,454290,6212,454290
440,2271,458290,6212,458290
440,2271,459290,6212,459290
440,2271,459940,6212,459940
441,2275,460410,6212,460410
442,2283,460630,6212,460630
443,2291,461630,6212,461630
444,2299,462630,6212,462630
444,2299,462630,6212,462630
445,2303,463630,6212,463630
446,2311,464630,6212,464630
446,2311,464630,6212,464630
447,2319,465630,6212,465630
448,2327,466440,6212,466440
448,2327,467440,6212,467440
449,2335,468440,6212,468440
450,2343,468760,6212,468760
450,2343,469760,6212,469760
451,2347,470760,6212,470760
452,2355,471760,6212,471760
452,2355,472080,6212,472080
452,2355,472190,6212,472190
