ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu200-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_79bb-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1292717.01,21.54,1.05,198598.22,3.31
1292512.04,21.54,1.05,198613.51,3.31
1292307.06,21.54,1.05,198615.09,3.31
1292102.09,21.54,1.05,198611.86,3.31
1291897.11,21.54,1.05,198610.03,3.31
1291692.13,21.54,1.05,198552.63,3.31
1291487.16,21.54,1.05,198550.8,3.31
1291282.18,21.54,1.05,198548.73,3.31
1291265.99,21.55,1.05,198546.7,3.31
1291061.01,21.55,1.05,198544.84,3.31
1290856.03,21.55,1.05,198543.27,3.31
1290856.03,21.55,1.05,198541.61,3.31
1290651.06,21.55,1.05,198539.54,3.31
1290884.36,21.55,1.06,198284.9,3.31
1289244.56,21.56,1.06,198281.67,3.32
1289039.58,21.56,1.06,198279.84,3.32
1288834.61,21.56,1.06,198276.61,3.32
1288834.61,21.56,1.06,198276.61,3.32
1288629.63,21.56,1.06,198274.77,3.32
1288424.66,21.56,1.06,198271.54,3.32
1288408.46,21.56,1.06,198271.88,3.32
1288203.49,21.56,1.06,198268.65,3.32
1287998.51,21.56,1.06,198280.12,3.32
1287805.2,21.56,1.06,197618.8,3.31
1288039.63,21.57,1.07,197617.05,3.31
1288039.63,21.57,1.07,197559.65,3.31
1288274.06,21.57,1.07,197556.42,3.31
1288257.86,21.57,1.08,197650.66,3.31
1288052.89,21.57,1.08,197647.43,3.31
1288562.23,21.59,1.09,197615.19,3.31
1288357.26,21.59,1.09,197630.48,3.31
1288152.28,21.59,1.09,197627.25,3.31
1288386.71,21.59,1.1,197717.84,3.31
1291566.81,21.65,1.15,200499.12,3.36
1291801.24,21.65,1.15,200497.37,3.36
1291596.26,21.65,1.15,200497.37,3.36
1291391.29,21.65,1.15,200497.37,3.36
1291391.29,21.65,1.15,200494.14,3.36
1290752.55,21.64,1.15,199748.73,3.35
1290736.36,21.65,1.15,199825.88,3.35
1290970.79,21.65,1.16,199916.48,3.35
1290765.81,21.65,1.16,199913.24,3.35
1290560.84,21.65,1.16,199855.84,3.35
1290909.2,21.66,1.16,199852.61,3.35
1290909.2,21.66,1.16,199852.61,3.35
1290893.0,21.66,1.17,199946.85,3.36
1290876.8,21.67,1.17,200041.09,3.36
1290671.83,21.67,1.17,200037.86,3.36
1290466.85,21.67,1.17,200036.49,3.36
1290261.87,21.67,1.17,199979.09,3.36
1290056.9,21.67,1.17,199977.23,3.36
1290291.33,21.67,1.17,199975.48,3.36
1290116.35,21.67,1.17,199938.61,3.36
1290239.59,21.68,1.18,199935.38,3.36
1290034.61,21.68,1.18,199935.38,3.36
1289829.63,21.68,1.18,199933.55,3.36
1289624.66,21.68,1.18,199930.32,3.36
1289419.68,21.68,1.18,199927.09,3.36
1289214.71,21.68,1.18,199928.67,3.36
1289009.73,21.68,1.18,199927.3,3.36
1289244.16,21.68,1.19,199924.07,3.36
1289039.19,21.68,1.19,199924.07,3.36
1289039.19,21.68,1.19,199866.67,3.36
1289022.99,21.69,1.19,199960.91,3.36
1288818.01,21.69,1.19,199957.68,3.36
1288613.04,21.69,1.19,199957.68,3.37
1288613.04,21.69,1.19,199956.02,3.37
1288408.06,21.69,1.19,199930.01,3.37
1288408.06,21.69,1.19,199926.84,3.37
1288203.09,21.69,1.19,199928.43,3.37
1287933.46,21.69,1.19,200068.88,3.37
1287933.46,21.69,1.19,200067.22,3.37
1287933.46,21.69,1.19,200111.17,3.37
1286293.66,21.69,1.19,200107.94,3.37
1286088.68,21.69,1.19,200596.04,3.38
1285883.71,21.69,1.19,200593.97,3.38
1285883.71,21.69,1.19,200536.57,3.38
1285678.73,21.69,1.19,200534.72,3.38
1285801.97,21.69,1.2,200718.5,3.39
1284162.16,21.69,1.2,200715.27,3.39
1284145.96,21.7,1.2,200713.23,3.39
1284129.77,21.7,1.2,200711.19,3.39
1283750.36,21.7,1.2,200563.2,3.39
1284089.74,21.7,1.2,200370.16,3.39
1283884.76,21.7,1.21,200385.45,3.39
1283884.76,21.7,1.21,200451.01,3.39
1283868.56,21.71,1.21,200448.98,3.39
1284102.99,21.71,1.21,200445.75,3.39
1283898.02,21.71,1.21,200442.51,3.39
1283898.02,21.71,1.21,200440.86,3.39
1283898.02,21.71,1.21,200623.63,3.39
1284132.45,21.72,1.22,200714.23,3.39
1283927.47,21.72,1.22,200715.81,3.4
1283911.28,21.72,1.22,200715.81,3.4
1283706.3,21.72,1.22,200824.52,3.4
1283501.32,21.72,1.22,200822.69,3.4
1283735.76,21.73,1.23,200913.29,3.4
1284075.13,21.73,1.24,200720.24,3.4
1284414.5,21.74,1.24,200527.2,3.39
1284209.53,21.74,1.24,200523.97,3.39
1284209.53,21.74,1.24,200466.57,3.39
1284004.55,21.74,1.24,200464.72,3.39
1283799.58,21.74,1.24,200407.32,3.39
1283741.6,21.74,1.24,200281.84,3.39
1283974.9,21.75,1.25,200016.02,3.39
1284723.68,21.76,1.27,200265.55,3.39
1284518.71,21.76,1.27,200262.32,3.39
1284641.94,21.77,1.27,200262.32,3.39
1284961.82,21.78,1.28,200530.85,3.4
1284945.62,21.78,1.28,200528.82,3.4
1284929.43,21.78,1.28,200527.44,3.4
1284724.45,21.78,1.28,200524.21,3.4
1284519.47,21.78,1.28,200520.98,3.4
1284314.5,21.78,1.28,200522.56,3.4
1284314.5,21.78,1.28,200519.42,3.4
1284109.52,21.78,1.28,200930.18,3.41
1283904.55,21.78,1.28,200945.47,3.41
1283944.54,21.78,1.29,201666.61,3.42
1283739.57,21.78,1.29,201666.61,3.42
1283739.57,21.78,1.29,201609.21,3.42
1283534.59,21.78,1.29,201848.84,3.43
1283534.59,21.78,1.29,201848.84,3.43
1283329.62,21.78,1.29,201850.42,3.43
1283329.62,21.78,1.29,201847.28,3.43
1283124.64,21.78,1.29,201788.3,3.43
1283359.07,21.79,1.29,201788.3,3.43
1283154.09,21.79,1.29,201785.07,3.43
1282949.12,21.79,1.29,201785.07,3.43
1282744.14,21.79,1.29,201726.08,3.43
1282744.14,21.79,1.29,201812.16,3.43
1282727.95,21.79,1.3,201812.16,3.43
1282727.95,21.79,1.3,201856.11,3.43
1282522.97,21.79,1.3,202132.57,3.43
1282646.21,21.8,1.3,202200.07,3.44
1282441.23,21.8,1.3,202200.07,3.44
1282675.66,21.8,1.31,202290.66,3.44
1282901.8,21.81,1.31,202291.02,3.44
1282901.8,21.81,1.31,202334.97,3.44
1282696.83,21.81,1.31,202334.97,3.44
1282680.63,21.81,1.31,202332.93,3.44
1282664.43,21.81,1.32,202331.74,3.44
1282648.23,21.82,1.32,202331.74,3.44
1282443.26,21.82,1.32,202328.51,3.44
1282657.86,21.82,1.33,202325.27,3.44
1282892.29,21.83,1.33,202415.87,3.44
1282687.31,21.83,1.33,202412.64,3.44
1282482.34,21.83,1.33,202410.81,3.45
1282277.36,21.83,1.33,202408.74,3.45
1282261.17,21.83,1.34,202406.7,3.45
1282475.76,21.84,1.34,202403.47,3.45
1282824.12,21.84,1.35,202960.25,3.46
1282619.15,21.85,1.35,202960.25,3.46
1282602.95,21.85,1.35,202958.21,3.46
1282397.98,21.85,1.35,203012.36,3.46
1282725.68,21.85,1.36,203012.16,3.46
1282848.92,21.86,1.36,203079.66,3.46
1282643.94,21.86,1.36,203079.66,3.46
1282878.37,21.87,1.37,203076.42,3.46
1282862.18,21.87,1.37,203074.39,3.46
1282862.18,21.87,1.37,203071.22,3.46
1282657.2,21.87,1.37,203092.01,3.46
1282452.23,21.87,1.37,203092.01,3.46
1282436.03,21.87,1.37,203272.56,3.47
1282231.05,21.87,1.37,203287.85,3.47
1282214.86,21.87,1.38,203382.09,3.47
1282009.88,21.87,1.38,203407.07,3.47
1282244.31,21.88,1.38,203405.31,3.47
1282228.11,21.88,1.39,203405.31,3.47
1282351.35,21.89,1.39,203472.81,3.47
1282351.35,21.89,1.39,203415.41,3.47
1282146.37,21.89,1.39,203358.01,3.47
1282130.18,21.89,1.39,203452.25,3.47
1282130.18,21.89,1.39,203394.85,3.47
1281925.2,21.89,1.39,203391.62,3.47
1281909.0,21.89,1.4,203391.62,3.47
1281909.0,21.89,1.4,203389.96,3.47
1281704.03,21.89,1.4,203388.59,3.47
1281499.05,21.89,1.4,203386.75,3.47
1281733.48,21.9,1.4,203385.0,3.48
1281733.48,21.9,1.4,205685.03,3.51
1281528.51,21.9,1.4,205700.31,3.52
1281323.53,21.9,1.4,205698.46,3.52
