ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_a875-policy_GpuPacking1000desharemdaa65-de_share-gs_best-scmd_aa65-bellman_ratio
864418.7,14.57,0.97,191672.53,3.23
864197.44,14.57,0.97,191493.42,3.23
864061.46,14.57,0.97,191414.11,3.23
864114.17,14.57,0.97,191599.1,3.23
863978.19,14.57,0.97,191605.33,3.23
863842.21,14.57,0.97,191519.79,3.23
863706.23,14.57,0.97,191526.02,3.23
863570.26,14.57,0.97,191440.48,3.23
863434.28,14.57,0.97,191361.17,3.23
863298.3,14.57,0.97,191361.17,3.23
863542.34,14.58,0.98,191281.85,3.23
863595.04,14.58,0.98,191843.38,3.24
863647.74,14.58,0.98,191954.46,3.24
863511.76,14.58,0.98,191926.91,3.24
863375.79,14.58,0.98,191904.22,3.24
863239.81,14.58,0.98,191847.6,3.24
863292.51,14.59,0.99,191958.68,3.24
863156.53,14.59,0.99,191953.27,3.24
863020.55,14.59,0.99,191873.96,3.24
862884.58,14.59,0.99,191873.96,3.24
862884.58,14.59,0.99,191873.96,3.24
862748.6,14.59,0.99,191880.19,3.24
862476.65,14.59,0.99,191800.88,3.24
862476.65,14.59,0.99,191800.88,3.24
862529.35,14.59,0.99,191878.18,3.25
862852.04,14.6,1.0,191624.57,3.24
863097.98,14.6,1.01,191270.38,3.24
863097.98,14.6,1.01,191270.38,3.24
863394.0,14.61,1.01,191380.57,3.24
863122.05,14.61,1.01,191108.62,3.23
866523.55,14.66,1.07,194039.65,3.28
866227.12,14.66,1.06,193750.54,3.28
866091.14,14.66,1.06,193920.97,3.28
865955.16,14.66,1.06,193911.07,3.28
865819.19,14.66,1.06,193841.66,3.28
865683.21,14.66,1.06,193818.97,3.28
865078.01,14.65,1.06,193237.59,3.27
864706.01,14.65,1.05,192937.66,3.27
864570.03,14.65,1.05,192881.04,3.27
864434.05,14.65,1.05,192858.35,3.27
864486.76,14.65,1.05,192964.57,3.27
864539.46,14.65,1.06,193075.65,3.27
863451.64,14.66,1.06,193075.65,3.28
863315.66,14.66,1.06,193048.1,3.28
863179.68,14.66,1.06,193038.21,3.28
862978.42,14.65,1.06,192793.8,3.27
863274.44,14.66,1.06,193084.32,3.28
863327.14,14.66,1.06,193195.4,3.28
863191.16,14.66,1.06,193167.85,3.28
863055.19,14.66,1.06,193174.08,3.28
863055.19,14.66,1.06,193174.08,3.28
863055.19,14.66,1.06,193174.08,3.28
862919.21,14.66,1.06,193088.54,3.28
862783.23,14.66,1.07,193009.23,3.28
862411.23,14.66,1.06,192709.3,3.28
862411.23,14.66,1.06,192709.3,3.28
862795.89,14.66,1.07,193242.75,3.28
862795.89,14.66,1.07,193242.75,3.28
862305.26,14.66,1.06,192739.3,3.28
862601.28,14.66,1.07,192849.48,3.28
862653.98,14.67,1.07,193148.95,3.28
862518.0,14.67,1.07,193069.64,3.28
862146.0,14.66,1.06,192824.08,3.28
862010.03,14.66,1.06,192824.08,3.28
861874.05,14.66,1.06,192830.31,3.28
861738.07,14.66,1.07,192744.77,3.28
861602.09,14.66,1.07,192734.87,3.28
861602.09,14.66,1.07,192734.87,3.28
861898.11,14.67,1.07,193025.39,3.29
861762.14,14.67,1.07,192946.08,3.28
861626.16,14.67,1.07,192946.08,3.29
861490.18,14.67,1.07,192866.77,3.28
861354.21,14.67,1.07,192866.77,3.28
861600.15,14.68,1.08,192512.58,3.28
861238.15,14.67,1.07,192222.65,3.27
861162.95,14.67,1.07,192171.27,3.27
862060.41,14.69,1.09,192692.32,3.28
862417.61,14.7,1.1,192498.83,3.28
862281.63,14.7,1.1,192488.93,3.28
862165.23,14.7,1.1,192191.22,3.28
862165.23,14.7,1.1,192191.22,3.28
862029.26,14.7,1.1,192121.81,3.28
861338.93,14.69,1.09,191412.91,3.26
861338.93,14.69,1.09,191412.91,3.26
861338.93,14.69,1.09,191412.91,3.26
861338.93,14.69,1.09,191412.91,3.26
861202.96,14.69,1.09,191419.13,3.26
861066.98,14.69,1.09,191333.6,3.26
861066.98,14.69,1.09,191333.6,3.26
