ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ef25-policy_FGD1000desharemdaf9c-de_share-gs_FGDScore-scmd_af9c-arrived_gpu_milli
210,528,487280,6212,487280
210,528,487930,6212,487930
211,530,488930,6212,488930
211,530,489400,6212,489400
211,530,489400,6212,489400
212,532,490210,6212,490210
212,532,490680,6212,490680
212,532,491150,6212,491150
213,534,491960,6212,491960
213,534,492960,6212,492960
214,536,493960,6212,493960
214,536,494770,6212,494770
215,538,495770,6212,495770
215,538,496140,6212,496140
215,538,497140,6212,497140
216,540,497600,6212,497600
216,540,498600,6212,498600
217,542,499600,6212,499600
217,542,500600,6212,500600
218,544,501600,6212,501600
218,544,502250,6212,502250
219,546,503250,6212,503250
219,546,504250,6212,504250
220,548,505250,6212,505250
220,548,506060,6212,506060
220,548,506280,6212,506280
220,548,506280,6212,506280
221,550,507280,6212,507280
221,550,508280,6212,508280
222,552,509280,6212,509280
222,552,510280,6212,510280
223,554,511280,6212,511280
223,554,511750,6212,511750
223,554,512750,6212,512750
224,558,513210,6212,513210
225,560,514210,6212,514210
225,560,515210,6212,515210
225,560,516210,6212,516210
225,560,516210,6212,516210
226,562,517210,6212,517210
226,562,518210,6212,518210
226,562,518680,6212,518680
227,564,519680,6212,519680
227,564,520680,6212,520680
228,566,521680,6212,521680
228,566,522330,6212,522330
229,568,523330,6212,523330
229,568,523330,6212,523330
229,568,524140,6212,524140
229,568,524490,6212,524490
229,568,524490,6212,524490
229,568,524490,6212,524490
230,570,525490,6212,525490
231,572,527490,6212,527490
231,572,528300,6212,528300
232,576,529300,6212,529300
232,576,529770,6212,529770
232,576,530770,6212,530770
232,576,531420,6212,531420
232,576,531740,6212,531740
233,578,532550,6212,532550
233,578,533360,6212,533360
234,580,534360,6212,534360
234,580,535170,6212,535170
234,580,535170,6212,535170
234,580,535170,6212,535170
235,584,539170,6212,539170
236,588,539760,6212,539760
237,590,540760,6212,540760
237,590,541760,6212,541760
238,592,542760,6212,542760
239,600,550760,6212,550760
239,600,551760,6212,551760
240,602,552760,6212,552760
240,602,553760,6212,553760
241,610,561760,6212,561760
242,612,562760,6212,562760
242,612,563760,6212,563760
242,612,564570,6212,564570
243,614,565570,6212,565570
243,614,566380,6212,566380
243,614,567380,6212,567380
243,614,568380,6212,568380
244,616,569380,6212,569380
244,616,570380,6212,570380
245,618,571380,6212,571380
245,618,572380,6212,572380
246,620,573380,6212,573380
246,620,573850,6212,573850
246,620,574850,6212,574850
247,622,575850,6212,575850
248,624,576850,6212,576850
249,632,584850,6212,584850
249,632,585320,6212,585320
249,632,586320,6212,586320
249,632,586320,6212,586320
249,632,586690,6212,586690
250,634,587500,6212,587500
250,634,588310,6212,588310
251,636,589310,6212,589310
251,636,589770,6212,589770
251,636,589770,6212,589770
252,638,590770,6212,590770
252,638,591770,6212,591770
253,640,592770,6212,592770
254,642,593770,6212,593770
254,642,593770,6212,593770
254,642,594770,6212,594770
254,642,595000,6212,595000
254,642,595000,6212,595000
254,642,595000,6212,595000
254,642,595000,6212,595000
254,642,596000,6212,596000
255,644,596810,6212,596810
255,644,597620,6212,597620
255,644,597620,6212,597620
255,644,598090,6212,598090
255,644,598410,6212,598410
256,646,599410,6212,599410
257,650,600220,6212,600220
257,650,601220,6212,601220
257,650,602220,6212,602220
257,650,602220,6212,602220
258,652,603220,6212,603220
258,652,603770,6212,603770
258,652,604580,6212,604580
258,652,605580,6212,605580
259,654,606580,6212,606580
259,654,606900,6212,606900
259,654,607900,6212,607900
259,654,608130,6212,608130
