ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
242,1243,171050,6212,171050
243,1251,171370,6212,171370
244,1253,171840,6212,171840
245,1261,172650,6212,172650
246,1269,173460,6212,173460
247,1271,173780,6212,173780
248,1279,173780,6212,173780
249,1283,174780,6212,174780
249,1283,175430,6212,175430
250,1285,175900,6212,175900
251,1287,176710,6212,176710
252,1291,177520,6212,177520
253,1299,177840,6212,177840
253,1299,178160,6212,178160
253,1299,179160,6212,179160
254,1301,179620,6212,179620
255,1309,179940,6212,179940
256,1311,180410,6212,180410
256,1311,181220,6212,181220
256,1311,182220,6212,182220
257,1319,183220,6212,183220
258,1327,184030,6212,184030
259,1335,185030,6212,185030
260,1343,185840,6212,185840
261,1345,186650,6212,186650
262,1347,187650,6212,187650
263,1349,187650,6212,187650
264,1357,187650,6212,187650
265,1359,188120,6212,188120
266,1367,188590,6212,188590
267,1369,189240,6212,189240
268,1377,190050,6212,190050
268,1377,190860,6212,190860
269,1385,191670,6212,191670
270,1393,191670,6212,191670
271,1401,191830,6212,191830
272,1403,191830,6212,191830
273,1411,192300,6212,192300
274,1413,193300,6212,193300
275,1421,194300,6212,194300
276,1423,194530,6212,194530
277,1431,195340,6212,195340
278,1433,195710,6212,195710
279,1441,195710,6212,195710
280,1449,195710,6212,195710
281,1451,196520,6212,196520
282,1453,197520,6212,197520
283,1454,198330,6212,198330
284,1462,199140,6212,199140
285,1464,199950,6212,199950
285,1464,200950,6212,200950
286,1468,201420,6212,201420
287,1470,202420,6212,202420
288,1478,202420,6212,202420
289,1480,202740,6212,202740
289,1480,202740,6212,202740
290,1488,202970,6212,202970
291,1490,203190,6212,203190
291,1490,203350,6212,203350
292,1498,204350,6212,204350
293,1500,204670,6212,204670
293,1500,204670,6212,204670
293,1500,204670,6212,204670
294,1501,205480,6212,205480
295,1503,206030,6212,206030
296,1511,206500,6212,206500
297,1513,207050,6212,207050
298,1515,207600,6212,207600
298,1515,208410,6212,208410
299,1517,209220,6212,209220
300,1525,210030,6212,210030
301,1533,211030,6212,211030
301,1533,211840,6212,211840
302,1541,212490,6212,212490
303,1549,213080,6212,213080
304,1557,213080,6212,213080
305,1565,213890,6212,213890
306,1567,214350,6212,214350
307,1569,215160,6212,215160
308,1571,215160,6212,215160
309,1579,215970,6212,215970
309,1579,216620,6212,216620
309,1579,216940,6212,216940
309,1579,217170,6212,217170
310,1580,217720,6212,217720
311,1582,217880,6212,217880
312,1584,218340,6212,218340
313,1592,218820,6212,218820
314,1594,219820,6212,219820
315,1598,219820,6212,219820
316,1600,220050,6212,220050
317,1608,220050,6212,220050
318,1610,220520,6212,220520
319,1612,221330,6212,221330
320,1620,222140,6212,222140
321,1628,222610,6212,222610
322,1636,222610,6212,222610
323,1638,223070,6212,223070
323,1638,223540,6212,223540
323,1638,223860,6212,223860
324,1646,224330,6212,224330
325,1654,224980,6212,224980
326,1658,225980,6212,225980
326,1658,226980,6212,226980
327,1662,227630,6212,227630
327,1662,228100,6212,228100
327,1662,228560,6212,228560
327,1662,229210,6212,229210
328,1664,229680,6212,229680
329,1672,230490,6212,230490
329,1672,231490,6212,231490
330,1674,232140,6212,232140
331,1682,232610,6212,232610
331,1682,232610,6212,232610
332,1684,233610,6212,233610
333,1692,233930,6212,233930
334,1694,234410,6212,234410
334,1694,235220,6212,235220
335,1695,236030,6212,236030
336,1697,236500,6212,236500
337,1705,236500,6212,236500
338,1713,236500,6212,236500
339,1715,237310,6212,237310
339,1715,237780,6212,237780
339,1715,237780,6212,237780
340,1717,237940,6212,237940
341,1719,238750,6212,238750
342,1721,239400,6212,239400
343,1722,240400,6212,240400
344,1724,241400,6212,241400
345,1726,241870,6212,241870
346,1734,242340,6212,242340
346,1734,242340,6212,242340
347,1742,243150,6212,243150
348,1744,243960,6212,243960
349,1752,243960,6212,243960
350,1754,244960,6212,244960
351,1756,245770,6212,245770
352,1764,245990,6212,245990
352,1764,246460,6212,246460
353,1772,247270,6212,247270
353,1772,247500,6212,247500
354,1780,247970,6212,247970
355,1782,248970,6212,248970
356,1784,249130,6212,249130
357,1792,250130,6212,250130
357,1792,250780,6212,250780
358,1800,251590,6212,251590
359,1808,252140,6212,252140
360,1810,252950,6212,252950
361,1818,253420,6212,253420
362,1820,253420,6212,253420
363,1828,254230,6212,254230
363,1828,255230,6212,255230
364,1830,255690,6212,255690
365,1832,256150,6212,256150
366,1840,256150,6212,256150
366,1840,256620,6212,256620
367,1842,257620,6212,257620
368,1844,257620,6212,257620
368,1844,258430,6212,258430
369,1846,259240,6212,259240
369,1846,259890,6212,259890
369,1846,260890,6212,260890
370,1848,261890,6212,261890
370,1848,262360,6212,262360
371,1856,263170,6212,263170
372,1864,263980,6212,263980
373,1866,264450,6212,264450
373,1866,264920,6212,264920
374,1868,265920,6212,265920
374,1868,266250,6212,266250
375,1870,267250,6212,267250
376,1878,268250,6212,268250
377,1886,269250,6212,269250
378,1894,270250,6212,270250
379,1902,271060,6212,271060
380,1904,271060,6212,271060
380,1904,271710,6212,271710
381,1912,272360,6212,272360
382,1916,272360,6212,272360
383,1924,272950,6212,272950
384,1932,273110,6212,273110
385,1940,273430,6212,273430
386,1942,274430,6212,274430
387,1950,275430,6212,275430
388,1958,276240,6212,276240
389,1960,276710,6212,276710
389,1960,277520,6212,277520
389,1960,278520,6212,278520
390,1968,279330,6212,279330
390,1968,279800,6212,279800
391,1976,279800,6212,279800
392,1984,280610,6212,280610
392,1984,280610,6212,280610
393,1992,281080,6212,281080
394,1996,281730,6212,281730
395,2004,281780,6212,281780
396,2012,281780,6212,281780
397,2020,282250,6212,282250
397,2020,282360,6212,282360
