ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_107d-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
873759.25,14.3,0.68,191186.7,3.13
873759.25,14.3,0.68,190933.31,3.13
873501.75,14.3,0.68,190479.21,3.12
873823.39,14.31,0.69,190683.34,3.12
873687.19,14.31,0.69,190683.08,3.12
873907.46,14.31,0.69,190738.1,3.12
873959.4,14.31,0.69,190738.21,3.12
874011.33,14.32,0.7,190861.19,3.13
874279.46,14.32,0.7,190860.93,3.13
874500.78,14.33,0.71,191181.56,3.13
874767.13,14.33,0.71,190938.06,3.13
874767.13,14.33,0.71,190937.8,3.13
875035.25,14.34,0.72,190937.54,3.13
875356.9,14.34,0.72,190927.46,3.13
875220.69,14.34,0.72,190797.04,3.13
875084.49,14.34,0.72,190796.78,3.13
875136.42,14.35,0.73,190796.78,3.13
875308.23,14.35,0.73,190877.35,3.13
875172.03,14.35,0.73,190746.94,3.13
875035.82,14.35,0.73,190616.52,3.13
875087.75,14.35,0.73,190616.63,3.13
875309.07,14.36,0.74,190616.37,3.13
875630.72,14.36,0.74,190616.11,3.13
875682.65,14.37,0.75,190616.11,3.13
875734.58,14.37,0.75,190841.55,3.13
875790.38,14.37,0.75,190483.38,3.13
876058.51,14.38,0.76,190627.13,3.13
875922.3,14.38,0.76,190607.79,3.13
876190.43,14.38,0.76,190607.53,3.13
876242.37,14.39,0.77,190730.51,3.13
876470.43,14.39,0.77,190730.51,3.13
876522.36,14.39,0.77,190730.51,3.13
876694.18,14.4,0.78,190730.24,3.13
876746.11,14.4,0.78,190853.22,3.13
876746.11,14.4,0.78,190857.61,3.13
876488.61,14.4,0.78,190403.51,3.13
876669.12,14.4,0.78,190403.92,3.13
876937.25,14.41,0.79,190393.42,3.13
877192.31,14.41,0.79,190393.16,3.13
