ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d31e-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
268,1462,203050,6212,203050
269,1470,203860,6212,203860
269,1470,204330,6212,204330
270,1472,205140,6212,205140
271,1474,205950,6212,205950
272,1476,206320,6212,206320
273,1478,206970,6212,206970
273,1478,206970,6212,206970
274,1480,207970,6212,207970
275,1482,207970,6212,207970
276,1490,208780,6212,208780
277,1492,209780,6212,209780
278,1500,210780,6212,210780
279,1502,211590,6212,211590
280,1504,212400,6212,212400
281,1506,212870,6212,212870
282,1508,212870,6212,212870
282,1508,212870,6212,212870
283,1510,213680,6212,213680
284,1512,214680,6212,214680
285,1514,215000,6212,215000
286,1522,215320,6212,215320
287,1530,216130,6212,216130
287,1530,217130,6212,217130
288,1532,217450,6212,217450
289,1540,218450,6212,218450
290,1544,218450,6212,218450
291,1546,218920,6212,218920
291,1546,218920,6212,218920
291,1546,219150,6212,219150
292,1554,220150,6212,220150
293,1562,221150,6212,221150
294,1564,222150,6212,222150
295,1572,223150,6212,223150
296,1574,223150,6212,223150
297,1576,223150,6212,223150
298,1584,223310,6212,223310
299,1586,224310,6212,224310
300,1588,224770,6212,224770
301,1590,225240,6212,225240
301,1590,226240,6212,226240
302,1592,226350,6212,226350
303,1594,227160,6212,227160
304,1602,227630,6212,227630
305,1610,228630,6212,228630
306,1618,229280,6212,229280
307,1620,230090,6212,230090
307,1620,231090,6212,231090
307,1620,231090,6212,231090
307,1620,231900,6212,231900
307,1620,232370,6212,232370
308,1622,233180,6212,233180
309,1624,233180,6212,233180
309,1624,233830,6212,233830
310,1632,234640,6212,234640
310,1632,235450,6212,235450
311,1634,236260,6212,236260
311,1634,237260,6212,237260
312,1636,237480,6212,237480
312,1636,238480,6212,238480
313,1638,239130,6212,239130
314,1642,240130,6212,240130
315,1650,240130,6212,240130
316,1652,240450,6212,240450
316,1652,240450,6212,240450
317,1654,241450,6212,241450
318,1656,242100,6212,242100
319,1658,242750,6212,242750
319,1658,243070,6212,243070
320,1666,243070,6212,243070
321,1674,243540,6212,243540
322,1682,244350,6212,244350
322,1682,244900,6212,244900
323,1690,245220,6212,245220
323,1690,246220,6212,246220
324,1692,247220,6212,247220
325,1694,248220,6212,248220
326,1696,248680,6212,248680
326,1696,249490,6212,249490
327,1698,250490,6212,250490
328,1700,251490,6212,251490
329,1702,252140,6212,252140
329,1702,252950,6212,252950
329,1702,253950,6212,253950
329,1702,254760,6212,254760
329,1702,255080,6212,255080
330,1710,255080,6212,255080
331,1718,256080,6212,256080
332,1726,256890,6212,256890
332,1726,257540,6212,257540
332,1726,258540,6212,258540
333,1728,258770,6212,258770
334,1736,259240,6212,259240
335,1744,259240,6212,259240
336,1746,259240,6212,259240
337,1754,259470,6212,259470
338,1756,260280,6212,260280
339,1758,260280,6212,260280
340,1766,260740,6212,260740
341,1774,261210,6212,261210
342,1776,262020,6212,262020
343,1784,263020,6212,263020
344,1792,264020,6212,264020
345,1796,264250,6212,264250
346,1800,264900,6212,264900
347,1808,264900,6212,264900
348,1810,265550,6212,265550
349,1812,266550,6212,266550
349,1812,266550,6212,266550
350,1820,267550,6212,267550
351,1828,268550,6212,268550
352,1830,269360,6212,269360
353,1832,270170,6212,270170
354,1836,270640,6212,270640
355,1838,271110,6212,271110
356,1840,271920,6212,271920
356,1840,272920,6212,272920
356,1840,273570,6212,273570
357,1848,274570,6212,274570
358,1856,275040,6212,275040
359,1864,275510,6212,275510
360,1872,276320,6212,276320
360,1872,277320,6212,277320
360,1872,278130,6212,278130
361,1874,278130,6212,278130
362,1882,279130,6212,279130
362,1882,280130,6212,280130
363,1884,280600,6212,280600
363,1884,281070,6212,281070
364,1892,281070,6212,281070
364,1892,281230,6212,281230
365,1900,282230,6212,282230
366,1902,282230,6212,282230
367,1904,283230,6212,283230
368,1906,284230,6212,284230
369,1914,284550,6212,284550
370,1918,285550,6212,285550
370,1918,286550,6212,286550
371,1922,287360,6212,287360
371,1922,288360,6212,288360
372,1924,288830,6212,288830
373,1926,289640,6212,289640
373,1926,290110,6212,290110
374,1934,291110,6212,291110
374,1934,291270,6212,291270
374,1934,292270,6212,292270
375,1942,293270,6212,293270
376,1950,294270,6212,294270
377,1958,295270,6212,295270
378,1962,295380,6212,295380
379,1970,295380,6212,295380
380,1972,296380,6212,296380
380,1972,296610,6212,296610
381,1974,296610,6212,296610
382,1982,297420,6212,297420
383,1990,298010,6212,298010
383,1990,298470,6212,298470
384,1998,299470,6212,299470
385,2006,300470,6212,300470
386,2014,301280,6212,301280
386,2014,302090,6212,302090
387,2016,302740,6212,302740
388,2024,303740,6212,303740
389,2026,304060,6212,304060
390,2034,304280,6212,304280
391,2036,304280,6212,304280
392,2044,304740,6212,304740
393,2046,304740,6212,304740
394,2048,304960,6212,304960
395,2056,305510,6212,305510
395,2056,306320,6212,306320
395,2056,306320,6212,306320
396,2064,307130,6212,307130
396,2064,307940,6212,307940
397,2066,307940,6212,307940
398,2070,308940,6212,308940
399,2072,309410,6212,309410
399,2072,309880,6212,309880
400,2074,310880,6212,310880
400,2074,311350,6212,311350
401,2076,311350,6212,311350
402,2084,312160,6212,312160
402,2084,312160,6212,312160
403,2092,313160,6212,313160
404,2094,313810,6212,313810
404,2094,314620,6212,314620
405,2102,315090,6212,315090
406,2110,315900,6212,315900
407,2112,316370,6212,316370
408,2120,317370,6212,317370
409,2128,318370,6212,318370
410,2130,319180,6212,319180
411,2138,320180,6212,320180
411,2138,321180,6212,321180
411,2138,322180,6212,322180
412,2140,322730,6212,322730
412,2140,322730,6212,322730
412,2140,323730,6212,323730
413,2148,324200,6212,324200
413,2148,324520,6212,324520
413,2148,325520,6212,325520
413,2148,326520,6212,326520
414,2156,327520,6212,327520
414,2156,327520,6212,327520
414,2156,327890,6212,327890
415,2164,328890,6212,328890
416,2166,329890,6212,329890
416,2166,329890,6212,329890
416,2166,330890,6212,330890
416,2166,330890,6212,330890
416,2166,331700,6212,331700
417,2174,332290,6212,332290
418,2176,333100,6212,333100
419,2184,333910,6212,333910
420,2186,334910,6212,334910
421,2194,335230,6212,335230
421,2194,336230,6212,336230
421,2194,336230,6212,336230
422,2196,336230,6212,336230
422,2196,337230,6212,337230
422,2196,338230,6212,338230
423,2198,339230,6212,339230
424,2200,339550,6212,339550
425,2208,340100,6212,340100
426,2210,341100,6212,341100
427,2212,342100,6212,342100
428,2214,343100,6212,343100
428,2214,343910,6212,343910
429,2222,344720,6212,344720
430,2230,344720,6212,344720
430,2230,345190,6212,345190
431,2238,346190,6212,346190
432,2246,346510,6212,346510
432,2246,347510,6212,347510
432,2246,347980,6212,347980
433,2248,348790,6212,348790
434,2250,349790,6212,349790
434,2250,350600,6212,350600
434,2250,351600,6212,351600
435,2258,352410,6212,352410
436,2266,352730,6212,352730
437,2268,352960,6212,352960
437,2268,353610,6212,353610
437,2268,354610,6212,354610
438,2276,355420,6212,355420
438,2276,355420,6212,355420
439,2284,356420,6212,356420
440,2286,357420,6212,357420
441,2294,358420,6212,358420
441,2294,358580,6212,358580
442,2302,359230,6212,359230
443,2304,359230,6212,359230
443,2304,360040,6212,360040
444,2306,360630,6212,360630
445,2308,361630,6212,361630
446,2310,362440,6212,362440
446,2310,362910,6212,362910
446,2310,363910,6212,363910
447,2314,364910,6212,364910
448,2318,365910,6212,365910
449,2326,366380,6212,366380
450,2328,367380,6212,367380
450,2328,367850,6212,367850
451,2336,368850,6212,368850
452,2344,369170,6212,369170
452,2344,369170,6212,369170
453,2352,370170,6212,370170
454,2354,370170,6212,370170
455,2356,370170,6212,370170
456,2364,371170,6212,371170
457,2366,372170,6212,372170
457,2366,373170,6212,373170
457,2366,373170,6212,373170
458,2370,373980,6212,373980
459,2372,374450,6212,374450
460,2374,375450,6212,375450
460,2374,376450,6212,376450
460,2374,377450,6212,377450
461,2382,378450,6212,378450
462,2384,378770,6212,378770
463,2392,378770,6212,378770
464,2396,379770,6212,379770
465,2404,380580,6212,380580
466,2412,381580,6212,381580
466,2412,381810,6212,381810
466,2412,382810,6212,382810
466,2412,383620,6212,383620
466,2412,383850,6212,383850
467,2420,384850,6212,384850
468,2428,385400,6212,385400
469,2436,386400,6212,386400
470,2438,386630,6212,386630
471,2440,387630,6212,387630
472,2442,387630,6212,387630
473,2450,387860,6212,387860
474,2458,388860,6212,388860
475,2466,389670,6212,389670
476,2474,389670,6212,389670
477,2476,390480,6212,390480
477,2476,391480,6212,391480
477,2476,392290,6212,392290
478,2484,393290,6212,393290
479,2492,394290,6212,394290
479,2492,395290,6212,395290
480,2496,395290,6212,395290
480,2496,395290,6212,395290
480,2496,395660,6212,395660
480,2496,395660,6212,395660
480,2496,395660,6212,395660
481,2498,396660,6212,396660
482,2500,397660,6212,397660
482,2500,398660,6212,398660
483,2502,399210,6212,399210
484,2510,400210,6212,400210
484,2510,400680,6212,400680
485,2512,401150,6212,401150
485,2512,402150,6212,402150
486,2520,402470,6212,402470
487,2522,403470,6212,403470
487,2522,404470,6212,404470
488,2530,405020,6212,405020
489,2538,405020,6212,405020
489,2538,405830,6212,405830
490,2540,406380,6212,406380
491,2548,407380,6212,407380
492,2550,408380,6212,408380
493,2552,408380,6212,408380
494,2560,409380,6212,409380
495,2568,410190,6212,410190
495,2568,411190,6212,411190
495,2568,411190,6212,411190
496,2576,411510,6212,411510
496,2576,411510,6212,411510
497,2584,419510,6212,419510
497,2584,419510,6212,419510
497,2584,420510,6212,420510
498,2592,421510,6212,421510
499,2600,421510,6212,421510
499,2600,421510,6212,421510
499,2600,422510,6212,422510
500,2602,423510,6212,423510
501,2604,424320,6212,424320
501,2604,424970,6212,424970
502,2612,425970,6212,425970
502,2612,426440,6212,426440
502,2612,427250,6212,427250
503,2620,427840,6212,427840
504,2622,428840,6212,428840
504,2622,429130,6212,429130
505,2624,429130,6212,429130
505,2624,429130,6212,429130
506,2626,429600,6212,429600
507,2634,430250,6212,430250
507,2634,430620,6212,430620
507,2634,430940,6212,430940
507,2634,431940,6212,431940
507,2634,431940,6212,431940
507,2634,432410,6212,432410
508,2642,432880,6212,432880
508,2642,433110,6212,433110
509,2650,434110,6212,434110
509,2650,435110,6212,435110
509,2650,435580,6212,435580
510,2652,436580,6212,436580
