ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d2df-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
869818.53,14.21,0.62,195733.36,3.2
870015.09,14.21,0.62,195742.57,3.2
870252.57,14.22,0.63,195585.01,3.2
870432.28,14.22,0.63,195576.96,3.2
870296.37,14.22,0.63,195579.74,3.2
870160.46,14.22,0.63,195523.77,3.2
870346.12,14.23,0.64,195586.35,3.2
870396.57,14.23,0.64,195778.81,3.2
870576.28,14.23,0.64,195770.76,3.2
870626.73,14.24,0.65,195770.71,3.2
870823.29,14.24,0.65,195770.29,3.2
870870.66,14.24,0.65,195428.58,3.2
871050.36,14.25,0.66,195420.53,3.2
870940.72,14.25,0.65,195282.08,3.19
871100.4,14.25,0.66,195376.3,3.2
871280.1,14.25,0.66,195368.25,3.2
871407.45,14.26,0.67,195264.0,3.19
871587.15,14.26,0.67,195263.58,3.19
871626.64,14.26,0.67,195015.66,3.19
871677.09,14.26,0.67,195015.61,3.19
871677.09,14.26,0.67,195022.72,3.19
871421.48,14.26,0.67,194933.01,3.19
871471.93,14.26,0.67,195059.42,3.19
871522.38,14.27,0.68,195059.37,3.19
872109.89,14.28,0.69,195184.6,3.2
872109.89,14.28,0.69,195191.71,3.2
872148.5,14.28,0.69,194982.6,3.19
872198.95,14.28,0.69,194982.55,3.19
872378.66,14.29,0.7,194982.55,3.19
872426.02,14.29,0.7,194640.84,3.19
872611.68,14.29,0.7,194640.42,3.19
872662.12,14.3,0.71,194640.42,3.19
872821.8,14.3,0.71,194640.0,3.19
873018.37,14.3,0.71,194571.96,3.19
873198.07,14.31,0.72,194563.91,3.19
873062.17,14.31,0.72,194563.91,3.19
873062.17,14.31,0.72,194440.44,3.19
872896.58,14.31,0.72,194557.05,3.19
872896.58,14.31,0.72,194556.62,3.19
873102.48,14.31,0.72,194523.84,3.19
873288.14,14.32,0.72,194495.47,3.19
873447.82,14.32,0.73,194495.05,3.19
873693.28,14.32,0.73,194434.12,3.19
873886.75,14.33,0.74,194262.08,3.19
873937.2,14.33,0.74,194262.03,3.19
873801.29,14.33,0.74,194261.61,3.19
873960.97,14.33,0.74,194261.19,3.19
874206.43,14.34,0.75,194260.77,3.19
874660.71,14.35,0.76,194242.18,3.19
874866.1,14.35,0.76,194241.76,3.19
874916.55,14.36,0.76,194241.71,3.19
874963.91,14.36,0.77,193900.01,3.18
875160.48,14.36,0.77,193899.59,3.18
875357.04,14.37,0.78,193899.16,3.18
875536.75,14.37,0.78,193899.13,3.18
875722.41,14.37,0.78,193898.71,3.18
875722.41,14.37,0.78,193752.21,3.18
875772.86,14.38,0.79,193878.63,3.18
875636.95,14.38,0.79,193732.13,3.18
875816.66,14.38,0.79,193732.1,3.18
875996.36,14.39,0.79,193732.1,3.18
876192.93,14.39,0.8,193731.68,3.18
876372.63,14.39,0.8,193731.65,3.18
876552.34,14.4,0.81,193731.62,3.18
876791.02,14.4,0.81,193731.19,3.18
876987.59,14.41,0.82,193730.77,3.18
877403.11,14.41,0.82,193518.26,3.18
877453.56,14.42,0.83,193861.16,3.19
877650.13,14.42,0.83,194573.93,3.2
878056.55,14.43,0.84,195004.16,3.2
878056.55,14.43,0.84,194948.21,3.2
878107.0,14.43,0.84,194948.16,3.2
879208.67,14.45,0.86,195768.38,3.22
879208.67,14.45,0.86,195767.96,3.22
879405.24,14.45,0.86,195767.96,3.22
879564.92,14.46,0.87,195862.18,3.22
879750.58,14.46,0.87,195833.81,3.22
879910.25,14.47,0.88,195833.38,3.22
879960.7,14.47,0.88,195833.34,3.22
880140.41,14.47,0.88,195825.28,3.22
880320.11,14.48,0.89,195828.21,3.22
880558.8,14.48,0.89,195827.79,3.22
880755.37,14.49,0.9,196381.68,3.23
880805.82,14.49,0.9,196381.63,3.23
880856.27,14.49,0.9,196381.58,3.23
881038.16,14.5,0.9,196617.57,3.23
881038.16,14.5,0.9,196617.15,3.23
881223.82,14.5,0.91,196617.15,3.24
881403.53,14.5,0.91,196617.12,3.24
881267.62,14.5,0.91,196799.47,3.24
881447.33,14.51,0.92,196791.42,3.24
881973.99,14.52,0.93,196797.16,3.24
882214.56,14.52,0.93,196796.73,3.24
882265.01,14.52,0.93,196796.69,3.24
882450.67,14.53,0.94,196796.31,3.24
882450.67,14.53,0.94,196803.43,3.24
882450.67,14.53,0.94,196974.78,3.24
882314.77,14.53,0.94,196828.28,3.24
882494.47,14.53,0.94,196820.23,3.24
882733.16,14.54,0.95,196820.23,3.24
884446.42,14.57,0.98,197905.74,3.26
884626.12,14.57,0.98,197897.69,3.26
884822.69,14.57,0.98,197897.27,3.26
885063.26,14.58,0.99,197841.53,3.26
885222.94,14.58,0.99,197841.11,3.26
885402.64,14.59,1.0,198189.51,3.27
885453.09,14.59,1.0,198189.46,3.27
885453.09,14.59,1.0,198189.04,3.27
885733.4,14.6,1.01,197992.76,3.26
885926.88,14.6,1.01,197820.71,3.26
885977.33,14.6,1.01,197820.67,3.26
886027.77,14.61,1.02,197820.67,3.26
886243.44,14.61,1.02,197766.87,3.26
886423.14,14.62,1.02,197758.82,3.26
