ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_default-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_52ce-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
486,2552,435250,6212,435250
487,2560,435720,6212,435720
487,2560,436190,6212,436190
488,2568,437000,6212,437000
489,2576,438000,6212,438000
489,2576,438320,6212,438320
489,2576,439320,6212,439320
489,2576,440130,6212,440130
490,2584,440600,6212,440600
490,2584,441600,6212,441600
491,2592,441920,6212,441920
492,2600,442730,6212,442730
493,2608,442890,6212,442890
493,2608,443890,6212,443890
494,2610,444540,6212,444540
495,2618,444540,6212,444540
496,2626,445540,6212,445540
497,2628,446010,6212,446010
497,2628,447010,6212,447010
498,2636,447330,6212,447330
498,2636,448330,6212,448330
499,2638,449330,6212,449330
500,2646,449700,6212,449700
501,2648,450700,6212,450700
502,2656,451700,6212,451700
503,2664,452700,6212,452700
504,2666,453700,6212,453700
505,2674,454700,6212,454700
506,2676,455700,6212,455700
506,2676,456700,6212,456700
507,2678,456700,6212,456700
508,2680,456700,6212,456700
509,2682,456930,6212,456930
510,2684,457930,6212,457930
511,2692,457930,6212,457930
511,2692,458250,6212,458250
511,2692,458720,6212,458720
511,2692,459720,6212,459720
511,2692,460720,6212,460720
512,2694,461720,6212,461720
513,2696,462530,6212,462530
514,2698,463340,6212,463340
515,2706,463820,6212,463820
516,2714,464820,6212,464820
517,2722,465820,6212,465820
518,2724,466820,6212,466820
519,2732,466820,6212,466820
519,2732,467820,6212,467820
519,2732,468820,6212,468820
520,2734,469630,6212,469630
521,2736,470630,6212,470630
522,2738,471100,6212,471100
523,2746,472100,6212,472100
524,2754,472910,6212,472910
524,2754,473720,6212,473720
525,2762,474720,6212,474720
526,2770,475720,6212,475720
527,2778,476720,6212,476720
527,2778,477530,6212,477530
527,2778,477760,6212,477760
527,2778,478760,6212,478760
527,2778,478760,6212,478760
528,2786,479760,6212,479760
529,2794,479980,6212,479980
529,2794,480450,6212,480450
529,2794,481260,6212,481260
530,2802,482260,6212,482260
531,2810,483260,6212,483260
532,2812,484260,6212,484260
533,2814,485070,6212,485070
533,2814,485660,6212,485660
534,2822,486660,6212,486660
535,2830,494660,6212,494660
535,2830,495210,6212,495210
536,2838,496020,6212,496020
537,2842,496020,6212,496020
537,2842,497020,6212,497020
538,2850,498020,6212,498020
539,2852,498020,6212,498020
539,2852,499020,6212,499020
539,2852,500020,6212,500020
539,2852,500250,6212,500250
539,2852,501250,6212,501250
539,2852,501410,6212,501410
539,2852,502410,6212,502410
540,2860,503410,6212,503410
541,2868,504410,6212,504410
542,2876,504880,6212,504880
543,2884,505350,6212,505350
543,2884,505820,6212,505820
544,2886,506820,6212,506820
544,2886,507630,6212,507630
544,2886,508630,6212,508630
544,2886,509630,6212,509630
545,2888,509950,6212,509950
546,2890,510760,6212,510760
547,2898,511080,6212,511080
548,2906,511550,6212,511550
549,2914,512360,6212,512360
550,2916,512830,6212,512830
550,2916,513830,6212,513830
551,2918,514300,6212,514300
551,2918,514300,6212,514300
551,2918,514620,6212,514620
552,2926,515620,6212,515620
553,2928,516620,6212,516620
554,2936,517430,6212,517430
554,2936,518430,6212,518430
555,2938,518900,6212,518900
555,2938,519220,6212,519220
556,2940,519690,6212,519690
557,2948,520500,6212,520500
558,2956,520970,6212,520970
558,2956,521970,6212,521970
559,2964,522970,6212,522970
560,2972,523970,6212,523970
561,2974,523970,6212,523970
562,2982,524620,6212,524620
563,2990,525620,6212,525620
564,2998,526430,6212,526430
565,3006,526430,6212,526430
565,3006,527240,6212,527240
566,3008,528240,6212,528240
567,3016,529240,6212,529240
568,3018,529710,6212,529710
569,3022,529710,6212,529710
569,3022,529710,6212,529710
569,3022,530710,6212,530710
569,3022,531710,6212,531710
570,3030,532710,6212,532710
