order,workload,sc_policy,tune,seed,num_pod,cpu_milli,num_gpu,gpu_milli,gpu_type_req
7,openb_pod_list_cpu050,03-GpuClustering,1.3,42,107,11910,1,650,<none>
8,openb_pod_list_cpu050,03-GpuClustering,1.3,42,105,18710,1,1000,<none>
9,openb_pod_list_cpu050,03-GpuClustering,1.3,42,86,4000,1,320,<none>
10,openb_pod_list_cpu050,03-GpuClustering,1.3,42,77,9810,1,1000,<none>
11,openb_pod_list_cpu050,03-GpuClustering,1.3,42,64,15700,1,1000,<none>
12,openb_pod_list_cpu050,03-GpuClustering,1.3,42,59,4000,1,1000,<none>
13,openb_pod_list_cpu050,03-GpuClustering,1.3,42,58,8000,1,1000,<none>
14,openb_pod_list_cpu050,03-GpuClustering,1.3,42,56,6000,1,460,<none>
15,openb_pod_list_cpu050,03-GpuClustering,1.3,42,52,4000,1,230,<none>
16,openb_pod_list_cpu050,03-GpuClustering,1.3,42,51,11910,1,1000,<none>
17,openb_pod_list_cpu050,03-GpuClustering,1.3,42,50,16000,1,1000,<none>
18,openb_pod_list_cpu050,03-GpuClustering,1.3,42,38,3150,1,590,<none>
19,openb_pod_list_cpu050,03-GpuClustering,1.3,42,37,4150,1,550,<none>
20,openb_pod_list_cpu050,03-GpuClustering,1.3,42,36,14200,1,1000,<none>
21,openb_pod_list_cpu050,03-GpuClustering,1.3,42,25,8000,1,320,<none>
22,openb_pod_list_cpu050,03-GpuClustering,1.3,42,21,24200,1,1000,<none>
23,openb_pod_list_cpu050,03-GpuClustering,1.3,42,20,11900,1,1000,<none>
24,openb_pod_list_cpu050,03-GpuClustering,1.3,42,16,4000,1,220,<none>
25,openb_pod_list_cpu050,03-GpuClustering,1.3,42,16,4150,1,370,<none>
26,openb_pod_list_cpu050,03-GpuClustering,1.3,42,13,16400,1,1000,<none>
27,openb_pod_list_cpu050,03-GpuClustering,1.3,42,11,8000,1,220,<none>
28,openb_pod_list_cpu050,03-GpuClustering,1.3,42,11,8200,1,1000,<none>
29,openb_pod_list_cpu050,03-GpuClustering,1.3,42,11,15200,1,1000,<none>
30,openb_pod_list_cpu050,03-GpuClustering,1.3,42,10,4150,1,810,<none>
