ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_ratio,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-origin_q124,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_milli,ow_default-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_2c0d-policy_BestFit1000desharemdd81a-de_share-gs_best-scmd_d81a-bellman_ratio
903173.13,14.98,1.38,157825.03,2.62
903530.33,14.98,1.39,157605.92,2.61
903438.01,14.98,1.39,157770.33,2.62
906894.1,15.04,1.44,160795.16,2.67
906894.1,15.04,1.44,160795.16,2.67
906758.12,15.04,1.44,160714.97,2.67
907077.71,15.05,1.45,160918.55,2.67
906551.25,15.04,1.44,160392.1,2.66
906651.18,15.04,1.45,160550.89,2.66
906415.28,15.04,1.44,160385.94,2.66
906579.07,15.05,1.45,161301.7,2.68
907762.32,15.07,1.47,161175.18,2.68
909054.61,15.09,1.49,161284.24,2.68
908562.67,15.09,1.49,160792.3,2.67
908426.69,15.09,1.49,160712.11,2.67
908426.69,15.09,1.49,160879.01,2.67
908811.35,15.09,1.5,161159.52,2.68
908305.22,15.09,1.49,160659.5,2.67
908305.22,15.09,1.49,160659.5,2.67
909597.52,15.11,1.51,160768.56,2.67
908911.84,15.1,1.5,160016.66,2.66
908226.17,15.09,1.5,159264.77,2.65
907730.49,15.09,1.49,158702.88,2.64
907239.85,15.08,1.48,158279.31,2.63
908512.06,15.1,1.51,158573.21,2.64
908408.53,15.11,1.51,158087.85,2.63
907320.72,15.11,1.51,158080.49,2.63
907872.77,15.12,1.52,159484.48,2.66
907769.25,15.12,1.52,159498.3,2.66
907480.02,15.11,1.52,159209.08,2.65
908239.49,15.13,1.53,159372.28,2.65
908719.64,15.14,1.54,159900.08,2.66
908223.97,15.13,1.53,159338.19,2.65
908223.97,15.13,1.53,159383.07,2.66
908098.81,15.13,1.53,159484.33,2.66
908410.49,15.14,1.54,159697.7,2.66
907914.81,15.13,1.53,159135.8,2.65
908272.77,15.14,1.54,158562.94,2.64
908169.24,15.14,1.54,158372.9,2.64
908169.24,15.14,1.54,158372.9,2.64
908033.27,15.14,1.54,158312.02,2.64
907897.29,15.14,1.54,158286.56,2.64
908820.8,15.16,1.56,159194.5,2.66
908422.32,15.15,1.56,158808.65,2.65
907736.65,15.15,1.55,158056.76,2.64
907633.12,15.15,1.55,158151.0,2.64
907727.44,15.15,1.55,158179.11,2.64
907041.76,15.14,1.54,157427.21,2.63
908127.66,15.16,1.56,157711.64,2.63
908024.13,15.16,1.56,157521.6,2.63
908377.85,15.17,1.57,158047.76,2.64
907897.46,15.16,1.56,157596.82,2.63
908606.7,15.18,1.58,157913.67,2.64
908711.24,15.18,1.58,157714.64,2.63
908706.22,15.18,1.58,157619.14,2.63
909531.23,15.2,1.6,158432.55,2.65
909381.6,15.2,1.6,158330.57,2.65
909677.62,15.2,1.61,158436.47,2.65
909541.65,15.2,1.61,158604.15,2.65
909405.67,15.2,1.61,158517.81,2.65
909405.67,15.2,1.61,158517.81,2.65
908807.23,15.2,1.6,157893.75,2.64
908807.23,15.2,1.6,157893.75,2.64
908671.25,15.2,1.6,157893.75,2.64
908671.25,15.2,1.6,157893.75,2.64
908671.25,15.2,1.6,157893.75,2.64
908271.25,15.19,1.59,157272.79,2.63
908135.27,15.19,1.59,157273.78,2.63
