ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_cpu250-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e2fd-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
1604445.67,26.2,0.62,205702.33,3.36
1607422.72,26.25,0.67,208330.46,3.4
1607422.72,26.25,0.67,208323.2,3.4
1607166.98,26.25,0.67,208318.33,3.4
1607166.98,26.25,0.67,208274.56,3.4
1606911.24,26.25,0.67,208267.16,3.4
1606655.5,26.25,0.67,208280.75,3.4
1606399.76,26.25,0.67,208275.87,3.4
1606144.02,26.25,0.67,208268.48,3.4
1605888.28,26.25,0.67,208224.71,3.4
1605632.55,26.25,0.67,208219.83,3.4
1605632.55,26.25,0.67,208215.32,3.4
1605565.66,26.25,0.68,208210.2,3.4
1605309.92,26.25,0.68,208205.38,3.4
1605527.46,26.26,0.68,207824.57,3.4
1605054.51,26.25,0.68,207251.56,3.39
1604798.77,26.25,0.68,207244.16,3.39
1604798.77,26.25,0.68,207200.39,3.39
1604798.77,26.25,0.68,207156.62,3.39
1604988.23,26.26,0.68,207151.93,3.39
1604988.23,26.26,0.68,207147.42,3.39
1604732.49,26.26,0.68,207145.83,3.39
1605029.76,26.26,0.69,206880.13,3.39
1605029.76,26.26,0.69,206957.32,3.39
1604802.1,26.26,0.69,206853.98,3.39
1604546.36,26.26,0.69,205994.06,3.37
1604862.26,26.27,0.7,206001.03,3.37
1605189.08,26.28,0.7,205447.92,3.36
1604961.42,26.28,0.7,205286.06,3.36
1604961.42,26.28,0.7,205286.06,3.36
1604705.69,26.28,0.7,205278.66,3.36
1604705.69,26.28,0.7,205271.4,3.36
1604705.69,26.28,0.7,205227.63,3.36
1604895.14,26.28,0.71,205222.94,3.36
1605092.99,26.29,0.71,205259.27,3.36
1604837.25,26.29,0.71,205251.87,3.36
1604837.25,26.29,0.71,205208.1,3.36
1604837.25,26.29,0.71,205200.84,3.36
1604837.25,26.29,0.71,205196.37,3.36
1604581.51,26.29,0.71,205188.97,3.36
1604325.77,26.29,0.71,205184.1,3.36
1603663.97,26.28,0.71,204422.23,3.35
1603408.23,26.28,0.71,204378.46,3.35
1603152.49,26.28,0.71,204371.06,3.35
1602896.76,26.28,0.71,204363.66,3.35
1603051.31,26.29,0.71,204039.02,3.35
1603051.31,26.29,0.71,204031.76,3.35
1602795.57,26.29,0.71,204024.36,3.35
1602985.03,26.29,0.72,204442.23,3.35
1602729.29,26.29,0.72,204398.46,3.35
1602803.15,26.3,0.72,204396.12,3.35
1602736.27,26.3,0.73,204485.25,3.36
1602669.39,26.3,0.73,204553.38,3.36
1602669.39,26.3,0.73,204548.86,3.36
1602669.39,26.3,0.73,204505.09,3.36
1602602.5,26.3,0.73,204499.97,3.36
1602676.37,26.31,0.73,204512.25,3.36
1602420.63,26.31,0.73,204507.07,3.36
1602610.08,26.31,0.74,204411.78,3.36
1602354.34,26.31,0.74,204419.7,3.36
1602098.6,26.31,0.74,204412.3,3.36
1602098.6,26.31,0.74,204368.53,3.36
1602098.6,26.31,0.74,204368.4,3.36
1602031.72,26.32,0.74,204365.51,3.36
1601964.84,26.32,0.74,204360.39,3.36
1601709.1,26.32,0.75,204355.52,3.36
1601709.1,26.32,0.75,204351.01,3.36
1601453.36,26.32,0.75,204343.61,3.36
1601197.62,26.32,0.75,204338.73,3.36
1601387.07,26.32,0.75,204404.91,3.36
1601131.33,26.32,0.75,204397.51,3.36
1601131.33,26.32,0.75,204353.74,3.36
1601131.33,26.32,0.75,204349.22,3.36
1601131.33,26.32,0.75,204426.41,3.36
1601131.33,26.32,0.75,204426.27,3.36
1602189.5,26.34,0.77,205168.5,3.37
1601933.76,26.34,0.77,205182.09,3.37
1601866.88,26.34,0.77,205271.21,3.38
1602064.73,26.35,0.78,205277.2,3.38
1601808.99,26.35,0.78,205269.8,3.38
1601742.11,26.35,0.78,205268.48,3.38
1601497.29,26.35,0.78,204557.09,3.37
1601430.41,26.35,0.78,204551.97,3.37
1601430.41,26.35,0.78,204547.46,3.37
1601619.86,26.36,0.79,204542.77,3.37
1601598.21,26.36,0.79,204421.05,3.36
1601796.06,26.37,0.79,204413.65,3.36
1601685.18,26.37,0.79,203944.44,3.36
1602098.15,26.38,0.81,203838.47,3.36
1602098.15,26.38,0.81,203838.47,3.36
1602098.15,26.38,0.81,203915.65,3.36
1602098.15,26.38,0.81,203913.13,3.36
1602098.15,26.38,0.81,203913.13,3.36
1602031.27,26.38,0.81,203908.01,3.36
1602389.37,26.39,0.82,203965.49,3.36
1602133.63,26.39,0.82,203958.32,3.36
1602288.19,26.4,0.82,203644.15,3.35
1602288.19,26.4,0.82,203600.38,3.35
1602221.31,26.4,0.82,203595.26,3.35
1602590.33,26.41,0.83,203242.43,3.35
1602590.33,26.41,0.83,203198.66,3.35
1602729.56,26.41,0.84,202511.57,3.34
1602473.82,26.41,0.84,202467.8,3.34
1602218.08,26.41,0.84,202467.8,3.34
1602218.08,26.41,0.84,202463.29,3.34
1601962.34,26.41,0.84,202463.06,3.34
1601830.54,26.41,0.84,202231.19,3.33
1601808.88,26.41,0.84,202275.42,3.34
1602867.05,26.43,0.86,203017.64,3.35
1603056.5,26.43,0.86,203536.53,3.36
1602800.76,26.43,0.86,203531.35,3.36
1602733.88,26.44,0.86,203620.48,3.36
1602733.88,26.44,0.86,203697.66,3.36
1602685.67,26.44,0.86,203649.44,3.36
1602685.67,26.44,0.86,203644.98,3.36
1602875.12,26.44,0.87,203640.29,3.36
1603040.9,26.45,0.87,203596.52,3.36
1603230.35,26.45,0.88,203682.45,3.36
1603163.47,26.46,0.88,203771.58,3.36
1603449.82,26.46,0.89,204246.43,3.37
1603194.08,26.46,0.89,204239.03,3.37
1602938.34,26.46,0.89,204234.21,3.37
1602682.6,26.46,0.89,204231.32,3.37
1602682.6,26.46,0.89,204308.51,3.37
1602756.46,26.47,0.89,204552.44,3.38
1602756.46,26.47,0.89,204508.67,3.38
1602500.73,26.47,0.89,204503.8,3.38
1602244.99,26.47,0.89,204498.93,3.38
1601989.25,26.47,0.89,204491.76,3.38
1601922.37,26.47,0.9,204580.88,3.38
1601922.37,26.47,0.9,204577.54,3.38
1602111.82,26.47,0.9,204572.86,3.38
1602111.82,26.47,0.9,204571.97,3.38
1601856.08,26.47,0.9,204519.94,3.38
1601600.34,26.47,0.9,204517.6,3.38
1601600.34,26.47,0.9,204510.34,3.38
1601344.6,26.47,0.9,204503.17,3.38
1601088.86,26.48,0.9,204516.76,3.38
1600833.12,26.48,0.9,204511.58,3.38
1600577.38,26.48,0.9,204519.51,3.38
1600577.38,26.48,0.9,204519.51,3.38
1600577.38,26.48,0.9,204515.04,3.38
1600321.65,26.48,0.9,204329.57,3.38
1600065.91,26.48,0.9,204730.71,3.39
1599810.17,26.48,0.9,204725.84,3.39
1599554.43,26.48,0.9,204718.44,3.39
1599298.69,26.48,0.9,204718.44,3.39
1599648.62,26.48,0.91,204721.21,3.39
1599722.48,26.49,0.91,207542.02,3.44
1600008.83,26.49,0.92,207534.62,3.44
1599781.17,26.49,0.92,207431.29,3.44
1599781.17,26.49,0.92,207387.52,3.43
1599525.43,26.49,0.92,207380.12,3.43
1599525.43,26.49,0.92,207375.61,3.43
1599883.53,26.5,0.93,207433.09,3.44
1599816.65,26.5,0.93,207522.21,3.44
1600487.61,26.52,0.94,207713.86,3.44
1600231.87,26.52,0.94,207708.68,3.44
1600373.06,26.52,0.95,207330.92,3.44
1600446.92,26.53,0.95,207352.6,3.44
1600446.92,26.53,0.95,207308.83,3.44
1600636.37,26.53,0.96,207304.15,3.44
1600380.63,26.53,0.96,207260.38,3.44
1600454.5,26.54,0.96,207282.05,3.44
1600643.95,26.54,0.97,207277.37,3.44
1600833.4,26.55,0.97,207086.57,3.43
1600833.4,26.55,0.97,207083.23,3.43
1601022.85,26.55,0.98,207169.16,3.44
1601565.73,26.56,0.99,207247.46,3.44
1601309.99,26.56,0.99,207203.69,3.44
1601054.25,26.56,0.99,207198.47,3.44
1600798.51,26.56,0.99,207191.07,3.44
1600542.77,26.56,0.99,207189.48,3.44
1600542.77,26.56,0.99,207182.21,3.44
1601955.75,26.59,1.01,208076.24,3.45
1601700.01,26.59,1.01,208128.58,3.45
1601700.01,26.59,1.01,208125.25,3.45
1601700.01,26.59,1.01,208120.74,3.45
1601633.12,26.59,1.02,208209.86,3.46
