ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_4ffb-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
1190536.1,19.96,1.38,185087.82,3.1
1190729.93,19.96,1.38,185322.95,3.11
1190358.58,19.96,1.38,185029.26,3.1
1190599.37,19.96,1.38,184875.05,3.1
1190862.08,19.97,1.39,185127.69,3.1
1190669.49,19.97,1.39,185043.18,3.1
1190476.9,19.97,1.39,185039.04,3.1
1190309.87,19.97,1.39,185037.04,3.1
1190309.87,19.97,1.39,185037.04,3.1
1191287.22,19.99,1.41,185497.28,3.11
1191117.22,19.99,1.41,185289.4,3.11
1190610.77,19.98,1.4,184752.58,3.1
1191184.02,19.99,1.42,185106.47,3.11
1191257.03,20.0,1.42,185404.81,3.11
1191087.02,20.0,1.42,185470.05,3.11
1190580.58,19.99,1.41,184933.23,3.11
1190074.13,19.98,1.41,184396.41,3.1
1189907.1,19.99,1.41,184316.79,3.1
1189890.65,19.99,1.41,184269.96,3.1
1191259.05,20.01,1.43,185243.98,3.11
1191105.91,20.01,1.44,185458.88,3.12
1190935.91,20.01,1.44,185487.36,3.12
1190892.15,20.02,1.44,184841.76,3.11
1190195.71,20.01,1.43,184114.94,3.1
1190612.12,20.02,1.44,184777.51,3.11
1190419.53,20.02,1.44,184759.75,3.11
1190544.8,20.02,1.44,184757.21,3.11
1190352.21,20.02,1.44,184675.49,3.11
1190159.62,20.02,1.44,184668.57,3.11
1190398.38,20.03,1.45,184759.66,3.11
1189909.97,20.02,1.44,184245.18,3.1
1189717.38,20.02,1.44,184419.14,3.1
1189297.73,20.02,1.44,183803.1,3.09
1189105.14,20.02,1.44,183718.59,3.09
1188912.55,20.02,1.44,183714.46,3.09
1188719.95,20.02,1.44,183629.94,3.09
1188527.36,20.02,1.44,183625.81,3.09
1188156.02,20.01,1.44,183332.11,3.09
1188582.05,20.02,1.44,183622.0,3.09
1188506.15,20.02,1.45,183722.76,3.1
1189191.58,20.04,1.46,184360.54,3.11
1188998.99,20.04,1.46,184435.76,3.11
1189239.11,20.04,1.47,184527.26,3.11
1189407.29,20.05,1.47,184370.31,3.11
1189214.7,20.05,1.47,184617.95,3.11
1188603.92,20.04,1.46,184044.14,3.1
1188433.91,20.04,1.46,184109.39,3.1
1189213.44,20.06,1.48,184453.23,3.11
1189020.85,20.06,1.48,184446.01,3.11
1188411.2,20.05,1.47,183639.97,3.1
1188218.6,20.05,1.47,183558.55,3.1
1188048.6,20.05,1.48,183561.39,3.1
1187848.95,20.05,1.47,183165.36,3.09
1187429.29,20.05,1.47,182549.32,3.08
1187009.64,20.04,1.47,181933.28,3.07
1187628.59,20.06,1.48,182125.25,3.08
1187436.0,20.06,1.48,182043.52,3.07
1187243.41,20.06,1.48,182036.6,3.08
1186823.75,20.05,1.48,181420.56,3.07
1186899.65,20.06,1.48,182338.08,3.08
1186814.07,20.06,1.48,182207.74,3.08
1186654.52,20.06,1.48,182204.8,3.08
