ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e750-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
305,1574,236300,6212,236300
305,1574,237110,6212,237110
306,1582,237110,6212,237110
307,1584,238110,6212,238110
308,1586,238340,6212,238340
309,1594,239340,6212,239340
309,1594,240340,6212,240340
310,1602,241340,6212,241340
311,1610,241340,6212,241340
311,1610,241660,6212,241660
312,1614,242130,6212,242130
313,1616,243130,6212,243130
313,1616,243130,6212,243130
314,1624,243780,6212,243780
315,1626,244590,6212,244590
316,1634,252590,6212,252590
317,1638,253590,6212,253590
317,1638,254590,6212,254590
318,1646,255590,6212,255590
318,1646,256240,6212,256240
319,1648,257240,6212,257240
320,1656,257710,6212,257710
321,1664,258710,6212,258710
322,1672,259710,6212,259710
323,1680,260710,6212,260710
324,1688,261710,6212,261710
324,1688,262710,6212,262710
325,1696,262940,6212,262940
326,1704,263940,6212,263940
326,1704,264940,6212,264940
327,1712,265750,6212,265750
327,1712,266560,6212,266560
327,1712,267030,6212,267030
328,1716,268030,6212,268030
329,1720,269030,6212,269030
330,1728,270030,6212,270030
331,1736,271030,6212,271030
332,1744,271030,6212,271030
333,1746,271580,6212,271580
333,1746,272050,6212,272050
333,1746,272700,6212,272700
334,1748,272700,6212,272700
334,1748,273700,6212,273700
335,1756,274700,6212,274700
336,1758,275510,6212,275510
336,1758,275980,6212,275980
336,1758,276980,6212,276980
337,1766,277980,6212,277980
338,1774,278980,6212,278980
339,1776,279790,6212,279790
339,1776,280790,6212,280790
340,1784,288790,6212,288790
341,1785,289600,6212,289600
342,1793,290600,6212,290600
343,1795,291150,6212,291150
344,1797,292150,6212,292150
345,1805,293150,6212,293150
346,1813,293620,6212,293620
346,1813,294620,6212,294620
347,1821,295430,6212,295430
348,1829,296080,6212,296080
349,1831,297080,6212,297080
349,1831,298080,6212,298080
349,1831,299080,6212,299080
350,1839,300080,6212,300080
350,1839,301080,6212,301080
351,1847,302080,6212,302080
352,1855,303080,6212,303080
353,1863,304080,6212,304080
353,1863,304550,6212,304550
353,1863,305550,6212,305550
354,1865,305550,6212,305550
354,1865,306550,6212,306550
354,1865,306550,6212,306550
355,1867,307550,6212,307550
356,1869,308550,6212,308550
357,1877,308550,6212,308550
358,1885,309550,6212,309550
358,1885,309780,6212,309780
359,1893,310780,6212,310780
359,1893,311780,6212,311780
360,1901,311780,6212,311780
361,1903,311780,6212,311780
362,1905,312240,6212,312240
363,1907,313240,6212,313240
363,1907,314050,6212,314050
364,1909,314050,6212,314050
365,1917,315050,6212,315050
366,1925,315270,6212,315270
367,1933,316270,6212,316270
367,1933,317080,6212,317080
368,1935,318080,6212,318080
368,1935,318540,6212,318540
369,1943,319350,6212,319350
369,1943,320160,6212,320160
370,1951,320810,6212,320810
371,1953,321810,6212,321810
372,1961,322040,6212,322040
373,1963,323040,6212,323040
374,1971,324040,6212,324040
375,1973,325040,6212,325040
375,1973,326040,6212,326040
376,1981,326510,6212,326510
377,1989,326980,6212,326980
378,1997,327980,6212,327980
379,1999,328980,6212,328980
379,1999,329980,6212,329980
379,1999,330980,6212,330980
380,2007,331300,6212,331300
381,2011,332300,6212,332300
382,2019,333110,6212,333110
383,2021,333920,6212,333920
384,2023,334920,6212,334920
384,2023,335920,6212,335920
385,2025,336920,6212,336920
385,2025,337730,6212,337730
385,2025,338540,6212,338540
386,2033,339540,6212,339540
387,2035,340010,6212,340010
388,2043,341010,6212,341010
389,2045,341010,6212,341010
390,2047,341010,6212,341010
390,2047,342010,6212,342010
391,2055,342010,6212,342010
392,2057,343010,6212,343010
393,2065,343010,6212,343010
393,2065,343820,6212,343820
394,2067,344820,6212,344820
395,2075,345050,6212,345050
396,2077,346050,6212,346050
397,2085,346860,6212,346860
397,2085,347670,6212,347670
398,2087,347670,6212,347670
398,2087,348670,6212,348670
399,2095,349020,6212,349020
400,2103,350020,6212,350020
400,2103,351020,6212,351020
401,2111,351020,6212,351020
402,2119,351340,6212,351340
403,2127,352340,6212,352340
404,2129,353340,6212,353340
405,2137,353340,6212,353340
406,2139,354340,6212,354340
407,2141,355340,6212,355340
408,2149,356150,6212,356150
409,2157,357150,6212,357150
410,2165,357150,6212,357150
411,2167,358150,6212,358150
412,2175,359150,6212,359150
413,2183,360150,6212,360150
413,2183,360620,6212,360620
414,2191,361620,6212,361620
414,2191,362620,6212,362620
415,2193,363430,6212,363430
416,2201,364240,6212,364240
417,2209,365240,6212,365240
417,2209,365240,6212,365240
418,2217,365240,6212,365240
419,2219,366240,6212,366240
420,2227,366470,6212,366470
421,2229,367470,6212,367470
422,2237,368470,6212,368470
423,2241,369280,6212,369280
423,2241,369930,6212,369930
424,2249,369930,6212,369930
425,2251,370930,6212,370930
425,2251,371930,6212,371930
425,2251,372390,6212,372390
425,2251,373200,6212,373200
426,2253,374200,6212,374200
426,2253,375200,6212,375200
426,2253,376200,6212,376200
427,2261,377200,6212,377200
428,2263,378010,6212,378010
429,2271,378010,6212,378010
429,2271,379010,6212,379010
429,2271,380010,6212,380010
429,2271,381010,6212,381010
430,2275,381480,6212,381480
431,2283,382480,6212,382480
431,2283,383480,6212,383480
431,2283,383480,6212,383480
431,2283,384480,6212,384480
431,2283,385290,6212,385290
432,2291,385520,6212,385520
433,2293,386520,6212,386520
433,2293,387520,6212,387520
434,2301,388520,6212,388520
434,2301,389520,6212,389520
434,2301,389990,6212,389990
435,2309,390990,6212,390990
436,2311,391990,6212,391990
437,2313,392990,6212,392990
438,2315,393990,6212,393990
438,2315,394800,6212,394800
438,2315,395800,6212,395800
439,2323,396800,6212,396800
440,2325,397800,6212,397800
441,2333,398030,6212,398030
442,2335,398030,6212,398030
443,2337,399030,6212,399030
444,2345,399840,6212,399840
444,2345,400840,6212,400840
444,2345,401840,6212,401840
445,2347,402160,6212,402160
446,2355,403160,6212,403160
447,2357,403160,6212,403160
447,2357,404160,6212,404160
448,2361,404970,6212,404970
449,2363,405520,6212,405520
450,2367,405520,6212,405520
451,2369,405680,6212,405680
452,2371,406000,6212,406000
453,2373,406810,6212,406810
453,2373,407280,6212,407280
454,2375,408280,6212,408280
455,2379,409090,6212,409090
455,2379,409560,6212,409560
456,2387,410020,6212,410020
457,2395,411020,6212,411020
458,2403,412020,6212,412020
458,2403,413020,6212,413020
459,2411,413240,6212,413240
460,2413,413240,6212,413240
461,2421,414240,6212,414240
462,2429,422240,6212,422240
463,2437,423240,6212,423240
464,2445,424050,6212,424050
464,2445,424050,6212,424050
465,2453,425050,6212,425050
466,2455,426050,6212,426050
467,2457,426270,6212,426270
468,2465,426920,6212,426920
468,2465,427920,6212,427920
469,2467,428920,6212,428920
469,2467,429920,6212,429920
470,2469,430570,6212,430570
471,2477,431380,6212,431380
471,2477,432380,6212,432380
472,2485,433030,6212,433030
472,2485,433500,6212,433500
473,2493,433500,6212,433500
474,2501,434310,6212,434310
475,2503,434780,6212,434780
476,2511,435250,6212,435250
477,2519,435720,6212,435720
478,2527,436190,6212,436190
478,2527,437000,6212,437000
478,2527,438000,6212,438000
479,2535,438320,6212,438320
480,2543,439320,6212,439320
481,2545,440130,6212,440130
481,2545,440600,6212,440600
482,2553,441600,6212,441600
483,2561,441920,6212,441920
484,2569,442730,6212,442730
485,2571,442890,6212,442890
486,2579,443890,6212,443890
487,2587,444540,6212,444540
488,2589,444540,6212,444540
489,2597,445540,6212,445540
490,2599,446010,6212,446010
491,2607,447010,6212,447010
492,2615,447330,6212,447330
493,2617,448330,6212,448330
493,2617,449330,6212,449330
494,2619,449700,6212,449700
495,2621,450700,6212,450700
496,2629,451700,6212,451700
497,2631,452700,6212,452700
497,2631,453700,6212,453700
497,2631,454700,6212,454700
497,2631,455700,6212,455700
498,2639,456700,6212,456700
498,2639,456700,6212,456700
498,2639,456700,6212,456700
499,2647,456930,6212,456930
500,2655,457930,6212,457930
500,2655,457930,6212,457930
501,2663,458250,6212,458250
501,2663,458720,6212,458720
502,2667,459720,6212,459720
503,2669,460720,6212,460720
504,2671,461720,6212,461720
504,2671,462530,6212,462530
504,2671,463340,6212,463340
505,2673,463820,6212,463820
506,2681,464820,6212,464820
506,2681,465820,6212,465820
507,2689,466820,6212,466820
508,2691,466820,6212,466820
509,2695,467820,6212,467820
509,2695,468820,6212,468820
510,2699,469630,6212,469630
511,2701,470630,6212,470630
512,2709,471100,6212,471100
512,2709,472100,6212,472100
512,2709,472910,6212,472910
512,2709,473720,6212,473720
512,2709,474720,6212,474720
513,2717,475720,6212,475720
514,2719,476720,6212,476720
514,2719,477530,6212,477530
514,2719,477760,6212,477760
514,2719,478760,6212,478760
515,2727,478760,6212,478760
516,2735,479760,6212,479760
517,2737,479980,6212,479980
518,2745,480450,6212,480450
519,2753,481260,6212,481260
520,2761,482260,6212,482260
520,2761,483260,6212,483260
520,2761,484260,6212,484260
520,2761,485070,6212,485070
520,2761,485660,6212,485660
520,2761,486660,6212,486660
521,2769,494660,6212,494660
522,2771,495210,6212,495210
522,2771,496020,6212,496020
523,2773,496020,6212,496020
523,2773,497020,6212,497020
524,2775,498020,6212,498020
525,2777,498020,6212,498020
526,2785,499020,6212,499020
527,2793,500020,6212,500020
527,2793,500250,6212,500250
528,2801,501250,6212,501250
529,2809,501410,6212,501410
530,2811,502410,6212,502410
531,2819,503410,6212,503410
532,2821,504410,6212,504410
533,2823,504880,6212,504880
533,2823,505350,6212,505350
534,2831,505820,6212,505820
535,2835,506820,6212,506820
536,2837,507630,6212,507630
537,2845,508630,6212,508630
537,2845,509630,6212,509630
537,2845,509950,6212,509950
538,2847,510760,6212,510760
539,2855,511080,6212,511080
540,2863,511550,6212,511550
540,2863,512360,6212,512360
541,2865,512830,6212,512830
542,2867,513830,6212,513830
543,2869,514300,6212,514300
544,2877,514300,6212,514300
544,2877,514620,6212,514620
545,2885,515620,6212,515620
545,2885,516620,6212,516620
546,2887,517430,6212,517430
546,2887,518430,6212,518430
547,2895,518900,6212,518900
547,2895,519220,6212,519220
548,2903,519690,6212,519690
549,2905,520500,6212,520500
550,2913,520970,6212,520970
551,2917,521970,6212,521970
551,2917,522970,6212,522970
551,2917,523970,6212,523970
552,2919,523970,6212,523970
553,2927,524620,6212,524620
554,2935,525620,6212,525620
555,2936,526430,6212,526430
556,2938,526430,6212,526430
556,2938,527240,6212,527240
556,2938,528240,6212,528240
557,2946,529240,6212,529240
558,2954,529710,6212,529710
559,2956,529710,6212,529710
560,2958,529710,6212,529710
560,2958,530710,6212,530710
560,2958,531710,6212,531710
561,2966,532710,6212,532710
562,2974,533710,6212,533710
563,2976,534710,6212,534710
564,2978,535030,6212,535030
565,2980,536030,6212,536030
566,2988,537030,6212,537030
567,2996,537030,6212,537030
568,2998,537030,6212,537030
568,2998,538030,6212,538030
568,2998,539030,6212,539030
569,3006,539500,6212,539500
569,3006,540500,6212,540500
570,3014,540500,6212,540500
570,3014,541150,6212,541150
570,3014,542150,6212,542150
570,3014,542620,6212,542620
571,3016,542620,6212,542620
571,3016,542730,6212,542730
572,3024,543200,6212,543200
573,3026,544200,6212,544200
573,3026,544200,6212,544200
574,3030,545200,6212,545200
575,3038,546200,6212,546200
575,3038,547200,6212,547200
575,3038,548200,6212,548200
576,3042,549200,6212,549200
577,3044,550200,6212,550200
577,3044,551200,6212,551200
578,3052,551430,6212,551430
579,3060,552430,6212,552430
580,3068,553430,6212,553430
580,3068,554240,6212,554240
580,3068,555240,6212,555240
581,3070,556240,6212,556240
582,3078,556700,6212,556700
582,3078,557700,6212,557700
583,3086,558160,6212,558160
583,3086,559160,6212,559160
584,3088,559970,6212,559970
585,3096,559970,6212,559970
586,3104,560970,6212,560970
587,3112,561970,6212,561970
588,3120,562970,6212,562970
589,3128,563780,6212,563780
590,3136,564370,6212,564370
590,3136,564840,6212,564840
591,3144,565840,6212,565840
591,3144,569840,6212,569840
592,3146,569840,6212,569840
592,3146,570310,6212,570310
592,3146,570310,6212,570310
593,3154,570630,6212,570630
593,3154,571440,6212,571440
593,3154,572440,6212,572440
594,3162,573440,6212,573440
595,3170,573440,6212,573440
595,3170,574440,6212,574440
596,3172,574670,6212,574670
596,3172,575670,6212,575670
596,3172,576670,6212,576670
596,3172,577670,6212,577670
596,3172,577670,6212,577670
