ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
895745.88,14.89,2.2,572874.2,9.52
896195.99,14.9,2.21,573112.41,9.53
896341.18,14.9,2.21,573004.25,9.52
896653.74,14.91,2.21,573104.47,9.53
896777.54,14.91,2.22,573092.94,9.53
897064.08,14.92,2.22,573224.32,9.53
897321.29,14.92,2.23,572978.9,9.53
897445.09,14.93,2.24,573026.6,9.53
898007.41,14.94,2.25,573114.45,9.53
898131.21,14.94,2.25,573075.28,9.53
898400.74,14.95,2.26,573101.05,9.54
898779.17,14.95,2.26,573281.03,9.54
898613.78,14.95,2.26,572542.85,9.53
898758.97,14.96,2.26,572434.68,9.53
897743.59,14.96,2.27,571951.21,9.53
897574.6,14.96,2.27,571826.84,9.53
897411.86,14.96,2.27,571526.08,9.53
897954.94,14.97,2.28,571501.44,9.53
897761.43,14.97,2.28,571497.56,9.53
898018.64,14.98,2.28,571252.13,9.53
897849.65,14.98,2.28,571128.73,9.53
898124.44,14.98,2.29,570977.15,9.52
897955.45,14.98,2.29,570869.96,9.52
897786.46,14.98,2.29,570677.6,9.52
897617.47,14.98,2.29,570485.25,9.52
897448.48,14.98,2.29,570356.36,9.52
897810.74,14.99,2.3,570400.65,9.52
897641.75,14.99,2.29,570293.47,9.52
897472.76,14.99,2.29,570186.28,9.52
897310.02,14.99,2.29,569863.87,9.52
897433.82,14.99,2.3,569936.88,9.52
897071.32,14.99,2.3,569672.68,9.52
897230.33,14.99,2.3,569645.73,9.52
897542.89,15.0,2.31,569745.96,9.52
898268.25,15.01,2.32,569771.21,9.52
898433.51,15.02,2.33,569832.05,9.53
898557.31,15.02,2.33,569905.05,9.53
898681.11,15.03,2.34,569898.56,9.53
899106.51,15.04,2.34,569735.97,9.53
899393.05,15.04,2.35,569867.36,9.53
899199.54,15.04,2.35,569798.22,9.53
899323.34,15.04,2.35,569830.41,9.53
899338.55,15.05,2.35,569357.56,9.53
899169.56,15.05,2.35,569165.2,9.52
899006.82,15.05,2.35,568906.65,9.52
899760.3,15.06,2.37,568913.06,9.52
900415.35,15.07,2.38,568966.49,9.52
900089.87,15.07,2.38,568568.69,9.52
900089.87,15.07,2.38,568470.74,9.52
900213.67,15.08,2.38,568543.74,9.52
900050.93,15.08,2.38,568277.5,9.52
899881.94,15.08,2.38,568166.15,9.52
899712.95,15.08,2.38,567973.79,9.52
899847.44,15.08,2.39,568151.85,9.52
898832.05,15.08,2.39,567668.38,9.53
898955.85,15.09,2.39,567700.57,9.53
898786.86,15.09,2.39,567593.39,9.53
898910.66,15.09,2.4,567666.39,9.53
899197.2,15.1,2.4,567797.78,9.53
899192.45,15.1,2.41,567867.63,9.53
899316.25,15.1,2.41,567851.29,9.54
899602.79,15.11,2.42,567982.68,9.54
899628.82,15.11,2.42,567792.68,9.54
899752.61,15.11,2.42,567811.07,9.54
899965.63,15.12,2.43,567640.77,9.54
899796.64,15.12,2.43,567448.41,9.53
899962.87,15.12,2.43,567164.47,9.53
899800.13,15.12,2.43,566938.7,9.53
900362.45,15.14,2.44,567002.6,9.53
900527.71,15.14,2.45,566789.37,9.53
900547.49,15.14,2.45,567005.79,9.53
900378.5,15.14,2.45,566810.74,9.53
900209.5,15.14,2.45,566613.13,9.53
900333.3,15.15,2.45,566660.84,9.53
899317.92,15.15,2.46,566177.36,9.54
899441.72,15.15,2.46,566195.76,9.54
899565.51,15.16,2.47,566156.91,9.54
899402.77,15.16,2.47,565910.44,9.54
899715.34,15.17,2.47,566010.66,9.54
899582.05,15.17,2.47,565886.8,9.54
899851.58,15.17,2.48,565911.1,9.54
899975.38,15.18,2.48,565958.81,9.54
900120.57,15.18,2.49,565915.04,9.54
899951.58,15.18,2.49,565790.67,9.54
899782.59,15.18,2.49,565683.48,9.54
899906.39,15.18,2.49,565664.4,9.54
899906.39,15.18,2.49,565443.05,9.54
899906.39,15.18,2.49,565350.37,9.54
900331.98,15.19,2.5,565825.91,9.55
900166.59,15.19,2.5,565092.82,9.54
900290.39,15.19,2.5,565242.63,9.54
900628.13,15.2,2.51,566103.74,9.55
900459.14,15.2,2.51,565996.55,9.55
900582.94,15.21,2.51,565981.95,9.56
900706.74,15.21,2.52,566054.96,9.56
900706.74,15.21,2.52,565947.26,9.56
900732.76,15.21,2.52,566230.36,9.56
900877.95,15.22,2.52,566186.59,9.56
901251.81,15.22,2.53,565662.86,9.55
901375.61,15.23,2.53,565819.53,9.56
901375.61,15.23,2.53,565997.83,9.56
901390.82,15.23,2.54,565524.98,9.55
901390.82,15.23,2.54,565427.03,9.55
900375.43,15.23,2.54,564943.56,9.56
900011.01,15.24,2.54,564711.91,9.56
900134.81,15.24,2.55,564705.41,9.56
900134.81,15.24,2.55,564614.99,9.56
900586.6,15.25,2.56,564642.08,9.56
900261.12,15.25,2.56,564618.31,9.56
900261.12,15.25,2.56,564396.95,9.56
900287.15,15.25,2.56,564175.95,9.56
900118.16,15.25,2.56,564052.54,9.56
900118.16,15.25,2.56,564052.44,9.56
900241.96,15.26,2.56,564070.84,9.56
900241.96,15.26,2.56,563972.89,9.56
900781.62,15.27,2.58,563955.75,9.56
900916.11,15.27,2.58,564082.32,9.56
900747.12,15.27,2.58,563889.96,9.56
900578.13,15.27,2.58,563766.56,9.56
900409.14,15.27,2.58,563659.37,9.56
901162.62,15.29,2.59,563665.78,9.56
901432.16,15.29,2.6,563691.55,9.56
901591.17,15.3,2.6,563664.6,9.56
902316.53,15.31,2.62,563689.86,9.56
902878.85,15.32,2.63,563753.75,9.57
903002.65,15.32,2.63,563826.76,9.57
902655.05,15.33,2.64,563553.3,9.57
902967.62,15.34,2.64,563653.52,9.57
903237.15,15.34,2.65,563677.82,9.57
903198.21,15.35,2.65,563493.67,9.57
903035.47,15.35,2.65,563266.57,9.57
902996.53,15.35,2.66,563369.78,9.58
903155.53,15.36,2.66,563521.31,9.58
903607.33,15.36,2.67,563548.4,9.58
903627.11,15.37,2.67,563543.66,9.58
903458.12,15.37,2.67,563419.28,9.58
903703.13,15.37,2.68,563650.72,9.59
903826.93,15.38,2.68,563669.11,9.59
904389.25,15.39,2.7,563765.61,9.59
904513.05,15.39,2.7,563838.61,9.59
904165.45,15.4,2.7,563565.15,9.6
904527.71,15.4,2.71,563609.45,9.6
904358.72,15.4,2.71,563417.09,9.6
904799.11,15.41,2.72,563271.42,9.59
904922.91,15.42,2.72,563319.12,9.6
905068.1,15.42,2.73,563188.77,9.59
905191.9,15.42,2.73,563220.96,9.6
905337.09,15.43,2.73,563177.2,9.6
905460.89,15.43,2.74,563091.39,9.6
906095.28,15.44,2.75,563224.47,9.6
906219.08,15.45,2.76,563256.67,9.6
906522.51,15.45,2.76,562908.1,9.6
906329.0,15.45,2.76,562768.28,9.6
906329.0,15.45,2.76,562546.92,9.59
906452.79,15.46,2.77,562619.93,9.59
906576.59,15.46,2.77,562692.93,9.6
906837.85,15.47,2.78,562861.98,9.6
907175.59,15.48,2.78,563167.1,9.61
906160.21,15.48,2.79,562683.63,9.61
905144.82,15.48,2.79,562225.66,9.62
904951.31,15.48,2.79,562084.87,9.62
905075.11,15.49,2.79,562068.53,9.62
905075.11,15.49,2.79,562060.02,9.62
905198.91,15.49,2.8,562020.85,9.62
904183.53,15.5,2.8,561537.37,9.62
903168.14,15.5,2.81,561079.41,9.63
903291.94,15.5,2.81,561060.33,9.63
903854.26,15.52,2.82,561133.15,9.63
903685.27,15.51,2.82,561009.75,9.63
903830.46,15.52,2.83,560965.99,9.63
904247.59,15.53,2.83,560850.84,9.63
904247.59,15.53,2.83,560731.71,9.63
904247.59,15.53,2.83,560469.88,9.62
904247.59,15.53,2.83,560331.56,9.62
904504.8,15.53,2.84,560086.13,9.62
904628.6,15.54,2.85,560071.53,9.62
904459.61,15.54,2.85,559964.34,9.62
904999.28,15.55,2.86,559947.2,9.62
905123.07,15.55,2.86,560020.21,9.62
905574.87,15.56,2.87,560025.7,9.62
906137.19,15.57,2.88,560089.59,9.63
906137.19,15.57,2.88,559991.64,9.63
906394.4,15.58,2.89,559734.92,9.62
906663.94,15.59,2.9,559759.22,9.62
907226.26,15.6,2.91,559832.04,9.63
907495.79,15.6,2.91,559856.35,9.63
908035.46,15.62,2.92,559839.21,9.63
908597.78,15.63,2.93,559912.03,9.63
908428.79,15.63,2.93,559714.42,9.63
907413.4,15.63,2.94,559230.95,9.63
907725.97,15.64,2.95,559331.17,9.64
907563.23,15.64,2.95,559077.21,9.63
908218.28,15.65,2.96,559130.64,9.64
908342.07,15.66,2.96,559149.03,9.64
908465.87,15.66,2.97,559142.54,9.64
908803.61,15.67,2.97,559621.46,9.65
908927.41,15.67,2.98,559669.16,9.65
909051.21,15.68,2.98,559606.79,9.65
908882.22,15.68,2.98,559409.18,9.65
907866.83,15.68,2.99,558951.22,9.65
907866.83,15.68,2.99,558853.27,9.65
908144.64,15.69,2.99,558755.97,9.65
907975.65,15.69,2.99,558563.61,9.65
908134.66,15.69,3.0,558536.66,9.65
908160.69,15.69,3.0,558366.75,9.65
908066.94,15.69,3.0,558308.44,9.65
907897.95,15.69,3.0,558184.07,9.65
908021.74,15.7,3.01,558202.46,9.65
908041.52,15.7,3.01,558197.72,9.65
908165.32,15.71,3.01,558229.91,9.65
908185.09,15.71,3.02,558225.17,9.66
908308.89,15.71,3.02,558272.88,9.66
908139.9,15.71,3.02,558075.27,9.66
908032.69,15.71,3.02,557890.08,9.66
907839.18,15.71,3.02,557749.29,9.65
907858.96,15.72,3.02,557744.55,9.66
907536.34,15.71,3.02,557516.63,9.65
907531.6,15.71,3.02,557582.82,9.65
906516.22,15.72,3.03,557099.35,9.66
906761.23,15.72,3.03,557478.53,9.67
906885.03,15.73,3.04,557510.72,9.67
906751.74,15.73,3.04,557299.11,9.67
906627.7,15.73,3.04,557087.33,9.67
907282.75,15.74,3.05,557140.76,9.67
907282.75,15.74,3.05,556919.41,9.66
907427.94,15.74,3.05,556875.64,9.66
907447.72,15.75,3.06,556866.61,9.66
907467.49,15.75,3.06,556861.87,9.66
908038.09,15.76,3.07,556868.91,9.67
908161.89,15.77,3.07,556901.1,9.67
908431.42,15.77,3.08,556926.88,9.67
908237.91,15.77,3.08,557077.55,9.67
908670.48,15.78,3.09,557062.64,9.67
908670.48,15.78,3.09,556895.36,9.67
908476.97,15.78,3.09,556826.22,9.67
908283.46,15.78,3.09,556731.42,9.67
908309.49,15.78,3.09,556510.41,9.67
908585.27,15.79,3.09,556689.31,9.67
908778.18,15.79,3.1,556694.5,9.67
908901.97,15.8,3.1,556598.32,9.67
908921.75,15.8,3.11,556593.57,9.68
908921.75,15.8,3.11,556406.96,9.67
909178.96,15.81,3.11,556150.24,9.67
909456.77,15.81,3.12,556047.21,9.67
909476.55,15.82,3.12,556042.47,9.67
909496.32,15.82,3.13,556037.72,9.67
909491.58,15.82,3.13,556106.13,9.67
909630.52,15.83,3.13,556796.35,9.69
910461.08,15.84,3.15,557258.21,9.7
909445.7,15.84,3.15,556774.74,9.7
909988.77,15.86,3.16,556750.1,9.7
910783.24,15.87,3.18,557205.99,9.71
910614.25,15.87,3.18,557098.81,9.71
