ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_4a54-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
294,1561,357880,6212,357880
295,1569,365880,6212,365880
295,1569,366880,6212,366880
296,1577,367880,6212,367880
297,1579,367880,6212,367880
298,1587,368880,6212,368880
299,1595,376880,6212,376880
300,1603,384880,6212,384880
301,1611,385880,6212,385880
302,1619,386350,6212,386350
303,1621,387350,6212,387350
304,1629,387350,6212,387350
304,1629,387820,6212,387820
305,1631,387820,6212,387820
305,1631,387820,6212,387820
305,1631,387820,6212,387820
306,1633,388820,6212,388820
307,1641,389820,6212,389820
308,1643,390820,6212,390820
309,1645,391820,6212,391820
310,1653,392820,6212,392820
310,1653,393470,6212,393470
311,1661,393940,6212,393940
312,1663,393940,6212,393940
313,1665,394940,6212,394940
314,1667,395410,6212,395410
315,1675,395880,6212,395880
316,1677,396350,6212,396350
317,1679,397350,6212,397350
318,1687,397820,6212,397820
319,1689,398820,6212,398820
320,1697,406820,6212,406820
321,1705,407630,6212,407630
321,1705,408630,6212,408630
322,1713,408950,6212,408950
323,1721,409950,6212,409950
324,1729,410950,6212,410950
324,1729,411270,6212,411270
325,1737,412270,6212,412270
326,1745,413270,6212,413270
327,1747,414270,6212,414270
328,1755,422270,6212,422270
329,1757,422270,6212,422270
330,1759,422730,6212,422730
331,1761,423730,6212,423730
332,1763,424380,6212,424380
332,1763,425190,6212,425190
333,1767,426190,6212,426190
334,1769,427190,6212,427190
335,1777,428190,6212,428190
336,1779,429000,6212,429000
337,1787,430000,6212,430000
338,1789,430810,6212,430810
339,1797,431810,6212,431810
340,1799,432810,6212,432810
341,1803,433810,6212,433810
341,1803,434810,6212,434810
342,1805,435620,6212,435620
342,1805,436090,6212,436090
342,1805,436900,6212,436900
343,1813,444900,6212,444900
343,1813,445370,6212,445370
344,1821,446370,6212,446370
344,1821,447370,6212,447370
345,1825,448370,6212,448370
346,1833,448690,6212,448690
347,1841,448690,6212,448690
348,1849,448690,6212,448690
349,1851,449500,6212,449500
350,1853,450310,6212,450310
351,1861,450770,6212,450770
352,1869,451770,6212,451770
353,1871,452240,6212,452240
353,1871,453240,6212,453240
354,1873,453470,6212,453470
354,1873,453470,6212,453470
354,1873,454470,6212,454470
354,1873,455470,6212,455470
354,1873,456280,6212,456280
354,1873,456750,6212,456750
355,1877,457400,6212,457400
356,1885,458400,6212,458400
357,1887,459210,6212,459210
357,1887,459210,6212,459210
358,1889,460210,6212,460210
359,1891,460670,6212,460670
360,1893,461480,6212,461480
361,1895,462290,6212,462290
361,1895,463100,6212,463100
362,1899,464100,6212,464100
363,1901,464330,6212,464330
364,1909,472330,6212,472330
365,1917,472880,6212,472880
366,1919,472880,6212,472880
367,1921,473880,6212,473880
367,1921,473880,6212,473880
367,1921,474880,6212,474880
368,1929,474880,6212,474880
368,1929,475880,6212,475880
369,1937,475880,6212,475880
369,1937,476690,6212,476690
370,1945,477500,6212,477500
371,1947,478500,6212,478500
372,1955,479500,6212,479500
372,1955,480500,6212,480500
373,1963,480500,6212,480500
373,1963,481150,6212,481150
374,1971,481150,6212,481150
375,1973,482150,6212,482150
376,1981,482620,6212,482620
377,1989,483620,6212,483620
378,1997,484620,6212,484620
379,2005,485430,6212,485430
380,2013,486430,6212,486430
381,2021,490430,6212,490430
382,2029,491430,6212,491430
383,2037,491430,6212,491430
384,2045,499430,6212,499430
385,2053,500430,6212,500430
386,2061,504430,6212,504430
387,2063,504900,6212,504900
387,2063,505900,6212,505900
388,2071,506900,6212,506900
389,2073,507900,6212,507900
390,2075,508120,6212,508120
391,2083,509120,6212,509120
391,2083,510120,6212,510120
391,2083,510930,6212,510930
391,2083,511930,6212,511930
391,2083,512930,6212,512930
392,2085,513930,6212,513930
393,2087,514930,6212,514930
394,2095,515930,6212,515930
395,2103,516160,6212,516160
396,2111,516970,6212,516970
397,2119,517780,6212,517780
398,2123,518590,6212,518590
399,2131,522590,6212,522590
400,2133,523590,6212,523590
401,2141,523910,6212,523910
402,2143,524380,6212,524380
403,2145,524840,6212,524840
403,2145,525840,6212,525840
404,2153,533840,6212,533840
405,2155,534840,6212,534840
405,2155,535840,6212,535840
406,2157,536840,6212,536840
407,2159,537650,6212,537650
408,2161,537650,6212,537650
409,2169,538650,6212,538650
410,2177,538880,6212,538880
411,2179,539880,6212,539880
412,2187,541880,6212,541880
413,2195,542340,6212,542340
414,2197,543340,6212,543340
415,2199,544340,6212,544340
416,2201,545340,6212,545340
417,2209,545800,6212,545800
417,2209,546800,6212,546800
417,2209,547800,6212,547800
418,2211,548270,6212,548270
419,2219,549080,6212,549080
420,2227,550080,6212,550080
420,2227,551080,6212,551080
420,2227,551730,6212,551730
421,2229,552730,6212,552730
422,2231,553730,6212,553730
423,2239,554730,6212,554730
424,2247,555540,6212,555540
424,2247,556540,6212,556540
425,2255,557010,6212,557010
426,2257,557480,6212,557480
427,2265,558030,6212,558030
428,2267,559030,6212,559030
428,2267,560030,6212,560030
429,2275,560030,6212,560030
429,2275,560620,6212,560620
430,2277,561620,6212,561620
430,2277,561620,6212,561620
430,2277,561940,6212,561940
431,2285,561940,6212,561940
432,2293,562410,6212,562410
433,2301,563410,6212,563410
434,2303,563880,6212,563880
434,2303,564690,6212,564690
435,2305,564690,6212,564690
435,2305,565690,6212,565690
436,2307,566160,6212,566160
436,2307,566970,6212,566970
437,2309,567970,6212,567970
437,2309,568970,6212,568970
437,2309,569290,6212,569290
437,2309,569760,6212,569760
438,2317,577760,6212,577760
438,2317,578760,6212,578760
439,2325,579760,6212,579760
439,2325,579920,6212,579920
440,2333,580920,6212,580920
441,2341,581390,6212,581390
442,2343,581390,6212,581390
443,2345,582390,6212,582390
444,2353,583200,6212,583200
445,2355,584200,6212,584200
446,2359,585200,6212,585200
446,2359,585520,6212,585520
447,2361,586520,6212,586520
448,2363,587520,6212,587520
449,2365,588520,6212,588520
449,2365,592520,6212,592520
450,2373,592520,6212,592520
450,2373,593520,6212,593520
451,2381,601520,6212,601520
452,2389,601520,6212,601520
453,2397,605520,6212,605520
454,2405,606520,6212,606520
455,2413,607520,6212,607520
456,2421,608520,6212,608520
456,2421,609520,6212,609520
456,2421,610330,6212,610330
457,2429,614330,6212,614330
458,2431,615140,6212,615140
459,2433,616140,6212,616140
460,2434,616460,6212,616460
460,2434,617460,6212,617460
460,2434,618460,6212,618460
461,2436,619460,6212,619460
461,2436,620460,6212,620460
462,2444,621460,6212,621460
463,2452,622460,6212,622460
463,2452,623460,6212,623460
464,2460,624460,6212,624460
465,2468,624460,6212,624460
466,2476,625460,6212,625460
467,2484,626460,6212,626460
468,2486,627270,6212,627270
469,2494,628270,6212,628270
470,2502,629270,6212,629270
470,2502,629270,6212,629270
471,2504,629270,6212,629270
472,2512,630270,6212,630270
472,2512,630590,6212,630590
472,2512,630590,6212,630590
473,2514,631400,6212,631400
473,2514,631770,6212,631770
473,2514,632770,6212,632770
473,2514,633770,6212,633770
474,2516,633770,6212,633770
475,2524,634420,6212,634420
476,2532,635420,6212,635420
477,2534,636420,6212,636420
478,2536,637420,6212,637420
479,2538,638420,6212,638420
480,2546,639420,6212,639420
480,2546,640420,6212,640420
480,2546,640420,6212,640420
481,2548,641420,6212,641420
481,2548,642420,6212,642420
482,2550,643420,6212,643420
482,2550,644420,6212,644420
482,2550,644420,6212,644420
483,2558,652420,6212,652420
483,2558,653420,6212,653420
484,2560,654420,6212,654420
484,2560,655070,6212,655070
485,2562,655390,6212,655390
486,2564,656200,6212,656200
486,2564,657200,6212,657200
487,2566,657670,6212,657670
487,2566,658670,6212,658670
488,2574,659670,6212,659670
488,2574,660670,6212,660670
489,2582,661670,6212,661670
489,2582,661670,6212,661670
489,2582,662260,6212,662260
490,2584,663260,6212,663260
491,2586,664260,6212,664260
492,2588,665260,6212,665260
493,2596,666260,6212,666260
494,2600,666910,6212,666910
495,2602,667910,6212,667910
496,2610,668910,6212,668910
497,2614,669910,6212,669910
498,2616,669910,6212,669910
498,2616,670910,6212,670910
498,2616,671370,6212,671370
498,2616,672370,6212,672370
499,2620,673370,6212,673370
500,2622,673840,6212,673840
501,2630,674650,6212,674650
502,2632,675650,6212,675650
502,2632,675650,6212,675650
503,2640,676650,6212,676650
504,2648,677650,6212,677650
504,2648,677970,6212,677970
505,2656,678290,6212,678290
506,2664,679290,6212,679290
506,2664,680100,6212,680100
506,2664,681100,6212,681100
507,2666,682100,6212,682100
508,2668,683100,6212,683100
509,2676,683570,6212,683570
509,2676,684570,6212,684570
510,2678,685570,6212,685570
511,2686,685570,6212,685570
512,2694,686570,6212,686570
513,2702,687380,6212,687380
513,2702,688380,6212,688380
513,2702,689030,6212,689030
514,2710,690030,6212,690030
514,2710,691030,6212,691030
515,2712,691350,6212,691350
516,2720,699350,6212,699350
516,2720,703350,6212,703350
516,2720,704160,6212,704160
517,2728,705160,6212,705160
518,2730,706160,6212,706160
519,2738,714160,6212,714160
519,2738,722160,6212,722160
520,2746,722970,6212,722970
521,2754,723780,6212,723780
522,2762,731780,6212,731780
522,2762,732590,6212,732590
522,2762,733590,6212,733590
523,2764,734180,6212,734180
524,2766,735180,6212,735180
525,2768,735500,6212,735500
525,2768,736150,6212,736150
525,2768,736700,6212,736700
526,2776,737020,6212,737020
526,2776,737020,6212,737020
526,2776,737020,6212,737020
527,2778,737490,6212,737490
528,2782,737490,6212,737490
529,2790,738300,6212,738300
530,2798,740300,6212,740300
530,2798,741300,6212,741300
530,2798,741770,6212,741770
531,2800,742240,6212,742240
532,2802,742710,6212,742710
533,2810,743520,6212,743520
534,2818,744520,6212,744520
534,2818,745520,6212,745520
535,2820,745520,6212,745520
536,2824,746520,6212,746520
537,2832,754520,6212,754520
538,2834,755330,6212,755330
539,2842,756140,6212,756140
539,2842,757140,6212,757140
539,2842,758140,6212,758140
540,2850,758730,6212,758730
540,2850,758730,6212,758730
540,2850,759540,6212,759540
541,2858,759540,6212,759540
542,2866,767540,6212,767540
543,2874,768190,6212,768190
543,2874,769190,6212,769190
544,2882,769510,6212,769510
545,2884,770510,6212,770510
546,2888,770970,6212,770970
547,2890,771970,6212,771970
548,2892,772440,6212,772440
548,2892,772910,6212,772910
548,2892,772910,6212,772910
548,2892,774910,6212,774910
549,2894,775140,6212,775140
550,2896,776140,6212,776140
550,2896,777140,6212,777140
551,2904,777950,6212,777950
551,2904,778760,6212,778760
551,2904,779130,6212,779130
552,2906,780130,6212,780130
553,2914,780130,6212,780130
554,2916,780940,6212,780940
555,2924,781940,6212,781940
556,2932,782940,6212,782940
556,2932,783750,6212,783750
557,2934,784220,6212,784220
558,2942,785220,6212,785220
559,2950,785690,6212,785690
560,2958,793690,6212,793690
560,2958,794500,6212,794500
561,2960,795500,6212,795500
562,2968,795500,6212,795500
562,2968,796500,6212,796500
563,2970,796500,6212,796500
563,2970,796730,6212,796730
563,2970,796730,6212,796730
564,2978,797730,6212,797730
565,2980,798540,6212,798540
565,2980,799540,6212,799540
566,2988,800190,6212,800190
567,2996,801000,6212,801000
567,2996,801810,6212,801810
568,3004,802810,6212,802810
569,3006,803810,6212,803810
570,3008,803810,6212,803810
570,3008,803810,6212,803810
571,3016,811810,6212,811810
572,3020,812130,6212,812130
573,3022,812450,6212,812450
574,3030,812770,6212,812770
574,3030,813090,6212,813090
574,3030,813900,6212,813900
575,3038,814370,6212,814370
575,3038,815370,6212,815370
576,3046,819370,6212,819370
576,3046,820370,6212,820370
577,3054,821370,6212,821370
577,3054,822370,6212,822370
578,3062,822920,6212,822920
579,3070,823570,6212,823570
580,3072,823890,6212,823890
580,3072,824890,6212,824890
580,3072,825890,6212,825890
580,3072,826890,6212,826890
581,3080,827890,6212,827890
581,3080,827890,6212,827890
582,3088,828700,6212,828700
583,3090,829170,6212,829170
583,3090,829170,6212,829170
584,3092,829400,6212,829400
584,3092,830400,6212,830400
585,3100,831400,6212,831400
585,3100,831630,6212,831630
586,3108,832630,6212,832630
587,3116,840630,6212,840630
588,3124,840630,6212,840630
589,3126,841000,6212,841000
589,3126,842000,6212,842000
