ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
847232.64,14.36,1.02,337394.57,5.72
847352.94,14.37,1.02,337432.9,5.72
847204.47,14.37,1.02,337319.97,5.72
846907.6,14.36,1.02,337030.09,5.72
846759.12,14.36,1.02,337014.87,5.72
846759.12,14.36,1.02,337014.87,5.72
846697.64,14.36,1.02,336858.03,5.71
852826.52,14.47,1.12,338303.62,5.74
852678.05,14.47,1.12,338190.52,5.74
852529.58,14.47,1.12,338175.48,5.74
852814.94,14.47,1.13,338247.64,5.74
852666.47,14.47,1.13,338134.53,5.74
852459.6,14.47,1.13,338005.37,5.74
852459.6,14.47,1.13,337869.56,5.74
852162.73,14.47,1.12,337513.01,5.73
851788.9,14.46,1.12,337328.64,5.73
851492.03,14.46,1.11,337084.46,5.72
851343.56,14.46,1.11,337069.43,5.72
851383.79,14.46,1.12,337297.1,5.73
851235.32,14.46,1.12,337185.52,5.73
851086.85,14.46,1.12,337168.96,5.73
851086.85,14.46,1.12,340097.74,5.78
850947.1,14.46,1.12,339469.37,5.77
851232.46,14.47,1.12,339556.66,5.77
850957.53,14.46,1.12,339593.57,5.77
851242.89,14.47,1.12,339853.14,5.78
851100.76,14.47,1.12,339784.49,5.78
850952.29,14.47,1.12,339671.38,5.77
850702.1,14.46,1.12,339338.72,5.77
850490.4,14.46,1.12,339101.79,5.77
850575.31,14.46,1.12,340681.81,5.79
850426.84,14.46,1.12,340666.78,5.79
850278.37,14.46,1.12,340554.91,5.79
850129.9,14.46,1.12,340538.63,5.79
850513.77,14.47,1.13,340364.46,5.79
854865.55,14.54,1.2,341500.45,5.81
855083.01,14.55,1.21,341259.41,5.81
855083.01,14.55,1.21,341259.41,5.81
854934.54,14.55,1.21,341232.87,5.81
855091.06,14.55,1.21,341319.33,5.81
855050.73,14.55,1.21,341336.0,5.81
855182.13,14.56,1.21,341050.3,5.81
855033.65,14.56,1.21,340948.68,5.8
