ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ddc5-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
197,496,429090,6212,429090
198,498,430090,6212,430090
198,498,430410,6212,430410
198,498,431410,6212,431410
199,500,432410,6212,432410
199,500,433410,6212,433410
199,500,434060,6212,434060
200,502,435060,6212,435060
200,502,435870,6212,435870
200,502,436870,6212,436870
200,502,437190,6212,437190
201,504,438190,6212,438190
201,504,438190,6212,438190
201,504,439190,6212,439190
201,504,439190,6212,439190
202,506,440190,6212,440190
202,506,441190,6212,441190
202,506,441510,6212,441510
203,508,442320,6212,442320
204,510,443320,6212,443320
204,510,444320,6212,444320
204,510,444320,6212,444320
205,512,445320,6212,445320
205,512,446320,6212,446320
205,512,447130,6212,447130
205,512,447600,6212,447600
206,514,448250,6212,448250
206,514,449060,6212,449060
207,516,450060,6212,450060
207,516,450060,6212,450060
207,516,450380,6212,450380
207,516,450380,6212,450380
208,518,451190,6212,451190
208,518,452000,6212,452000
208,518,453000,6212,453000
209,520,454000,6212,454000
210,522,454810,6212,454810
210,522,455460,6212,455460
211,524,456270,6212,456270
211,524,456430,6212,456430
211,524,456900,6212,456900
212,526,457710,6212,457710
212,526,458180,6212,458180
212,526,458180,6212,458180
212,526,458650,6212,458650
212,526,459650,6212,459650
212,526,459970,6212,459970
213,528,460970,6212,460970
213,528,461970,6212,461970
213,528,461970,6212,461970
214,530,462970,6212,462970
214,530,463130,6212,463130
215,534,463130,6212,463130
215,534,464130,6212,464130
215,534,464600,6212,464600
216,536,465600,6212,465600
216,536,465600,6212,465600
217,538,466070,6212,466070
217,538,467070,6212,467070
217,538,467880,6212,467880
217,538,468200,6212,468200
218,540,469200,6212,469200
219,542,469850,6212,469850
219,542,470660,6212,470660
219,542,471660,6212,471660
219,542,471660,6212,471660
220,550,479660,6212,479660
220,550,479880,6212,479880
220,550,479880,6212,479880
221,552,480690,6212,480690
222,554,481690,6212,481690
222,554,482690,6212,482690
223,556,483690,6212,483690
223,556,484690,6212,484690
223,556,485690,6212,485690
223,556,486280,6212,486280
224,558,487280,6212,487280
225,560,487930,6212,487930
225,560,488930,6212,488930
225,560,489400,6212,489400
225,560,489400,6212,489400
226,562,490210,6212,490210
226,562,490680,6212,490680
226,562,491150,6212,491150
227,564,491960,6212,491960
227,564,492960,6212,492960
228,566,493960,6212,493960
228,566,494770,6212,494770
228,566,495770,6212,495770
228,566,496140,6212,496140
228,566,497140,6212,497140
228,566,497600,6212,497600
229,568,498600,6212,498600
230,570,499600,6212,499600
230,570,500600,6212,500600
231,572,501600,6212,501600
232,574,502250,6212,502250
232,574,503250,6212,503250
233,576,504250,6212,504250
233,576,505250,6212,505250
233,576,506060,6212,506060
233,576,506280,6212,506280
233,576,506280,6212,506280
234,578,507280,6212,507280
234,578,508280,6212,508280
235,580,509280,6212,509280
235,580,510280,6212,510280
236,582,511280,6212,511280
237,584,511750,6212,511750
238,586,512750,6212,512750
238,586,513210,6212,513210
239,588,514210,6212,514210
239,588,515210,6212,515210
239,588,516210,6212,516210
239,588,516210,6212,516210
240,590,517210,6212,517210
240,590,518210,6212,518210
241,592,518680,6212,518680
242,594,519680,6212,519680
242,594,520680,6212,520680
242,594,521680,6212,521680
242,594,522330,6212,522330
243,596,523330,6212,523330
244,604,523330,6212,523330
245,606,524140,6212,524140
245,606,524490,6212,524490
245,606,524490,6212,524490
245,606,524490,6212,524490
245,606,525490,6212,525490
246,608,527490,6212,527490
246,608,528300,6212,528300
246,608,529300,6212,529300
246,608,529770,6212,529770
247,610,530770,6212,530770
248,612,531420,6212,531420
248,612,531740,6212,531740
248,612,532550,6212,532550
249,614,533360,6212,533360
249,614,534360,6212,534360
249,614,535170,6212,535170
249,614,535170,6212,535170
249,614,535170,6212,535170
250,618,539170,6212,539170
251,620,539760,6212,539760
252,622,540760,6212,540760
252,622,541760,6212,541760
253,624,542760,6212,542760
254,632,550760,6212,550760
254,632,551760,6212,551760
255,634,552760,6212,552760
255,634,553760,6212,553760
256,642,561760,6212,561760
257,644,562760,6212,562760
257,644,563760,6212,563760
257,644,564570,6212,564570
258,646,565570,6212,565570
259,648,566380,6212,566380
260,650,567380,6212,567380
260,650,568380,6212,568380
261,652,569380,6212,569380
261,652,570380,6212,570380
262,654,571380,6212,571380
262,654,572380,6212,572380
263,656,573380,6212,573380
263,656,573850,6212,573850
263,656,574850,6212,574850
264,658,575850,6212,575850
264,658,576850,6212,576850
265,666,584850,6212,584850
266,668,585320,6212,585320
266,668,586320,6212,586320
266,668,586320,6212,586320
266,668,586690,6212,586690
266,668,587500,6212,587500
267,670,588310,6212,588310
268,672,589310,6212,589310
268,672,589770,6212,589770
268,672,589770,6212,589770
268,672,590770,6212,590770
269,674,591770,6212,591770
269,674,592770,6212,592770
270,676,593770,6212,593770
270,676,593770,6212,593770
270,676,594770,6212,594770
270,676,595000,6212,595000
270,676,595000,6212,595000
270,676,595000,6212,595000
270,676,595000,6212,595000
271,678,596000,6212,596000
271,678,596810,6212,596810
272,680,597620,6212,597620
272,680,597620,6212,597620
272,680,598090,6212,598090
272,680,598410,6212,598410
272,680,599410,6212,599410
273,682,600220,6212,600220
274,684,601220,6212,601220
275,686,602220,6212,602220
275,686,602220,6212,602220
275,686,603220,6212,603220
275,686,603770,6212,603770
276,688,604580,6212,604580
277,690,605580,6212,605580
278,692,606580,6212,606580
278,692,606900,6212,606900
278,692,607900,6212,607900
278,692,608130,6212,608130
279,694,609130,6212,609130
279,694,609130,6212,609130
279,694,609130,6212,609130
279,694,609940,6212,609940
280,696,610750,6212,610750
280,696,611750,6212,611750
280,696,612070,6212,612070
281,698,613070,6212,613070
282,700,614070,6212,614070
283,702,615070,6212,615070
284,704,616070,6212,616070
285,706,616880,6212,616880
285,706,617690,6212,617690
285,706,618690,6212,618690
285,706,619690,6212,619690
285,706,620160,6212,620160
286,708,620530,6212,620530
286,708,621340,6212,621340
286,708,621660,6212,621660
287,710,622660,6212,622660
287,710,622660,6212,622660
287,710,623660,6212,623660
287,710,624660,6212,624660
288,712,625660,6212,625660
289,714,626470,6212,626470
289,714,627470,6212,627470
290,716,628470,6212,628470
290,716,629280,6212,629280
290,716,629510,6212,629510
290,716,630510,6212,630510
291,718,631510,6212,631510
291,718,632510,6212,632510
292,720,633510,6212,633510
293,722,634510,6212,634510
293,722,634510,6212,634510
293,722,635510,6212,635510
293,722,636510,6212,636510
294,724,636740,6212,636740
294,724,636740,6212,636740
295,726,637740,6212,637740
295,726,638060,6212,638060
295,726,638060,6212,638060
295,726,638870,6212,638870
295,726,639190,6212,639190
296,728,639510,6212,639510
297,730,640510,6212,640510
297,730,641510,6212,641510
297,730,642060,6212,642060
298,732,643060,6212,643060
298,732,643060,6212,643060
299,734,645060,6212,645060
299,734,646060,6212,646060
299,734,646520,6212,646520
300,736,647520,6212,647520
300,736,647520,6212,647520
300,736,647520,6212,647520
300,736,647520,6212,647520
300,736,648520,6212,648520
301,738,648990,6212,648990
301,738,648990,6212,648990
302,740,649990,6212,649990
302,740,649990,6212,649990
302,740,650990,6212,650990
303,742,651990,6212,651990
303,742,652310,6212,652310
303,742,652780,6212,652780
303,742,652780,6212,652780
303,742,653250,6212,653250
304,744,653720,6212,653720
304,744,653720,6212,653720
304,744,654720,6212,654720
304,744,655720,6212,655720
304,744,656720,6212,656720
304,744,656880,6212,656880
304,744,657880,6212,657880
305,746,658530,6212,658530
306,748,659530,6212,659530
306,748,659690,6212,659690
306,748,660690,6212,660690
306,748,661130,6212,661130
307,750,662130,6212,662130
307,750,663130,6212,663130
307,750,663940,6212,663940
308,752,664940,6212,664940
308,752,665940,6212,665940
308,752,666410,6212,666410
308,752,666730,6212,666730
309,754,667730,6212,667730
309,754,668730,6212,668730
310,756,669730,6212,669730
311,758,670200,6212,670200
311,758,671010,6212,671010
311,758,672010,6212,672010
312,760,673010,6212,673010
312,760,674010,6212,674010
313,762,675010,6212,675010
313,762,676010,6212,676010
313,762,676010,6212,676010
314,764,677010,6212,677010
315,766,677820,6212,677820
315,766,678630,6212,678630
315,766,678950,6212,678950
315,766,679950,6212,679950
316,768,680950,6212,680950
316,768,681950,6212,681950
317,770,682760,6212,682760
317,770,683410,6212,683410
318,772,684060,6212,684060
319,774,685060,6212,685060
319,774,686060,6212,686060
320,776,686870,6212,686870
321,778,687870,6212,687870
321,778,687870,6212,687870
321,778,688870,6212,688870
322,780,690870,6212,690870
323,788,698870,6212,698870
323,788,698870,6212,698870
324,790,699870,6212,699870
324,790,700100,6212,700100
324,790,700420,6212,700420
324,790,701420,6212,701420
325,792,702420,6212,702420
325,792,703420,6212,703420
326,794,704420,6212,704420
326,794,704650,6212,704650
327,802,704650,6212,704650
328,804,705120,6212,705120
329,806,706120,6212,706120
330,808,707120,6212,707120
330,808,708120,6212,708120
331,810,709120,6212,709120
331,810,710120,6212,710120
331,810,710120,6212,710120
331,810,710930,6212,710930
332,812,711930,6212,711930
333,814,713930,6212,713930
333,814,714740,6212,714740
334,816,715740,6212,715740
334,816,715740,6212,715740
334,816,716740,6212,716740
335,818,717390,6212,717390
335,818,717390,6212,717390
335,818,717620,6212,717620
335,818,718430,6212,718430
335,818,719430,6212,719430
335,818,719890,6212,719890
336,820,720890,6212,720890
336,820,720890,6212,720890
336,820,721890,6212,721890
337,822,722890,6212,722890
337,822,722890,6212,722890
338,824,723700,6212,723700
338,824,724700,6212,724700
338,824,725020,6212,725020
339,826,726020,6212,726020
339,826,727020,6212,727020
340,828,728020,6212,728020
340,828,728340,6212,728340
340,828,729340,6212,729340
341,830,730340,6212,730340
342,832,731340,6212,731340
342,832,731340,6212,731340
342,832,731340,6212,731340
343,840,731340,6212,731340
344,842,732150,6212,732150
344,842,733150,6212,733150
344,842,733150,6212,733150
344,842,734150,6212,734150
345,844,735150,6212,735150
