ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_60ff-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
237,1212,129160,6212,129160
238,1220,129390,6212,129390
239,1222,130200,6212,130200
239,1222,131010,6212,131010
239,1222,131820,6212,131820
240,1230,132280,6212,132280
241,1238,133090,6212,133090
242,1246,133900,6212,133900
243,1254,134710,6212,134710
244,1256,134710,6212,134710
245,1264,134710,6212,134710
246,1266,135180,6212,135180
247,1274,135650,6212,135650
248,1282,136460,6212,136460
249,1284,136460,6212,136460
250,1292,137110,6212,137110
251,1294,137580,6212,137580
252,1302,138390,6212,138390
252,1302,138860,6212,138860
253,1306,139670,6212,139670
254,1314,140480,6212,140480
255,1322,140480,6212,140480
256,1324,140940,6212,140940
256,1324,141490,6212,141490
256,1324,141810,6212,141810
256,1324,142620,6212,142620
257,1326,143090,6212,143090
258,1328,143900,6212,143900
259,1336,144220,6212,144220
260,1338,145030,6212,145030
261,1346,145500,6212,145500
262,1354,145970,6212,145970
262,1354,146780,6212,146780
262,1354,147590,6212,147590
263,1362,148400,6212,148400
264,1370,149050,6212,149050
265,1371,149160,6212,149160
266,1379,149970,6212,149970
266,1379,150620,6212,150620
266,1379,150940,6212,150940
266,1379,151160,6212,151160
267,1387,151160,6212,151160
267,1387,151160,6212,151160
268,1389,151970,6212,151970
269,1391,152290,6212,152290
270,1399,153100,6212,153100
271,1407,153910,6212,153910
272,1409,154380,6212,154380
273,1411,154700,6212,154700
274,1419,154700,6212,154700
275,1421,155350,6212,155350
276,1423,155350,6212,155350
277,1431,155670,6212,155670
278,1439,156480,6212,156480
279,1441,157290,6212,157290
280,1449,158100,6212,158100
281,1457,158750,6212,158750
282,1465,159220,6212,159220
