ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_b910-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
184,392,185450,6212,185450
184,392,185910,6212,185910
185,396,185910,6212,185910
186,398,186720,6212,186720
186,398,187190,6212,187190
187,402,187410,6212,187410
187,402,187730,6212,187730
187,402,188540,6212,188540
187,402,188540,6212,188540
188,404,189350,6212,189350
188,404,190160,6212,190160
189,406,190970,6212,190970
189,406,191780,6212,191780
189,406,192100,6212,192100
189,406,192560,6212,192560
190,408,193370,6212,193370
190,408,194180,6212,194180
191,412,194650,6212,194650
192,414,195460,6212,195460
193,418,195460,6212,195460
193,418,195930,6212,195930
194,422,195930,6212,195930
194,422,196740,6212,196740
195,424,197550,6212,197550
195,424,198020,6212,198020
195,424,198830,6212,198830
196,428,199300,6212,199300
197,430,199890,6212,199890
197,430,200360,6212,200360
197,430,200910,6212,200910
197,430,201140,6212,201140
198,434,201790,6212,201790
198,434,202600,6212,202600
198,434,203250,6212,203250
198,434,203710,6212,203710
198,434,204180,6212,204180
199,438,204180,6212,204180
199,438,204180,6212,204180
200,442,204830,6212,204830
200,442,205300,6212,205300
200,442,205670,6212,205670
200,442,206220,6212,206220
200,442,206450,6212,206450
200,442,207260,6212,207260
200,442,207260,6212,207260
201,446,207730,6212,207730
201,446,207730,6212,207730
201,446,208540,6212,208540
202,448,209000,6212,209000
202,448,209000,6212,209000
202,448,209470,6212,209470
202,448,210280,6212,210280
203,450,211090,6212,211090
203,450,211410,6212,211410
203,450,212220,6212,212220
204,452,213030,6212,213030
205,456,213680,6212,213680
205,456,214000,6212,214000
205,456,214470,6212,214470
205,456,214690,6212,214690
205,456,215340,6212,215340
205,456,215810,6212,215810
205,456,216620,6212,216620
206,460,217270,6212,217270
206,460,217740,6212,217740
206,460,217740,6212,217740
207,462,218550,6212,218550
207,462,219020,6212,219020
207,462,219830,6212,219830
207,462,220150,6212,220150
207,462,220470,6212,220470
207,462,221280,6212,221280
207,462,222090,6212,222090
208,464,222900,6212,222900
208,464,223710,6212,223710
208,464,223710,6212,223710
208,464,224180,6212,224180
208,464,224180,6212,224180
209,468,224830,6212,224830
210,470,225640,6212,225640
210,470,226290,6212,226290
210,470,226760,6212,226760
210,470,227080,6212,227080
210,470,227550,6212,227550
210,470,228360,6212,228360
211,472,229170,6212,229170
211,472,229170,6212,229170
211,472,229640,6212,229640
212,474,230290,6212,230290
212,474,230880,6212,230880
212,474,231200,6212,231200
213,476,232010,6212,232010
213,476,232820,6212,232820
214,478,233630,6212,233630
214,478,234440,6212,234440
215,480,235030,6212,235030
215,480,235840,6212,235840
216,482,236430,6212,236430
216,482,236430,6212,236430
216,482,237240,6212,237240
217,484,238050,6212,238050
217,484,238860,6212,238860
218,486,239670,6212,239670
218,486,239990,6212,239990
218,486,240640,6212,240640
219,488,241450,6212,241450
219,488,241450,6212,241450
219,488,241770,6212,241770
219,488,242580,6212,242580
219,488,243050,6212,243050
220,490,243520,6212,243520
220,490,244330,6212,244330
221,492,245140,6212,245140
221,492,245600,6212,245600
221,492,246070,6212,246070
222,494,246880,6212,246880
222,494,247200,6212,247200
222,494,248010,6212,248010
223,496,248820,6212,248820
223,496,249630,6212,249630
223,496,250100,6212,250100
223,496,250910,6212,250910
224,498,251370,6212,251370
224,498,251840,6212,251840
224,498,252650,6212,252650
225,500,253460,6212,253460
225,500,253460,6212,253460
225,500,254270,6212,254270
225,500,254500,6212,254500
226,502,255150,6212,255150
226,502,255310,6212,255310
226,502,255310,6212,255310
226,502,255780,6212,255780
226,502,256250,6212,256250
227,506,256800,6212,256800
227,506,257030,6212,257030
228,508,257840,6212,257840
228,508,258160,6212,258160
228,508,258710,6212,258710
228,508,258870,6212,258870
228,508,259340,6212,259340
228,508,259660,6212,259660
228,508,260130,6212,260130
228,508,260360,6212,260360
228,508,261170,6212,261170
228,508,261760,6212,261760
229,510,262230,6212,262230
229,510,262880,6212,262880
229,510,262880,6212,262880
230,512,263690,6212,263690
230,512,264150,6212,264150
230,512,264960,6212,264960
231,514,265430,6212,265430
231,514,265590,6212,265590
231,514,266060,6212,266060
231,514,266710,6212,266710
231,514,266820,6212,266820
231,514,266820,6212,266820
232,518,267290,6212,267290
232,518,267940,6212,267940
232,518,268750,6212,268750
232,518,269300,6212,269300
233,520,270110,6212,270110
233,520,270920,6212,270920
234,522,271470,6212,271470
234,522,271470,6212,271470
234,522,271940,6212,271940
234,522,272750,6212,272750
235,524,273220,6212,273220
235,524,273220,6212,273220
235,524,273440,6212,273440
235,524,274250,6212,274250
236,526,275060,6212,275060
236,526,275530,6212,275530
236,526,276000,6212,276000
236,526,276320,6212,276320
236,526,276790,6212,276790
236,526,276790,6212,276790
236,526,277110,6212,277110
237,528,277580,6212,277580
237,528,277930,6212,277930
237,528,278160,6212,278160
237,528,278270,6212,278270
237,528,278590,6212,278590
237,528,278910,6212,278910
237,528,279380,6212,279380
237,528,279380,6212,279380
237,528,279700,6212,279700
