ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-bellman_ratio
879606.98,14.63,1.29,342061.09,5.69
879767.5,14.64,1.29,342098.9,5.69
879767.5,14.64,1.29,342015.17,5.69
879844.67,14.64,1.3,341968.66,5.69
879696.2,14.64,1.3,341855.55,5.69
879547.73,14.64,1.3,341775.01,5.69
879399.25,14.64,1.3,341732.35,5.69
879250.78,14.64,1.3,341702.97,5.69
879634.72,14.65,1.3,341603.16,5.69
879606.54,14.65,1.3,341592.71,5.69
879838.64,14.65,1.31,341485.77,5.69
879690.17,14.65,1.31,341372.66,5.69
878622.69,14.66,1.31,341154.88,5.69
878594.52,14.66,1.31,341180.44,5.69
878714.81,14.66,1.32,341218.77,5.69
878566.34,14.66,1.32,341192.23,5.69
878606.57,14.66,1.32,341272.35,5.7
878646.8,14.66,1.32,341352.46,5.7
878767.1,14.67,1.32,341390.79,5.7
878738.92,14.67,1.33,341389.5,5.7
878710.74,14.67,1.33,341397.03,5.7
878710.74,14.67,1.33,341299.36,5.7
879100.27,14.68,1.33,341281.24,5.7
879413.38,14.69,1.34,341080.2,5.7
879264.91,14.69,1.34,341007.75,5.7
879236.73,14.69,1.34,341015.28,5.7
879294.35,14.69,1.35,340960.35,5.7
879607.47,14.7,1.35,340747.44,5.69
879672.8,14.7,1.36,339538.51,5.67
879524.32,14.7,1.36,339453.25,5.67
879375.85,14.7,1.36,339410.36,5.67
879347.68,14.7,1.36,339435.93,5.68
879319.5,14.7,1.36,339461.49,5.68
879613.04,14.71,1.37,339355.33,5.68
879584.86,14.71,1.37,339380.9,5.68
879584.86,14.71,1.37,339269.74,5.67
879990.52,14.72,1.38,339291.97,5.68
880048.14,14.72,1.38,339264.15,5.68
880097.09,14.72,1.38,338828.48,5.67
883503.2,14.78,1.44,341757.86,5.72
883878.35,14.79,1.44,341943.63,5.72
884163.71,14.79,1.45,341850.45,5.72
884135.53,14.8,1.45,341857.98,5.72
884135.53,14.8,1.45,341780.08,5.72
884510.68,14.8,1.46,341861.75,5.72
884559.63,14.81,1.46,341426.08,5.71
884411.16,14.81,1.46,341323.41,5.71
884589.56,14.81,1.47,341474.62,5.72
884561.38,14.81,1.47,341449.99,5.72
884533.21,14.81,1.47,341436.61,5.72
884711.6,14.82,1.48,341671.87,5.72
884711.6,14.82,1.48,341894.89,5.73
884563.13,14.82,1.48,341852.23,5.73
884848.49,14.82,1.48,341939.52,5.73
884848.49,14.82,1.48,341855.79,5.73
885232.43,14.83,1.49,342049.73,5.73
885564.24,14.84,1.5,341835.59,5.73
885849.6,14.85,1.5,341922.88,5.73
885701.13,14.85,1.5,341809.77,5.73
885741.36,14.85,1.51,341889.88,5.73
885592.89,14.85,1.51,341847.22,5.73
885650.51,14.85,1.51,341792.29,5.73
885650.51,14.85,1.51,341737.74,5.73
885622.34,14.85,1.51,341763.3,5.73
885473.86,14.85,1.51,341720.41,5.73
885325.39,14.85,1.51,341608.55,5.73
885383.01,14.85,1.51,341580.73,5.73
885788.67,14.86,1.52,341604.07,5.73
885846.29,14.86,1.52,341576.25,5.73
886235.81,14.87,1.53,341558.13,5.73
885168.33,14.87,1.53,341340.35,5.73
885663.78,14.88,1.54,341328.68,5.73
885635.6,14.88,1.54,341354.25,5.74
886139.82,14.89,1.55,341335.14,5.74
886111.65,14.89,1.55,341287.15,5.74
886397.01,14.9,1.56,341193.98,5.74
886437.24,14.9,1.56,341274.09,5.74
886409.06,14.9,1.56,341299.66,5.74
886784.21,14.91,1.57,341381.33,5.74
887136.6,14.92,1.58,341362.17,5.74
887176.84,14.92,1.58,341440.04,5.74
887838.71,14.93,1.59,341524.81,5.74
887690.24,14.93,1.59,341423.14,5.74
888104.08,14.94,1.6,341417.81,5.74
888075.9,14.94,1.6,341443.37,5.75
888489.74,14.95,1.61,341438.04,5.75
888788.43,14.96,1.62,341441.37,5.75
888639.96,14.96,1.62,341328.26,5.75
888925.32,14.97,1.62,341415.55,5.75
889277.71,14.97,1.63,341396.39,5.75
889456.11,14.98,1.63,341435.34,5.75
889831.26,14.98,1.64,341405.72,5.75
889831.26,14.98,1.64,341317.8,5.75
890236.91,14.99,1.65,341340.03,5.75
890088.44,14.99,1.65,341313.5,5.75
890060.26,14.99,1.65,341339.06,5.75
890220.79,15.0,1.66,341376.88,5.75
890399.19,15.0,1.66,341415.83,5.75
890371.01,15.01,1.66,341430.78,5.75
890342.83,15.01,1.66,341417.5,5.76
890194.36,15.01,1.66,341309.86,5.75
890698.59,15.02,1.67,341300.8,5.75
890550.12,15.02,1.67,341228.35,5.75
890401.65,15.02,1.67,341108.62,5.75
890373.47,15.02,1.68,341056.57,5.75
890431.09,15.02,1.68,341028.75,5.75
890402.91,15.02,1.68,341015.47,5.75
890317.11,15.02,1.68,340960.33,5.75
890684.56,15.03,1.69,341455.76,5.76
890536.09,15.03,1.69,341370.27,5.76
890696.61,15.03,1.69,341408.09,5.76
890548.14,15.03,1.69,341391.8,5.76
890519.96,15.04,1.69,341394.59,5.76
891055.88,15.05,1.7,341517.82,5.77
891461.53,15.05,1.71,341541.16,5.77
891313.06,15.05,1.71,341498.5,5.77
