ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5720-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
284,1580,288790,6212,288790
285,1588,289790,6212,289790
286,1596,289900,6212,289900
287,1604,290370,6212,290370
288,1606,291370,6212,291370
289,1614,299370,6212,299370
290,1616,300020,6212,300020
291,1620,300670,6212,300670
292,1628,301670,6212,301670
293,1636,302670,6212,302670
294,1638,303320,6212,303320
295,1640,304320,6212,304320
296,1648,305130,6212,305130
296,1648,305450,6212,305450
297,1656,306450,6212,306450
298,1658,306450,6212,306450
299,1660,307450,6212,307450
300,1662,308260,6212,308260
301,1670,309260,6212,309260
301,1670,310070,6212,310070
302,1672,311070,6212,311070
303,1680,311880,6212,311880
304,1688,312350,6212,312350
304,1688,313160,6212,313160
305,1690,314160,6212,314160
305,1690,315160,6212,315160
305,1690,316160,6212,316160
305,1690,317160,6212,317160
306,1692,318160,6212,318160
307,1694,319160,6212,319160
308,1702,320160,6212,320160
309,1710,321160,6212,321160
310,1712,321390,6212,321390
311,1714,322390,6212,322390
311,1714,322390,6212,322390
311,1714,322390,6212,322390
312,1716,322390,6212,322390
313,1724,323390,6212,323390
313,1724,324200,6212,324200
313,1724,325200,6212,325200
314,1726,326010,6212,326010
314,1726,327010,6212,327010
315,1728,328010,6212,328010
315,1728,329010,6212,329010
316,1730,329470,6212,329470
317,1738,329470,6212,329470
318,1740,329790,6212,329790
319,1748,330790,6212,330790
320,1750,331380,6212,331380
320,1750,332190,6212,332190
320,1750,333190,6212,333190
321,1752,333660,6212,333660
321,1752,334660,6212,334660
322,1756,335660,6212,335660
322,1756,336660,6212,336660
322,1756,337660,6212,337660
323,1758,338660,6212,338660
324,1766,339660,6212,339660
325,1774,339660,6212,339660
326,1782,340660,6212,340660
327,1790,341660,6212,341660
328,1792,342470,6212,342470
329,1794,342840,6212,342840
330,1802,343000,6212,343000
331,1804,344000,6212,344000
331,1804,345000,6212,345000
332,1806,346000,6212,346000
333,1808,346230,6212,346230
334,1816,346230,6212,346230
334,1816,346550,6212,346550
335,1818,347550,6212,347550
335,1818,348550,6212,348550
336,1826,349550,6212,349550
337,1834,350550,6212,350550
338,1842,351010,6212,351010
339,1850,355010,6212,355010
340,1858,356010,6212,356010
341,1860,357010,6212,357010
342,1868,357480,6212,357480
343,1876,358070,6212,358070
344,1884,358540,6212,358540
344,1884,359540,6212,359540
345,1892,360540,6212,360540
345,1892,361540,6212,361540
346,1900,362540,6212,362540
346,1900,362860,6212,362860
347,1908,363860,6212,363860
348,1910,364670,6212,364670
349,1912,364900,6212,364900
349,1912,365900,6212,365900
349,1912,366710,6212,366710
349,1912,367180,6212,367180
349,1912,367650,6212,367650
349,1912,368650,6212,368650
350,1920,368650,6212,368650
351,1928,369650,6212,369650
352,1936,370300,6212,370300
352,1936,370770,6212,370770
352,1936,371580,6212,371580
353,1944,371580,6212,371580
354,1946,372580,6212,372580
355,1948,373580,6212,373580
356,1956,374580,6212,374580
357,1958,375580,6212,375580
357,1958,375580,6212,375580
358,1960,376580,6212,376580
359,1962,377050,6212,377050
359,1962,378050,6212,378050
360,1970,378860,6212,378860
361,1972,378860,6212,378860
362,1974,379860,6212,379860
363,1976,380670,6212,380670
363,1976,380670,6212,380670
363,1976,381670,6212,381670
363,1976,382670,6212,382670
363,1976,383670,6212,383670
363,1976,384670,6212,384670
364,1978,385140,6212,385140
365,1986,386140,6212,386140
366,1988,386610,6212,386610
367,1996,387610,6212,387610
368,2004,387610,6212,387610
369,2012,387930,6212,387930
370,2020,388930,6212,388930
371,2028,389930,6212,389930
372,2036,390930,6212,390930
373,2044,391930,6212,391930
374,2045,392740,6212,392740
375,2053,393210,6212,393210
376,2061,394210,6212,394210
377,2069,394680,6212,394680
378,2071,395680,6212,395680
379,2073,396680,6212,396680
380,2081,397680,6212,397680
381,2083,398680,6212,398680
382,2091,399680,6212,399680
383,2093,400150,6212,400150
384,2095,400610,6212,400610
385,2103,401610,6212,401610
386,2105,402610,6212,402610
387,2107,403610,6212,403610
388,2115,404610,6212,404610
388,2115,405080,6212,405080
389,2123,405080,6212,405080
390,2131,406080,6212,406080
391,2139,407080,6212,407080
391,2139,407080,6212,407080
392,2143,407890,6212,407890
393,2145,408890,6212,408890
393,2145,409700,6212,409700
394,2147,410510,6212,410510
395,2149,411510,6212,411510
396,2151,412510,6212,412510
397,2153,413510,6212,413510
397,2153,414510,6212,414510
397,2153,415320,6212,415320
397,2153,416320,6212,416320
398,2161,416970,6212,416970
