ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b1b9-policy_Random1000desharemdf81a-de_share-gs_random-scmd_f81a-arrived_gpu_milli
310,1623,329010,6212,329010
311,1625,329660,6212,329660
312,1627,330660,6212,330660
313,1629,330660,6212,330660
314,1631,331140,6212,331140
315,1635,332140,6212,332140
316,1643,333140,6212,333140
317,1645,333460,6212,333460
317,1645,334270,6212,334270
317,1645,334590,6212,334590
317,1645,335590,6212,335590
318,1653,336400,6212,336400
319,1655,336720,6212,336720
319,1655,337190,6212,337190
320,1657,337190,6212,337190
321,1665,338190,6212,338190
322,1669,339190,6212,339190
323,1671,339660,6212,339660
324,1673,340660,6212,340660
325,1675,341310,6212,341310
326,1679,341310,6212,341310
327,1681,342310,6212,342310
327,1681,343310,6212,343310
328,1683,343780,6212,343780
329,1685,343780,6212,343780
330,1693,344780,6212,344780
331,1695,345250,6212,345250
332,1697,345250,6212,345250
333,1699,346250,6212,346250
333,1699,347250,6212,347250
334,1707,347250,6212,347250
335,1709,347250,6212,347250
336,1717,348250,6212,348250
337,1719,350250,6212,350250
338,1721,351250,6212,351250
339,1729,352250,6212,352250
340,1731,353250,6212,353250
341,1733,353250,6212,353250
341,1733,354250,6212,354250
342,1741,355250,6212,355250
343,1743,355250,6212,355250
344,1745,356060,6212,356060
345,1753,356870,6212,356870
346,1761,357680,6212,357680
346,1761,358680,6212,358680
346,1761,358680,6212,358680
347,1769,359150,6212,359150
348,1771,360150,6212,360150
349,1773,360150,6212,360150
350,1775,360960,6212,360960
351,1777,361960,6212,361960
352,1785,362280,6212,362280
353,1793,363280,6212,363280
354,1801,364280,6212,364280
355,1809,365090,6212,365090
356,1817,366090,6212,366090
357,1819,366560,6212,366560
358,1821,367560,6212,367560
359,1823,368370,6212,368370
359,1823,370370,6212,370370
360,1825,371370,6212,371370
361,1833,372370,6212,372370
362,1835,373370,6212,373370
363,1837,374370,6212,374370
364,1845,375180,6212,375180
365,1853,376180,6212,376180
366,1855,376550,6212,376550
367,1857,377200,6212,377200
368,1858,377670,6212,377670
369,1860,378480,6212,378480
370,1862,379480,6212,379480
371,1864,379480,6212,379480
372,1872,380480,6212,380480
373,1880,381480,6212,381480
374,1888,381640,6212,381640
375,1896,381640,6212,381640
376,1898,381640,6212,381640
377,1902,382450,6212,382450
378,1910,383450,6212,383450
378,1910,383920,6212,383920
379,1912,384920,6212,384920
380,1920,385920,6212,385920
381,1922,386730,6212,386730
382,1924,387540,6212,387540
383,1932,388540,6212,388540
384,1940,388700,6212,388700
385,1948,389700,6212,389700
386,1952,390020,6212,390020
387,1954,391020,6212,391020
388,1962,391020,6212,391020
388,1962,392020,6212,392020
389,1970,392830,6212,392830
390,1972,393300,6212,393300
391,1980,394300,6212,394300
392,1988,395300,6212,395300
393,1992,395770,6212,395770
394,1994,395770,6212,395770
395,1996,396580,6212,396580
396,1998,397390,6212,397390
397,2006,398200,6212,398200
397,2006,399200,6212,399200
398,2014,400200,6212,400200
399,2016,401200,6212,401200
400,2024,401670,6212,401670
401,2028,402670,6212,402670
402,2030,402670,6212,402670
403,2032,403670,6212,403670
404,2034,404670,6212,404670
404,2034,405480,6212,405480
405,2042,406290,6212,406290
406,2044,407290,6212,407290
407,2046,408290,6212,408290
408,2054,408760,6212,408760
409,2062,409760,6212,409760
410,2064,410760,6212,410760
411,2066,411760,6212,411760
411,2066,412230,6212,412230
412,2074,413230,6212,413230
413,2076,413230,6212,413230
414,2084,413700,6212,413700
415,2092,414020,6212,414020
416,2100,414180,6212,414180
417,2102,415180,6212,415180
