ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-arrived_gpu_milli
153,350,283000,6212,283000
153,350,284000,6212,284000
153,350,285000,6212,285000
153,350,286000,6212,286000
153,350,287000,6212,287000
154,352,287590,6212,287590
154,352,288400,6212,288400
155,354,289210,6212,289210
155,354,290210,6212,290210
156,356,291210,6212,291210
156,356,292210,6212,292210
156,356,293020,6212,293020
157,358,294020,6212,294020
157,358,295020,6212,295020
157,358,296020,6212,296020
157,358,296020,6212,296020
158,360,297020,6212,297020
159,362,299020,6212,299020
159,362,299020,6212,299020
160,364,299830,6212,299830
161,366,300830,6212,300830
161,366,301830,6212,301830
161,366,301830,6212,301830
161,366,302300,6212,302300
162,368,302890,6212,302890
162,368,302890,6212,302890
162,368,303210,6212,303210
163,370,304210,6212,304210
164,378,305210,6212,305210
164,378,306210,6212,306210
164,378,307210,6212,307210
164,378,308210,6212,308210
164,378,308680,6212,308680
164,378,309680,6212,309680
164,378,310680,6212,310680
164,378,311490,6212,311490
165,380,312300,6212,312300
166,388,320300,6212,320300
166,388,321300,6212,321300
167,390,322300,6212,322300
167,390,322530,6212,322530
167,390,323000,6212,323000
168,392,323810,6212,323810
168,392,324810,6212,324810
168,392,325810,6212,325810
168,392,325810,6212,325810
168,392,325810,6212,325810
168,392,326810,6212,326810
168,392,327810,6212,327810
168,392,328280,6212,328280
168,392,328280,6212,328280
168,392,328600,6212,328600
168,392,328600,6212,328600
168,392,329250,6212,329250
169,394,329720,6212,329720
169,394,330530,6212,330530
170,396,331530,6212,331530
170,396,332000,6212,332000
170,396,333000,6212,333000
171,398,334000,6212,334000
171,398,335000,6212,335000
172,400,336000,6212,336000
172,400,336000,6212,336000
173,402,336470,6212,336470
173,402,337470,6212,337470
174,404,338470,6212,338470
174,404,339470,6212,339470
175,406,340470,6212,340470
175,406,341470,6212,341470
175,406,341930,6212,341930
175,406,342400,6212,342400
175,406,342630,6212,342630
176,408,343630,6212,343630
176,408,344630,6212,344630
177,410,344950,6212,344950
177,410,344950,6212,344950
178,412,345950,6212,345950
178,412,346950,6212,346950
178,412,346950,6212,346950
178,412,346950,6212,346950
178,412,346950,6212,346950
179,414,347950,6212,347950
179,414,348950,6212,348950
179,414,348950,6212,348950
179,414,348950,6212,348950
179,414,349410,6212,349410
180,416,350410,6212,350410
181,418,351410,6212,351410
181,418,352410,6212,352410
182,420,353410,6212,353410
182,420,354410,6212,354410
183,422,355410,6212,355410
183,422,356410,6212,356410
184,424,357220,6212,357220
185,426,358220,6212,358220
185,426,359220,6212,359220
185,426,359690,6212,359690
185,426,360340,6212,360340
185,426,360660,6212,360660
185,426,360660,6212,360660
186,428,361660,6212,361660
187,430,362130,6212,362130
187,430,363130,6212,363130
187,430,363130,6212,363130
188,432,364130,6212,364130
188,432,365130,6212,365130
189,434,366130,6212,366130
189,434,366130,6212,366130
190,436,367130,6212,367130
190,436,368130,6212,368130
190,436,368130,6212,368130
191,438,369130,6212,369130
191,438,369940,6212,369940
191,438,370940,6212,370940
191,438,371050,6212,371050
191,438,372050,6212,372050
192,440,372860,6212,372860
192,440,373860,6212,373860
193,442,374860,6212,374860
193,442,374860,6212,374860
193,442,375860,6212,375860
193,442,375860,6212,375860
193,442,376090,6212,376090
194,444,377090,6212,377090
194,444,377900,6212,377900
194,444,378900,6212,378900
194,444,379370,6212,379370
194,444,379370,6212,379370
195,446,380370,6212,380370
195,446,381370,6212,381370
196,448,382180,6212,382180
196,448,382990,6212,382990
197,450,383990,6212,383990
197,450,384990,6212,384990
198,452,385800,6212,385800
199,454,386800,6212,386800
199,454,387800,6212,387800
200,456,388800,6212,388800
200,456,389800,6212,389800
201,458,390800,6212,390800
201,458,391800,6212,391800
202,460,392800,6212,392800
202,460,392800,6212,392800
202,460,393800,6212,393800
202,460,394450,6212,394450
203,462,394770,6212,394770
203,462,395580,6212,395580
204,464,396390,6212,396390
204,464,396710,6212,396710
205,466,397710,6212,397710
205,466,398030,6212,398030
206,468,398840,6212,398840
206,468,399840,6212,399840
206,468,400310,6212,400310
207,470,401310,6212,401310
207,470,401310,6212,401310
207,470,402310,6212,402310
207,470,402310,6212,402310
208,472,403310,6212,403310
208,472,404310,6212,404310
209,474,405310,6212,405310
209,474,406310,6212,406310
210,476,407310,6212,407310
210,476,408310,6212,408310
211,478,409310,6212,409310
211,478,410310,6212,410310
212,480,411310,6212,411310
212,480,411310,6212,411310
212,480,411780,6212,411780
212,480,412780,6212,412780
213,482,413780,6212,413780
213,482,414780,6212,414780
213,482,415010,6212,415010
213,482,415010,6212,415010
214,484,416010,6212,416010
214,484,417010,6212,417010
215,486,418010,6212,418010
216,488,418470,6212,418470
216,488,419470,6212,419470
216,488,420280,6212,420280
217,496,421280,6212,421280
217,496,421510,6212,421510
217,496,421830,6212,421830
217,496,422830,6212,422830
217,496,423830,6212,423830
218,498,424300,6212,424300
218,498,425300,6212,425300
218,498,426300,6212,426300
218,498,427300,6212,427300
218,498,428300,6212,428300
218,498,429300,6212,429300
218,498,430110,6212,430110
218,498,430110,6212,430110
218,498,430580,6212,430580
218,498,430900,6212,430900
219,500,431360,6212,431360
219,500,431360,6212,431360
219,500,432170,6212,432170
220,502,433170,6212,433170
221,506,434170,6212,434170
222,508,434640,6212,434640
222,508,434960,6212,434960
222,508,435960,6212,435960
222,508,435960,6212,435960
223,510,436430,6212,436430
223,510,437430,6212,437430
223,510,437900,6212,437900
224,512,438900,6212,438900
224,512,439900,6212,439900
224,512,439900,6212,439900
225,514,440550,6212,440550
225,514,440550,6212,440550
225,514,441550,6212,441550
226,516,442550,6212,442550
226,516,443550,6212,443550
226,516,444020,6212,444020
226,516,444830,6212,444830
227,518,445830,6212,445830
227,518,446830,6212,446830
227,518,447640,6212,447640
228,520,448110,6212,448110
229,522,449110,6212,449110
229,522,450110,6212,450110
230,524,451110,6212,451110
230,524,451580,6212,451580
230,524,452580,6212,452580
230,524,453050,6212,453050
231,526,454050,6212,454050
231,526,454210,6212,454210
231,526,455210,6212,455210
231,526,456210,6212,456210
232,528,457020,6212,457020
233,532,461020,6212,461020
233,532,461570,6212,461570
233,532,462010,6212,462010
233,532,462010,6212,462010
234,534,462820,6212,462820
234,534,463140,6212,463140
235,536,464140,6212,464140
235,536,465140,6212,465140
235,536,465610,6212,465610
236,538,466610,6212,466610
237,540,467420,6212,467420
238,542,468420,6212,468420
238,542,468530,6212,468530
239,550,469530,6212,469530
239,550,470530,6212,470530
239,550,471530,6212,471530
239,550,472340,6212,472340
239,550,473340,6212,473340
239,550,473340,6212,473340
240,552,473990,6212,473990
240,552,474990,6212,474990
240,552,475220,6212,475220
240,552,476220,6212,476220
240,552,477220,6212,477220
240,552,478220,6212,478220
240,552,478690,6212,478690
240,552,479690,6212,479690
240,552,480500,6212,480500
241,554,481500,6212,481500
242,556,481970,6212,481970
242,556,482970,6212,482970
242,556,483020,6212,483020
243,558,484020,6212,484020
243,558,484830,6212,484830
243,558,485290,6212,485290
243,558,486290,6212,486290
244,560,487100,6212,487100
244,560,487100,6212,487100
245,562,488100,6212,488100
246,564,489100,6212,489100
246,564,490100,6212,490100
247,566,491100,6212,491100
248,568,491910,6212,491910
248,568,491910,6212,491910
249,570,492910,6212,492910
249,570,493910,6212,493910
249,570,494560,6212,494560
249,570,494930,6212,494930
249,570,495740,6212,495740
250,572,496740,6212,496740
251,574,497110,6212,497110
251,574,497430,6212,497430
251,574,497590,6212,497590
251,574,497820,6212,497820
251,574,498820,6212,498820
251,574,499630,6212,499630
251,574,499630,6212,499630
251,574,499860,6212,499860
252,576,500860,6212,500860
252,576,501860,6212,501860
253,578,502860,6212,502860
253,578,503860,6212,503860
254,580,504860,6212,504860
254,580,504860,6212,504860
254,580,504860,6212,504860
255,582,505860,6212,505860
256,584,506510,6212,506510
257,586,506980,6212,506980
257,586,507790,6212,507790
257,586,508790,6212,508790
258,588,509790,6212,509790
258,588,510600,6212,510600
259,590,511410,6212,511410
259,590,512410,6212,512410
259,590,512410,6212,512410
259,590,513220,6212,513220
260,592,514220,6212,514220
260,592,514690,6212,514690
260,592,515690,6212,515690
260,592,515920,6212,515920
261,594,516390,6212,516390
262,596,517390,6212,517390
262,596,518390,6212,518390
262,596,518710,6212,518710
262,596,519710,6212,519710
263,598,520710,6212,520710
264,600,521520,6212,521520
264,600,521990,6212,521990
265,602,522990,6212,522990
266,604,523800,6212,523800
266,604,524800,6212,524800
267,606,525800,6212,525800
267,606,526800,6212,526800
267,606,526800,6212,526800
267,606,527610,6212,527610
268,608,528080,6212,528080
269,610,528550,6212,528550
270,612,529550,6212,529550
270,612,530360,6212,530360
270,612,531170,6212,531170
270,612,532170,6212,532170
271,614,533170,6212,533170
272,616,533980,6212,533980
272,616,534300,6212,534300
272,616,534300,6212,534300
272,616,535110,6212,535110
272,616,536110,6212,536110
273,618,536760,6212,536760
273,618,537760,6212,537760
273,618,537760,6212,537760
273,618,537760,6212,537760
274,620,538760,6212,538760
274,620,539570,6212,539570
274,620,540570,6212,540570
274,620,541040,6212,541040
274,620,542040,6212,542040
275,622,543040,6212,543040
276,624,543630,6212,543630
