ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_e04e-policy_GpuClustering1000desharemdf591-de_share-gs_best-scmd_f591-bellman_ratio
1166929.16,19.39,0.77,222843.77,3.7
1166217.27,19.38,0.76,222100.54,3.69
1165776.84,19.37,0.76,221318.96,3.68
1165782.02,19.38,0.76,220879.82,3.67
1165850.08,19.38,0.76,220923.93,3.67
1165683.05,19.38,0.76,220914.99,3.67
1165516.01,19.38,0.76,220842.31,3.67
1164008.33,19.38,0.76,220783.48,3.68
1164359.7,19.39,0.77,220708.79,3.68
1164192.67,19.39,0.77,220631.65,3.67
1164007.41,19.39,0.77,220953.97,3.68
1163840.38,19.39,0.77,220949.49,3.68
1163547.24,19.38,0.76,220624.52,3.68
1163568.17,19.39,0.77,220842.31,3.68
1163601.21,19.39,0.77,220854.34,3.68
1163408.62,19.39,0.77,220769.83,3.68
1163670.61,19.39,0.77,220865.17,3.68
1163691.54,19.4,0.77,221168.7,3.69
1163498.95,19.4,0.77,221164.57,3.69
1163727.3,19.4,0.78,220910.19,3.68
1167158.82,19.46,0.84,221391.92,3.69
1166991.79,19.46,0.84,221314.42,3.69
1166824.76,19.46,0.84,221310.29,3.69
1167353.73,19.47,0.85,221371.01,3.69
1166984.71,19.47,0.85,221131.9,3.69
1166289.61,19.46,0.84,220451.25,3.68
1166122.57,19.46,0.84,220449.25,3.68
1165906.61,19.46,0.84,220213.92,3.68
1165739.57,19.46,0.84,220134.3,3.67
1165896.43,19.46,0.84,220171.91,3.68
1165729.39,19.46,0.84,220094.61,3.67
1165991.38,19.47,0.85,220562.65,3.68
1166012.32,19.47,0.85,220659.97,3.68
1165814.05,19.47,0.85,220612.67,3.68
1165520.16,19.47,0.84,220478.35,3.68
1165353.13,19.47,0.84,220474.02,3.68
1165154.86,19.47,0.84,220369.73,3.68
1164966.01,19.47,0.84,220542.96,3.69
1164596.99,19.46,0.84,220180.0,3.68
1164389.29,19.46,0.84,219923.65,3.68
1164222.26,19.46,0.84,219846.15,3.68
1164222.26,19.46,0.84,219846.15,3.68
1164243.19,19.47,0.84,219990.11,3.68
1164243.19,19.47,0.84,219990.11,3.68
1164076.16,19.47,0.84,219985.98,3.68
1164076.16,19.47,0.84,219955.36,3.68
1164076.16,19.47,0.84,221421.22,3.7
1164081.35,19.47,0.85,220982.07,3.7
1164326.47,19.48,0.85,220801.4,3.69
1163614.58,19.47,0.84,220047.05,3.68
1163447.55,19.47,0.84,220038.1,3.68
1167497.64,19.54,0.91,226131.85,3.78
1167330.6,19.54,0.91,226059.17,3.78
1167330.6,19.54,0.91,226059.17,3.78
1167541.87,19.54,0.92,226231.56,3.79
1167491.87,19.54,0.92,226181.56,3.79
1167324.84,19.54,0.92,226104.27,3.79
1167324.84,19.54,0.92,226104.27,3.79
1167324.84,19.54,0.92,226104.27,3.79
1167157.81,19.54,0.92,226099.94,3.79
1166990.77,19.54,0.92,226022.62,3.79
1166823.74,19.54,0.92,226018.31,3.79
1166656.71,19.54,0.92,226009.37,3.79
1166677.64,19.55,0.92,226106.69,3.79
1166519.68,19.55,0.92,225955.3,3.79
1166540.61,19.55,0.92,226099.25,3.79
1166802.6,19.55,0.93,226194.6,3.79
1166635.57,19.55,0.93,226121.92,3.79
1166312.35,19.55,0.92,225813.64,3.79
1165943.33,19.55,0.92,225641.05,3.78
1166275.7,19.55,0.92,226197.74,3.79
1165934.58,19.55,0.92,225823.61,3.79
1165767.55,19.55,0.92,225746.12,3.79
1165600.52,19.55,0.92,225741.99,3.79
1165433.49,19.55,0.92,225739.98,3.79
1165433.49,19.55,0.92,225739.98,3.79
1166024.88,19.56,0.93,225841.91,3.79
1165857.85,19.56,0.93,225762.29,3.79
1165339.69,19.56,0.93,225265.33,3.78
1165172.66,19.56,0.93,225256.39,3.78
1165505.03,19.56,0.93,225181.5,3.78
1165337.99,19.56,0.93,225108.82,3.78
1165358.92,19.57,0.94,225788.97,3.79
1165379.86,19.57,0.94,225886.3,3.79
1165212.82,19.57,0.94,225809.15,3.79
1165012.66,19.57,0.94,225535.13,3.79
1164845.63,19.57,0.94,225530.65,3.79
1164998.33,19.57,0.94,225173.78,3.78
1165243.46,19.58,0.95,224981.98,3.78
1164624.0,19.57,0.94,224403.82,3.77
1163912.11,19.57,0.93,223660.6,3.76
