ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_ratio,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-origin_q124,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-bellman_ratio
941255.72,15.59,2.02,225061.18,3.73
941024.15,15.59,2.02,224811.68,3.72
941244.32,15.59,2.03,225963.49,3.74
941295.85,15.6,2.03,226077.35,3.75
941295.85,15.6,2.03,226077.35,3.75
941347.38,15.6,2.03,226134.94,3.75
941286.55,15.6,2.03,225959.31,3.74
941338.08,15.6,2.04,226073.16,3.75
941389.61,15.6,2.04,226130.76,3.75
941549.93,15.61,2.04,226095.6,3.75
941549.93,15.61,2.04,226095.6,3.75
941601.46,15.61,2.05,225412.46,3.74
942000.63,15.62,2.05,227058.32,3.76
941770.68,15.62,2.05,226429.49,3.75
941476.96,15.62,2.05,225941.13,3.75
941707.82,15.62,2.05,225374.7,3.74
941759.35,15.62,2.06,225265.19,3.74
941919.66,15.63,2.06,225262.28,3.74
941809.66,15.63,2.06,225152.28,3.74
941809.66,15.63,2.06,225122.03,3.74
941921.04,15.63,2.06,226201.24,3.75
941720.55,15.63,2.06,225873.73,3.75
941726.46,15.63,2.06,225914.12,3.75
941777.99,15.63,2.06,225676.75,3.75
941938.31,15.63,2.07,225951.93,3.75
942293.4,15.64,2.07,227006.31,3.77
942067.49,15.64,2.07,226771.94,3.76
942112.35,15.64,2.07,226224.55,3.76
942112.35,15.64,2.07,226210.98,3.76
941837.9,15.64,2.07,225726.55,3.75
941889.43,15.64,2.07,225840.4,3.75
941940.96,15.64,2.08,225898.0,3.75
941992.49,15.65,2.08,225660.63,3.75
941755.97,15.64,2.08,225392.09,3.74
941921.87,15.65,2.08,225160.46,3.74
941973.4,15.65,2.08,225037.04,3.74
942024.93,15.65,2.09,225727.03,3.75
941801.79,15.65,2.09,225449.83,3.75
