ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_nodes,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-used_gpu_milli,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-total_gpus,ow_gpushare100-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_adb0-policy_BestFit1000desharemd33d2-de_share-gs_best-scmd_33d2-arrived_gpu_milli
222,496,322750,6212,322750
223,498,323560,6212,323560
223,498,324210,6212,324210
224,500,324860,6212,324860
224,500,325670,6212,325670
224,500,325830,6212,325830
225,502,326480,6212,326480
225,502,326950,6212,326950
226,504,327760,6212,327760
226,504,328230,6212,328230
226,504,329040,6212,329040
227,506,329850,6212,329850
227,506,330170,6212,330170
227,506,330720,6212,330720
228,508,331190,6212,331190
228,508,332000,6212,332000
229,510,332810,6212,332810
229,510,333130,6212,333130
229,510,333600,6212,333600
229,510,334410,6212,334410
230,512,334880,6212,334880
230,512,335200,6212,335200
230,512,335200,6212,335200
230,512,335200,6212,335200
230,512,335420,6212,335420
230,512,336070,6212,336070
231,514,336880,6212,336880
231,514,337690,6212,337690
231,514,337690,6212,337690
231,514,338150,6212,338150
232,516,338610,6212,338610
232,516,339420,6212,339420
233,518,340230,6212,340230
233,518,341040,6212,341040
234,520,341850,6212,341850
234,520,342660,6212,342660
235,522,343470,6212,343470
235,522,343790,6212,343790
235,522,344250,6212,344250
235,522,344720,6212,344720
235,522,345040,6212,345040
236,524,345850,6212,345850
236,524,346320,6212,346320
237,526,347130,6212,347130
237,526,347450,6212,347450
237,526,347920,6212,347920
238,528,348730,6212,348730
238,528,349200,6212,349200
238,528,349850,6212,349850
239,530,350320,6212,350320
239,530,351130,6212,351130
239,530,351600,6212,351600
240,532,352250,6212,352250
240,532,353060,6212,353060
240,532,353380,6212,353380
241,534,354030,6212,354030
241,534,354030,6212,354030
241,534,354840,6212,354840
241,534,355160,6212,355160
241,534,355480,6212,355480
241,534,355800,6212,355800
241,534,356170,6212,356170
241,534,356170,6212,356170
242,536,356980,6212,356980
242,536,357790,6212,357790
242,536,357950,6212,357950
242,536,358170,6212,358170
243,538,358980,6212,358980
243,538,359450,6212,359450
243,538,359910,6212,359910
243,538,360280,6212,360280
244,540,360930,6212,360930
244,540,361740,6212,361740
244,540,361740,6212,361740
245,542,362390,6212,362390
245,542,362620,6212,362620
245,542,362990,6212,362990
245,542,363360,6212,363360
245,542,363520,6212,363520
245,542,363840,6212,363840
245,542,364310,6212,364310
246,544,364780,6212,364780
246,544,365100,6212,365100
246,544,365100,6212,365100
246,544,365570,6212,365570
246,544,366040,6212,366040
247,546,366510,6212,366510
247,546,367320,6212,367320
247,546,367790,6212,367790
248,548,368600,6212,368600
248,548,369250,6212,369250
248,548,369480,6212,369480
249,550,370290,6212,370290
249,550,370750,6212,370750
249,550,371220,6212,371220
250,552,371540,6212,371540
250,552,371590,6212,371590
250,552,372060,6212,372060
250,552,372650,6212,372650
251,554,373120,6212,373120
251,554,373590,6212,373590
251,554,374060,6212,374060
251,554,374520,6212,374520
252,556,375330,6212,375330
252,556,375790,6212,375790
253,558,376600,6212,376600
253,558,376830,6212,376830
253,558,377300,6212,377300
253,558,377950,6212,377950
253,558,378270,6212,378270
254,560,378740,6212,378740
254,560,379550,6212,379550
254,560,379870,6212,379870
255,562,380330,6212,380330
255,562,380800,6212,380800
255,562,381270,6212,381270
255,562,381590,6212,381590
256,564,382060,6212,382060
256,564,382530,6212,382530
256,564,382850,6212,382850
256,564,383400,6212,383400
