ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-arrived_gpu_milli
184,457,312090,6212,312090
184,457,313090,6212,313090
184,457,314090,6212,314090
184,457,314090,6212,314090
184,457,315090,6212,315090
185,459,315410,6212,315410
185,459,316410,6212,316410
185,459,316410,6212,316410
185,459,317220,6212,317220
185,459,317220,6212,317220
186,463,318220,6212,318220
186,463,319220,6212,319220
187,467,319690,6212,319690
187,467,320690,6212,320690
187,467,320920,6212,320920
187,467,320920,6212,320920
187,467,321240,6212,321240
188,471,321710,6212,321710
188,471,322030,6212,322030
189,473,323030,6212,323030
189,473,323840,6212,323840
189,473,324840,6212,324840
189,473,325840,6212,325840
189,473,325840,6212,325840
189,473,326840,6212,326840
189,473,327310,6212,327310
189,473,327680,6212,327680
189,473,328150,6212,328150
189,473,328380,6212,328380
190,475,329380,6212,329380
190,475,330380,6212,330380
190,475,330600,6212,330600
190,475,330600,6212,330600
191,477,331600,6212,331600
191,477,332600,6212,332600
191,477,333600,6212,333600
191,477,333920,6212,333920
191,477,333920,6212,333920
192,479,334920,6212,334920
192,479,334920,6212,334920
192,479,335920,6212,335920
192,479,336390,6212,336390
193,481,336710,6212,336710
193,481,337030,6212,337030
193,481,338030,6212,338030
194,485,338500,6212,338500
194,485,338970,6212,338970
195,489,339970,6212,339970
195,489,340970,6212,340970
195,489,340970,6212,340970
195,489,341440,6212,341440
196,497,349440,6212,349440
197,498,350250,6212,350250
198,506,358250,6212,358250
198,506,359060,6212,359060
199,508,360060,6212,360060
199,508,360870,6212,360870
200,512,364870,6212,364870
201,514,365870,6212,365870
201,514,366870,6212,366870
202,516,367420,6212,367420
202,516,367420,6212,367420
203,524,375420,6212,375420
203,524,376420,6212,376420
203,524,376420,6212,376420
204,528,376740,6212,376740
204,528,376740,6212,376740
204,528,377740,6212,377740
204,528,377970,6212,377970
204,528,377970,6212,377970
205,532,378970,6212,378970
205,532,379970,6212,379970
205,532,380970,6212,380970
205,532,381970,6212,381970
205,532,381970,6212,381970
205,532,381970,6212,381970
205,532,381970,6212,381970
205,532,382410,6212,382410
206,536,382880,6212,382880
206,536,383880,6212,383880
206,536,384880,6212,384880
206,536,384880,6212,384880
207,544,392880,6212,392880
207,544,393690,6212,393690
208,548,394690,6212,394690
209,556,402690,6212,402690
210,560,403690,6212,403690
210,560,404240,6212,404240
210,560,404710,6212,404710
210,560,405520,6212,405520
210,560,406520,6212,406520
210,560,406980,6212,406980
211,564,407980,6212,407980
211,564,408980,6212,408980
211,564,409980,6212,409980
212,568,410980,6212,410980
212,568,411790,6212,411790
212,568,411790,6212,411790
212,568,412790,6212,412790
213,576,420790,6212,420790
213,576,421790,6212,421790
213,576,422600,6212,422600
213,576,423150,6212,423150
214,580,423620,6212,423620
214,580,424620,6212,424620
214,580,425620,6212,425620
214,580,426620,6212,426620
215,582,427620,6212,427620
215,582,428620,6212,428620
216,584,429090,6212,429090
216,584,430090,6212,430090
216,584,430410,6212,430410
217,586,431410,6212,431410
217,586,432410,6212,432410
218,588,433410,6212,433410
218,588,434060,6212,434060
219,590,435060,6212,435060
219,590,435870,6212,435870
220,592,436870,6212,436870
220,592,437190,6212,437190
220,592,438190,6212,438190
220,592,438190,6212,438190
221,594,439190,6212,439190
221,594,439190,6212,439190
221,594,440190,6212,440190
222,596,441190,6212,441190
222,596,441510,6212,441510
222,596,442320,6212,442320
223,598,443320,6212,443320
223,598,444320,6212,444320
223,598,444320,6212,444320
224,600,445320,6212,445320
224,600,446320,6212,446320
225,602,447130,6212,447130
225,602,447600,6212,447600
226,604,448250,6212,448250
226,604,449060,6212,449060
227,606,450060,6212,450060
227,606,450060,6212,450060
227,606,450380,6212,450380
227,606,450380,6212,450380
227,606,451190,6212,451190
228,608,452000,6212,452000
228,608,453000,6212,453000
229,610,454000,6212,454000
229,610,454810,6212,454810
230,612,455460,6212,455460
230,612,456270,6212,456270
230,612,456430,6212,456430
231,614,456900,6212,456900
231,614,457710,6212,457710
231,614,458180,6212,458180
231,614,458180,6212,458180
232,616,458650,6212,458650
232,616,459650,6212,459650
232,616,459970,6212,459970
233,618,460970,6212,460970
233,618,461970,6212,461970
233,618,461970,6212,461970
234,620,462970,6212,462970
234,620,463130,6212,463130
234,620,463130,6212,463130
234,620,464130,6212,464130
234,620,464600,6212,464600
235,622,465600,6212,465600
235,622,465600,6212,465600
235,622,466070,6212,466070
236,624,467070,6212,467070
236,624,467880,6212,467880
236,624,468200,6212,468200
237,626,469200,6212,469200
237,626,469850,6212,469850
238,628,470660,6212,470660
238,628,471660,6212,471660
238,628,471660,6212,471660
239,636,479660,6212,479660
239,636,479880,6212,479880
239,636,479880,6212,479880
240,638,480690,6212,480690
240,638,481690,6212,481690
241,640,482690,6212,482690
241,640,483690,6212,483690
242,642,484690,6212,484690
242,642,485690,6212,485690
243,644,486280,6212,486280
243,644,487280,6212,487280
244,646,487930,6212,487930
244,646,488930,6212,488930
245,648,489400,6212,489400
245,648,489400,6212,489400
245,648,490210,6212,490210
245,648,490680,6212,490680
246,650,491150,6212,491150
246,650,491960,6212,491960
247,652,492960,6212,492960
247,652,493960,6212,493960
248,654,494770,6212,494770
248,654,495770,6212,495770
248,654,496140,6212,496140
249,656,497140,6212,497140
249,656,497600,6212,497600
249,656,498600,6212,498600
250,658,499600,6212,499600
250,658,500600,6212,500600
251,660,501600,6212,501600
251,660,502250,6212,502250
252,662,503250,6212,503250
252,662,504250,6212,504250
253,664,505250,6212,505250
253,664,506060,6212,506060
253,664,506280,6212,506280
253,664,506280,6212,506280
254,666,507280,6212,507280
254,666,508280,6212,508280
255,668,509280,6212,509280
255,668,510280,6212,510280
256,670,511280,6212,511280
256,670,511750,6212,511750
257,672,512750,6212,512750
257,672,513210,6212,513210
257,672,514210,6212,514210
258,674,515210,6212,515210
258,674,516210,6212,516210
258,674,516210,6212,516210
259,676,517210,6212,517210
259,676,518210,6212,518210
260,678,518680,6212,518680
260,678,519680,6212,519680
261,680,520680,6212,520680
261,680,521680,6212,521680
262,682,522330,6212,522330
262,682,523330,6212,523330
262,682,523330,6212,523330
263,684,524140,6212,524140
263,684,524490,6212,524490
263,684,524490,6212,524490
263,684,524490,6212,524490
263,684,525490,6212,525490
264,686,527490,6212,527490
265,688,528300,6212,528300
265,688,529300,6212,529300
265,688,529770,6212,529770
266,690,530770,6212,530770
266,690,531420,6212,531420
266,690,531740,6212,531740
267,692,532550,6212,532550
267,692,533360,6212,533360
268,694,534360,6212,534360
268,694,535170,6212,535170
268,694,535170,6212,535170
268,694,535170,6212,535170
269,698,539170,6212,539170
270,700,539760,6212,539760
270,700,540760,6212,540760
271,702,541760,6212,541760
271,702,542760,6212,542760
272,710,550760,6212,550760
273,712,551760,6212,551760
273,712,552760,6212,552760
274,714,553760,6212,553760
275,722,561760,6212,561760
275,722,562760,6212,562760
276,724,563760,6212,563760
276,724,564570,6212,564570
277,726,565570,6212,565570
277,726,566380,6212,566380
278,728,567380,6212,567380
278,728,568380,6212,568380
279,730,569380,6212,569380
279,730,570380,6212,570380
280,732,571380,6212,571380
280,732,572380,6212,572380
281,734,573380,6212,573380
281,734,573850,6212,573850
282,736,574850,6212,574850
282,736,575850,6212,575850
283,738,576850,6212,576850
284,746,584850,6212,584850
284,746,585320,6212,585320
284,746,586320,6212,586320
284,746,586320,6212,586320
284,746,586690,6212,586690
285,748,587500,6212,587500
285,748,588310,6212,588310
286,750,589310,6212,589310
286,750,589770,6212,589770
286,750,589770,6212,589770
287,752,590770,6212,590770
287,752,591770,6212,591770
288,754,592770,6212,592770
288,754,593770,6212,593770
288,754,593770,6212,593770
289,756,594770,6212,594770
289,756,595000,6212,595000
289,756,595000,6212,595000
289,756,595000,6212,595000
289,756,595000,6212,595000
289,756,596000,6212,596000
290,758,596810,6212,596810
290,758,597620,6212,597620
290,758,597620,6212,597620
290,758,598090,6212,598090
290,758,598410,6212,598410
291,760,599410,6212,599410
291,760,600220,6212,600220
292,762,601220,6212,601220
