ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_ab90-policy_DotProd1000demergemdbaad-de_merge-gs_best-scmd_baad-bellman_ratio
923918.02,15.53,2.18,337871.99,5.68
923404.96,15.52,2.18,337280.46,5.67
922891.9,15.51,2.17,336688.93,5.66
923205.02,15.52,2.18,336504.66,5.66
923193.46,15.52,2.18,336448.17,5.66
923855.33,15.53,2.19,336528.19,5.66
923712.17,15.53,2.19,336772.27,5.66
923553.47,15.53,2.19,336613.57,5.66
923553.47,15.53,2.19,336613.57,5.66
923553.47,15.53,2.19,336613.57,5.66
923040.41,15.52,2.18,336022.04,5.65
922527.35,15.52,2.17,335430.51,5.64
922387.41,15.52,2.17,335113.58,5.64
921875.59,15.51,2.17,334607.76,5.63
922707.21,15.52,2.18,334908.46,5.63
922558.74,15.52,2.18,335048.22,5.64
922558.74,15.52,2.18,335048.22,5.64
921961.06,15.52,2.17,334233.72,5.63
922001.29,15.52,2.18,334309.59,5.63
921852.82,15.52,2.18,334263.08,5.63
921555.88,15.52,2.18,334129.1,5.63
921407.41,15.52,2.18,334082.33,5.63
920897.5,15.51,2.17,333666.72,5.62
921341.95,15.52,2.18,333848.79,5.62
921193.48,15.52,2.18,333761.56,5.62
920896.54,15.52,2.18,333627.57,5.62
922349.69,15.55,2.2,336330.19,5.67
922201.22,15.55,2.2,336211.24,5.67
922052.75,15.55,2.2,336196.2,5.67
921904.28,15.55,2.2,336149.44,5.67
921904.28,15.55,2.2,336149.44,5.67
922712.79,15.56,2.22,336225.16,5.67
922564.32,15.56,2.22,336137.93,5.67
922604.55,15.57,2.22,336213.8,5.67
922010.67,15.57,2.22,336069.92,5.67
921862.2,15.57,2.22,336023.42,5.67
921674.52,15.56,2.22,335618.92,5.67
921662.97,15.57,2.22,335562.43,5.67
921514.5,15.57,2.22,335531.78,5.67
921366.03,15.57,2.22,335428.44,5.67
921818.18,15.57,2.23,335615.98,5.67
921521.23,15.57,2.23,335481.99,5.67
921050.61,15.57,2.22,335001.92,5.66
921039.06,15.57,2.22,334945.43,5.66
921238.68,15.57,2.23,336060.68,5.68
921214.02,15.57,2.23,336399.88,5.69
921509.75,15.58,2.24,336037.41,5.68
921509.75,15.58,2.24,336037.41,5.68
921666.44,15.59,2.24,336884.85,5.7
923445.87,15.62,2.27,337496.79,5.71
923445.87,15.62,2.27,337496.79,5.71
923027.17,15.61,2.27,336983.45,5.7
923344.37,15.62,2.28,337226.85,5.7
922746.69,15.61,2.27,336412.35,5.69
922786.93,15.61,2.27,336452.48,5.69
922095.37,15.61,2.26,335715.98,5.68
923196.14,15.63,2.28,336098.88,5.69
922795.76,15.62,2.28,335461.02,5.68
922836.0,15.62,2.28,335536.89,5.68
922687.52,15.62,2.28,335512.81,5.68
922865.92,15.63,2.29,335414.32,5.68
923065.55,15.63,2.29,335341.42,5.68
923456.81,15.64,2.3,336655.5,5.7
923308.34,15.64,2.3,336608.73,5.7
923486.73,15.65,2.3,336844.38,5.71
923370.11,15.65,2.3,336023.89,5.69
923370.11,15.65,2.3,336023.89,5.69
922896.94,15.64,2.3,335431.61,5.69
922205.38,15.63,2.29,334695.12,5.67
922228.51,15.64,2.29,335677.43,5.69
922229.6,15.64,2.29,335680.12,5.69
922432.28,15.64,2.3,335150.74,5.68
922807.43,15.65,2.31,335417.5,5.69
922104.37,15.64,2.3,334714.44,5.68
922104.37,15.64,2.3,334714.44,5.68
921811.11,15.64,2.29,334869.8,5.68
921811.11,15.64,2.29,334869.8,5.68
921802.14,15.64,2.3,334897.3,5.68
922593.02,15.66,2.31,335537.81,5.69
922878.38,15.66,2.32,335425.06,5.69
922729.91,15.66,2.32,335328.97,5.69
922680.77,15.66,2.32,335451.64,5.69
922680.77,15.66,2.32,335451.64,5.69
923475.56,15.68,2.33,336858.92,5.72
923792.76,15.68,2.34,337102.33,5.72
923650.57,15.68,2.34,336799.63,5.72
923502.1,15.68,2.34,336723.07,5.72
923017.86,15.68,2.33,336215.06,5.71
922369.26,15.67,2.32,335432.79,5.7
921792.31,15.66,2.32,334518.13,5.68
921792.31,15.66,2.32,334518.13,5.68
920993.47,15.65,2.31,333694.15,5.67
921278.83,15.66,2.31,333999.84,5.68
921003.91,15.65,2.31,333794.03,5.67
921990.58,15.67,2.33,334282.99,5.68
921783.71,15.67,2.32,334080.12,5.68
921635.24,15.67,2.32,333961.16,5.68
921486.77,15.67,2.32,333946.13,5.68
921771.76,15.67,2.33,334765.42,5.69
921771.76,15.67,2.33,334765.42,5.69
921623.28,15.67,2.33,334734.78,5.69
921474.81,15.67,2.33,334631.43,5.69
921326.34,15.67,2.33,334674.61,5.69
921314.79,15.67,2.33,334618.12,5.69
921314.79,15.67,2.33,334618.12,5.69
921166.32,15.67,2.33,334617.05,5.69
921166.32,15.67,2.33,334640.45,5.69
921017.84,15.67,2.33,334507.53,5.69
920702.79,15.67,2.33,334274.09,5.69
921077.94,15.68,2.33,334355.75,5.69
920890.53,15.67,2.33,334166.39,5.69
920742.06,15.67,2.33,334476.91,5.69
921059.26,15.68,2.34,334720.32,5.7
922045.93,15.7,2.36,335209.27,5.71
922202.62,15.71,2.36,336056.71,5.72
923452.05,15.73,2.39,336138.66,5.73
923452.05,15.73,2.39,336122.22,5.73
924144.29,15.74,2.4,336909.24,5.74
923076.82,15.75,2.4,336691.46,5.74
923117.05,15.75,2.4,336731.58,5.74
922049.57,15.75,2.41,336513.81,5.75
921896.83,15.75,2.41,335921.53,5.74
921748.36,15.75,2.41,335802.58,5.74
921788.59,15.75,2.41,335973.42,5.74
921194.71,15.75,2.41,335829.54,5.74
921046.24,15.75,2.41,335782.78,5.74
920897.77,15.75,2.41,335695.55,5.74
921167.0,15.76,2.42,335589.21,5.74
921167.0,15.76,2.42,335607.6,5.74
920099.52,15.76,2.42,335389.82,5.75
919951.05,15.76,2.42,335784.01,5.75
919951.05,15.76,2.42,335784.01,5.75
920358.04,15.77,2.43,335216.38,5.74
920358.04,15.77,2.43,335216.38,5.74
920381.17,15.78,2.43,335197.3,5.75
920989.68,15.79,2.44,336800.47,5.77
920989.68,15.79,2.44,336800.47,5.77
920841.21,15.79,2.44,336713.85,5.77
920692.74,15.79,2.44,336564.24,5.77
920554.88,15.79,2.44,336699.26,5.77
920395.79,15.79,2.44,336460.88,5.77
920395.79,15.79,2.44,336460.88,5.77
920395.79,15.79,2.44,336460.88,5.77
920395.79,15.79,2.44,336460.88,5.77
919988.09,15.78,2.44,336054.89,5.76
920273.45,15.79,2.44,335942.14,5.76
920124.98,15.79,2.44,335857.81,5.76
920019.35,15.79,2.45,336425.64,5.77
920019.35,15.79,2.45,336425.64,5.77
918951.87,15.79,2.45,336207.87,5.78
918949.27,15.79,2.45,336120.75,5.78
919105.95,15.8,2.46,336968.18,5.79
918038.48,15.8,2.46,336750.4,5.8
918195.16,15.81,2.46,337597.84,5.81
918109.3,15.81,2.46,336990.77,5.8
917735.47,15.8,2.46,336615.84,5.8
917278.82,15.8,2.45,336225.83,5.79
918528.25,15.82,2.48,336307.77,5.79
919651.44,15.84,2.5,336136.97,5.79
919502.97,15.84,2.5,336020.87,5.79
919375.72,15.84,2.5,335921.96,5.79
919760.61,15.85,2.51,336578.9,5.8
919612.14,15.85,2.51,336492.28,5.8
919099.08,15.85,2.5,335900.75,5.79
919099.08,15.85,2.5,335900.75,5.79
918950.61,15.85,2.5,335797.59,5.79
917883.14,15.85,2.51,335589.85,5.79
917836.38,15.85,2.51,335823.88,5.8
917774.9,15.85,2.51,335624.31,5.8
917891.14,15.86,2.51,335867.05,5.8
918176.5,15.86,2.52,335803.45,5.8
918028.03,15.86,2.52,335658.21,5.8
917981.28,15.86,2.52,336381.46,5.81
917827.26,15.86,2.52,336057.46,5.81
917678.78,15.86,2.52,336014.8,5.81
917530.31,15.86,2.52,335929.31,5.81
917815.67,15.87,2.53,336016.6,5.81
917667.2,15.87,2.53,336164.28,5.81
917370.99,15.87,2.52,335873.3,5.81
917222.52,15.87,2.52,335760.19,5.81
917074.05,15.87,2.52,335745.16,5.81
916925.58,15.87,2.52,335718.62,5.81
917103.98,15.87,2.53,335897.18,5.81
916955.51,15.87,2.53,335785.31,5.81
916995.74,15.88,2.53,335954.18,5.82
916847.27,15.88,2.53,335927.64,5.82
916622.01,15.87,2.53,335769.17,5.81
916473.53,15.87,2.53,335667.56,5.81
916473.53,15.87,2.53,335667.56,5.81
916325.06,15.87,2.53,335554.45,5.81
916325.06,15.87,2.53,335554.45,5.81
916176.59,15.87,2.53,335539.41,5.81
916028.12,15.87,2.53,335512.88,5.81
915731.25,15.87,2.53,335262.71,5.81
915771.48,15.87,2.53,335324.45,5.81
915623.01,15.87,2.53,335212.04,5.81
915474.54,15.87,2.53,335196.3,5.81
915475.63,15.87,2.53,335199.0,5.81
915327.16,15.87,2.53,335156.34,5.81
915178.69,15.87,2.53,335070.85,5.81
915218.92,15.88,2.53,335150.97,5.81
915504.28,15.88,2.54,335435.99,5.82
915682.68,15.89,2.54,335474.94,5.82
915722.92,15.89,2.55,335740.1,5.83
915574.44,15.89,2.55,335713.57,5.83
915574.44,15.89,2.55,335713.57,5.83
915349.18,15.89,2.54,335611.48,5.82
915349.18,15.89,2.54,335611.48,5.82
915389.41,15.89,2.55,335695.01,5.83
915429.64,15.89,2.55,335775.13,5.83
915281.17,15.89,2.55,335752.02,5.83
915132.7,15.89,2.55,335638.91,5.83
915172.94,15.9,2.55,335809.02,5.83
915351.33,15.9,2.56,335847.96,5.83
915391.57,15.9,2.56,336113.13,5.84
915233.0,15.9,2.56,335958.49,5.84
915518.36,15.91,2.56,336030.65,5.84
915558.59,15.91,2.57,336323.63,5.84
915184.76,15.91,2.56,336073.96,5.84
915184.76,15.91,2.56,336073.96,5.84
915470.12,15.91,2.57,336146.12,5.84
915321.65,15.91,2.57,336308.93,5.85
915024.78,15.91,2.56,336091.05,5.84
914876.31,15.91,2.56,335977.94,5.84
914727.84,15.91,2.56,335962.9,5.84
914727.84,15.91,2.56,335962.9,5.84
914579.37,15.91,2.56,335936.37,5.84
914421.96,15.91,2.56,335780.67,5.84
914421.96,15.91,2.56,335780.67,5.84
914273.49,15.91,2.56,335679.06,5.84
913899.66,15.9,2.56,335375.95,5.84
913751.19,15.9,2.56,335262.84,5.83
913751.19,15.9,2.56,335262.84,5.83
914036.55,15.91,2.56,335681.11,5.84
913888.08,15.91,2.56,335654.58,5.84
913928.31,15.91,2.57,335716.32,5.84
913631.44,15.91,2.56,335498.85,5.84
913482.97,15.91,2.56,335472.31,5.84
913661.37,15.91,2.57,335650.87,5.85
913701.6,15.91,2.57,335730.99,5.85
913553.13,15.91,2.57,335707.87,5.85
913553.13,15.91,2.57,335707.87,5.85
912485.65,15.92,2.57,335490.09,5.85
912353.24,15.92,2.57,335316.84,5.85
912353.24,15.92,2.57,335316.84,5.85
912393.47,15.92,2.58,335396.95,5.85
912245.0,15.92,2.58,335373.84,5.85
912096.53,15.92,2.58,335260.73,5.85
911948.06,15.92,2.58,335245.69,5.85
911799.59,15.92,2.58,335203.03,5.85
911651.12,15.92,2.58,335117.55,5.85
911883.22,15.93,2.58,335010.6,5.85
911734.75,15.93,2.58,335366.09,5.86
911913.15,15.93,2.59,335405.04,5.86
911764.68,15.93,2.59,335558.46,5.86
912050.04,15.94,2.59,335645.75,5.87
912050.04,15.94,2.59,335645.75,5.87
912090.27,15.94,2.6,335923.6,5.87
911716.44,15.94,2.59,335673.93,5.87
912001.8,15.94,2.6,335761.21,5.87
912042.03,15.94,2.6,336039.07,5.87
911893.56,15.94,2.6,335927.49,5.87
911745.09,15.95,2.6,335910.92,5.87
911785.32,15.95,2.6,335991.03,5.88
911636.85,15.95,2.6,335946.12,5.88
911296.28,15.94,2.6,335609.44,5.87
911147.81,15.94,2.6,335566.54,5.87
910783.98,15.94,2.59,335326.62,5.87
910635.51,15.94,2.6,335241.37,5.87
910487.03,15.94,2.6,335198.71,5.87
910338.56,15.94,2.6,335113.22,5.87
910190.09,15.94,2.6,335040.77,5.87
910368.49,15.94,2.6,335305.59,5.87
910220.02,15.94,2.6,335233.14,5.87
910071.55,15.94,2.6,335177.44,5.87
909923.08,15.94,2.6,335150.91,5.87
909963.31,15.95,2.6,335212.65,5.87
909751.89,15.94,2.6,335042.59,5.87
909751.89,15.94,2.6,335042.59,5.87
909603.42,15.94,2.6,334970.14,5.87
909454.95,15.94,2.6,334914.45,5.87
909306.48,15.95,2.6,334842.0,5.87
909158.0,15.95,2.6,334786.3,5.87
909009.53,15.95,2.6,334713.85,5.87
909294.89,15.95,2.61,335091.48,5.88
909146.42,15.95,2.61,334978.37,5.88
908782.59,15.95,2.6,334615.04,5.87
908634.12,15.95,2.6,334600.01,5.87
908485.65,15.95,2.6,334557.12,5.87
908337.18,15.95,2.6,334471.86,5.87
908337.18,15.95,2.6,334471.86,5.87
908188.71,15.95,2.6,334429.2,5.87
908040.24,15.95,2.6,334343.71,5.87
908325.6,15.95,2.61,334415.87,5.87
908177.13,15.95,2.61,334648.88,5.88
