ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_ratio,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-origin_q124,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-bellman_ratio
378468.89,6.34,1.16,173858.11,2.91
378468.89,6.34,1.16,173858.11,2.91
378431.01,6.34,1.16,173201.21,2.9
378703.42,6.34,1.17,173201.21,2.9
378651.69,6.34,1.17,173201.21,2.9
379022.41,6.35,1.18,173316.15,2.9
378659.97,6.34,1.17,173088.1,2.9
378608.25,6.34,1.17,173088.1,2.9
378556.52,6.34,1.17,173023.11,2.9
378504.8,6.34,1.17,172910.0,2.9
378453.07,6.34,1.17,172796.9,2.9
378401.35,6.34,1.17,172796.9,2.9
378349.63,6.34,1.17,172793.66,2.9
378297.9,6.34,1.17,172793.66,2.9
378246.18,6.34,1.17,172793.66,2.9
378714.8,6.35,1.18,172709.63,2.9
379235.03,6.36,1.19,172805.46,2.9
379235.03,6.36,1.19,172692.36,2.9
379183.31,6.36,1.19,172692.36,2.9
379636.68,6.37,1.2,172818.91,2.9
379584.96,6.37,1.2,172818.91,2.9
379857.36,6.38,1.2,173144.2,2.91
379857.36,6.38,1.2,173144.2,2.91
379805.64,6.38,1.2,173144.2,2.91
380259.01,6.38,1.21,173687.97,2.92
380207.29,6.38,1.21,173692.11,2.92
380479.7,6.39,1.22,173692.11,2.92
380427.97,6.39,1.22,173692.11,2.92
380376.25,6.39,1.22,173692.11,2.92
380746.97,6.4,1.22,173807.05,2.92
380695.24,6.4,1.22,173693.95,2.92
380643.52,6.4,1.22,173693.95,2.92
380591.79,6.4,1.22,173693.95,2.92
380962.51,6.4,1.23,173808.89,2.92
381234.92,6.41,1.24,173872.78,2.92
381703.54,6.42,1.25,173788.75,2.92
381651.82,6.42,1.25,173788.75,2.92
381600.1,6.42,1.25,173788.75,2.92
381548.37,6.42,1.25,173788.75,2.92
381496.65,6.42,1.25,173680.43,2.92
381867.37,6.43,1.25,173809.6,2.92
382004.19,6.43,1.26,173809.6,2.92
382374.91,6.44,1.26,173809.6,2.93
382323.19,6.44,1.26,173809.6,2.93
382693.9,6.44,1.27,173809.6,2.93
382642.18,6.44,1.27,173806.36,2.93
382590.46,6.44,1.27,173693.25,2.92
382538.73,6.44,1.27,173690.01,2.93
382487.01,6.44,1.27,173686.77,2.93
382623.83,6.45,1.27,173686.77,2.93
382572.11,6.45,1.27,173573.67,2.92
382708.93,6.45,1.28,173573.67,2.93
382657.21,6.45,1.28,173544.18,2.93
382457.95,6.45,1.28,172728.57,2.91
382828.66,6.46,1.28,172857.75,2.91
382965.49,6.46,1.29,172857.75,2.92
383116.16,6.46,1.29,172498.38,2.91
383064.44,6.46,1.29,172498.38,2.91
383517.82,6.47,1.3,172498.38,2.91
383888.53,6.48,1.3,172627.56,2.91
384250.69,6.48,1.31,172568.67,2.91
384198.96,6.48,1.31,172568.67,2.91
384147.24,6.48,1.31,172503.68,2.91
384284.06,6.49,1.32,172503.68,2.91
384420.89,6.49,1.32,172503.68,2.91
384420.89,6.49,1.32,172503.68,2.91
384369.17,6.49,1.32,172390.57,2.91
384747.85,6.5,1.33,172407.69,2.91
385733.62,6.51,1.34,172849.78,2.92
