ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_nodes,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-used_gpu_milli,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-total_gpus,ow_cpu050-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_89ec-policy_Random1000desharemd3c66-de_share-gs_random-scmd_3c66-arrived_gpu_milli
372,1920,328470,6212,328470
373,1928,328790,6212,328790
374,1930,329260,6212,329260
375,1938,330260,6212,330260
376,1940,330630,6212,330630
377,1942,331630,6212,331630
378,1946,332630,6212,332630
379,1948,332950,6212,332950
380,1956,333760,6212,333760
381,1960,333760,6212,333760
382,1962,334080,6212,334080
383,1970,334890,6212,334890
383,1970,335700,6212,335700
384,1972,336700,6212,336700
385,1974,337700,6212,337700
386,1982,338700,6212,338700
387,1990,339700,6212,339700
387,1990,340700,6212,340700
387,1990,341700,6212,341700
388,1998,342510,6212,342510
389,2000,343510,6212,343510
389,2000,344510,6212,344510
390,2002,345510,6212,345510
390,2002,346510,6212,346510
390,2002,347510,6212,347510
390,2002,348510,6212,348510
391,2010,348740,6212,348740
392,2014,349390,6212,349390
393,2022,350390,6212,350390
394,2024,351390,6212,351390
394,2024,352390,6212,352390
395,2032,353390,6212,353390
396,2034,354390,6212,354390
397,2042,355390,6212,355390
397,2042,356390,6212,356390
398,2050,356390,6212,356390
398,2050,356390,6212,356390
398,2050,357390,6212,357390
399,2058,357860,6212,357860
399,2058,358230,6212,358230
400,2066,359230,6212,359230
401,2068,360230,6212,360230
402,2076,360820,6212,360820
403,2077,361630,6212,361630
404,2079,362630,6212,362630
405,2081,363630,6212,363630
406,2089,364100,6212,364100
406,2089,365100,6212,365100
407,2097,365420,6212,365420
