ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_43-if_1.0-ccmd_9bc2-policy_GpuPacking1000desharemd3402-de_share-gs_best-scmd_3402-bellman_ratio
847255.98,14.17,0.82,327219.22,5.47
847296.21,14.17,0.83,327299.33,5.47
847581.57,14.17,0.83,327584.36,5.48
847581.57,14.17,0.83,327545.86,5.48
847433.1,14.17,0.83,327473.41,5.48
847284.63,14.17,0.83,327417.72,5.48
847324.86,14.18,0.83,327497.83,5.48
846951.03,14.17,0.83,327248.17,5.48
846802.56,14.17,0.83,327203.26,5.48
846654.09,14.17,0.83,327090.15,5.47
846505.62,14.17,0.83,327075.11,5.48
846545.85,14.17,0.83,327150.98,5.48
846397.38,14.17,0.83,327127.55,5.48
846248.91,14.17,0.83,327084.89,5.48
846100.44,14.17,0.83,326999.4,5.48
846100.44,14.17,0.83,326999.4,5.48
846385.8,14.18,0.84,327086.69,5.48
846564.2,14.18,0.84,327474.15,5.49
846342.5,14.18,0.84,327281.49,5.48
846382.73,14.18,0.84,327361.61,5.49
845315.26,14.18,0.84,327143.83,5.49
844941.43,14.18,0.84,326920.83,5.49
844981.66,14.18,0.84,327039.27,5.49
845267.02,14.19,0.84,327123.36,5.49
844903.19,14.18,0.84,327108.82,5.49
851715.42,14.3,0.95,334891.21,5.62
851418.55,14.29,0.95,334600.69,5.62
851458.78,14.3,0.95,334640.71,5.62
851499.01,14.3,0.95,334720.82,5.62
851539.25,14.3,0.96,334839.26,5.62
851579.48,14.3,0.96,334919.38,5.63
851431.01,14.3,0.96,334874.47,5.63
851744.12,14.31,0.97,334673.43,5.62
851744.12,14.31,0.97,334673.43,5.62
851595.65,14.31,0.97,334646.89,5.62
851082.59,14.3,0.96,334076.89,5.61
851122.83,14.31,0.96,334138.64,5.62
850974.36,14.31,0.96,334112.1,5.62
850677.49,14.3,0.96,333822.2,5.61
850855.88,14.31,0.96,334000.76,5.62
850659.01,14.3,0.96,333850.59,5.61
850500.31,14.3,0.96,333695.44,5.61
850500.31,14.3,0.96,333695.44,5.61
850500.31,14.3,0.96,333695.44,5.61
850540.54,14.3,0.96,333775.55,5.61
850580.78,14.31,0.96,333894.0,5.62
850422.07,14.31,0.96,333739.61,5.61
850462.3,14.31,0.96,333819.73,5.62
850747.66,14.31,0.97,334104.75,5.62
850599.19,14.31,0.97,333985.8,5.62
850599.19,14.31,0.97,333985.8,5.62
850450.72,14.31,0.97,333970.76,5.62
850490.96,14.32,0.97,334050.88,5.62
850342.48,14.32,0.97,334005.97,5.62
850045.54,14.32,0.97,333877.82,5.62
849897.07,14.32,0.97,333835.16,5.62
849748.6,14.32,0.97,333749.67,5.62
849606.47,14.31,0.97,333729.77,5.62
849458.0,14.31,0.97,333616.66,5.62
849161.05,14.31,0.97,333488.52,5.62
849281.35,14.32,0.97,333526.84,5.62
849132.88,14.32,0.97,333511.81,5.62
848984.4,14.32,0.97,333469.15,5.62
848835.93,14.32,0.97,333383.66,5.62
848835.93,14.32,0.97,333383.66,5.62
849518.39,14.33,0.98,333552.48,5.63
849369.92,14.33,0.98,333509.82,5.63
848983.01,14.32,0.98,333054.84,5.62
848389.12,14.32,0.98,332910.96,5.62
848240.65,14.32,0.98,332825.47,5.62
848472.75,14.33,0.98,332718.53,5.62
848182.18,14.32,0.98,332904.16,5.62
848033.71,14.32,0.98,332787.33,5.62
847885.24,14.32,0.98,332760.79,5.62
847673.54,14.32,0.98,332550.51,5.62
847376.6,14.32,0.98,332422.37,5.62
847555.0,14.33,0.98,332641.27,5.62
847258.13,14.32,0.98,332350.76,5.62
847436.53,14.33,0.98,332389.7,5.62
847229.66,14.32,0.98,332454.17,5.62
847269.89,14.33,0.98,332511.22,5.62
847269.89,14.33,0.98,332472.73,5.62
847121.42,14.33,0.98,332360.87,5.62
847406.78,14.33,0.99,332777.9,5.63
847406.78,14.33,0.99,332777.9,5.63
847447.01,14.33,0.99,332858.01,5.63
847073.18,14.33,0.99,332484.7,5.62
846924.71,14.33,0.99,332439.79,5.62
846964.94,14.33,0.99,332519.9,5.63
846816.47,14.33,0.99,332474.99,5.63
847478.34,14.34,1.0,332559.77,5.63
846966.53,14.34,0.99,332053.96,5.62
847006.76,14.34,1.0,332134.07,5.62
846858.29,14.34,1.0,332110.96,5.62
847036.69,14.34,1.0,332149.9,5.62
847215.09,14.35,1.01,332643.55,5.63
847066.62,14.35,1.01,332531.69,5.63
846918.15,14.35,1.01,332515.4,5.63
847096.54,14.35,1.01,332554.35,5.63
846948.07,14.35,1.01,332707.77,5.64
847631.42,14.36,1.02,339044.57,5.75
847680.37,14.37,1.02,338608.9,5.74
847430.18,14.37,1.02,338267.79,5.73
847728.13,14.37,1.03,337994.65,5.73
847848.43,14.38,1.03,338032.97,5.73
847699.96,14.38,1.03,337920.04,5.73
847403.09,14.37,1.03,337609.44,5.73
846715.19,14.36,1.02,336921.54,5.71
846715.19,14.36,1.02,336921.54,5.71
846755.42,14.36,1.02,337092.4,5.72
852884.31,14.47,1.13,338538.0,5.74
852735.84,14.47,1.12,338424.89,5.74
852587.37,14.47,1.12,338409.85,5.74
852872.73,14.47,1.13,338482.01,5.74
852724.26,14.47,1.13,338715.02,5.75
852517.39,14.47,1.13,338514.89,5.75
852517.39,14.47,1.13,338379.08,5.74
852220.52,14.47,1.12,338088.56,5.74
851846.68,14.46,1.12,337715.25,5.73
851561.2,14.46,1.11,337440.37,5.73
851412.73,14.46,1.11,337367.92,5.73
851452.96,14.46,1.12,337475.58,5.73
851304.49,14.46,1.12,337364.0,5.73
851156.02,14.46,1.12,337347.43,5.73
851156.02,14.46,1.12,340276.22,5.78
851016.26,14.46,1.12,339647.85,5.77
851296.08,14.47,1.12,339845.18,5.78
851651.59,14.47,1.13,339741.54,5.77
851306.51,14.47,1.13,339969.29,5.78
851750.96,14.48,1.13,340309.07,5.78
851602.49,14.48,1.13,340195.96,5.78
851454.02,14.48,1.13,340180.92,5.78
851306.3,14.47,1.13,340184.52,5.78
851391.21,14.48,1.13,341764.54,5.81
851242.74,14.48,1.13,341738.01,5.81
851094.27,14.48,1.13,341636.4,5.81
851316.91,14.48,1.14,341264.57,5.81
851095.35,14.48,1.14,340998.23,5.8
855447.13,14.55,1.21,342134.22,5.82
